,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,42.8,42.8,42.8,42.8,0,243187,122461,0
1,2020-05-20 09:07:00,42.8,42.8,42.8,42.8,0,122016,61781,0
2,2020-05-20 09:15:00,43.0,43.0,43.0,43.0,676,122576,61390,0
3,2020-05-20 09:16:00,43.0,43.0,43.0,43.0,15825,153909,101056,0
4,2020-05-20 09:17:00,43.15,43.15,43.1,43.1,8878,380300,250497,0
5,2020-05-20 09:19:00,43.1,43.1,43.1,43.1,12198,216963,156510,0
6,2020-05-20 09:23:00,43.4,43.4,43.4,43.4,37147,246524,184429,0
7,2020-05-20 09:25:00,43.05,43.05,43.05,43.05,20567,470042,427720,0
8,2020-05-20 09:28:00,42.9,42.9,42.9,42.9,27140,248278,226570,0
9,2020-05-20 09:29:00,43.05,43.05,43.05,43.05,45797,260173,224006,0
10,2020-05-20 09:31:00,42.95,42.95,42.95,42.95,45716,272040,226656,0
11,2020-05-20 09:33:00,43.0,43.0,43.0,43.0,28998,283200,227847,0
12,2020-05-20 09:34:00,43.0,43.0,43.0,43.0,34811,284246,227230,0
13,2020-05-20 09:42:00,43.15,43.15,43.15,43.15,69348,302955,227759,0
14,2020-05-20 09:45:00,43.2,43.25,43.2,43.25,34416,612552,463486,0
15,2020-05-20 09:46:00,43.25,43.25,43.25,43.25,35416,304962,232431,0
16,2020-05-20 09:49:00,43.2,43.2,43.2,43.2,72603,306394,236951,0
17,2020-05-20 09:53:00,43.15,43.15,43.15,43.15,75430,308603,236528,0
18,2020-05-20 09:55:00,43.3,43.35,43.3,43.35,40327,628281,459711,0
19,2020-05-20 09:56:00,43.35,43.35,43.3,43.3,75490,635614,461090,0
20,2020-05-20 09:57:00,43.3,43.3,43.3,43.3,75525,318870,230973,0
21,2020-05-20 10:01:00,43.4,43.4,43.4,43.4,50812,321808,228622,0
22,2020-05-20 10:03:00,43.4,43.4,43.4,43.4,51801,323445,239234,0
23,2020-05-20 10:09:00,43.25,43.25,43.25,43.25,89956,333030,243136,0
24,2020-05-20 10:13:00,43.25,43.25,43.25,43.25,92811,329832,250926,0
25,2020-05-20 10:14:00,43.15,43.15,43.15,43.15,55510,327783,254111,0
26,2020-05-20 10:15:00,43.2,43.2,43.2,43.2,53416,326197,261729,0
27,2020-05-20 10:25:00,42.95,42.95,42.95,42.95,108626,318746,270172,0
28,2020-05-20 10:27:00,42.95,43.0,42.95,43.0,63533,634248,546364,0
29,2020-05-20 10:28:00,43.0,43.0,43.0,43.0,108626,636154,546766,0
30,2020-05-20 10:33:00,42.85,42.85,42.85,42.85,115437,317741,277263,0
31,2020-05-20 10:52:00,43.05,43.05,43.05,43.05,89110,328930,293932,0
32,2020-05-20 10:53:00,43.0,43.0,43.0,43.0,82529,330428,295170,0
33,2020-05-20 10:59:00,42.95,42.95,42.95,42.95,111756,331907,298773,0
34,2020-05-20 11:01:00,43.0,43.0,42.95,42.95,89893,664625,596997,0
35,2020-05-20 11:06:00,42.9,42.9,42.9,42.9,93092,324695,305773,0
36,2020-05-20 11:16:00,43.0,43.0,43.0,43.0,120293,328119,307075,0
37,2020-05-20 11:20:00,43.05,43.05,43.05,43.05,121194,338073,302060,0
38,2020-05-20 11:21:00,43.05,43.05,43.05,43.05,94523,338070,300581,0
39,2020-05-20 11:40:00,42.95,42.95,42.95,42.95,107960,341591,309848,0
40,2020-05-20 11:52:00,43.0,43.0,43.0,43.0,143469,344209,314286,0
41,2020-05-20 11:56:00,43.0,43.0,43.0,43.0,131225,344045,317287,0
42,2020-05-20 12:06:00,42.9,42.95,42.9,42.95,117481,683643,631969,0
43,2020-05-20 12:08:00,42.9,42.95,42.85,42.95,135916,1030358,1021362,0
