,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,103.15,103.15,103.15,103.15,0,160167,56395,0
1,2020-05-20 09:07:00,103.15,103.15,103.15,103.15,1863,326064,125190,0
2,2020-05-20 09:15:00,103.5,103.5,103.5,103.5,1864,161319,60385,0
3,2020-05-20 09:16:00,102.7,102.7,102.7,102.7,5890,577436,87537,0
4,2020-05-20 09:17:00,103.4,103.4,103.4,103.4,14125,593087,103939,0
5,2020-05-20 09:19:00,103.4,103.4,103.4,103.4,16639,773390,136346,0
6,2020-05-20 09:22:00,104.35,104.35,104.35,104.35,30465,805429,161266,0
7,2020-05-20 09:23:00,104.4,104.4,104.4,104.4,31541,807141,162543,0
8,2020-05-20 09:25:00,103.25,103.35,103.25,103.35,37299,2344154,575607,0
9,2020-05-20 09:27:00,103.3,103.3,103.3,103.3,43079,819895,193080,0
10,2020-05-20 09:28:00,103.3,103.3,103.3,103.3,38164,824175,200135,0
11,2020-05-20 09:29:00,103.4,103.4,103.4,103.4,33117,823123,201028,0
12,2020-05-20 09:34:00,104.2,104.2,104.2,104.2,62541,829598,191420,0
13,2020-05-20 09:35:00,104.0,104.0,104.0,104.0,74204,830789,198259,0
14,2020-05-20 09:36:00,104.25,104.3,104.25,104.3,40781,1666910,393888,0
15,2020-05-20 09:40:00,104.85,104.85,104.85,104.85,62696,843728,194286,0
16,2020-05-20 09:42:00,104.3,104.3,104.3,104.3,105280,844983,204983,0
17,2020-05-20 09:46:00,104.85,104.85,104.85,104.85,110623,868432,211406,0
18,2020-05-20 09:47:00,105.5,105.5,105.5,105.5,96156,878064,197696,0
19,2020-05-20 09:48:00,105.4,105.4,105.4,105.4,104646,869981,203025,0
20,2020-05-20 09:49:00,105.2,105.2,105.2,105.2,123466,869390,216520,0
21,2020-05-20 09:51:00,105.0,105.0,105.0,105.0,128390,867468,227134,0
22,2020-05-20 09:52:00,105.15,105.15,105.15,105.15,111064,869907,229119,0
23,2020-05-20 09:53:00,104.85,105.15,104.85,105.15,132761,1735729,468631,0
24,2020-05-20 09:54:00,105.0,105.0,105.0,105.0,133413,869802,235514,0
25,2020-05-20 09:57:00,104.85,104.85,104.85,104.85,117149,871517,248022,0
26,2020-05-20 09:59:00,105.2,105.2,105.2,105.2,123901,875100,243010,0
27,2020-05-20 10:01:00,105.0,105.0,105.0,105.0,145828,872084,246256,0
28,2020-05-20 10:02:00,104.95,104.95,104.95,104.95,140049,870397,247598,0
29,2020-05-20 10:03:00,105.15,105.15,105.15,105.15,119811,873170,247064,0
30,2020-05-20 10:06:00,104.25,104.25,104.2,104.2,178205,1702216,540905,0
31,2020-05-20 10:09:00,103.75,104.0,103.75,104.0,145032,2111112,547054,0
32,2020-05-20 10:13:00,104.15,104.15,104.15,104.15,169649,219089,277697,0
33,2020-05-20 10:14:00,104.05,104.05,104.05,104.05,214075,223538,280370,0
34,2020-05-20 10:15:00,104.1,104.1,104.1,104.1,191773,227478,287922,0
35,2020-05-20 10:16:00,104.25,104.25,104.25,104.25,150297,227736,756523,0
