,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,233.65,233.65,233.65,233.65,0,10186,36592,0
1,2020-05-20 09:16:00,231.6,232.0,231.6,232.0,3585,42175,152319,0
2,2020-05-20 09:18:00,231.85,231.85,231.15,231.15,2891,28965,106459,0
3,2020-05-20 09:20:00,231.75,231.75,231.75,231.75,6401,15188,52766,0
4,2020-05-20 09:21:00,231.4,231.4,231.4,231.4,8627,16403,54003,0
5,2020-05-20 09:22:00,231.4,231.4,231.4,231.4,5547,17371,55345,0
6,2020-05-20 09:24:00,231.3,231.3,231.3,231.3,5075,18509,56153,0
7,2020-05-20 09:26:00,231.75,231.75,231.75,231.75,10433,19073,55630,0
8,2020-05-20 09:28:00,231.9,232.1,231.9,232.1,8949,37532,112900,0
9,2020-05-20 09:31:00,232.5,232.5,232.5,232.5,12328,20284,57265,0
10,2020-05-20 09:32:00,232.5,232.5,232.5,232.5,14168,20048,58112,0
11,2020-05-20 09:34:00,232.0,232.0,232.0,232.0,12007,19966,60615,0
12,2020-05-20 09:35:00,232.3,232.3,231.9,231.9,12880,39651,123415,0
13,2020-05-20 09:36:00,231.75,231.75,231.75,231.75,13978,19443,62021,0
14,2020-05-20 09:43:00,231.8,231.8,231.8,231.8,16859,21499,64914,0
15,2020-05-20 09:44:00,231.7,231.7,231.7,231.7,16068,21547,65412,0
16,2020-05-20 09:49:00,231.5,231.5,231.5,231.5,15773,20470,66188,0
17,2020-05-20 09:50:00,231.35,231.35,231.35,231.35,16767,20666,66215,0
18,2020-05-20 09:54:00,231.85,231.85,231.85,231.85,18001,21002,66603,0
19,2020-05-20 09:56:00,231.65,231.65,231.65,231.65,18486,20281,66921,0
20,2020-05-20 09:58:00,231.6,231.6,231.6,231.6,18855,20537,66990,0
21,2020-05-20 10:00:00,231.8,231.8,231.8,231.8,21369,20952,66601,0
22,2020-05-20 10:04:00,231.75,231.75,231.75,231.75,22709,23831,67398,0
23,2020-05-20 10:07:00,232.3,232.3,232.3,232.3,20921,24803,68759,0
24,2020-05-20 10:15:00,231.5,231.5,231.5,231.5,24193,23220,70168,0
25,2020-05-20 10:16:00,231.8,231.8,231.8,231.8,26022,23219,70203,0
26,2020-05-20 10:18:00,230.0,230.0,230.0,230.0,30629,17763,70858,0
27,2020-05-20 10:20:00,229.1,229.1,228.05,228.05,36265,33066,149286,0
28,2020-05-20 10:21:00,227.35,227.35,227.35,227.35,37774,15975,73796,0
29,2020-05-20 10:22:00,227.6,227.6,227.6,227.6,32999,20562,74577,0
30,2020-05-20 10:23:00,229.0,229.25,229.0,229.25,37843,46296,147648,0
31,2020-05-20 10:24:00,229.4,229.4,229.4,229.4,38251,24327,74368,0
32,2020-05-20 10:26:00,228.95,228.95,228.95,228.95,34641,19801,75179,0
33,2020-05-20 10:27:00,228.5,228.5,228.5,228.5,40891,20292,74877,0
34,2020-05-20 10:28:00,228.45,228.45,228.45,228.45,45279,20472,76159,0
35,2020-05-20 10:29:00,228.15,228.15,228.15,228.15,43004,19116,75963,0
36,2020-05-20 10:30:00,228.5,228.5,228.5,228.5,38900,20641,75571,0
37,2020-05-20 10:31:00,228.4,228.4,228.4,228.4,41684,21026,76281,0
38,2020-05-20 10:32:00,228.3,228.3,228.3,228.3,46697,20379,76361,0
39,2020-05-20 10:36:00,228.5,228.5,228.5,228.5,46891,21417,76451,0
40,2020-05-20 10:37:00,229.05,229.3,229.05,229.3,42770,45239,152707,0
41,2020-05-20 10:40:00,230.0,230.0,230.0,230.0,43913,24564,76929,0
42,2020-05-20 10:41:00,229.8,229.8,229.8,229.8,48430,24780,76831,0
43,2020-05-20 10:43:00,229.9,229.9,229.9,229.9,48261,24820,77237,0
44,2020-05-20 10:45:00,229.8,229.8,229.8,229.8,44164,25097,77090,0
45,2020-05-20 10:47:00,229.05,229.05,229.05,229.05,46482,23479,77987,0
46,2020-05-20 10:52:00,230.15,230.15,230.15,230.15,53089,23015,79708,0
47,2020-05-20 10:54:00,229.8,229.8,229.8,229.8,51234,22735,80130,0
48,2020-05-20 10:55:00,230.0,230.0,230.0,230.0,45308,22439,79524,0
49,2020-05-20 11:02:00,229.1,229.1,229.1,229.1,48599,22725,80933,0
50,2020-05-20 11:05:00,229.65,229.65,229.65,229.65,51804,46200,163062,0
51,2020-05-20 11:10:00,229.5,229.5,229.5,229.5,52684,23600,83031,0
52,2020-05-20 11:16:00,229.2,229.2,229.2,229.2,51442,22741,82324,0
53,2020-05-20 11:17:00,228.95,228.95,228.95,228.95,50682,22625,82460,0
54,2020-05-20 11:20:00,229.75,229.75,229.75,229.75,53148,23179,84306,0
55,2020-05-20 11:21:00,230.1,230.1,230.1,230.1,54417,23424,84433,0
56,2020-05-20 11:22:00,230.0,230.0,230.0,230.0,52194,23439,84509,0
57,2020-05-20 11:23:00,230.0,230.0,230.0,230.0,50975,23669,84552,0
58,2020-05-20 11:28:00,229.85,229.85,229.85,229.85,53663,24370,85469,0
59,2020-05-20 11:31:00,229.8,229.8,229.8,229.8,56054,24819,85403,0
