,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1264.8,1264.8,1264.8,1264.8,0,3692,1557,0
1,2020-05-20 09:15:00,1267.35,1267.35,1267.0,1267.0,47,8336,3825,0
2,2020-05-20 09:17:00,1266.1,1266.1,1264.5,1264.5,291,17473,10493,0
3,2020-05-20 09:20:00,1264.1,1264.1,1264.1,1264.1,311,21189,14461,0
4,2020-05-20 09:21:00,1264.1,1264.1,1264.1,1264.1,303,21500,14915,0
5,2020-05-20 09:26:00,1261.4,1261.4,1261.4,1261.4,697,13063,9089,0
6,2020-05-20 09:28:00,1262.95,1262.95,1262.95,1262.95,821,13083,9098,0
7,2020-05-20 09:29:00,1260.0,1262.95,1260.0,1262.95,456,26263,18329,0
8,2020-05-20 09:31:00,1261.45,1261.45,1261.45,1261.45,779,13118,9397,0
9,2020-05-20 09:33:00,1270.45,1272.55,1270.45,1272.55,3018,26815,18391,0
10,2020-05-20 09:34:00,1275.0,1275.0,1269.95,1269.95,2047,31847,21947,0
11,2020-05-20 09:36:00,1273.8,1273.8,1273.65,1273.65,3628,34227,24150,0
12,2020-05-20 09:37:00,1268.95,1268.95,1268.95,1268.95,3805,17620,13008,0
13,2020-05-20 09:38:00,1280.0,1280.0,1275.95,1275.95,6104,36292,25095,0
14,2020-05-20 09:40:00,1284.8,1284.8,1284.8,1284.8,6551,19362,12312,0
15,2020-05-20 09:42:00,1282.95,1282.95,1282.95,1282.95,3869,39143,24713,0
16,2020-05-20 09:44:00,1290.0,1290.0,1290.0,1290.0,4283,19746,12309,0
17,2020-05-20 09:45:00,1294.55,1294.55,1294.55,1294.55,7689,20947,11774,0
18,2020-05-20 09:46:00,1294.55,1294.55,1294.55,1294.55,7275,20947,11774,0
19,2020-05-20 09:51:00,1294.9,1294.9,1294.9,1294.9,4371,20346,12232,0
20,2020-05-20 09:53:00,1290.0,1291.25,1290.0,1291.25,7875,39743,24796,0
21,2020-05-20 09:54:00,1287.7,1287.7,1287.7,1287.7,7952,19878,12473,0
22,2020-05-20 09:59:00,1285.8,1285.8,1285.8,1285.8,4872,21997,14220,0
23,2020-05-20 10:05:00,1289.95,1289.95,1289.95,1289.95,5015,22066,14232,0
24,2020-05-20 10:06:00,1288.85,1288.85,1288.85,1288.85,8164,22063,14358,0
25,2020-05-20 10:19:00,1289.25,1289.25,1289.25,1289.25,8516,26222,16168,0
26,2020-05-20 10:22:00,1288.8,1288.8,1288.8,1288.8,5637,28042,17655,0
27,2020-05-20 10:24:00,1294.9,1294.9,1294.9,1294.9,5593,28165,17288,0
28,2020-05-20 10:25:00,1294.9,1294.9,1294.9,1294.9,8472,28165,17288,0
29,2020-05-20 10:28:00,1293.05,1293.05,1293.05,1293.05,8623,28084,18014,0
30,2020-05-20 10:29:00,1295.2,1295.2,1295.2,1295.2,6861,28086,17783,0
31,2020-05-20 10:41:00,1295.9,1295.9,1295.9,1295.9,7183,28844,18097,0
32,2020-05-20 10:44:00,1290.0,1290.0,1290.0,1290.0,9104,28841,18309,0
33,2020-05-20 10:49:00,1294.0,1294.0,1294.0,1294.0,8963,28861,18936,0
34,2020-05-20 10:52:00,1291.25,1291.25,1291.25,1291.25,7146,28712,19075,0
35,2020-05-20 11:10:00,1288.95,1288.95,1288.95,1288.95,7486,27547,18056,0
36,2020-05-20 11:13:00,1286.65,1286.65,1286.65,1286.65,9502,27431,18097,0
37,2020-05-20 11:29:00,1288.95,1288.95,1288.95,1288.95,9280,28878,19056,0
38,2020-05-20 11:31:00,1288.95,1288.95,1288.95,1288.95,7277,28903,19081,0
39,2020-05-20 11:39:00,1285.65,1285.65,1285.65,1285.65,7525,30332,19972,0
40,2020-05-20 11:49:00,1288.95,1288.95,1288.95,1288.95,9544,30329,20015,0
41,2020-05-20 12:04:00,1285.4,1285.4,1285.4,1285.4,9684,30870,20084,0
42,2020-05-20 12:05:00,1303.65,1304.8,1303.65,1304.8,9380,52354,30037,0
43,2020-05-20 12:06:00,1305.0,1305.0,1305.0,1305.0,9604,30488,16860,0
44,2020-05-20 12:08:00,1315.0,1316.45,1314.95,1314.95,11723,125693,63622,0
45,2020-05-20 12:09:00,1313.0,1313.0,1313.0,1313.0,11914,31213,16044,0
46,2020-05-20 12:11:00,1308.35,1308.35,1308.35,1308.35,9967,31064,16167,0
47,2020-05-20 12:12:00,1312.75,1318.6,1312.75,1318.6,12190,57017,28925,0
48,2020-05-20 12:13:00,1322.25,1323.95,1322.25,1323.95,10232,61658,30600,0
49,2020-05-20 12:14:00,1322.75,1322.75,1322.75,1322.75,10667,32046,15139,0
50,2020-05-20 12:15:00,1314.05,1314.05,1314.05,1314.05,13376,32010,15437,0
51,2020-05-20 12:17:00,1317.65,1317.65,1317.65,1317.65,13007,32093,15554,0
52,2020-05-20 12:18:00,1313.5,1313.5,1313.5,1313.5,10495,32014,15559,0
53,2020-05-20 12:22:00,1309.3,1309.3,1309.3,1309.3,11200,31845,15927,0
54,2020-05-20 12:25:00,1313.5,1313.5,1313.5,1313.5,13779,31917,15964,0
55,2020-05-20 12:28:00,1310.75,1310.75,1310.75,1310.75,13525,28297,15185,0
56,2020-05-20 12:29:00,1310.6,1310.6,1310.6,1310.6,11124,31260,16502,0
57,2020-05-20 12:42:00,1315.85,1315.85,1315.85,1315.85,13676,28006,14973,0
58,2020-05-20 12:43:00,1316.0,1316.0,1316.0,1316.0,16096,28007,14999,0
59,2020-05-20 12:44:00,1313.75,1313.75,1313.75,1313.75,13551,28025,14981,0
60,2020-05-20 12:46:00,1315.95,1315.95,1315.95,1315.95,11307,25690,13770,0
