,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,91.8,91.8,91.8,91.8,0,742975,837873,0
1,2020-05-20 09:07:00,91.8,91.8,91.8,91.8,98804,822670,887908,0
2,2020-05-20 09:08:00,93.5,93.5,93.5,93.5,120283,325362,338552,0
3,2020-05-20 09:11:00,93.5,93.5,93.5,93.5,21479,325362,338552,0
4,2020-05-20 09:14:00,93.5,93.5,93.5,93.5,0,325362,338552,0
5,2020-05-20 09:15:00,93.3,93.3,93.3,93.3,98804,325362,338552,0
6,2020-05-20 09:16:00,93.8,93.8,93.8,93.8,1041045,661650,593143,0
7,2020-05-20 09:17:00,94.05,94.05,94.05,94.05,1508877,774240,743861,0
8,2020-05-20 09:18:00,93.7,93.7,93.4,93.4,553177,1614271,1904515,0
9,2020-05-20 09:19:00,93.7,93.7,93.7,93.7,683946,874289,976289,0
10,2020-05-20 09:22:00,93.75,93.85,93.75,93.85,2129089,1950927,2076575,0
11,2020-05-20 09:23:00,93.8,93.8,93.8,93.8,2129369,988707,1067522,0
12,2020-05-20 09:24:00,93.75,93.75,93.45,93.45,867975,1890386,2303390,0
13,2020-05-20 09:27:00,93.05,93.05,93.05,93.05,1536736,864508,1185895,0
14,2020-05-20 09:28:00,93.0,93.0,93.0,93.0,2852534,901059,1297271,0
15,2020-05-20 09:30:00,92.9,92.9,92.9,92.9,2482896,967128,1371541,0
16,2020-05-20 09:31:00,92.85,92.85,92.85,92.85,1197282,959224,1377583,0
17,2020-05-20 09:32:00,93.1,93.25,93.0,93.0,3012702,2997707,4097885,0
18,2020-05-20 09:34:00,93.5,93.5,93.5,93.5,3159988,1018868,1299681,0
19,2020-05-20 09:35:00,93.35,93.35,93.35,93.35,1444714,1056379,1364806,0
20,2020-05-20 09:36:00,93.2,93.2,92.8,92.8,3169604,1974523,2877572,0
21,2020-05-20 09:38:00,92.6,92.6,92.35,92.35,1785859,1798109,3028268,0
22,2020-05-20 09:39:00,92.6,92.6,92.6,92.6,1811748,930035,1512952,0
23,2020-05-20 09:40:00,92.65,92.65,92.3,92.3,3397174,1864612,3126015,0
24,2020-05-20 09:42:00,92.35,92.35,92.35,92.35,3460974,956490,1626025,0
25,2020-05-20 09:43:00,92.25,92.25,92.25,92.25,1899599,1903290,3267404,0
26,2020-05-20 09:44:00,91.95,91.95,91.95,91.95,2103115,797094,1670588,0
27,2020-05-20 09:45:00,91.95,91.95,91.95,91.95,3846156,797312,1691903,0
28,2020-05-20 09:46:00,91.85,91.9,91.85,91.9,2026565,2605393,5058338,0
29,2020-05-20 09:47:00,92.0,92.0,92.0,92.0,2139581,912991,1692073,0
30,2020-05-20 09:48:00,92.05,92.05,92.05,92.05,4048077,932425,1679997,0
31,2020-05-20 09:49:00,92.25,92.25,92.25,92.25,4048416,972204,1682720,0
32,2020-05-20 09:50:00,92.2,92.2,92.2,92.2,2161591,973875,1689058,0
33,2020-05-20 09:51:00,92.0,92.0,92.0,92.0,4155785,1871501,3440192,0
34,2020-05-20 09:52:00,92.05,92.05,91.9,91.9,2237582,1813009,3465186,0
35,2020-05-20 09:54:00,92.0,92.0,92.0,92.0,2294283,929183,1742847,0
36,2020-05-20 09:55:00,91.9,91.9,91.9,91.9,4249954,925479,1738595,0
37,2020-05-20 09:56:00,91.85,91.85,91.85,91.85,4258662,902614,1787549,0
38,2020-05-20 09:57:00,91.9,91.9,91.9,91.9,2329196,915552,1777408,0
39,2020-05-20 09:58:00,91.35,91.35,91.35,91.35,2584856,757197,1766202,0
40,2020-05-20 09:59:00,91.0,91.0,91.0,91.0,4719357,676582,1800115,0
41,2020-05-20 10:00:00,91.15,91.15,91.15,91.15,4563353,752182,1804833,0
42,2020-05-20 10:01:00,91.15,91.15,91.15,91.15,2504376,788567,1818371,0
43,2020-05-20 10:02:00,91.15,91.15,91.15,91.15,2709665,834019,1794547,0
44,2020-05-20 10:03:00,91.25,91.3,91.25,91.3,4646533,1792572,3607111,0
45,2020-05-20 10:04:00,91.25,91.25,91.25,91.25,4694946,893789,1853576,0
46,2020-05-20 10:05:00,90.95,90.95,90.95,90.95,2899877,751037,1874433,0
47,2020-05-20 10:06:00,90.85,90.85,90.85,90.85,2899943,748599,1886042,0
48,2020-05-20 10:07:00,90.9,90.9,90.9,90.9,4747044,782535,1907087,0
49,2020-05-20 10:10:00,91.0,91.0,90.9,90.9,3089300,1609460,3704443,0
50,2020-05-20 10:11:00,90.9,90.9,90.9,90.9,3091424,810668,1861493,0
51,2020-05-20 10:13:00,91.25,91.25,91.25,91.25,4844370,862187,1813002,0
52,2020-05-20 10:15:00,91.55,91.55,91.55,91.55,5097362,888183,1853424,0
53,2020-05-20 10:16:00,91.55,91.55,91.55,91.55,3424181,879714,1837412,0
54,2020-05-20 10:20:00,91.2,91.2,91.2,91.2,3331593,947630,1952493,0
55,2020-05-20 10:21:00,90.95,90.95,90.85,90.85,5316993,1815191,3950515,0
56,2020-05-20 10:22:00,90.9,90.9,90.9,90.9,5324430,947208,1983547,0
57,2020-05-20 10:23:00,91.0,91.0,91.0,91.0,3377001,982661,1969684,0
58,2020-05-20 10:24:00,91.3,91.3,91.3,91.3,3414449,1016256,1951445,0
59,2020-05-20 10:25:00,91.2,91.2,91.2,91.2,5385080,1018551,1968338,0
60,2020-05-20 10:26:00,91.1,91.15,91.1,91.15,3402144,2069355,3943465,0
61,2020-05-20 10:28:00,91.05,91.05,91.05,91.05,3440922,1002372,1970811,0
62,2020-05-20 10:29:00,90.45,90.45,90.45,90.45,5627916,829283,1993759,0
63,2020-05-20 10:30:00,90.2,90.2,89.95,89.95,3870961,1508073,4060323,0
64,2020-05-20 10:31:00,90.2,90.2,90.2,90.2,4031351,677512,2005058,0
65,2020-05-20 10:32:00,90.05,90.05,90.05,90.05,5922094,698924,2015415,0
66,2020-05-20 10:33:00,90.45,90.45,90.45,90.45,5897180,771431,1939216,0
67,2020-05-20 10:34:00,90.3,90.3,90.3,90.3,4075542,794552,2010842,0
68,2020-05-20 10:35:00,90.2,90.2,90.2,90.2,4156636,820016,2019318,0
69,2020-05-20 10:36:00,90.3,90.3,90.3,90.3,6034388,859463,1992931,0
70,2020-05-20 10:37:00,90.2,90.2,90.2,90.2,5991499,856931,2004334,0
71,2020-05-20 10:38:00,90.15,90.2,90.15,90.2,4222582,1667677,4039737,0
72,2020-05-20 10:39:00,89.95,90.0,89.95,90.0,6122556,1500337,4072244,0
73,2020-05-20 10:40:00,90.2,90.2,90.2,90.2,6188059,845789,2038581,0
74,2020-05-20 10:41:00,90.25,90.25,90.25,90.25,4369761,856019,2003148,0
75,2020-05-20 10:42:00,90.45,90.45,90.45,90.45,4425987,858290,2001418,0
76,2020-05-20 10:43:00,90.6,90.6,90.6,90.6,6278627,892181,2033244,0
77,2020-05-20 10:44:00,90.35,90.35,90.35,90.35,6283322,862683,2044349,0
78,2020-05-20 10:45:00,90.5,90.5,90.5,90.5,4471504,896342,2042911,0
79,2020-05-20 10:46:00,90.5,90.5,90.5,90.5,4466809,896342,2042911,0
80,2020-05-20 10:47:00,90.7,90.7,90.7,90.7,6326012,930092,2025304,0
81,2020-05-20 10:48:00,90.8,90.95,90.8,90.95,4525055,1875864,4048505,0
82,2020-05-20 10:49:00,90.85,90.85,90.85,90.85,4560597,927294,2034369,0
83,2020-05-20 10:50:00,90.75,90.75,90.75,90.75,6391132,912937,2080503,0
84,2020-05-20 10:51:00,90.6,90.6,90.4,90.4,4551807,2690323,6359644,0
85,2020-05-20 10:54:00,90.7,90.7,90.7,90.7,4601523,928298,2094436,0
86,2020-05-20 10:56:00,90.65,90.65,90.65,90.65,6461625,955263,2111556,0
87,2020-05-20 10:57:00,90.8,90.8,90.8,90.8,6428666,970790,2100878,0
