,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,51.65,51.65,51.65,51.65,0,6127,7987,0
1,2020-05-20 09:17:00,52.15,52.15,52.15,52.15,0,24319,22771,0
2,2020-05-20 09:19:00,52.15,52.15,52.15,52.15,5856,31696,32210,0
3,2020-05-20 09:21:00,53.0,53.0,53.0,53.0,8132,45324,37318,0
4,2020-05-20 09:25:00,52.25,52.5,52.25,52.5,4392,87302,90573,0
5,2020-05-20 09:29:00,52.35,52.35,52.35,52.35,5981,44626,49729,0
6,2020-05-20 09:30:00,52.35,52.35,52.35,52.35,9724,44975,49345,0
7,2020-05-20 09:42:00,52.0,52.0,52.0,52.0,13306,44295,54462,0
8,2020-05-20 09:46:00,52.0,52.0,52.0,52.0,10536,46920,55042,0
9,2020-05-20 09:54:00,51.9,51.9,51.9,51.9,9877,47572,61216,0
10,2020-05-20 09:58:00,51.9,51.9,51.9,51.9,15382,49835,60843,0
11,2020-05-20 10:00:00,51.9,51.9,51.9,51.9,17967,50920,60414,0
12,2020-05-20 10:02:00,52.0,52.0,52.0,52.0,12713,50944,59331,0
13,2020-05-20 10:03:00,52.0,52.0,52.0,52.0,10310,50968,59133,0
14,2020-05-20 10:04:00,52.0,52.0,52.0,52.0,15584,50747,59716,0
15,2020-05-20 10:19:00,51.85,51.85,51.85,51.85,33288,52602,57899,0
16,2020-05-20 10:20:00,51.85,51.85,51.85,51.85,31669,53147,58191,0
17,2020-05-20 10:25:00,51.65,51.65,51.65,51.65,15502,48683,58492,0
18,2020-05-20 10:26:00,51.65,51.65,51.65,51.65,17421,48544,58639,0
19,2020-05-20 10:27:00,51.65,51.65,51.65,51.65,33888,49205,58773,0
20,2020-05-20 10:32:00,51.9,51.9,51.9,51.9,34383,50777,57107,0
21,2020-05-20 10:35:00,52.0,52.0,52.0,52.0,19417,51131,56381,0
22,2020-05-20 10:45:00,52.2,52.2,52.2,52.2,20693,54790,52926,0
23,2020-05-20 10:52:00,51.9,51.9,51.9,51.9,38037,55469,53318,0
24,2020-05-20 11:01:00,52.0,52.0,52.0,52.0,38032,56162,51417,0
25,2020-05-20 11:03:00,52.1,52.1,52.1,52.1,20788,55296,51103,0
26,2020-05-20 11:05:00,52.0,52.0,52.0,52.0,20913,56657,50429,0
27,2020-05-20 11:19:00,51.75,51.75,51.75,51.75,43518,55744,54000,0
28,2020-05-20 11:20:00,51.7,51.7,51.7,51.7,44923,55143,54746,0
29,2020-05-20 11:21:00,51.75,51.75,51.75,51.75,22843,55495,54436,0
30,2020-05-20 11:22:00,51.6,51.6,51.6,51.6,21538,55535,54630,0
31,2020-05-20 11:24:00,51.6,51.6,51.6,51.6,43978,56095,54712,0
32,2020-05-20 11:29:00,51.75,51.75,51.75,51.75,49543,57028,55132,0
33,2020-05-20 11:30:00,51.7,51.7,51.7,51.7,27228,57308,55004,0
34,2020-05-20 11:32:00,51.75,51.75,51.75,51.75,21873,57796,55066,0
35,2020-05-20 11:38:00,51.7,51.7,51.7,51.7,46192,59118,55393,0
36,2020-05-20 11:40:00,51.65,51.65,51.65,51.65,51714,59545,55911,0
37,2020-05-20 11:59:00,51.65,51.65,51.65,51.65,40035,58762,56177,0
38,2020-05-20 12:55:00,51.55,51.55,51.55,51.55,39585,61315,59144,0
39,2020-05-20 13:15:00,51.75,51.75,51.75,51.75,56216,61588,59233,0
40,2020-05-20 13:20:00,51.55,51.55,51.55,51.55,58842,62457,58287,0
41,2020-05-20 13:30:00,51.55,51.55,51.55,51.55,43981,62722,58579,0
42,2020-05-20 13:59:00,51.4,51.4,51.4,51.4,49292,56430,60529,0
43,2020-05-20 14:03:00,51.4,51.4,51.4,51.4,64453,59300,58805,0
44,2020-05-20 14:04:00,51.4,51.4,51.4,51.4,59142,60300,58805,0
45,2020-05-20 14:11:00,51.75,51.75,51.75,51.75,48961,67048,56550,0
46,2020-05-20 14:15:00,51.75,51.75,51.75,51.75,55643,69575,57180,0
47,2020-05-20 14:20:00,51.75,51.75,51.75,51.75,63193,137660,115550,0
48,2020-05-20 14:24:00,51.75,51.75,51.75,51.75,68723,68007,58500,0
49,2020-05-20 14:31:00,51.7,51.7,51.7,51.7,63930,67849,58102,0
50,2020-05-20 14:34:00,51.75,51.75,51.75,51.75,63971,71794,59824,0
51,2020-05-20 14:39:00,51.75,51.75,51.75,51.75,74477,68718,60326,0
52,2020-05-20 14:42:00,51.7,51.7,51.7,51.7,77486,67523,60497,0
53,2020-05-20 14:43:00,51.75,51.75,51.75,51.75,67180,70738,58674,0
54,2020-05-20 14:44:00,51.75,51.75,51.75,51.75,64173,71025,60060,0
55,2020-05-20 14:45:00,51.75,51.75,51.75,51.75,75650,70825,59253,0
56,2020-05-20 14:46:00,51.75,51.75,51.75,51.75,79699,71419,57940,0
57,2020-05-20 14:50:00,51.8,51.8,51.8,51.8,73582,70056,57842,0
58,2020-05-20 14:56:00,51.65,51.65,51.65,51.65,84134,64556,52100,0
59,2020-05-20 14:57:00,51.8,51.8,51.8,51.8,96549,66254,46050,0
60,2020-05-20 15:03:00,51.75,51.75,51.75,51.75,89017,67393,48978,0
61,2020-05-20 15:07:00,51.75,51.75,51.75,51.75,77309,66751,47566,0
62,2020-05-20 15:14:00,51.7,51.7,51.7,51.7,104967,67242,47403,0
63,2020-05-20 15:15:00,51.7,51.7,51.7,51.7,90387,128472,94794,0
64,2020-05-20 15:16:00,51.7,51.75,51.7,51.75,105466,197044,143651,0
65,2020-05-20 15:18:00,51.75,51.75,51.75,51.75,107010,71636,48057,0
66,2020-05-20 15:22:00,51.7,51.7,51.7,51.7,105054,49167,25853,0
67,2020-05-20 15:23:00,51.65,51.65,51.65,51.65,103510,49788,25853,0
68,2020-05-20 15:24:00,51.75,51.75,51.7,51.7,107999,105652,53848,0
69,2020-05-20 15:27:00,51.75,51.75,51.75,51.75,124484,100091,51984,0
