,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,86.5,86.5,86.5,86.5,0,9361,6265,0
1,2020-05-20 09:15:00,87.0,87.0,87.0,87.0,0,8762,5756,0
2,2020-05-20 09:18:00,86.95,86.95,86.95,86.95,1674,14085,15514,0
3,2020-05-20 09:22:00,86.85,86.85,86.85,86.85,3115,22097,22257,0
4,2020-05-20 09:26:00,87.3,87.3,87.3,87.3,5302,23567,23617,0
5,2020-05-20 09:28:00,86.85,86.85,86.85,86.85,3871,23081,23696,0
6,2020-05-20 09:30:00,86.0,86.0,86.0,86.0,3477,21713,26263,0
7,2020-05-20 09:34:00,86.45,86.45,86.45,86.45,7327,25445,28321,0
8,2020-05-20 09:37:00,86.4,86.4,86.4,86.4,8643,25710,28515,0
9,2020-05-20 09:42:00,86.4,86.4,86.4,86.4,6796,27763,28422,0
10,2020-05-20 09:46:00,86.55,86.55,86.55,86.55,5900,28420,29289,0
11,2020-05-20 09:51:00,86.8,86.8,86.8,86.8,8422,30375,29458,0
12,2020-05-20 09:52:00,86.8,86.8,86.8,86.8,9318,30375,29471,0
13,2020-05-20 09:57:00,86.9,86.9,86.9,86.9,7089,31468,28550,0
14,2020-05-20 10:25:00,86.1,86.1,86.1,86.1,17833,27539,29258,0
15,2020-05-20 10:29:00,86.05,86.05,86.05,86.05,20274,27669,29590,0
16,2020-05-20 10:34:00,85.95,85.95,85.95,85.95,10406,26480,31565,0
17,2020-05-20 10:37:00,86.0,86.0,86.0,86.0,8161,26595,31315,0
18,2020-05-20 10:38:00,86.0,86.0,86.0,86.0,20445,53443,62239,0
19,2020-05-20 10:40:00,86.0,86.0,86.0,86.0,20445,27263,30882,0
20,2020-05-20 10:46:00,85.85,85.85,85.85,85.85,10097,26928,31790,0
21,2020-05-20 10:53:00,86.0,86.0,86.0,86.0,10497,27451,31625,0
22,2020-05-20 10:56:00,86.0,86.0,86.0,86.0,20962,28179,31452,0
23,2020-05-20 11:04:00,85.95,85.95,85.95,85.95,21117,31857,32278,0
24,2020-05-20 11:05:00,85.95,85.95,85.95,85.95,10652,31857,32275,0
25,2020-05-20 11:07:00,85.95,85.95,85.95,85.95,10499,32376,32275,0
26,2020-05-20 11:15:00,85.95,85.95,85.95,85.95,21887,32819,32926,0
27,2020-05-20 11:34:00,85.9,85.9,85.9,85.9,22642,33922,32531,0
28,2020-05-20 11:52:00,85.9,85.9,85.9,85.9,12069,35837,33309,0
29,2020-05-20 12:33:00,86.0,86.0,86.0,86.0,14747,36661,32645,0
30,2020-05-20 12:46:00,86.0,86.0,86.0,86.0,26056,37162,33657,0
31,2020-05-20 13:02:00,85.95,85.95,85.95,85.95,24736,36819,33254,0
32,2020-05-20 13:42:00,86.0,86.0,86.0,86.0,15400,36586,31723,0
33,2020-05-20 13:47:00,85.8,85.8,85.8,85.8,16773,37092,31773,0
34,2020-05-20 13:55:00,85.95,85.95,85.95,85.95,26862,37957,31943,0
35,2020-05-20 14:17:00,86.0,86.0,86.0,86.0,27903,38534,31091,0
36,2020-05-20 14:34:00,85.5,85.5,85.5,85.5,28308,36493,34375,0
37,2020-05-20 14:37:00,85.1,85.1,85.1,85.1,30777,34912,33937,0
38,2020-05-20 14:38:00,85.0,85.0,85.0,85.0,39903,31128,36723,0
39,2020-05-20 14:46:00,84.9,84.9,84.9,84.9,39577,32444,37743,0
40,2020-05-20 14:50:00,84.85,84.85,84.85,84.85,33636,31867,35868,0
41,2020-05-20 14:57:00,84.9,84.9,84.9,84.9,34498,30640,33738,0
42,2020-05-20 14:58:00,84.75,84.75,84.75,84.75,40631,30535,34850,0
43,2020-05-20 14:59:00,84.65,84.65,84.65,84.65,33833,61492,69581,0
44,2020-05-20 15:11:00,85.0,85.0,85.0,85.0,43986,38129,25239,0
45,2020-05-20 15:15:00,84.75,84.75,84.75,84.75,42176,72026,50974,0
46,2020-05-20 15:17:00,84.75,84.75,84.75,84.75,42179,35454,24199,0
47,2020-05-20 15:18:00,84.7,84.7,84.7,84.7,47103,31812,23423,0
48,2020-05-20 15:19:00,84.75,84.75,84.75,84.75,47199,31730,23401,0
49,2020-05-20 15:20:00,84.75,84.75,84.75,84.75,44411,29403,22592,0
50,2020-05-20 15:21:00,84.75,84.75,84.75,84.75,44374,26915,19333,0
51,2020-05-20 15:22:00,84.85,84.85,84.85,84.85,47635,26219,18096,0
52,2020-05-20 15:23:00,84.9,84.9,84.9,84.9,45143,48518,31995,0
53,2020-05-20 15:26:00,84.95,85.1,84.95,85.1,49321,46197,31581,0
54,2020-05-20 15:27:00,85.0,85.0,85.0,85.0,49455,22540,15450,0
55,2020-05-20 15:28:00,84.75,84.75,84.75,84.75,46251,17523,15226,0
56,2020-05-20 15:29:00,85.0,85.0,85.0,85.0,46394,18498,18334,0
