,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,407.95,407.95,407.95,407.95,0,7765,21481,0
1,2020-05-20 09:15:00,405.5,405.5,405.5,405.5,0,7751,22175,0
2,2020-05-20 09:16:00,411.2,411.2,411.2,411.2,7946,24498,41297,0
3,2020-05-20 09:17:00,412.65,412.65,412.65,412.65,10460,35764,48354,0
4,2020-05-20 09:18:00,413.8,413.8,413.8,413.8,4292,41388,50230,0
5,2020-05-20 09:19:00,414.55,414.55,414.55,414.55,4623,44908,54289,0
6,2020-05-20 09:20:00,412.95,412.95,412.95,412.95,13603,57893,72073,0
7,2020-05-20 09:21:00,414.95,414.95,414.95,414.95,21440,61749,72500,0
8,2020-05-20 09:23:00,413.0,413.0,413.0,413.0,15102,59733,84324,0
9,2020-05-20 09:24:00,413.4,413.4,413.4,413.4,9853,62122,83808,0
10,2020-05-20 09:25:00,413.45,413.45,412.2,412.2,22776,121317,170448,0
11,2020-05-20 09:26:00,411.05,411.05,411.05,411.05,24371,60130,90410,0
12,2020-05-20 09:27:00,411.3,411.3,411.3,411.3,11649,61478,90572,0
13,2020-05-20 09:29:00,411.55,411.55,411.55,411.55,12292,65101,96637,0
14,2020-05-20 09:31:00,410.7,410.7,410.7,410.7,26330,63448,98111,0
15,2020-05-20 09:32:00,410.5,410.8,410.5,410.8,12695,128467,198077,0
16,2020-05-20 09:34:00,411.55,412.5,411.55,412.5,26953,136535,197635,0
17,2020-05-20 09:35:00,412.5,412.5,412.5,412.5,12696,137868,197634,0
18,2020-05-20 09:38:00,411.05,411.05,411.05,411.05,15024,70507,101549,0
19,2020-05-20 09:39:00,411.7,411.7,411.7,411.7,29382,70530,102136,0
20,2020-05-20 09:41:00,411.1,411.1,411.1,411.1,29656,69915,103141,0
21,2020-05-20 09:42:00,411.0,411.0,411.0,411.0,15686,65533,104062,0
22,2020-05-20 09:44:00,411.45,411.45,411.45,411.45,15892,67229,104350,0
23,2020-05-20 09:45:00,411.45,411.45,411.45,411.45,30035,67917,106763,0
24,2020-05-20 09:47:00,411.5,411.5,411.0,411.0,16465,202786,322593,0
