,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,949.85,949.85,949.85,949.85,0,5710,14238,0
1,2020-05-20 09:07:00,949.85,949.85,949.85,949.85,0,6490,14685,0
2,2020-05-20 09:08:00,950.45,950.45,950.45,950.45,660,5970,14025,0
3,2020-05-20 09:11:00,950.45,950.45,950.45,950.45,660,5970,14025,0
4,2020-05-20 09:14:00,950.45,950.45,950.45,950.45,0,5970,14025,0
5,2020-05-20 09:15:00,952.0,955.1,952.0,955.1,1479,45355,60840,0
6,2020-05-20 09:16:00,958.0,958.0,958.0,958.0,10251,53509,56991,0
7,2020-05-20 09:18:00,956.1,956.1,956.1,956.1,18309,67852,65966,0
8,2020-05-20 09:19:00,961.8,961.8,961.8,961.8,18139,73377,67857,0
9,2020-05-20 09:20:00,967.45,967.45,967.45,967.45,22781,74131,64624,0
10,2020-05-20 09:22:00,966.0,966.0,966.0,966.0,30031,75019,67675,0
11,2020-05-20 09:23:00,969.4,969.4,969.4,969.4,39244,79367,67372,0
12,2020-05-20 09:24:00,962.35,965.1,962.35,965.1,32176,155086,150988,0
13,2020-05-20 09:25:00,965.5,965.5,965.5,965.5,33394,77886,78847,0
14,2020-05-20 09:27:00,962.0,962.0,962.0,962.0,47754,81268,81550,0
15,2020-05-20 09:28:00,962.5,962.5,962.5,962.5,47338,87095,86356,0
16,2020-05-20 09:30:00,964.05,964.05,964.05,964.05,40948,91765,94252,0
17,2020-05-20 09:32:00,965.0,965.0,965.0,965.0,44940,97637,96306,0
18,2020-05-20 09:33:00,964.5,964.5,964.5,964.5,53251,99625,98742,0
19,2020-05-20 09:35:00,967.85,967.85,967.85,967.85,54697,106365,98336,0
20,2020-05-20 09:37:00,964.55,964.55,964.55,964.55,51230,102879,107168,0
21,2020-05-20 09:38:00,964.4,964.4,964.4,964.4,50572,103715,105561,0
22,2020-05-20 09:39:00,966.1,966.1,966.1,966.1,54612,105989,105359,0
23,2020-05-20 09:40:00,966.3,966.3,966.3,966.3,56784,107581,107783,0
24,2020-05-20 09:43:00,962.9,962.9,962.9,962.9,58865,101777,113147,0
25,2020-05-20 09:44:00,962.1,962.1,962.1,962.1,57668,101901,114118,0
26,2020-05-20 09:45:00,961.0,961.0,961.0,961.0,58101,105390,115838,0
27,2020-05-20 09:46:00,960.5,960.5,960.5,960.5,59704,103772,115949,0
28,2020-05-20 09:47:00,961.0,961.0,961.0,961.0,60635,103485,115736,0
29,2020-05-20 09:48:00,959.85,959.85,959.85,959.85,63003,102608,117678,0
30,2020-05-20 09:49:00,962.0,963.4,962.0,963.4,62681,216583,227903,0
31,2020-05-20 09:50:00,962.65,962.65,962.65,962.65,62991,109826,113473,0
32,2020-05-20 09:52:00,960.9,960.9,960.9,960.9,64753,107039,117557,0
33,2020-05-20 09:53:00,961.6,961.6,961.6,961.6,64937,107673,115200,0
34,2020-05-20 09:55:00,964.4,964.4,964.4,964.4,65101,113726,111084,0
35,2020-05-20 09:57:00,963.6,963.6,963.6,963.6,66541,108910,114886,0
36,2020-05-20 09:58:00,962.8,962.8,962.8,962.8,66961,109231,116085,0
37,2020-05-20 10:00:00,962.0,962.0,962.0,962.0,67694,108108,115809,0
38,2020-05-20 10:02:00,964.3,964.3,964.3,964.3,68017,113255,116548,0
39,2020-05-20 10:05:00,962.0,962.0,962.0,962.0,68738,111039,119630,0
40,2020-05-20 10:12:00,961.6,961.6,961.6,961.6,73269,111467,121406,0
41,2020-05-20 10:13:00,961.0,962.4,961.0,962.4,69381,221835,243677,0
42,2020-05-20 10:19:00,962.35,962.35,962.35,962.35,71742,112614,120487,0
43,2020-05-20 10:20:00,963.65,963.65,963.45,963.45,74024,228853,239373,0
44,2020-05-20 10:22:00,963.0,963.0,963.0,963.0,72888,226497,242582,0
45,2020-05-20 10:23:00,962.2,962.2,962.2,962.2,74078,112436,122854,0
46,2020-05-20 10:26:00,965.1,965.1,965.1,965.1,80339,117708,116273,0
47,2020-05-20 10:27:00,965.9,965.9,965.9,965.9,79700,118724,115715,0
48,2020-05-20 10:28:00,965.3,965.3,965.3,965.3,74298,118333,117247,0
49,2020-05-20 10:30:00,966.85,966.85,966.35,966.35,82245,241601,228346,0
50,2020-05-20 10:31:00,965.45,965.45,965.45,965.45,82892,120218,114860,0
51,2020-05-20 10:32:00,965.2,965.2,965.2,965.2,75246,119974,115709,0
52,2020-05-20 10:33:00,965.1,965.1,965.1,965.1,75152,120554,115441,0
53,2020-05-20 10:34:00,968.25,968.45,968.25,968.4,88741,374771,329092,0
54,2020-05-20 10:36:00,968.75,968.75,968.75,968.75,92406,125585,109212,0
55,2020-05-20 10:38:00,971.45,971.45,971.45,971.45,87614,132639,104383,0
56,2020-05-20 10:39:00,968.5,968.5,968.5,968.5,85754,125873,109948,0
57,2020-05-20 10:40:00,969.15,969.15,969.15,969.15,91180,127883,110134,0
58,2020-05-20 10:41:00,968.55,968.55,968.55,968.55,93647,127146,110740,0
59,2020-05-20 10:44:00,965.0,965.0,965.0,965.0,91640,244586,236275,0
60,2020-05-20 10:47:00,964.65,964.65,964.65,964.65,94448,119448,119616,0
61,2020-05-20 10:48:00,965.55,966.25,965.55,966.25,94906,242780,236266,0
62,2020-05-20 10:49:00,967.0,967.5,966.8,967.5,94632,367187,345226,0
63,2020-05-20 10:50:00,965.75,965.75,965.75,965.75,95218,120807,117230,0
64,2020-05-20 10:52:00,965.1,965.1,965.1,965.1,96062,119462,118241,0
65,2020-05-20 10:53:00,965.3,965.3,965.3,965.3,96444,119366,117260,0
66,2020-05-20 10:54:00,966.95,966.95,966.95,966.95,95857,122040,113354,0
67,2020-05-20 10:55:00,967.25,967.25,967.25,967.25,97278,244702,230436,0
68,2020-05-20 10:56:00,967.4,967.4,967.4,967.4,97403,123010,114936,0
69,2020-05-20 10:57:00,966.6,967.2,966.6,967.2,98625,245720,231538,0
70,2020-05-20 10:58:00,964.75,964.75,964.75,964.75,100321,120659,117886,0
71,2020-05-20 11:00:00,961.65,961.65,961.65,961.65,108077,113234,123735,0
72,2020-05-20 11:01:00,961.8,961.8,961.8,961.8,107075,113649,124014,0
73,2020-05-20 11:02:00,958.5,958.5,958.5,958.5,110364,105525,128459,0
74,2020-05-20 11:03:00,957.35,957.9,957.35,957.9,109803,209408,254065,0
75,2020-05-20 11:04:00,957.75,957.75,957.75,957.75,113416,105481,127897,0
76,2020-05-20 11:05:00,957.5,957.5,957.5,957.5,115601,103821,128599,0
77,2020-05-20 11:06:00,954.35,954.35,953.5,953.5,119933,207738,258848,0
78,2020-05-20 11:07:00,951.65,951.65,951.65,951.65,126295,103982,133837,0
79,2020-05-20 11:08:00,952.3,952.3,952.3,952.3,125097,101709,131364,0
80,2020-05-20 11:10:00,955.35,955.9,955.35,955.9,124976,219035,252669,0
81,2020-05-20 11:11:00,957.2,957.2,957.2,957.2,126730,109324,124489,0
82,2020-05-20 11:12:00,957.0,957.0,956.6,956.6,127084,218706,250627,0
83,2020-05-20 11:13:00,956.5,956.5,956.5,956.5,127246,108794,126436,0
84,2020-05-20 11:15:00,954.05,954.85,954.05,954.85,131107,215672,260047,0
85,2020-05-20 11:16:00,955.0,955.0,955.0,955.0,131222,111105,128907,0
86,2020-05-20 11:17:00,953.25,953.25,953.25,953.25,129423,218698,262476,0
87,2020-05-20 11:19:00,948.5,948.5,948.35,948.35,143624,312696,416178,0
88,2020-05-20 11:20:00,947.8,947.8,947.8,947.8,147281,103372,139115,0
89,2020-05-20 11:21:00,949.8,949.8,949.8,949.8,135390,104488,134053,0
90,2020-05-20 11:22:00,949.5,949.5,949.5,949.5,135074,107093,133814,0
91,2020-05-20 11:23:00,949.0,949.0,949.0,949.0,149886,106844,136134,0
92,2020-05-20 11:24:00,950.0,950.0,950.0,950.0,152338,107886,135370,0
93,2020-05-20 11:25:00,949.3,949.3,949.3,949.3,139184,108988,135658,0
94,2020-05-20 11:27:00,946.0,946.0,946.0,946.0,150889,105097,142476,0
95,2020-05-20 11:28:00,946.9,946.9,946.9,946.9,165771,106797,138945,0
96,2020-05-20 11:29:00,946.05,946.05,943.0,943.0,144470,209654,284848,0
97,2020-05-20 11:30:00,942.95,942.95,942.95,942.95,145075,98923,144117,0
98,2020-05-20 11:31:00,944.1,944.1,943.05,943.05,170326,210031,282626,0
99,2020-05-20 11:32:00,943.0,943.6,943.0,943.6,146080,209274,283791,0
100,2020-05-20 11:33:00,943.7,944.0,943.7,944.0,170948,208208,282269,0
101,2020-05-20 11:34:00,944.05,944.05,944.05,944.05,171397,105069,140770,0
102,2020-05-20 11:35:00,945.75,945.75,945.75,945.75,148577,106461,139950,0
103,2020-05-20 11:36:00,945.35,945.35,945.35,945.35,148943,107358,140197,0
104,2020-05-20 11:37:00,944.65,944.65,944.65,944.65,174401,106686,143584,0
105,2020-05-20 11:39:00,944.7,946.65,944.7,946.65,155179,217658,278436,0
106,2020-05-20 11:41:00,947.2,947.2,947.2,947.2,157106,112402,136170,0
107,2020-05-20 11:42:00,946.0,946.0,946.0,946.0,177964,109293,139694,0
108,2020-05-20 11:43:00,945.95,945.95,945.95,945.95,176953,108986,138964,0
109,2020-05-20 11:44:00,945.0,945.0,945.0,945.0,156996,108002,140821,0
110,2020-05-20 11:47:00,945.55,945.55,945.55,945.55,159324,108512,140840,0
111,2020-05-20 11:48:00,945.35,945.35,945.35,945.35,179782,108334,141106,0
112,2020-05-20 11:49:00,946.8,946.8,946.8,946.8,179976,110116,138563,0
113,2020-05-20 11:50:00,947.45,947.45,947.45,947.45,159989,112079,137560,0
114,2020-05-20 11:51:00,948.65,948.65,948.65,948.65,180690,226495,272618,0
115,2020-05-20 11:52:00,947.65,947.65,947.65,947.65,182409,112113,138662,0
116,2020-05-20 11:54:00,947.0,947.0,947.0,947.0,162311,110196,140170,0
117,2020-05-20 11:56:00,945.5,945.5,945.5,945.5,161740,109716,142025,0
118,2020-05-20 11:57:00,945.05,945.2,945.0,945.2,183699,326314,432019,0
119,2020-05-20 11:58:00,945.1,945.1,945.1,945.1,185008,109858,144800,0
120,2020-05-20 11:59:00,945.65,945.65,945.65,945.65,163352,110100,145547,0
121,2020-05-20 12:01:00,946.9,946.9,946.9,946.9,165888,111072,142216,0
122,2020-05-20 12:03:00,947.0,947.0,947.0,947.0,191796,113673,140909,0
123,2020-05-20 12:04:00,948.25,948.25,948.25,948.25,189805,115556,140099,0
124,2020-05-20 12:05:00,949.0,949.0,949.0,949.0,165413,116474,138790,0
125,2020-05-20 12:06:00,948.4,948.4,948.4,948.4,168144,116567,139037,0
126,2020-05-20 12:07:00,948.95,948.95,948.95,948.95,193623,116877,139392,0
127,2020-05-20 12:08:00,949.0,949.0,949.0,949.0,166517,232948,277525,0
128,2020-05-20 12:09:00,948.8,948.8,948.8,948.8,166824,116593,139008,0
129,2020-05-20 12:10:00,948.5,948.5,948.35,948.35,194182,232828,278933,0
130,2020-05-20 12:11:00,948.8,950.0,948.8,950.0,168027,236248,276394,0
131,2020-05-20 12:12:00,950.25,950.9,950.25,950.9,195687,238971,270739,0
132,2020-05-20 12:13:00,952.0,952.0,950.85,950.85,170482,242752,269733,0
133,2020-05-20 12:15:00,953.25,953.25,953.25,953.25,175026,123515,128427,0
134,2020-05-20 12:17:00,953.35,953.35,953.35,953.35,206959,121794,128844,0
135,2020-05-20 12:18:00,954.2,954.2,954.2,954.2,203052,122667,128434,0
136,2020-05-20 12:19:00,957.0,957.0,957.0,957.0,176039,123396,125172,0
137,2020-05-20 12:20:00,956.8,956.8,955.75,955.75,210910,240271,250633,0
138,2020-05-20 12:21:00,955.7,955.7,955.7,955.7,211957,119555,126601,0
139,2020-05-20 12:24:00,955.05,956.5,955.05,956.5,178433,243354,252080,0
140,2020-05-20 12:25:00,956.5,956.5,956.5,956.5,179837,121262,124885,0
141,2020-05-20 12:27:00,954.75,954.75,954.75,954.75,214323,119458,129867,0
142,2020-05-20 12:29:00,955.75,955.75,955.0,955.0,180616,242462,253222,0
143,2020-05-20 12:30:00,954.75,955.3,954.75,955.3,214793,245686,253924,0
144,2020-05-20 12:31:00,955.9,955.9,955.9,955.9,214941,123223,126033,0
145,2020-05-20 12:32:00,955.85,956.35,955.85,956.35,181439,248088,250594,0
146,2020-05-20 12:34:00,956.65,956.65,956.65,956.65,181756,124949,124382,0
147,2020-05-20 12:35:00,956.8,956.8,956.8,956.8,216076,124665,124829,0
148,2020-05-20 12:36:00,957.55,957.55,957.55,957.55,217302,125300,122981,0
149,2020-05-20 12:37:00,957.95,957.95,957.7,957.7,183198,251123,246649,0
150,2020-05-20 12:38:00,957.8,958.5,957.8,958.5,219285,250164,247010,0
151,2020-05-20 12:40:00,956.85,956.85,956.85,956.85,220065,123214,124323,0
152,2020-05-20 12:41:00,957.0,957.0,957.0,957.0,184086,123298,122853,0
153,2020-05-20 12:42:00,957.8,957.8,957.8,957.8,219724,245820,243342,0
154,2020-05-20 12:45:00,958.3,958.3,958.3,958.3,222992,123881,123614,0
155,2020-05-20 12:46:00,957.0,957.0,957.0,957.0,188574,122463,124373,0
156,2020-05-20 12:47:00,956.5,956.5,956.5,956.5,221143,243205,249634,0
157,2020-05-20 12:49:00,955.95,955.95,955.95,955.95,223534,119774,127276,0
158,2020-05-20 12:50:00,954.9,954.9,954.9,954.9,195154,117679,127899,0
159,2020-05-20 12:52:00,954.35,954.35,954.35,954.35,197005,118074,128625,0
160,2020-05-20 12:53:00,953.6,953.6,953.6,953.6,226210,116406,130423,0
161,2020-05-20 12:54:00,954.0,954.0,954.0,954.0,224761,117533,129916,0
162,2020-05-20 12:55:00,954.05,954.05,954.05,954.05,195872,118411,129887,0
163,2020-05-20 12:56:00,956.0,956.0,956.0,956.0,198629,121606,125575,0
164,2020-05-20 12:57:00,957.4,957.4,956.85,956.85,225617,245612,251080,0
165,2020-05-20 12:58:00,956.85,957.35,956.85,957.35,198838,244457,250699,0
166,2020-05-20 12:59:00,957.4,957.4,957.4,957.4,225981,245537,248949,0
167,2020-05-20 13:00:00,957.0,957.45,957.0,957.45,199751,368051,372467,0
168,2020-05-20 13:02:00,957.7,957.7,957.7,957.7,199907,122774,123888,0
169,2020-05-20 13:04:00,956.95,956.95,956.0,956.0,226969,243329,253996,0
170,2020-05-20 13:05:00,955.95,955.95,955.95,955.95,227525,121375,126906,0
171,2020-05-20 13:07:00,955.45,956.8,955.45,956.8,201758,242870,251137,0
172,2020-05-20 13:08:00,958.0,958.0,958.0,958.0,202443,123839,123206,0
173,2020-05-20 13:09:00,957.75,957.75,957.75,957.75,229459,122738,122624,0
174,2020-05-20 13:10:00,957.5,957.5,957.5,957.5,228907,123164,122806,0
175,2020-05-20 13:11:00,957.3,957.3,957.3,957.3,202756,245927,246232,0
176,2020-05-20 13:12:00,957.3,957.3,957.3,957.3,203033,122858,123157,0
177,2020-05-20 13:13:00,957.3,957.3,957.3,957.3,229292,123083,123264,0
178,2020-05-20 13:14:00,957.45,957.45,957.45,957.45,229236,123020,123020,0
179,2020-05-20 13:15:00,957.85,958.0,957.85,958.0,204464,249284,242771,0
180,2020-05-20 13:17:00,960.0,960.0,960.0,960.0,208869,128572,117536,0
181,2020-05-20 13:18:00,960.7,960.7,960.7,960.7,242458,127312,118163,0
182,2020-05-20 13:19:00,960.8,960.8,960.8,960.8,241390,127190,118723,0
183,2020-05-20 13:21:00,960.25,960.25,960.25,960.25,212707,128503,119149,0
184,2020-05-20 13:22:00,960.6,960.6,960.6,960.6,216826,127063,121668,0
185,2020-05-20 13:23:00,961.6,961.6,961.6,961.6,246821,128554,120563,0
186,2020-05-20 13:24:00,966.0,966.5,966.0,966.5,236689,262945,230135,0
187,2020-05-20 13:25:00,966.95,966.95,966.0,966.05,261053,391556,342802,0
188,2020-05-20 13:27:00,966.0,966.45,966.0,966.45,241380,262408,228676,0
189,2020-05-20 13:28:00,966.0,966.0,966.0,966.0,244101,130594,113611,0
190,2020-05-20 13:29:00,966.0,966.0,966.0,966.0,267815,131984,113523,0
191,2020-05-20 13:31:00,966.5,966.5,966.5,966.5,242726,264469,226262,0
192,2020-05-20 13:33:00,966.0,966.0,966.0,966.0,244988,131626,113637,0
193,2020-05-20 13:34:00,966.0,966.35,966.0,966.35,269272,262332,227648,0
194,2020-05-20 13:35:00,966.35,966.35,966.35,966.35,269427,131261,113909,0
195,2020-05-20 13:37:00,966.15,966.15,966.15,966.15,247261,131199,114773,0
196,2020-05-20 13:39:00,966.15,966.15,966.15,966.15,250159,131800,113527,0
197,2020-05-20 13:40:00,966.2,966.2,966.2,966.2,278610,132595,114838,0
198,2020-05-20 13:44:00,966.0,966.0,966.0,966.0,283948,133155,113405,0
199,2020-05-20 13:46:00,966.0,966.0,966.0,966.0,258173,133549,113883,0
200,2020-05-20 13:47:00,966.95,966.95,966.8,966.8,279463,268598,228216,0
201,2020-05-20 13:48:00,966.75,966.75,966.75,966.75,258293,267884,226392,0
202,2020-05-20 13:49:00,966.55,966.8,966.55,966.8,280194,267630,226366,0
203,2020-05-20 13:51:00,966.45,966.45,966.35,966.35,258922,266425,231631,0
204,2020-05-20 13:52:00,966.0,966.0,966.0,966.0,280615,265390,231076,0
205,2020-05-20 13:53:00,966.4,966.4,966.4,966.4,280803,132455,116144,0
206,2020-05-20 13:54:00,962.0,962.0,962.0,962.0,263572,125820,123253,0
207,2020-05-20 13:56:00,962.0,962.3,962.0,962.3,284152,252392,241474,0
208,2020-05-20 13:57:00,962.75,962.75,962.75,962.75,284514,127885,121928,0
209,2020-05-20 13:59:00,962.5,962.5,962.45,962.45,264300,255168,241010,0
210,2020-05-20 14:00:00,963.1,963.1,963.1,963.1,264649,128070,120243,0
211,2020-05-20 14:01:00,963.75,963.75,963.75,963.75,285679,128591,120030,0
212,2020-05-20 14:02:00,964.0,964.0,964.0,964.0,286187,128938,119998,0
213,2020-05-20 14:04:00,964.1,964.1,964.1,964.1,265443,129452,119788,0
214,2020-05-20 14:06:00,964.45,964.45,964.45,964.45,265435,129498,121486,0
215,2020-05-20 14:08:00,965.0,965.0,965.0,965.0,288427,259784,237142,0
216,2020-05-20 14:10:00,964.3,964.3,964.3,964.3,289284,129846,120798,0
217,2020-05-20 14:11:00,964.5,964.5,964.5,964.5,266710,130428,121299,0
218,2020-05-20 14:12:00,965.0,965.75,965.0,965.75,288787,259868,237191,0
219,2020-05-20 14:13:00,964.85,964.85,964.85,964.85,266940,259854,235376,0
220,2020-05-20 14:14:00,964.25,964.25,964.25,964.25,267269,128755,118231,0
221,2020-05-20 14:15:00,963.6,963.6,963.6,963.6,289465,128454,120839,0
222,2020-05-20 14:16:00,964.0,964.0,964.0,964.0,289199,128417,121338,0
223,2020-05-20 14:17:00,963.5,963.5,963.5,963.5,267755,254795,241246,0
224,2020-05-20 14:18:00,963.0,963.15,963.0,963.15,289624,253601,241169,0
225,2020-05-20 14:21:00,962.0,962.0,962.0,962.0,290483,125364,122698,0
226,2020-05-20 14:22:00,962.8,962.95,962.8,962.95,268387,253197,244528,0
