,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1289.25,1289.25,1289.25,1289.25,0,5387,8778,0
1,2020-05-20 09:07:00,1289.25,1289.25,1280.0,1280.0,671,10675,16895,0
2,2020-05-20 09:08:00,1280.0,1280.0,1280.0,1280.0,671,5021,8112,0
3,2020-05-20 09:11:00,1280.0,1280.0,1280.0,1280.0,0,5021,8112,0
4,2020-05-20 09:14:00,1280.0,1280.0,1280.0,1280.0,0,5021,8112,0
5,2020-05-20 09:15:00,1278.95,1278.95,1278.95,1278.95,671,5021,8112,0
6,2020-05-20 09:16:00,1287.0,1287.0,1287.0,1287.0,7522,51411,44118,0
7,2020-05-20 09:17:00,1288.1,1288.9,1288.1,1288.9,3253,115741,90693,0
8,2020-05-20 09:18:00,1287.8,1287.8,1286.45,1286.45,9223,122320,100693,0
9,2020-05-20 09:19:00,1283.4,1283.4,1283.4,1283.4,11138,65038,55604,0
10,2020-05-20 09:22:00,1292.85,1292.85,1292.85,1292.85,9091,75766,60686,0
11,2020-05-20 09:23:00,1289.5,1289.5,1289.5,1289.5,9354,73467,67039,0
12,2020-05-20 09:24:00,1286.1,1286.5,1286.1,1286.5,20164,142677,137932,0
13,2020-05-20 09:25:00,1286.7,1288.2,1286.7,1288.2,13421,150229,136382,0
14,2020-05-20 09:29:00,1289.4,1289.4,1289.4,1289.4,18690,86927,76845,0
15,2020-05-20 09:31:00,1285.95,1288.05,1285.95,1288.05,24652,186773,165624,0
16,2020-05-20 09:32:00,1288.05,1288.05,1288.0,1288.0,20323,192942,162678,0
17,2020-05-20 09:33:00,1288.0,1288.0,1288.0,1288.0,20323,97985,81483,0
18,2020-05-20 09:34:00,1289.3,1289.3,1288.2,1288.2,25884,198502,170460,0
19,2020-05-20 09:36:00,1285.65,1286.0,1285.65,1286.0,22625,197068,186645,0
20,2020-05-20 09:37:00,1284.8,1284.8,1284.8,1284.8,25627,96383,97973,0
21,2020-05-20 09:39:00,1287.1,1287.9,1287.1,1287.9,27968,204722,187470,0
22,2020-05-20 09:40:00,1286.3,1286.3,1286.3,1286.3,28321,101787,95702,0
23,2020-05-20 09:41:00,1285.0,1285.0,1285.0,1285.0,26766,100302,98060,0
