,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,4491.45,4491.45,4491.45,4491.45,0,411,854,0
1,2020-05-20 09:15:00,4455.0,4455.0,4455.0,4455.0,0,630,952,0
2,2020-05-20 09:25:00,4489.45,4489.45,4489.45,4489.45,190,13466,11787,0
3,2020-05-20 09:26:00,4491.8,4491.8,4491.8,4491.8,69,27108,23528,0
4,2020-05-20 09:27:00,4498.9,4498.9,4498.9,4498.9,71,13604,11755,0
5,2020-05-20 09:28:00,4498.9,4498.9,4498.9,4498.9,192,13594,11749,0
6,2020-05-20 09:29:00,4499.95,4499.95,4499.95,4499.95,85,27168,23330,0
7,2020-05-20 09:30:00,4490.0,4490.0,4490.0,4490.0,116,13444,11878,0
8,2020-05-20 09:32:00,4518.6,4518.6,4518.6,4518.6,577,19507,14165,0
9,2020-05-20 09:35:00,4517.05,4517.05,4517.05,4517.05,557,19509,14377,0
10,2020-05-20 09:36:00,4517.05,4517.05,4517.05,4517.05,145,39237,28703,0
11,2020-05-20 09:38:00,4508.2,4508.2,4508.2,4508.2,153,19558,14527,0
12,2020-05-20 09:39:00,4508.1,4508.1,4508.1,4508.1,569,19549,14526,0
13,2020-05-20 09:40:00,4503.45,4515.1,4503.45,4515.1,259,39001,29384,0
14,2020-05-20 09:41:00,4507.95,4507.95,4507.5,4507.5,574,39023,29485,0
15,2020-05-20 09:48:00,4504.15,4504.15,4504.15,4504.15,591,22093,15778,0
16,2020-05-20 09:51:00,4500.0,4500.0,4500.0,4500.0,395,22113,15806,0
17,2020-05-20 09:52:00,4508.1,4508.1,4508.1,4508.1,379,22111,15815,0
18,2020-05-20 09:53:00,4514.0,4514.0,4514.0,4514.0,585,22157,15784,0
19,2020-05-20 09:54:00,4518.05,4518.05,4518.05,4518.05,602,22216,15708,0
20,2020-05-20 09:56:00,4525.0,4525.0,4525.0,4525.0,409,22326,15818,0
21,2020-05-20 09:58:00,4525.0,4525.0,4525.0,4525.0,397,22387,15792,0
22,2020-05-20 09:59:00,4527.65,4527.65,4527.65,4527.65,633,22410,15841,0
23,2020-05-20 10:03:00,4529.6,4529.6,4529.6,4529.6,664,22457,15841,0
24,2020-05-20 10:08:00,4524.7,4524.7,4524.7,4524.7,477,22370,15942,0
25,2020-05-20 10:10:00,4528.0,4528.0,4528.0,4528.0,454,22312,15984,0
26,2020-05-20 10:12:00,4520.0,4520.0,4520.0,4520.0,648,22333,16015,0
27,2020-05-20 10:13:00,4520.0,4520.0,4520.0,4520.0,671,22332,16012,0
28,2020-05-20 10:14:00,4520.0,4520.0,4520.0,4520.0,477,22302,16041,0
29,2020-05-20 10:18:00,4514.55,4514.55,4514.55,4514.55,524,22264,16120,0
30,2020-05-20 10:24:00,4515.0,4515.0,4515.0,4515.0,829,22233,16172,0
31,2020-05-20 10:25:00,4516.4,4516.4,4514.35,4514.35,511,44550,32361,0
32,2020-05-20 10:26:00,4515.0,4515.0,4515.0,4515.0,521,22305,16173,0
33,2020-05-20 10:28:00,4515.0,4515.0,4515.0,4515.0,844,22320,16161,0
34,2020-05-20 10:29:00,4508.1,4508.1,4508.1,4508.1,844,22302,16169,0
35,2020-05-20 10:30:00,4508.3,4516.7,4508.3,4516.7,527,44614,32452,0
36,2020-05-20 10:31:00,4512.3,4513.95,4512.3,4513.95,845,44567,32462,0
37,2020-05-20 10:32:00,4513.95,4513.95,4513.95,4513.95,846,22298,16213,0
38,2020-05-20 10:33:00,4513.95,4513.95,4513.95,4513.95,528,22275,16212,0
39,2020-05-20 10:34:00,4513.95,4513.95,4513.95,4513.95,527,22264,16212,0
40,2020-05-20 10:35:00,4514.6,4514.6,4514.6,4514.6,849,22295,16213,0
41,2020-05-20 10:40:00,4515.3,4515.3,4515.3,4515.3,877,22316,16216,0
42,2020-05-20 10:41:00,4515.3,4515.3,4515.3,4515.3,556,22316,16212,0
43,2020-05-20 10:42:00,4515.3,4515.3,4515.3,4515.3,528,22317,16210,0
44,2020-05-20 10:44:00,4515.3,4515.3,4515.3,4515.3,849,22324,16213,0
45,2020-05-20 10:50:00,4510.0,4510.0,4510.0,4510.0,948,22294,16287,0
46,2020-05-20 10:51:00,4515.0,4515.0,4515.0,4515.0,706,22290,16277,0
47,2020-05-20 10:54:00,4515.0,4515.0,4515.0,4515.0,875,44631,32528,0
48,2020-05-20 10:55:00,4515.0,4515.0,4515.0,4515.0,885,22270,16295,0
49,2020-05-20 10:56:00,4515.0,4515.0,4515.0,4515.0,722,22263,16301,0
50,2020-05-20 10:59:00,4510.85,4510.85,4510.85,4510.85,900,44589,32564,0
51,2020-05-20 11:03:00,4514.9,4514.9,4514.9,4514.9,928,22262,16276,0
52,2020-05-20 11:10:00,4515.0,4515.0,4515.0,4515.0,818,42382,31639,0
53,2020-05-20 11:11:00,4515.0,4515.0,4515.0,4515.0,820,21216,15846,0
54,2020-05-20 11:12:00,4515.0,4515.0,4515.0,4515.0,934,21210,15826,0
55,2020-05-20 11:13:00,4515.0,4515.0,4515.0,4515.0,826,42458,31654,0
56,2020-05-20 11:18:00,4515.0,4515.0,4515.0,4515.0,851,22306,16315,0
57,2020-05-20 11:23:00,4515.0,4515.0,4515.0,4515.0,980,44598,32655,0
58,2020-05-20 11:25:00,4515.0,4515.0,4515.0,4515.0,989,22325,16323,0
59,2020-05-20 11:26:00,4515.0,4515.0,4515.0,4515.0,862,89278,65309,0
60,2020-05-20 11:36:00,4516.85,4516.85,4516.85,4516.85,1020,23477,16868,0
61,2020-05-20 11:38:00,4522.85,4522.85,4522.85,4522.85,1159,23482,16868,0
62,2020-05-20 11:39:00,4516.9,4516.9,4516.9,4516.9,1005,23480,16897,0
63,2020-05-20 11:40:00,4516.85,4516.85,4516.85,4516.85,873,23441,16895,0
64,2020-05-20 11:41:00,4516.85,4516.85,4516.85,4516.85,1035,23478,16893,0
65,2020-05-20 11:42:00,4516.85,4516.85,4515.0,4515.0,1063,46925,33808,0
66,2020-05-20 11:43:00,4515.0,4515.0,4515.0,4515.0,1076,23424,16916,0
67,2020-05-20 11:44:00,4515.0,4515.0,4515.0,4515.0,1053,23399,16943,0
68,2020-05-20 11:46:00,4515.0,4515.0,4515.0,4515.0,1053,23392,16930,0
69,2020-05-20 11:48:00,4515.0,4515.0,4515.0,4515.0,1090,23391,16953,0
70,2020-05-20 11:50:00,4515.0,4515.0,4515.0,4515.0,1066,46817,33898,0
