,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,45.75,45.75,45.75,45.75,0,12613,8708,0
1,2020-05-20 09:08:00,45.9,45.9,45.9,45.9,0,13152,8697,0
2,2020-05-20 09:11:00,45.9,45.9,45.9,45.9,11,13152,8697,0
3,2020-05-20 09:14:00,45.9,45.9,45.9,45.9,11,13152,8697,0
4,2020-05-20 09:15:00,45.75,45.75,45.75,45.75,1300,25198,28192,0
5,2020-05-20 09:19:00,46.0,46.0,46.0,46.0,12508,49367,48924,0
6,2020-05-20 09:23:00,46.0,46.0,45.85,45.85,4873,203990,205078,0
7,2020-05-20 09:42:00,45.95,45.95,45.95,45.95,20350,76000,72424,0
8,2020-05-20 09:43:00,46.1,46.1,46.1,46.1,28279,75763,72558,0
9,2020-05-20 09:50:00,46.0,46.0,46.0,46.0,19258,78346,90250,0
10,2020-05-20 09:54:00,46.3,46.3,46.3,46.3,23409,83091,66404,0
11,2020-05-20 09:58:00,46.2,46.2,46.2,46.2,33749,84315,70205,0
12,2020-05-20 10:05:00,46.25,46.25,46.25,46.25,35975,105961,71523,0
13,2020-05-20 10:09:00,46.2,46.2,46.2,46.2,33213,86918,75163,0
14,2020-05-20 10:16:00,46.2,46.2,46.2,46.2,35426,85179,74550,0
15,2020-05-20 10:18:00,46.1,46.1,46.1,46.1,39113,84959,75279,0
16,2020-05-20 10:20:00,46.15,46.15,46.15,46.15,38829,85184,77332,0
17,2020-05-20 10:29:00,46.0,46.05,46.0,46.05,47253,163460,161755,0
18,2020-05-20 10:32:00,45.9,45.9,45.9,45.9,47642,81134,83295,0
19,2020-05-20 10:38:00,45.95,45.95,45.95,45.95,40304,84341,82967,0
20,2020-05-20 10:51:00,46.05,46.05,46.05,46.05,43199,90481,81892,0
21,2020-05-20 10:52:00,46.1,46.1,46.1,46.1,50562,91335,81146,0
22,2020-05-20 11:20:00,45.95,45.95,45.95,45.95,55715,86296,89308,0
23,2020-05-20 11:49:00,45.8,45.8,45.8,45.8,54320,83609,92732,0
24,2020-05-20 11:50:00,45.85,45.85,45.85,45.85,49367,84007,92532,0
