,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,95.6,95.6,95.6,95.6,0,9252,12814,0
1,2020-05-20 09:07:00,95.6,95.6,95.6,95.6,0,4876,6642,0
2,2020-05-20 09:08:00,96.4,96.4,96.4,96.4,25,4851,6617,0
3,2020-05-20 09:11:00,96.4,96.4,96.4,96.4,25,4851,6617,0
4,2020-05-20 09:14:00,96.4,96.4,96.4,96.4,0,4851,6617,0
5,2020-05-20 09:49:00,96.2,96.2,96.2,96.2,3092,21810,21162,0
6,2020-05-20 09:50:00,96.45,96.45,96.45,96.45,3118,22068,20912,0
7,2020-05-20 09:51:00,96.35,96.35,96.35,96.35,66,22172,20912,0
8,2020-05-20 09:54:00,96.4,96.4,96.4,96.4,125,22190,20543,0
9,2020-05-20 09:55:00,96.6,96.6,96.6,96.6,3179,22583,20397,0
10,2020-05-20 09:57:00,96.45,96.45,96.45,96.45,3147,24349,20524,0
11,2020-05-20 10:03:00,98.2,98.2,98.2,98.2,4614,28350,16841,0
12,2020-05-20 10:14:00,98.0,98.0,98.0,98.0,8455,31631,20127,0
13,2020-05-20 10:15:00,98.2,98.2,98.2,98.2,7393,31721,20427,0
14,2020-05-20 10:18:00,97.95,97.95,97.95,97.95,7777,33579,18574,0
15,2020-05-20 10:35:00,98.0,98.0,98.0,98.0,10165,33322,20789,0
16,2020-05-20 10:36:00,98.2,98.2,98.2,98.2,9781,33322,20929,0
17,2020-05-20 10:44:00,98.1,98.1,98.1,98.1,7640,31626,22353,0
18,2020-05-20 10:45:00,97.9,97.9,97.9,97.9,8114,31487,22403,0
19,2020-05-20 11:08:00,97.65,97.65,97.65,97.65,11583,30141,23376,0
20,2020-05-20 11:58:00,97.4,97.4,97.4,97.4,13719,40664,25607,0
21,2020-05-20 12:14:00,97.45,97.45,97.45,97.45,11030,40917,25748,0
22,2020-05-20 12:26:00,97.5,97.5,97.5,97.5,8993,41046,25879,0
23,2020-05-20 12:33:00,97.45,97.45,97.45,97.45,11723,41130,25718,0
24,2020-05-20 12:51:00,98.0,98.0,98.0,98.0,14242,39003,25321,0
25,2020-05-20 13:24:00,97.4,97.4,97.4,97.4,12245,39883,26901,0
26,2020-05-20 13:36:00,97.2,97.2,97.2,97.2,10114,39851,27612,0
27,2020-05-20 13:49:00,97.55,97.55,97.55,97.55,12254,41529,26708,0
28,2020-05-20 14:08:00,98.0,98.0,98.0,98.0,16788,43029,23227,0
29,2020-05-20 14:10:00,97.9,97.9,97.9,97.9,15909,42908,23143,0
30,2020-05-20 14:20:00,98.0,98.0,98.0,98.0,12533,41780,24033,0
31,2020-05-20 14:21:00,97.7,97.7,97.7,97.7,13426,41546,24022,0
32,2020-05-20 14:35:00,98.0,98.0,98.0,98.0,17385,42529,23799,0
33,2020-05-20 14:41:00,98.0,98.0,98.0,98.0,18584,43247,22908,0
34,2020-05-20 14:46:00,97.8,97.8,97.8,97.8,15043,42509,22416,0
35,2020-05-20 14:52:00,97.8,97.8,97.8,97.8,15977,39530,22683,0
36,2020-05-20 14:55:00,97.8,97.8,97.8,97.8,19518,37647,22204,0
37,2020-05-20 14:56:00,97.8,97.8,97.8,97.8,18584,36391,21563,0
38,2020-05-20 15:00:00,97.45,97.45,97.45,97.45,18271,35148,22924,0
39,2020-05-20 15:01:00,97.45,97.45,97.45,97.45,19267,34636,22923,0
40,2020-05-20 15:02:00,97.35,97.35,97.35,97.35,19652,34645,22924,0
41,2020-05-20 15:06:00,97.2,97.2,97.2,97.2,18556,69005,44096,0
42,2020-05-20 15:07:00,97.2,97.2,97.2,97.2,18766,34538,21991,0
43,2020-05-20 15:11:00,97.65,97.65,97.65,97.65,20460,34805,21604,0
44,2020-05-20 15:12:00,97.5,97.5,97.5,97.5,20304,34825,21384,0
45,2020-05-20 15:13:00,97.3,97.3,97.3,97.3,18845,34701,21592,0
46,2020-05-20 15:19:00,97.25,97.25,97.25,97.25,21410,68213,42147,0
47,2020-05-20 15:20:00,97.25,97.25,97.25,97.25,21443,33710,21263,0
48,2020-05-20 15:23:00,97.3,97.3,97.3,97.3,19799,27211,13630,0
