,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,325.9,325.9,325.9,325.9,0,37735,103403,0
1,2020-05-20 09:08:00,326.8,326.8,326.8,326.8,0,37043,109244,0
2,2020-05-20 09:11:00,326.8,326.8,326.8,326.8,2193,37043,109244,0
3,2020-05-20 09:14:00,326.8,326.8,326.8,326.8,2193,37043,109244,0
4,2020-05-20 09:15:00,326.5,326.5,326.5,326.5,0,37043,109244,0
5,2020-05-20 09:17:00,328.05,328.05,327.25,327.25,64280,439843,642694,0
6,2020-05-20 09:18:00,327.25,327.85,327.25,327.85,4278,474704,678002,0
7,2020-05-20 09:20:00,328.3,328.3,328.3,328.3,22448,272102,341843,0
8,2020-05-20 09:22:00,328.5,328.5,328.5,328.5,100934,279340,356755,0
9,2020-05-20 09:23:00,327.9,327.9,327.9,327.9,98921,299061,371379,0
10,2020-05-20 09:25:00,329.05,329.2,328.9,328.9,49221,1293823,1507358,0
11,2020-05-20 09:26:00,328.25,328.25,328.25,328.25,53929,318816,391595,0
12,2020-05-20 09:27:00,328.0,328.0,328.0,328.0,114775,319644,402376,0
13,2020-05-20 09:28:00,328.55,328.55,328.55,328.55,115398,345308,421646,0
14,2020-05-20 09:29:00,328.45,328.45,328.45,328.45,54748,344634,425670,0
15,2020-05-20 09:30:00,328.15,328.15,327.8,327.85,119900,1019896,1314457,0
16,2020-05-20 09:32:00,328.8,328.8,328.05,328.05,69622,766310,915888,0
17,2020-05-20 09:33:00,328.45,328.45,328.45,328.45,78867,411886,487481,0
18,2020-05-20 09:34:00,328.35,328.4,328.35,328.4,123283,1237588,1472043,0
19,2020-05-20 09:35:00,328.05,328.05,327.85,327.85,84898,1224505,1531617,0
20,2020-05-20 09:36:00,328.0,328.0,328.0,328.0,94237,418872,518561,0
21,2020-05-20 09:37:00,328.15,328.6,328.15,328.6,127646,851193,1023044,0
22,2020-05-20 09:40:00,328.5,328.5,328.5,328.5,135219,432252,521687,0
23,2020-05-20 09:41:00,328.35,328.35,328.35,328.35,104188,437891,523187,0
24,2020-05-20 09:42:00,328.95,328.95,328.95,328.95,111417,462439,506615,0
25,2020-05-20 09:43:00,329.0,329.1,329.0,329.1,155883,1414382,1534659,0
26,2020-05-20 09:44:00,329.6,329.6,329.6,329.6,162283,483573,504607,0
27,2020-05-20 09:45:00,330.6,330.6,330.6,330.6,151569,512037,483498,0
28,2020-05-20 09:46:00,330.95,331.35,330.95,331.35,190393,1061373,975294,0
29,2020-05-20 09:47:00,331.5,331.5,331.5,331.5,199668,544825,488506,0
30,2020-05-20 09:48:00,330.4,330.4,330.4,330.4,196077,514216,531622,0
31,2020-05-20 09:49:00,330.6,330.6,330.6,330.6,198467,519436,535719,0
32,2020-05-20 09:50:00,330.65,330.65,330.65,330.65,208854,520573,544906,0
33,2020-05-20 09:51:00,330.8,330.8,330.8,330.8,204876,1056376,1096015,0
34,2020-05-20 09:53:00,330.6,330.75,330.6,330.75,236022,1048707,1110475,0
35,2020-05-20 09:54:00,330.5,330.5,330.5,330.5,236882,528016,556112,0
36,2020-05-20 09:55:00,329.65,329.65,329.1,329.1,224555,1475749,1818121,0
37,2020-05-20 09:56:00,331.5,331.5,331.5,331.5,250911,507368,544659,0
38,2020-05-20 09:57:00,331.55,331.55,331.55,331.55,309606,541044,566216,0
39,2020-05-20 09:58:00,331.85,331.85,331.85,331.85,329027,558079,557917,0
40,2020-05-20 09:59:00,331.9,332.2,331.9,332.2,283760,1126529,1133787,0
41,2020-05-20 10:00:00,331.6,331.6,331.6,331.6,291521,554008,574221,0
42,2020-05-20 10:01:00,331.95,331.95,331.95,331.95,353151,1150253,1158985,0
43,2020-05-20 10:02:00,332.0,332.0,332.0,332.0,354172,580200,580020,0
44,2020-05-20 10:03:00,331.2,331.2,331.2,331.2,305965,558353,606090,0
45,2020-05-20 10:04:00,331.25,331.25,331.25,331.25,311131,560611,612171,0
46,2020-05-20 10:05:00,331.15,331.15,331.15,331.15,366426,554268,619897,0
47,2020-05-20 10:06:00,330.7,330.75,330.7,330.75,318284,1076629,1274911,0
48,2020-05-20 10:10:00,331.0,331.0,331.0,331.0,363041,547675,643679,0
49,2020-05-20 10:12:00,330.75,330.75,330.75,330.75,417809,538746,652599,0
50,2020-05-20 10:13:00,330.6,330.6,330.6,330.6,323402,1071847,1303886,0
51,2020-05-20 10:15:00,331.15,331.15,331.15,331.15,429825,1139073,1282902,0
