,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,108.55,108.55,108.55,108.55,0,94123,40359,0
1,2020-05-20 09:08:00,108.0,108.0,108.0,108.0,0,95448,40338,0
2,2020-05-20 09:11:00,108.0,108.0,108.0,108.0,1515,95448,40338,0
3,2020-05-20 09:14:00,108.0,108.0,108.0,108.0,1515,95448,40338,0
4,2020-05-20 09:15:00,108.0,108.0,108.0,108.0,0,95448,40338,0
5,2020-05-20 09:16:00,107.7,107.95,107.7,107.95,13946,448267,238573,0
6,2020-05-20 09:17:00,108.05,108.05,107.8,107.8,12506,353880,187092,0
7,2020-05-20 09:18:00,108.0,108.0,107.8,107.8,19941,586087,350865,0
8,2020-05-20 09:20:00,107.9,107.9,107.9,107.9,23357,236619,156680,0
9,2020-05-20 09:21:00,107.5,107.5,107.5,107.5,20535,242877,167991,0
10,2020-05-20 09:22:00,107.15,107.15,107.15,107.15,24989,246856,172269,0
11,2020-05-20 09:23:00,106.6,106.6,106.6,106.6,55019,235994,179774,0
12,2020-05-20 09:24:00,106.6,106.6,106.6,106.6,60953,243594,184771,0
13,2020-05-20 09:26:00,106.55,106.55,106.55,106.55,42207,249134,193182,0
14,2020-05-20 09:27:00,106.5,106.5,106.5,106.5,42268,252495,196412,0
15,2020-05-20 09:28:00,106.65,106.65,106.6,106.6,69249,525923,400671,0
16,2020-05-20 09:29:00,106.6,106.6,106.6,106.6,69842,263361,205003,0
17,2020-05-20 09:30:00,106.6,106.6,106.6,106.6,53243,265318,205222,0
18,2020-05-20 09:31:00,106.6,106.6,106.6,106.6,55019,267071,207140,0
19,2020-05-20 09:32:00,106.65,106.65,106.65,106.65,76255,269293,203923,0
20,2020-05-20 09:33:00,106.65,106.65,106.65,106.65,79805,270143,207141,0
21,2020-05-20 09:34:00,106.65,106.65,106.65,106.65,64702,272471,210964,0
22,2020-05-20 09:37:00,106.75,106.75,106.75,106.75,70729,276131,213496,0
23,2020-05-20 09:40:00,106.75,106.75,106.75,106.75,91320,283036,212051,0
24,2020-05-20 09:41:00,106.7,106.7,106.7,106.7,70245,857602,621761,0
25,2020-05-20 09:42:00,106.6,106.6,106.6,106.6,83415,284858,211369,0
26,2020-05-20 09:43:00,106.55,106.55,106.55,106.55,107196,282519,212246,0
27,2020-05-20 09:44:00,106.6,106.6,106.55,106.55,73663,576402,426582,0
