,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,54.3,54.3,54.3,54.3,0,25734,63049,0
1,2020-05-20 09:08:00,55.0,55.0,55.0,55.0,0,24191,62023,0
2,2020-05-20 09:11:00,55.0,55.0,55.0,55.0,2803,24191,62023,0
3,2020-05-20 09:14:00,55.0,55.0,55.0,55.0,2803,24191,62023,0
4,2020-05-20 09:16:00,54.65,54.65,54.65,54.65,2632,27533,71998,0
5,2020-05-20 09:17:00,54.75,54.8,54.75,54.8,3612,57627,149423,0
6,2020-05-20 09:18:00,54.3,54.4,53.8,53.8,25166,104417,229631,0
7,2020-05-20 09:22:00,54.25,54.25,54.25,54.25,27565,41772,77585,0
8,2020-05-20 09:24:00,53.95,53.95,53.95,53.95,14769,41537,79214,0
9,2020-05-20 09:26:00,54.1,54.1,54.1,54.1,13578,44720,81551,0
10,2020-05-20 09:27:00,53.85,53.85,53.85,53.85,28335,43637,90343,0
11,2020-05-20 09:30:00,53.8,53.9,53.8,53.9,27192,98801,188306,0
12,2020-05-20 09:31:00,53.9,53.95,53.9,53.95,28401,100605,189443,0
13,2020-05-20 09:34:00,54.05,54.2,54.05,54.2,33883,101325,189476,0
14,2020-05-20 09:37:00,54.35,54.35,54.2,54.2,31749,103106,194973,0
15,2020-05-20 09:38:00,53.85,53.85,53.85,53.85,40235,50588,98835,0
16,2020-05-20 09:39:00,53.85,53.85,53.85,53.85,35287,104925,198737,0
17,2020-05-20 09:41:00,53.85,53.85,53.85,53.85,35628,58504,100886,0
18,2020-05-20 09:42:00,54.0,54.0,54.0,54.0,41868,58334,100127,0
19,2020-05-20 09:44:00,53.95,53.95,53.95,53.95,42636,59513,100838,0
20,2020-05-20 09:48:00,54.15,54.15,54.15,54.15,39804,63514,102380,0
21,2020-05-20 09:53:00,54.25,54.25,54.25,54.25,42618,60589,108224,0
22,2020-05-20 09:54:00,54.1,54.1,54.1,54.1,45830,60367,111414,0
23,2020-05-20 09:56:00,54.0,54.0,54.0,54.0,45302,58333,108621,0
24,2020-05-20 09:59:00,54.3,54.3,54.3,54.3,49341,60461,108577,0
25,2020-05-20 10:01:00,54.15,54.15,54.15,54.15,50755,64192,109878,0
26,2020-05-20 10:03:00,54.3,54.3,54.3,54.3,47004,66849,110502,0
27,2020-05-20 10:04:00,54.25,54.25,54.25,54.25,45772,66378,110324,0
28,2020-05-20 10:05:00,54.25,54.25,54.25,54.25,49559,62580,110387,0
29,2020-05-20 10:06:00,54.25,54.25,54.25,54.25,47744,128789,224107,0
30,2020-05-20 10:13:00,54.0,54.0,54.0,54.0,52236,65464,115272,0
31,2020-05-20 10:15:00,54.05,54.05,54.05,54.05,54113,66317,115669,0
32,2020-05-20 10:17:00,54.0,54.0,54.0,54.0,50580,65663,115733,0
33,2020-05-20 10:21:00,54.1,54.1,54.1,54.1,51174,64326,116805,0
34,2020-05-20 10:24:00,54.0,54.0,54.0,54.0,55019,66248,115799,0
35,2020-05-20 10:26:00,53.55,53.55,53.55,53.55,60704,63496,116075,0
36,2020-05-20 10:27:00,53.65,54.0,53.65,54.0,53236,131433,232974,0
37,2020-05-20 10:33:00,53.85,53.85,53.85,53.85,55939,67584,116892,0
38,2020-05-20 10:38:00,54.0,54.0,54.0,54.0,63664,66163,107970,0
39,2020-05-20 10:45:00,54.0,54.0,54.0,54.0,62356,67904,104071,0
40,2020-05-20 10:50:00,53.9,53.9,53.9,53.9,56155,68550,104076,0
41,2020-05-20 10:55:00,53.95,53.95,53.95,53.95,58588,75290,104169,0
42,2020-05-20 11:08:00,54.15,54.15,54.15,54.15,69139,74506,103058,0
43,2020-05-20 11:11:00,54.25,54.25,54.05,54.05,59167,150762,205112,0
44,2020-05-20 11:15:00,53.95,53.95,53.95,53.95,65120,72258,103668,0
45,2020-05-20 11:16:00,53.85,53.85,53.85,53.85,71063,375846,519448,0
46,2020-05-20 11:17:00,53.85,53.85,53.85,53.85,71075,74951,103906,0
47,2020-05-20 11:19:00,53.85,53.85,53.85,53.85,66207,75812,104281,0
48,2020-05-20 11:23:00,53.8,53.8,53.8,53.8,67071,74143,104445,0
49,2020-05-20 11:25:00,53.85,53.85,53.85,53.85,72209,75511,104123,0
50,2020-05-20 11:29:00,53.9,53.9,53.9,53.9,76017,75120,103835,0
51,2020-05-20 11:30:00,53.8,53.8,53.8,53.8,70966,75190,103835,0
52,2020-05-20 11:37:00,53.85,53.85,53.85,53.85,69911,78820,103623,0
53,2020-05-20 11:40:00,53.85,53.85,53.85,53.85,76781,82308,103603,0
54,2020-05-20 11:50:00,53.85,53.85,53.85,53.85,80361,83888,103735,0
55,2020-05-20 11:51:00,53.9,53.9,53.9,53.9,73505,83388,103732,0
56,2020-05-20 11:53:00,53.85,53.85,53.85,53.85,72037,83075,103887,0
57,2020-05-20 11:54:00,53.8,53.8,53.8,53.8,80953,167985,207614,0
58,2020-05-20 11:55:00,53.9,53.9,53.9,53.9,82006,83926,104063,0
59,2020-05-20 11:59:00,53.8,53.8,53.8,53.8,75844,82153,103932,0
60,2020-05-20 12:08:00,53.8,53.85,53.8,53.85,82060,167329,208536,0
61,2020-05-20 12:10:00,53.9,53.9,53.9,53.9,84913,81971,104285,0
62,2020-05-20 12:13:00,53.9,53.9,53.8,53.8,76824,164197,209053,0
63,2020-05-20 12:14:00,53.8,53.8,53.8,53.8,76825,82097,104876,0
64,2020-05-20 12:20:00,53.85,53.85,53.85,53.85,86870,85542,103232,0
65,2020-05-20 12:24:00,53.85,53.85,53.85,53.85,89599,83913,100596,0
66,2020-05-20 12:27:00,53.85,53.85,53.85,53.85,80256,84030,100798,0
