,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,233.5,233.5,233.5,233.5,0,1471,10925,0
1,2020-05-20 09:06:00,233.5,233.5,233.5,233.5,0,1471,10926,0
2,2020-05-20 09:16:00,237.0,237.0,237.0,237.0,251,2297,13855,0
3,2020-05-20 09:17:00,233.25,233.25,233.25,233.25,382,5192,27196,0
4,2020-05-20 09:20:00,232.1,232.1,232.1,232.1,703,5737,15055,0
5,2020-05-20 09:25:00,232.65,232.65,232.55,232.55,582,16148,32965,0
6,2020-05-20 09:26:00,232.7,232.7,232.7,232.7,652,8387,16403,0
7,2020-05-20 09:27:00,229.8,230.0,229.25,230.0,2173,24018,52391,0
8,2020-05-20 09:30:00,227.15,227.15,227.15,227.15,2730,7437,19047,0
9,2020-05-20 09:33:00,227.65,227.65,227.65,227.65,1241,8298,18904,0
10,2020-05-20 09:35:00,228.85,228.85,228.85,228.85,851,8711,18678,0
11,2020-05-20 09:36:00,228.2,228.2,228.2,228.2,2376,8439,18699,0
12,2020-05-20 09:40:00,229.45,229.45,229.45,229.45,2966,9185,18937,0
13,2020-05-20 09:50:00,230.0,230.0,230.0,230.0,1809,10182,18726,0
14,2020-05-20 10:01:00,230.05,230.05,230.05,230.05,2132,11140,18873,0
15,2020-05-20 10:07:00,230.5,230.5,230.5,230.5,3928,10508,19093,0
16,2020-05-20 10:11:00,230.0,230.0,230.0,230.0,3854,10554,19304,0
17,2020-05-20 10:17:00,229.35,229.35,229.35,229.35,2204,10572,19521,0
18,2020-05-20 10:18:00,229.35,229.35,229.35,229.35,3928,21158,39042,0
19,2020-05-20 10:23:00,228.5,228.5,228.5,228.5,4035,11180,20642,0
20,2020-05-20 10:31:00,229.45,229.45,229.45,229.45,2647,11522,21514,0
21,2020-05-20 10:33:00,229.35,229.35,229.35,229.35,2561,11560,21791,0
22,2020-05-20 10:45:00,230.05,230.05,230.05,230.05,4445,12016,21048,0
23,2020-05-20 11:08:00,229.1,229.1,229.1,229.1,5172,12589,22655,0
24,2020-05-20 11:33:00,229.75,229.75,229.75,229.75,3687,14602,23337,0
25,2020-05-20 11:38:00,229.75,229.75,229.75,229.75,2965,15354,23964,0
26,2020-05-20 11:46:00,229.75,229.75,229.75,229.75,4548,15308,23998,0
27,2020-05-20 11:48:00,229.6,229.6,229.45,229.45,3699,30536,48259,0
28,2020-05-20 11:51:00,229.35,229.35,229.35,229.35,3881,15079,24140,0
29,2020-05-20 11:55:00,229.15,229.15,229.15,229.15,4936,15001,24173,0
30,2020-05-20 11:58:00,228.95,228.95,228.95,228.95,4889,14742,24267,0
31,2020-05-20 12:06:00,228.95,228.95,228.95,228.95,4117,14640,24023,0
32,2020-05-20 12:07:00,229.0,229.0,229.0,229.0,4198,14644,24005,0
33,2020-05-20 12:15:00,228.95,228.95,228.95,228.95,5005,14730,24012,0
34,2020-05-20 12:17:00,228.95,228.95,228.95,228.95,4124,29464,47986,0
35,2020-05-20 12:25:00,228.8,228.8,228.8,228.8,4411,14766,24006,0
36,2020-05-20 12:37:00,229.35,229.6,228.65,229.6,5886,44889,71683,0
37,2020-05-20 12:38:00,229.8,229.95,229.8,229.95,4748,45344,70718,0
38,2020-05-20 12:40:00,230.0,230.0,230.0,230.0,4774,14143,22526,0
39,2020-05-20 12:41:00,230.3,230.3,230.3,230.3,5946,14260,22262,0
40,2020-05-20 12:42:00,229.85,229.85,229.85,229.85,6408,14145,22477,0
41,2020-05-20 12:45:00,230.9,230.9,230.9,230.9,5494,14192,22673,0
42,2020-05-20 12:51:00,229.6,229.6,229.6,229.6,5492,13283,22435,0
43,2020-05-20 13:07:00,230.15,230.15,230.15,230.15,7297,14802,23673,0
44,2020-05-20 13:09:00,230.45,230.45,230.45,230.45,7627,14991,23554,0
45,2020-05-20 13:11:00,228.85,228.9,228.85,228.9,6735,29041,47843,0
46,2020-05-20 13:18:00,230.25,230.25,230.25,230.25,7088,15116,23984,0
47,2020-05-20 13:24:00,229.75,229.75,229.75,229.75,8008,15146,23750,0
48,2020-05-20 13:39:00,230.25,230.25,230.25,230.25,8182,14654,23220,0
49,2020-05-20 13:41:00,229.05,229.05,229.05,229.05,7690,14573,24859,0
50,2020-05-20 13:45:00,230.0,230.5,230.0,230.5,8404,29812,45929,0
51,2020-05-20 13:46:00,230.45,230.45,230.45,230.45,8424,14990,22966,0
52,2020-05-20 13:56:00,231.0,231.0,231.0,231.0,8048,15324,22346,0
53,2020-05-20 13:57:00,230.7,230.7,230.7,230.7,8040,15260,22449,0
54,2020-05-20 14:02:00,231.3,231.3,231.3,231.3,8675,15258,22465,0
55,2020-05-20 14:13:00,231.25,231.25,231.25,231.25,9019,15377,22392,0
56,2020-05-20 14:17:00,231.05,231.05,231.05,231.05,8553,15428,22373,0
57,2020-05-20 14:23:00,231.1,231.1,231.1,231.1,8392,15578,22497,0
58,2020-05-20 14:26:00,231.4,231.4,231.4,231.4,9006,15489,22375,0
59,2020-05-20 14:28:00,231.75,231.75,231.75,231.75,9214,15582,22328,0
60,2020-05-20 14:37:00,231.3,231.3,231.3,231.3,9479,15988,21823,0
61,2020-05-20 14:43:00,231.05,231.05,231.05,231.05,9444,15605,22142,0
62,2020-05-20 14:44:00,231.05,231.05,231.05,231.05,9201,15899,22180,0
63,2020-05-20 14:47:00,230.8,230.8,230.8,230.8,9405,15800,22130,0
64,2020-05-20 14:48:00,230.8,230.8,230.8,230.8,9648,15900,22137,0
65,2020-05-20 14:50:00,231.25,231.25,231.25,231.25,9470,15965,22047,0
66,2020-05-20 14:52:00,231.25,231.25,231.25,231.25,9275,15645,22170,0
67,2020-05-20 14:53:00,231.05,231.05,231.05,231.05,9464,15266,21961,0
68,2020-05-20 15:00:00,231.0,231.55,231.0,231.55,10663,29599,41019,0
