,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,594.95,594.95,594.95,594.95,0,43831,113762,0
1,2020-05-20 09:08:00,597.0,597.0,597.0,597.0,0,39683,115120,0
2,2020-05-20 09:11:00,597.0,597.0,597.0,597.0,6099,39683,115120,0
3,2020-05-20 09:14:00,597.0,597.0,597.0,597.0,6099,39683,115120,0
4,2020-05-20 09:16:00,599.4,599.4,599.4,599.4,117920,157157,236194,0
5,2020-05-20 09:17:00,599.95,599.95,599.8,599.8,124996,414886,633132,0
6,2020-05-20 09:18:00,599.8,599.8,599.8,599.8,143851,230669,335598,0
7,2020-05-20 09:19:00,601.85,601.85,601.85,601.85,201377,256747,316474,0
8,2020-05-20 09:20:00,601.9,602.6,601.9,602.1,221621,802241,1031537,0
9,2020-05-20 09:21:00,602.75,602.75,602.5,602.5,216797,532043,709391,0
10,2020-05-20 09:22:00,601.7,601.7,600.25,600.25,282322,546519,799310,0
11,2020-05-20 09:23:00,601.0,601.0,601.0,601.0,304169,268146,417125,0
12,2020-05-20 09:24:00,601.4,601.4,601.05,601.05,246601,1116423,1721047,0
13,2020-05-20 09:25:00,602.65,602.65,602.65,602.65,291935,295598,417006,0
14,2020-05-20 09:26:00,602.8,602.8,602.8,602.8,360559,299828,420431,0
15,2020-05-20 09:27:00,602.5,602.5,602.2,602.2,276908,599723,887167,0
16,2020-05-20 09:29:00,604.2,604.2,604.2,604.2,401575,923991,437722,0
17,2020-05-20 09:30:00,605.0,605.3,605.0,605.3,470258,3753218,1286526,0
18,2020-05-20 09:31:00,605.8,606.5,605.8,606.5,498656,4034587,1431130,0
19,2020-05-20 09:33:00,607.1,607.4,607.1,607.4,676080,3226276,1046861,0
20,2020-05-20 09:34:00,607.0,607.0,607.0,607.0,685731,1609599,537242,0
21,2020-05-20 09:35:00,606.6,606.6,606.6,606.6,584257,1620575,606331,0
22,2020-05-20 09:36:00,607.8,607.85,607.8,607.85,770604,3271109,1148804,0
23,2020-05-20 09:38:00,608.25,608.25,608.25,608.25,1010303,1682541,596552,0
24,2020-05-20 09:39:00,608.35,608.7,608.35,608.7,689428,3428361,1238053,0
25,2020-05-20 09:40:00,609.0,609.4,609.0,609.4,1115237,3435612,1218969,0
26,2020-05-20 09:41:00,608.65,608.65,608.65,608.65,1180230,1701906,637738,0
27,2020-05-20 09:42:00,607.7,607.7,607.7,607.7,841327,1678949,651145,0
28,2020-05-20 09:43:00,607.95,607.95,607.7,607.7,1208217,3415379,1331710,0
29,2020-05-20 09:44:00,607.3,607.3,607.3,607.3,1224497,1721717,679679,0
30,2020-05-20 09:45:00,608.05,608.05,608.0,608.0,935602,3503314,1325746,0
31,2020-05-20 09:46:00,608.0,608.0,608.0,608.0,965329,1832398,678188,0
32,2020-05-20 09:47:00,607.55,607.55,607.55,607.55,1277847,1937966,695176,0
33,2020-05-20 09:48:00,607.6,607.6,607.6,607.6,1294395,1942361,701526,0
34,2020-05-20 09:50:00,608.0,608.0,607.85,607.85,1098825,3892476,1396046,0
35,2020-05-20 09:51:00,607.85,607.95,607.85,607.95,1328766,3887650,1423764,0
36,2020-05-20 09:52:00,607.95,607.95,607.95,607.95,1329139,1942126,710612,0
37,2020-05-20 09:53:00,607.85,607.85,607.85,607.85,1123808,1950002,711931,0
