,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,123.6,123.6,123.6,123.6,0,120676,200848,0
1,2020-05-20 09:07:00,123.6,123.6,123.6,123.6,0,123181,211598,0
2,2020-05-20 09:08:00,123.0,123.0,123.0,123.0,13367,114669,204710,0
3,2020-05-20 09:11:00,123.0,123.0,123.0,123.0,13367,114669,204710,0
4,2020-05-20 09:14:00,123.0,123.0,123.0,123.0,0,114669,204710,0
5,2020-05-20 09:15:00,122.65,122.65,122.65,122.65,2822,115714,204210,0
6,2020-05-20 09:16:00,122.5,122.5,122.3,122.4,218016,1721424,1714270,0
7,2020-05-20 09:17:00,122.35,122.7,122.35,122.7,66374,1667060,1478314,0
8,2020-05-20 09:18:00,122.65,122.65,122.65,122.65,76461,583750,513165,0
9,2020-05-20 09:19:00,122.8,122.8,122.8,122.8,320006,643385,535283,0
10,2020-05-20 09:20:00,122.8,122.8,122.8,122.8,451583,652785,551300,0
11,2020-05-20 09:21:00,122.6,122.6,122.4,122.4,152241,1937254,1685136,0
12,2020-05-20 09:22:00,122.6,122.6,122.6,122.6,224426,724228,597489,0
13,2020-05-20 09:25:00,122.7,122.95,122.7,122.95,512805,1520909,1196909,0
14,2020-05-20 09:26:00,122.9,122.9,122.9,122.9,518385,764370,592397,0
15,2020-05-20 09:28:00,123.25,123.25,123.1,123.1,302265,1676968,1351777,0
16,2020-05-20 09:29:00,123.0,123.0,122.9,122.9,535147,1697779,1383357,0
17,2020-05-20 09:31:00,123.15,123.15,123.15,123.15,576810,879539,712792,0
18,2020-05-20 09:33:00,123.15,123.15,123.15,123.15,340883,1933883,1470719,0
19,2020-05-20 09:35:00,123.45,123.45,123.45,123.45,382994,1056412,880437,0
20,2020-05-20 09:36:00,123.25,123.3,123.15,123.15,616143,3209962,2702763,0
21,2020-05-20 09:38:00,123.3,123.3,123.3,123.3,650444,1098641,899127,0
22,2020-05-20 09:39:00,123.3,123.3,123.3,123.3,401047,2183908,1816904,0
23,2020-05-20 09:41:00,123.3,123.4,123.3,123.4,688166,2224310,1832261,0
24,2020-05-20 09:42:00,123.4,123.4,123.4,123.4,702964,1131142,923730,0
25,2020-05-20 09:43:00,123.2,123.2,123.2,123.2,437761,1137379,928277,0
26,2020-05-20 09:45:00,123.55,123.55,123.55,123.55,481791,1169659,904827,0
27,2020-05-20 09:46:00,123.5,123.5,123.45,123.45,733047,2358380,1830977,0
28,2020-05-20 09:48:00,123.35,123.35,123.35,123.35,495983,2354805,1847596,0
29,2020-05-20 09:49:00,123.3,123.3,123.3,123.3,528504,1174408,923380,0
30,2020-05-20 09:50:00,123.5,123.5,123.5,123.5,782315,1192033,931614,0
31,2020-05-20 09:51:00,123.5,123.6,123.5,123.6,529553,3581537,2790500,0
32,2020-05-20 09:52:00,123.55,123.55,123.55,123.55,532080,1198123,923773,0
33,2020-05-20 09:53:00,123.5,123.5,123.5,123.5,801425,1198985,946849,0
34,2020-05-20 09:54:00,123.4,123.4,123.35,123.35,554139,2405729,1875407,0
35,2020-05-20 09:55:00,123.45,123.45,123.45,123.45,558822,1210036,966901,0
36,2020-05-20 09:56:00,123.35,123.35,123.35,123.35,820106,1201040,958526,0
37,2020-05-20 09:57:00,123.4,123.45,123.35,123.35,562794,3648482,2865067,0
38,2020-05-20 09:58:00,123.3,123.3,123.3,123.3,570768,1209651,954674,0
39,2020-05-20 09:59:00,123.45,123.45,123.45,123.45,834931,2408643,1896393,0
40,2020-05-20 10:00:00,123.4,123.4,123.4,123.4,842796,1204511,967570,0
41,2020-05-20 10:01:00,123.35,123.35,123.35,123.35,594908,1225245,950230,0
42,2020-05-20 10:02:00,123.45,123.45,123.45,123.45,592638,1228136,958650,0
43,2020-05-20 10:03:00,123.5,123.5,123.5,123.5,849220,1239429,957521,0
44,2020-05-20 10:04:00,123.45,123.45,123.45,123.45,857444,1236851,966084,0
45,2020-05-20 10:06:00,123.55,123.55,123.55,123.55,634543,1252560,950478,0
46,2020-05-20 10:07:00,123.55,123.55,123.55,123.55,633480,1242564,955108,0
47,2020-05-20 10:13:00,123.45,123.45,123.45,123.45,920921,1248016,969311,0
48,2020-05-20 10:14:00,123.5,123.6,123.5,123.6,669244,3811664,2900452,0
49,2020-05-20 10:16:00,123.55,123.55,123.55,123.55,687520,1288746,966967,0
50,2020-05-20 10:17:00,123.55,123.55,123.55,123.55,952842,1279841,971753,0
51,2020-05-20 10:18:00,123.6,123.6,123.6,123.6,944799,1274906,967778,0
52,2020-05-20 10:21:00,123.3,123.3,123.2,123.2,744247,2502656,1989587,0
53,2020-05-20 10:22:00,123.05,123.05,123.05,123.05,774871,1206602,1026117,0
54,2020-05-20 10:23:00,123.15,123.15,123.15,123.15,998981,1206881,1074521,0
55,2020-05-20 10:25:00,123.0,123.0,123.0,123.0,991406,1230313,1051487,0
56,2020-05-20 10:26:00,122.95,122.95,122.95,122.95,773717,1224795,1054721,0
57,2020-05-20 10:27:00,123.0,123.0,123.0,123.0,790456,1232455,1056326,0
58,2020-05-20 10:28:00,123.0,123.0,123.0,123.0,1022078,1220627,1054535,0
59,2020-05-20 10:29:00,123.0,123.15,123.0,123.15,802561,2483949,2131494,0
60,2020-05-20 10:30:00,123.1,123.1,123.05,123.05,1028349,2490842,2108003,0
61,2020-05-20 10:31:00,123.15,123.15,123.15,123.15,1033643,1232873,1065798,0
62,2020-05-20 10:33:00,123.1,123.15,123.1,123.15,814907,2510810,2121385,0
63,2020-05-20 10:34:00,123.2,123.2,123.2,123.2,822291,1257067,1047859,0
64,2020-05-20 10:36:00,123.25,123.25,123.25,123.25,1051545,2554022,2070576,0
65,2020-05-20 10:37:00,123.25,123.25,123.15,123.15,832493,2556459,2095025,0
66,2020-05-20 10:38:00,123.05,123.05,123.05,123.05,834632,1309393,1038841,0
67,2020-05-20 10:39:00,123.05,123.05,123.05,123.05,1057899,1289504,1039004,0
68,2020-05-20 10:40:00,123.15,123.15,123.15,123.15,1060946,1281651,1053344,0
69,2020-05-20 10:41:00,123.05,123.05,123.05,123.05,849019,1271058,1065920,0
70,2020-05-20 10:42:00,123.05,123.05,123.05,123.05,1059021,2542345,2133016,0
71,2020-05-20 10:43:00,123.05,123.05,123.05,123.05,1061342,1270943,1067923,0
72,2020-05-20 10:44:00,123.05,123.05,123.05,123.05,853253,1283940,1076177,0
73,2020-05-20 10:45:00,122.9,122.9,122.9,122.9,861935,1277586,1056861,0
74,2020-05-20 10:46:00,122.95,122.95,122.95,122.95,1074782,1264747,1077164,0
75,2020-05-20 10:49:00,123.2,123.2,123.15,123.15,876799,2571807,2169559,0
76,2020-05-20 10:52:00,123.15,123.2,123.15,123.2,1085529,2561992,2152381,0
77,2020-05-20 10:53:00,123.15,123.15,123.15,123.15,1088240,1274909,1081835,0
78,2020-05-20 10:55:00,123.35,123.35,123.35,123.35,891394,1296255,1069009,0
79,2020-05-20 10:56:00,123.3,123.3,123.3,123.3,894376,1292701,1079658,0
80,2020-05-20 10:58:00,123.35,123.35,123.3,123.3,1122390,3875040,3107438,0
81,2020-05-20 10:59:00,123.35,123.35,123.35,123.35,894425,2567497,2074784,0
82,2020-05-20 11:00:00,123.4,123.4,123.4,123.4,1137694,2631102,2107992,0
83,2020-05-20 11:01:00,123.35,123.35,123.35,123.35,1145364,1311961,1028750,0
84,2020-05-20 11:02:00,123.4,123.4,123.35,123.35,895435,2614802,2074854,0
85,2020-05-20 11:03:00,123.35,123.35,123.35,123.35,896354,1305878,1040379,0
86,2020-05-20 11:05:00,123.3,123.3,123.3,123.3,1159512,2601564,2114656,0
87,2020-05-20 11:06:00,123.05,123.05,123.0,123.0,920141,2598955,2138026,0
88,2020-05-20 11:07:00,123.05,123.05,123.05,123.05,925909,1287834,1071618,0
89,2020-05-20 11:08:00,123.05,123.05,123.05,123.05,1167676,1292143,1071260,0
90,2020-05-20 11:09:00,122.95,122.95,122.95,122.95,1171633,1304446,1084867,0
91,2020-05-20 11:10:00,122.95,123.05,122.95,123.05,931784,3844039,3285477,0
92,2020-05-20 11:11:00,123.0,123.0,123.0,123.0,931797,1283164,1096064,0
93,2020-05-20 11:12:00,122.9,122.9,122.9,122.9,1205979,1262356,1105547,0
94,2020-05-20 11:15:00,122.95,122.95,122.95,122.95,1240018,1286142,1108181,0
95,2020-05-20 11:16:00,122.9,122.9,122.9,122.9,970347,1285753,1106437,0
96,2020-05-20 11:18:00,123.3,123.3,123.3,123.3,1239317,2625287,2130240,0
97,2020-05-20 11:20:00,123.4,123.4,123.4,123.4,1329430,1341120,1002631,0
98,2020-05-20 11:21:00,123.65,123.75,123.65,123.75,1022753,2791440,1962313,0
99,2020-05-20 11:22:00,124.0,124.05,123.85,123.85,1569451,4424889,2819301,0
100,2020-05-20 11:23:00,123.95,123.95,123.95,123.95,1569612,1450483,953201,0
101,2020-05-20 11:24:00,123.95,123.95,123.95,123.95,1049622,1445150,951550,0
102,2020-05-20 11:25:00,124.1,124.1,124.1,124.1,1130816,1459381,976669,0
103,2020-05-20 11:26:00,124.1,124.1,124.1,124.1,1685085,1472627,974400,0
104,2020-05-20 11:28:00,124.0,124.0,124.0,124.0,1797365,1467516,987856,0
105,2020-05-20 11:29:00,123.9,123.9,123.9,123.9,1316609,1481268,1013033,0
106,2020-05-20 11:30:00,123.95,123.95,123.95,123.95,1270769,1479433,976309,0
107,2020-05-20 11:31:00,124.0,124.0,124.0,124.0,1860744,1476492,973174,0
108,2020-05-20 11:32:00,123.9,123.9,123.9,123.9,1504092,2909843,1973034,0
109,2020-05-20 11:33:00,123.95,123.95,123.95,123.95,1512967,1465648,1002630,0
110,2020-05-20 11:34:00,123.9,123.9,123.9,123.9,1897561,1475684,1005451,0
111,2020-05-20 11:35:00,124.0,124.0,123.9,123.9,1569920,4419735,3023848,0
112,2020-05-20 11:37:00,123.95,123.95,123.95,123.95,1607373,1470572,1002581,0
113,2020-05-20 11:39:00,123.95,123.95,123.95,123.95,2013335,1472795,1021352,0
114,2020-05-20 11:40:00,123.95,123.95,123.95,123.95,2115283,1462151,1004790,0
115,2020-05-20 11:41:00,124.0,124.0,123.95,123.95,1717149,2931063,1981478,0
116,2020-05-20 11:42:00,123.95,123.95,123.95,123.95,1767227,1462219,995244,0
117,2020-05-20 11:43:00,123.95,123.95,123.95,123.95,2169507,1472035,1000926,0
118,2020-05-20 11:44:00,124.0,124.0,124.0,124.0,1733567,2936877,1998212,0
119,2020-05-20 11:45:00,124.05,124.05,124.05,124.05,1735490,1478784,996567,0
120,2020-05-20 11:46:00,124.0,124.0,124.0,124.0,2200884,4430715,3021753,0
121,2020-05-20 11:47:00,124.0,124.0,124.0,124.0,2202302,1473233,1005939,0
122,2020-05-20 11:48:00,124.0,124.0,124.0,124.0,1758175,2929818,2035053,0
123,2020-05-20 11:49:00,124.0,124.1,124.0,124.1,2239542,2954127,2025558,0
124,2020-05-20 11:50:00,124.45,124.45,124.4,124.4,1856991,3030101,1895293,0
125,2020-05-20 11:51:00,124.5,124.5,124.5,124.5,1871689,1523744,923840,0
126,2020-05-20 11:52:00,124.55,124.55,124.55,124.55,2286024,1523460,923286,0
127,2020-05-20 11:53:00,124.55,124.55,124.55,124.55,2296279,1530420,911137,0
128,2020-05-20 11:54:00,124.7,124.75,124.7,124.75,1928121,3103249,1884542,0
129,2020-05-20 11:55:00,124.8,124.8,124.8,124.8,2044755,1580193,906577,0
130,2020-05-20 11:57:00,124.65,124.65,124.65,124.65,2324703,3165664,1892082,0
131,2020-05-20 11:58:00,124.4,124.4,124.35,124.35,2067311,3187114,1958324,0
132,2020-05-20 11:59:00,124.15,124.2,124.15,124.15,2366228,4716720,3040713,0
133,2020-05-20 12:00:00,124.2,124.25,124.2,124.25,2081945,3157693,2031121,0
134,2020-05-20 12:01:00,124.35,124.35,124.35,124.35,2379335,3172907,2010021,0
135,2020-05-20 12:03:00,124.3,124.3,124.3,124.3,2401672,1611895,1026413,0
136,2020-05-20 12:04:00,124.3,124.3,124.3,124.3,2112705,1594058,1030542,0
137,2020-05-20 12:05:00,124.2,124.25,124.2,124.25,2386123,3214401,2056805,0
138,2020-05-20 12:06:00,124.2,124.2,124.2,124.2,2388237,1609260,1032903,0
139,2020-05-20 12:07:00,124.2,124.2,124.2,124.2,2118028,3249430,2084791,0
140,2020-05-20 12:08:00,124.2,124.2,124.2,124.2,2123520,1630957,1030898,0
141,2020-05-20 12:09:00,124.25,124.25,124.25,124.25,2398498,1629632,1031420,0
142,2020-05-20 12:11:00,124.15,124.15,124.15,124.15,2417159,1600454,1033805,0
143,2020-05-20 12:12:00,124.1,124.1,124.1,124.1,2130322,3232816,2063549,0
144,2020-05-20 12:13:00,124.1,124.1,124.0,124.0,2472901,3209878,2074740,0
145,2020-05-20 12:14:00,124.0,124.0,124.0,124.0,2477637,1563079,1063071,0
146,2020-05-20 12:15:00,123.9,123.9,123.9,123.9,2155876,1532098,1051265,0
147,2020-05-20 12:16:00,123.85,123.85,123.8,123.8,2523919,3046448,2138635,0
148,2020-05-20 12:17:00,123.8,123.8,123.8,123.8,2530747,1537620,1091856,0
149,2020-05-20 12:18:00,123.6,123.6,123.6,123.6,2204718,1459546,1089268,0
150,2020-05-20 12:20:00,123.55,123.55,123.5,123.5,2576899,2949752,2246908,0
151,2020-05-20 12:21:00,123.5,123.5,123.5,123.5,2577891,1476503,1129328,0
152,2020-05-20 12:22:00,123.35,123.35,123.35,123.35,2244485,2951986,2300518,0
153,2020-05-20 12:23:00,123.25,123.25,123.25,123.25,2260811,1445992,1168757,0
154,2020-05-20 12:24:00,123.3,123.3,123.3,123.3,2593650,2908310,2336593,0
155,2020-05-20 12:25:00,123.3,123.4,123.3,123.3,2272423,4387368,3542560,0
156,2020-05-20 12:26:00,123.35,123.35,123.35,123.35,2273219,1468206,1185228,0
157,2020-05-20 12:27:00,123.4,123.4,123.4,123.4,2609950,1451026,1172391,0
158,2020-05-20 12:28:00,123.35,123.35,123.35,123.35,2286111,2911959,2357955,0
159,2020-05-20 12:29:00,123.3,123.3,123.3,123.3,2624982,4471114,3530220,0
160,2020-05-20 12:30:00,123.3,123.3,123.3,123.3,2627586,1496699,1186802,0
161,2020-05-20 12:31:00,123.35,123.35,123.3,123.35,2297435,5897903,4732387,0
162,2020-05-20 12:32:00,123.45,123.45,123.45,123.45,2298166,1488778,1189489,0
163,2020-05-20 12:33:00,123.5,123.5,123.5,123.5,2644258,1472732,1167947,0
164,2020-05-20 12:34:00,123.6,123.6,123.6,123.6,2652485,1466105,1176245,0
165,2020-05-20 12:35:00,123.65,123.65,123.65,123.65,2319634,1459449,1171472,0
166,2020-05-20 12:36:00,123.8,123.8,123.8,123.8,2316821,1486684,1134223,0
167,2020-05-20 12:37:00,123.6,123.6,123.6,123.6,2677067,2927877,2292483,0
168,2020-05-20 12:38:00,123.6,123.6,123.6,123.6,2680315,1460823,1141283,0
169,2020-05-20 12:39:00,123.6,123.6,123.6,123.6,2332829,1466924,1152703,0
170,2020-05-20 12:40:00,123.55,123.55,123.55,123.55,2338163,1463796,1169734,0
171,2020-05-20 12:41:00,123.55,123.55,123.5,123.5,2688786,2940516,2345531,0
172,2020-05-20 12:42:00,123.5,123.5,123.5,123.5,2347585,2959068,2346420,0
173,2020-05-20 12:43:00,123.4,123.4,123.35,123.35,2754938,4346828,3581007,0
174,2020-05-20 12:44:00,123.3,123.35,123.3,123.35,2352926,2905023,2379584,0
175,2020-05-20 12:45:00,123.3,123.3,123.3,123.3,2762367,2902814,2398014,0
176,2020-05-20 12:46:00,123.3,123.3,123.3,123.3,2772092,1451696,1202224,0
177,2020-05-20 12:47:00,123.3,123.3,123.3,123.3,2364523,4337992,3652441,0
178,2020-05-20 12:48:00,123.3,123.3,123.3,123.3,2778242,4367668,3642991,0
179,2020-05-20 12:49:00,123.35,123.45,123.35,123.45,2369115,2903811,2450825,0
180,2020-05-20 12:50:00,123.5,123.5,123.4,123.4,2793296,5833540,4935965,0
