,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,397.8,397.8,397.8,397.8,0,1575,3853,0
1,2020-05-20 09:16:00,396.6,396.6,396.0,396.0,1322,3895,13422,0
2,2020-05-20 09:19:00,396.9,396.9,396.0,396.0,1409,7296,14569,0
3,2020-05-20 09:20:00,396.75,396.75,396.75,396.75,1430,3833,7354,0
4,2020-05-20 09:21:00,406.9,406.9,406.9,406.9,3607,4705,7940,0
5,2020-05-20 09:22:00,406.0,406.0,406.0,406.0,4371,4959,9723,0
6,2020-05-20 09:24:00,406.85,406.85,406.85,406.85,3067,11166,21302,0
7,2020-05-20 09:25:00,411.0,411.0,411.0,411.0,5839,6344,9790,0
8,2020-05-20 09:26:00,411.6,412.2,411.6,412.2,4899,13245,18613,0
9,2020-05-20 09:27:00,413.6,413.6,411.55,411.55,7142,15725,17452,0
10,2020-05-20 09:28:00,412.5,414.0,412.5,414.0,5800,16114,17915,0
11,2020-05-20 09:30:00,412.9,412.9,412.9,412.9,10472,14822,13108,0
12,2020-05-20 09:31:00,411.9,411.9,411.9,411.9,10898,7327,6775,0
13,2020-05-20 09:32:00,410.55,410.55,410.55,410.55,6577,7256,7151,0
14,2020-05-20 09:33:00,410.0,410.0,408.0,408.0,11939,14059,17185,0
15,2020-05-20 09:34:00,408.0,408.0,408.0,408.0,12624,6868,9026,0
16,2020-05-20 09:35:00,407.95,407.95,407.95,407.95,9101,6743,15234,0
17,2020-05-20 09:36:00,405.3,405.3,405.3,405.3,8716,6211,15579,0
18,2020-05-20 09:37:00,405.8,407.45,405.8,407.45,13065,13072,30748,0
19,2020-05-20 09:38:00,407.0,407.0,407.0,407.0,9576,13118,30970,0
20,2020-05-20 09:39:00,406.75,406.75,406.75,406.75,13275,14331,30753,0
21,2020-05-20 09:40:00,407.0,407.0,407.0,407.0,14047,6929,15483,0
22,2020-05-20 09:41:00,407.85,407.85,407.85,407.85,10587,6833,15242,0
23,2020-05-20 09:42:00,407.2,407.2,407.2,407.2,10415,6814,15916,0
24,2020-05-20 09:43:00,407.8,407.8,407.8,407.8,14149,7145,15845,0
25,2020-05-20 09:44:00,407.8,407.85,407.8,407.85,10700,14496,31682,0
26,2020-05-20 09:45:00,407.85,407.85,407.85,407.85,10716,7345,15815,0
27,2020-05-20 09:46:00,408.0,408.0,408.0,408.0,14466,7249,15693,0
28,2020-05-20 09:47:00,407.95,408.0,407.95,408.0,11354,42162,93218,0
29,2020-05-20 09:48:00,408.0,408.0,406.0,406.0,14963,21062,46632,0
30,2020-05-20 09:50:00,407.35,407.9,407.35,407.9,11468,14049,31329,0
31,2020-05-20 09:52:00,407.65,407.65,407.65,407.65,11876,7048,16243,0
32,2020-05-20 09:54:00,407.85,407.95,407.85,407.95,15274,14221,32209,0
33,2020-05-20 09:55:00,408.0,408.0,408.0,408.0,11958,14498,32108,0
34,2020-05-20 09:56:00,408.0,408.0,408.0,408.0,15510,21572,48257,0
35,2020-05-20 09:57:00,408.0,408.0,408.0,408.0,15567,7152,16104,0
36,2020-05-20 09:59:00,408.0,408.0,408.0,408.0,12658,6854,15436,0
37,2020-05-20 10:00:00,408.0,408.0,408.0,408.0,12641,6854,15400,0
38,2020-05-20 10:01:00,408.0,408.0,408.0,408.0,15908,6827,15092,0
39,2020-05-20 10:02:00,408.0,408.0,408.0,408.0,15942,6869,15119,0
40,2020-05-20 10:03:00,408.0,408.0,408.0,408.0,12761,6939,15033,0
41,2020-05-20 10:05:00,408.0,408.0,408.0,408.0,13417,7124,14401,0
42,2020-05-20 10:07:00,408.0,408.0,408.0,408.0,17030,7091,14281,0
43,2020-05-20 10:09:00,408.0,408.0,408.0,408.0,16445,7104,14267,0
44,2020-05-20 10:14:00,407.95,407.95,407.95,407.95,13800,7999,17446,0
45,2020-05-20 10:15:00,408.0,408.0,408.0,408.0,14511,6950,16352,0
46,2020-05-20 10:16:00,408.0,408.0,408.0,408.0,17173,6950,16370,0
47,2020-05-20 10:19:00,407.95,407.95,407.95,407.95,17742,8588,17396,0
48,2020-05-20 10:20:00,407.95,407.95,407.95,407.95,15106,8573,17457,0
49,2020-05-20 10:22:00,407.95,407.95,407.95,407.95,14747,8507,17521,0
50,2020-05-20 10:25:00,407.9,407.9,407.9,407.9,17629,8530,17297,0
51,2020-05-20 10:27:00,407.9,407.9,407.85,407.85,15354,17357,34388,0
52,2020-05-20 10:28:00,407.9,407.9,407.9,407.9,15399,8692,17138,0
53,2020-05-20 10:30:00,407.9,407.9,407.9,407.9,17834,17436,34109,0
54,2020-05-20 10:32:00,407.9,407.9,407.9,407.9,17876,8653,16993,0
55,2020-05-20 10:33:00,408.0,408.0,408.0,408.0,15477,8837,16942,0
56,2020-05-20 10:34:00,408.0,408.0,408.0,408.0,18141,17626,33341,0
57,2020-05-20 10:36:00,408.0,408.0,408.0,408.0,18435,8794,16531,0
58,2020-05-20 10:37:00,407.9,408.0,407.9,408.0,15791,17182,32840,0
59,2020-05-20 10:38:00,408.0,408.0,408.0,408.0,15824,8843,16405,0
60,2020-05-20 10:40:00,407.0,407.0,407.0,407.0,18728,8713,16348,0
61,2020-05-20 10:41:00,407.5,407.5,407.5,407.5,15891,17503,32479,0
62,2020-05-20 10:42:00,407.2,407.2,407.2,407.2,15916,8799,17212,0
63,2020-05-20 10:44:00,407.45,407.45,407.45,407.45,18853,8896,17108,0
64,2020-05-20 10:46:00,407.45,407.45,407.45,407.45,19000,8650,16906,0
65,2020-05-20 10:47:00,407.45,407.45,407.45,407.45,16143,8744,17116,0
66,2020-05-20 10:52:00,407.45,407.45,407.45,407.45,19592,17185,33953,0
67,2020-05-20 10:53:00,407.45,407.45,407.45,407.45,16182,43651,84802,0
68,2020-05-20 10:54:00,407.45,407.45,407.45,407.45,19617,17834,33841,0
69,2020-05-20 10:56:00,407.0,407.0,407.0,407.0,19749,8956,16628,0
70,2020-05-20 10:58:00,407.45,407.45,407.45,407.45,16533,8971,16270,0
71,2020-05-20 11:02:00,407.95,407.95,407.95,407.95,17134,9058,15512,0
72,2020-05-20 11:04:00,407.95,407.95,407.95,407.95,20587,9001,15465,0
73,2020-05-20 11:05:00,407.95,407.95,407.95,407.95,20076,9036,15400,0
74,2020-05-20 11:06:00,407.9,407.9,407.9,407.9,17367,17675,30934,0
75,2020-05-20 11:12:00,407.95,407.95,407.95,407.95,17649,9053,15210,0
76,2020-05-20 11:13:00,408.0,408.0,408.0,408.0,20399,18203,29948,0
77,2020-05-20 11:15:00,408.0,408.0,408.0,408.0,20436,9120,14860,0
78,2020-05-20 11:18:00,408.0,408.0,408.0,408.0,17871,18239,29288,0
79,2020-05-20 11:20:00,408.0,408.0,408.0,408.0,18012,9124,14499,0
80,2020-05-20 11:21:00,408.0,408.0,408.0,408.0,20599,9123,14477,0
81,2020-05-20 11:25:00,408.0,408.0,408.0,408.0,20664,9124,14001,0
82,2020-05-20 11:26:00,408.0,408.0,408.0,408.0,18200,9125,13878,0
83,2020-05-20 11:27:00,407.95,407.95,407.95,407.95,21208,17859,28363,0
84,2020-05-20 11:28:00,407.95,407.95,407.95,407.95,21208,8931,14010,0
85,2020-05-20 11:30:00,408.0,408.0,408.0,408.0,18512,18656,27865,0
86,2020-05-20 11:31:00,407.95,407.95,407.95,407.95,18518,9291,13966,0
87,2020-05-20 11:32:00,407.0,407.0,407.0,407.0,21346,9247,14178,0
88,2020-05-20 11:33:00,407.0,407.0,407.0,407.0,21472,9178,14122,0
89,2020-05-20 11:34:00,406.95,406.95,406.95,406.95,18668,9186,14104,0
90,2020-05-20 11:36:00,406.95,406.95,406.95,406.95,18618,9222,13982,0
91,2020-05-20 11:37:00,407.95,407.95,407.95,407.95,21483,9332,13897,0
92,2020-05-20 11:40:00,407.0,407.0,407.0,407.0,22107,9196,14410,0
93,2020-05-20 11:42:00,407.0,407.0,407.0,407.0,19397,9231,14329,0
94,2020-05-20 11:44:00,406.95,406.95,406.95,406.95,18963,9255,14289,0
95,2020-05-20 11:45:00,407.0,407.0,407.0,407.0,21801,9253,14250,0
96,2020-05-20 11:46:00,407.0,407.0,407.0,407.0,19559,37236,56836,0
97,2020-05-20 11:47:00,407.0,407.0,407.0,407.0,19715,9401,14401,0
98,2020-05-20 11:48:00,406.85,406.85,406.85,406.85,22182,9216,14411,0
99,2020-05-20 11:51:00,406.9,406.9,406.9,406.9,22132,9370,14280,0
100,2020-05-20 11:53:00,406.4,406.4,406.4,406.4,20086,9264,14453,0
101,2020-05-20 11:58:00,406.0,406.0,406.0,406.0,20285,9480,14177,0
102,2020-05-20 12:00:00,406.0,406.0,406.0,406.0,22442,9515,14147,0
103,2020-05-20 12:01:00,406.0,406.0,406.0,406.0,22267,9460,14132,0
104,2020-05-20 12:03:00,405.95,405.95,405.95,405.95,20272,9475,14096,0
105,2020-05-20 12:10:00,406.0,406.0,406.0,406.0,20802,9465,14234,0
106,2020-05-20 12:11:00,406.0,406.0,406.0,406.0,22812,9526,14219,0
107,2020-05-20 12:12:00,406.0,406.0,406.0,406.0,22299,9525,14202,0
108,2020-05-20 12:13:00,406.0,406.0,406.0,406.0,20607,9273,14175,0
109,2020-05-20 12:17:00,406.0,406.0,406.0,406.0,21502,9254,14130,0
110,2020-05-20 12:19:00,406.0,406.0,406.0,406.0,23517,9064,14187,0
111,2020-05-20 12:20:00,406.0,406.0,406.0,406.0,22636,9069,14251,0
112,2020-05-20 12:24:00,406.0,406.0,406.0,406.0,20795,8257,14174,0
113,2020-05-20 12:25:00,405.95,405.95,405.95,405.95,21737,8258,14213,0
114,2020-05-20 12:26:00,405.95,405.95,405.95,405.95,23611,8293,14230,0
115,2020-05-20 12:28:00,406.0,406.0,406.0,406.0,20944,16601,28598,0
116,2020-05-20 12:29:00,406.0,406.0,406.0,406.0,20948,8273,14397,0
117,2020-05-20 12:34:00,405.95,405.95,405.95,405.95,24818,8309,14446,0
118,2020-05-20 12:35:00,406.0,406.0,406.0,406.0,24828,8308,14442,0
119,2020-05-20 12:37:00,406.0,406.0,406.0,406.0,21202,8318,14559,0
120,2020-05-20 12:38:00,406.0,406.0,406.0,406.0,21296,8282,14563,0
121,2020-05-20 12:39:00,406.0,406.0,406.0,406.0,24972,8255,14513,0
122,2020-05-20 12:40:00,406.0,406.0,406.0,406.0,24902,8291,14489,0
123,2020-05-20 12:42:00,406.0,406.0,406.0,406.0,21290,8306,14449,0
124,2020-05-20 12:44:00,406.0,406.0,406.0,406.0,21411,8327,14448,0
125,2020-05-20 12:45:00,406.0,406.0,406.0,406.0,25044,8326,14427,0
126,2020-05-20 12:47:00,406.0,406.0,406.0,406.0,25182,8446,14425,0
127,2020-05-20 12:48:00,406.0,406.0,406.0,406.0,21599,8476,14385,0
128,2020-05-20 12:51:00,405.95,405.95,405.95,405.95,21696,8172,14329,0
129,2020-05-20 12:53:00,405.85,405.85,405.85,405.85,25476,8162,14383,0
130,2020-05-20 12:54:00,405.9,405.9,405.9,405.9,25400,8325,14380,0
131,2020-05-20 12:55:00,405.9,405.9,405.9,405.9,21627,8255,14373,0
132,2020-05-20 12:56:00,407.35,407.35,407.35,407.35,21775,8510,13359,0
133,2020-05-20 12:57:00,407.35,407.35,407.35,407.35,25717,8169,13344,0
134,2020-05-20 12:59:00,407.0,407.0,407.0,407.0,25883,8301,13389,0
135,2020-05-20 13:00:00,407.65,407.65,407.65,407.65,21990,8330,13412,0
136,2020-05-20 13:04:00,407.85,407.85,407.85,407.85,21955,8419,13288,0
137,2020-05-20 13:05:00,407.85,407.85,407.85,407.85,25848,8420,13288,0
138,2020-05-20 13:07:00,407.95,407.95,407.95,407.95,26096,9088,13147,0
139,2020-05-20 13:08:00,407.65,407.75,407.65,407.75,22729,27242,39859,0
140,2020-05-20 13:09:00,407.75,407.75,407.75,407.75,22729,9169,13328,0
141,2020-05-20 13:10:00,407.75,407.75,407.75,407.75,26136,18140,26243,0
142,2020-05-20 13:11:00,407.75,407.75,407.75,407.75,22766,27395,39430,0
143,2020-05-20 13:12:00,407.75,407.75,407.75,407.75,26277,18100,26357,0
144,2020-05-20 13:13:00,407.75,407.75,407.75,407.75,22766,18100,26364,0
145,2020-05-20 13:17:00,407.05,407.05,407.05,407.05,22939,9282,13144,0
146,2020-05-20 13:18:00,407.85,407.85,407.85,407.85,26463,9271,13207,0
147,2020-05-20 13:19:00,407.5,407.85,407.5,407.85,22847,18668,26181,0
148,2020-05-20 13:20:00,407.85,407.85,407.85,407.85,22847,9317,13098,0
149,2020-05-20 13:22:00,408.0,408.0,408.0,408.0,27186,8392,12410,0
150,2020-05-20 13:25:00,408.0,408.0,408.0,408.0,27261,8412,12337,0
151,2020-05-20 13:27:00,407.95,407.95,407.95,407.95,23218,16422,25073,0
152,2020-05-20 13:31:00,407.95,407.95,407.95,407.95,27899,16498,24951,0
153,2020-05-20 13:32:00,407.95,407.95,407.95,407.95,23314,16430,24934,0
154,2020-05-20 13:34:00,407.75,407.9,407.75,407.9,28820,23334,39365,0
155,2020-05-20 13:35:00,407.65,407.65,407.65,407.65,28886,7737,13122,0
156,2020-05-20 13:36:00,407.45,407.45,407.45,407.45,23532,7820,13196,0
157,2020-05-20 13:39:00,407.9,407.9,407.9,407.9,23691,7877,13100,0
158,2020-05-20 13:40:00,407.85,407.85,407.85,407.85,29061,7875,13162,0
159,2020-05-20 13:41:00,407.85,407.85,407.85,407.85,23545,16003,26298,0
160,2020-05-20 13:42:00,407.95,407.95,407.95,407.95,23764,8064,13030,0
161,2020-05-20 13:43:00,407.9,407.9,407.9,407.9,29281,8074,12994,0
162,2020-05-20 13:44:00,407.9,407.9,407.9,407.9,23564,16405,25931,0
163,2020-05-20 13:45:00,407.9,407.9,407.9,407.9,23730,8125,12969,0
164,2020-05-20 13:46:00,407.9,407.9,407.9,407.9,29489,8126,12972,0
165,2020-05-20 13:47:00,407.95,407.95,407.95,407.95,23715,16390,25777,0
166,2020-05-20 13:49:00,408.0,408.0,408.0,408.0,29569,16484,25627,0
167,2020-05-20 13:50:00,408.0,408.0,408.0,408.0,29586,8264,12785,0
168,2020-05-20 13:51:00,408.0,408.0,408.0,408.0,23764,8281,12753,0
169,2020-05-20 13:52:00,407.8,407.8,407.8,407.8,24136,8091,13057,0
170,2020-05-20 13:53:00,408.0,408.0,408.0,408.0,29937,16229,24501,0
171,2020-05-20 13:54:00,408.0,408.0,408.0,408.0,24174,16087,24692,0
