,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,59.95,59.95,59.95,59.95,0,24773,14900,0
1,2020-05-20 09:16:00,60.2,60.2,60.2,60.2,0,36201,18624,0
2,2020-05-20 09:17:00,60.55,60.55,60.55,60.55,1480,37797,19084,0
3,2020-05-20 09:24:00,60.35,60.35,60.35,60.35,2795,46061,29157,0
4,2020-05-20 09:29:00,59.8,60.0,59.8,60.0,975,93076,64342,0
5,2020-05-20 09:38:00,60.0,60.0,60.0,60.0,3170,49617,34079,0
6,2020-05-20 09:45:00,60.0,60.0,60.0,60.0,7687,52097,33908,0
7,2020-05-20 09:49:00,60.2,60.2,60.2,60.2,5975,56025,35548,0
8,2020-05-20 09:53:00,60.35,60.35,60.35,60.35,4441,56979,35320,0
9,2020-05-20 09:54:00,60.15,60.15,60.15,60.15,6900,56817,35367,0
10,2020-05-20 09:56:00,60.45,60.45,60.45,60.45,8520,60072,35594,0
11,2020-05-20 09:57:00,60.4,60.4,60.4,60.4,6319,60234,36787,0
12,2020-05-20 10:12:00,60.4,60.4,60.4,60.4,8121,64872,40940,0
13,2020-05-20 10:14:00,60.45,60.45,60.45,60.45,10427,65453,41009,0
14,2020-05-20 10:23:00,60.55,60.55,60.55,60.55,9472,71842,41490,0
15,2020-05-20 10:43:00,61.0,61.05,61.0,61.05,8904,148413,86416,0
16,2020-05-20 11:01:00,60.65,60.65,60.65,60.65,12004,77821,44825,0
17,2020-05-20 11:10:00,60.5,60.5,60.5,60.5,13210,73355,44675,0
18,2020-05-20 11:11:00,60.4,60.4,60.4,60.4,10231,72965,44963,0
19,2020-05-20 11:13:00,60.45,60.45,60.45,60.45,9169,73083,45020,0
20,2020-05-20 11:23:00,60.35,60.35,60.35,60.35,13519,75708,46385,0
21,2020-05-20 11:27:00,60.25,60.25,60.25,60.25,14982,75695,48028,0
22,2020-05-20 11:40:00,60.3,60.3,60.3,60.3,11789,77076,49243,0
23,2020-05-20 11:48:00,60.25,60.25,60.25,60.25,10597,77412,49192,0
24,2020-05-20 11:54:00,60.4,60.4,60.4,60.4,14240,77820,49203,0
25,2020-05-20 11:58:00,60.5,60.5,60.5,60.5,17164,78006,49082,0
26,2020-05-20 12:02:00,59.95,59.95,59.95,59.95,17841,73491,51065,0
27,2020-05-20 12:03:00,60.0,60.0,60.0,60.0,15959,73492,51022,0
28,2020-05-20 12:09:00,60.0,60.0,60.0,60.0,16215,73792,51297,0
29,2020-05-20 12:16:00,60.0,60.0,60.0,60.0,19117,73715,51781,0
30,2020-05-20 12:40:00,59.9,59.9,59.9,59.9,22186,71057,49834,0
31,2020-05-20 13:03:00,60.0,60.0,60.0,60.0,21496,72406,50244,0
32,2020-05-20 13:07:00,59.85,59.85,59.85,59.85,18951,72371,50171,0
33,2020-05-20 13:15:00,60.0,60.0,60.0,60.0,20149,73475,51198,0
34,2020-05-20 13:20:00,59.95,59.95,59.95,59.95,23097,73964,51305,0
35,2020-05-20 13:57:00,59.75,59.75,59.75,59.75,25117,69743,49535,0
36,2020-05-20 14:15:00,60.0,60.0,60.0,60.0,25846,70500,48872,0
37,2020-05-20 14:30:00,60.0,60.0,60.0,60.0,29536,142136,100157,0
38,2020-05-20 14:32:00,60.0,60.0,60.0,60.0,29776,71280,49671,0
39,2020-05-20 14:39:00,60.6,60.6,60.6,60.6,29273,76925,48037,0
40,2020-05-20 14:55:00,60.8,60.8,60.4,60.4,31828,158141,95300,0
41,2020-05-20 14:56:00,60.8,60.8,60.8,60.8,31858,81736,47702,0
42,2020-05-20 14:57:00,60.65,60.65,60.5,60.5,29330,162981,95350,0
43,2020-05-20 14:58:00,60.5,60.5,60.4,60.4,31907,163673,95356,0
44,2020-05-20 14:59:00,60.4,60.4,60.4,60.4,31942,81756,47705,0
45,2020-05-20 15:00:00,60.4,60.4,60.4,60.4,29446,81489,47979,0
46,2020-05-20 15:05:00,60.35,60.35,60.35,60.35,30051,76589,43869,0
47,2020-05-20 15:15:00,60.0,60.0,60.0,60.0,37617,74344,44100,0
48,2020-05-20 15:17:00,60.0,60.0,60.0,60.0,37141,74430,43785,0
49,2020-05-20 15:20:00,59.85,59.85,59.85,59.85,29596,73935,42985,0
50,2020-05-20 15:25:00,59.95,59.95,59.95,59.95,37355,60694,32596,0
51,2020-05-20 15:26:00,59.95,59.95,59.95,59.95,44945,60921,25759,0
52,2020-05-20 15:27:00,59.8,59.8,59.8,59.8,39926,60670,23754,0
