,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,74.65,74.65,74.65,74.65,0,7160,6292,0
1,2020-05-20 09:15:00,75.0,75.0,75.0,75.0,0,7159,6292,0
2,2020-05-20 09:17:00,75.35,75.35,75.35,75.35,1268,7105,10730,0
3,2020-05-20 09:21:00,75.0,75.0,75.0,75.0,1946,9133,14560,0
4,2020-05-20 09:22:00,75.0,75.0,75.0,75.0,818,9199,16508,0
5,2020-05-20 09:29:00,75.0,75.0,75.0,75.0,413,10521,18237,0
6,2020-05-20 09:33:00,74.85,74.85,74.85,74.85,2154,10968,17974,0
7,2020-05-20 09:35:00,75.0,75.0,75.0,75.0,2598,11030,18697,0
8,2020-05-20 10:02:00,75.0,75.0,75.0,75.0,2748,12749,24481,0
9,2020-05-20 11:11:00,75.0,75.0,75.0,75.0,11643,12550,25810,0
10,2020-05-20 13:03:00,75.0,75.0,75.0,75.0,15996,12921,26670,0
11,2020-05-20 13:48:00,75.0,75.0,75.0,75.0,18888,13266,26040,0
12,2020-05-20 13:50:00,75.0,75.0,75.0,75.0,14653,13366,26085,0
13,2020-05-20 14:09:00,76.0,76.0,76.0,76.0,26743,17986,20769,0
14,2020-05-20 14:22:00,76.0,76.0,76.0,76.0,34854,16058,20481,0
15,2020-05-20 14:28:00,76.05,76.05,76.0,76.0,17505,32186,41431,0
16,2020-05-20 14:31:00,76.0,76.0,76.0,76.0,17852,16088,21516,0
17,2020-05-20 14:49:00,75.9,75.9,75.9,75.9,40306,15436,21271,0
18,2020-05-20 15:02:00,76.0,76.0,76.0,76.0,45480,13940,23023,0
19,2020-05-20 15:12:00,76.0,76.0,76.0,76.0,27762,14631,21115,0
20,2020-05-20 15:13:00,76.0,76.0,76.0,76.0,23221,14631,21140,0
21,2020-05-20 15:14:00,76.0,76.0,76.0,76.0,41186,14631,21169,0
22,2020-05-20 15:15:00,76.0,76.0,76.0,76.0,45858,14952,21435,0
23,2020-05-20 15:17:00,76.0,76.0,76.0,76.0,28834,14760,21432,0
24,2020-05-20 15:18:00,76.0,76.0,76.0,76.0,25120,14795,21336,0
