,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,65.3,65.3,65.3,65.3,0,41539,49001,0
1,2020-05-20 09:08:00,65.0,65.0,65.0,65.0,0,42831,52755,0
2,2020-05-20 09:11:00,65.0,65.0,65.0,65.0,851,42831,52755,0
3,2020-05-20 09:14:00,65.0,65.0,65.0,65.0,851,42831,52755,0
4,2020-05-20 09:16:00,64.5,64.6,64.5,64.6,11245,186380,195484,0
5,2020-05-20 09:17:00,64.75,64.75,64.75,64.75,14127,122569,109696,0
6,2020-05-20 09:20:00,64.95,65.2,64.95,65.2,28317,451252,393710,0
7,2020-05-20 09:21:00,65.55,65.55,65.55,65.55,38421,247035,197770,0
8,2020-05-20 09:25:00,65.2,65.2,65.2,65.2,45743,253383,239431,0
9,2020-05-20 09:26:00,65.05,65.05,65.05,65.05,40791,248880,255009,0
10,2020-05-20 09:27:00,65.0,65.0,65.0,65.0,34954,247271,254358,0
11,2020-05-20 09:29:00,65.0,65.0,65.0,65.0,44810,248758,263302,0
12,2020-05-20 09:30:00,64.95,64.95,64.95,64.95,44347,492437,540800,0
13,2020-05-20 09:31:00,65.0,65.0,65.0,65.0,45398,242737,273134,0
14,2020-05-20 09:32:00,64.85,64.85,64.85,64.85,46078,243356,274923,0
15,2020-05-20 09:33:00,64.85,64.85,64.85,64.85,45252,247980,276018,0
16,2020-05-20 09:35:00,65.0,65.0,64.95,64.95,50101,502880,549081,0
17,2020-05-20 09:38:00,65.0,65.0,65.0,65.0,54422,256668,273984,0
18,2020-05-20 09:41:00,64.75,64.75,64.75,64.75,74199,242568,280822,0
19,2020-05-20 09:42:00,64.95,64.95,64.95,64.95,71349,247517,282283,0
20,2020-05-20 09:43:00,64.8,64.8,64.8,64.8,54945,246085,289868,0
21,2020-05-20 09:48:00,64.7,64.85,64.7,64.85,80063,491868,617646,0
22,2020-05-20 09:49:00,64.85,64.85,64.85,64.85,62058,548321,646900,0
23,2020-05-20 09:50:00,64.75,64.75,64.75,64.75,72659,248306,340467,0
24,2020-05-20 09:53:00,64.95,65.0,64.95,65.0,95047,525310,596978,0
25,2020-05-20 10:00:00,65.0,65.0,65.0,65.0,101616,275222,299351,0
26,2020-05-20 10:01:00,65.0,65.0,65.0,65.0,84623,559698,576547,0
27,2020-05-20 10:02:00,65.1,65.1,65.1,65.1,86155,286675,291446,0
28,2020-05-20 10:03:00,65.2,65.2,65.1,65.1,104991,577704,587886,0
29,2020-05-20 10:07:00,64.95,64.95,64.95,64.95,115327,285169,302823,0
30,2020-05-20 10:14:00,65.0,65.0,65.0,65.0,322376,282553,305695,0
31,2020-05-20 10:16:00,65.1,65.1,65.1,65.1,313952,303048,296193,0
32,2020-05-20 10:23:00,64.85,64.85,64.85,64.85,115218,295897,316172,0
33,2020-05-20 10:27:00,64.85,64.85,64.85,64.85,125969,304385,314201,0
34,2020-05-20 10:30:00,64.95,64.95,64.95,64.95,325381,311765,311586,0
35,2020-05-20 10:31:00,64.85,64.85,64.85,64.85,116813,616240,634686,0
36,2020-05-20 10:33:00,64.85,64.85,64.85,64.85,118747,307936,319413,0
37,2020-05-20 10:36:00,64.95,64.95,64.95,64.95,328982,313968,315856,0
38,2020-05-20 10:38:00,65.05,65.05,65.05,65.05,334473,319781,310358,0
39,2020-05-20 10:40:00,64.95,64.95,64.95,64.95,125354,319886,307817,0
40,2020-05-20 10:41:00,65.05,65.05,65.05,65.05,120349,320286,307381,0
41,2020-05-20 10:43:00,65.0,65.0,65.0,65.0,330656,318366,309539,0
42,2020-05-20 10:45:00,65.05,65.05,65.05,65.05,337361,320346,309420,0
43,2020-05-20 10:54:00,65.1,65.1,65.1,65.1,131007,329534,311906,0
44,2020-05-20 11:13:00,64.85,64.85,64.85,64.85,134041,324879,326899,0
45,2020-05-20 11:19:00,65.15,65.15,65.1,65.1,344182,659745,633942,0
46,2020-05-20 11:22:00,65.05,65.05,65.05,65.05,345152,331498,318426,0
47,2020-05-20 11:26:00,65.1,65.1,65.1,65.1,142723,330537,315466,0
48,2020-05-20 11:31:00,65.6,65.6,65.6,65.6,161729,352109,293792,0
49,2020-05-20 11:38:00,65.25,65.25,65.25,65.25,372346,348656,313602,0
50,2020-05-20 11:43:00,65.1,65.1,65.1,65.1,365431,337895,315775,0
51,2020-05-20 11:46:00,65.0,65.0,65.0,65.0,159720,332410,321120,0
52,2020-05-20 11:50:00,65.0,65.0,65.0,65.0,172632,326250,324954,0
53,2020-05-20 11:52:00,65.0,65.0,65.0,65.0,379548,328074,328116,0
54,2020-05-20 11:53:00,65.0,65.0,65.0,65.0,368273,325594,329570,0
55,2020-05-20 11:56:00,64.9,64.9,64.9,64.9,165051,320695,334583,0
56,2020-05-20 12:00:00,64.85,64.85,64.85,64.85,384465,634140,677397,0
57,2020-05-20 12:01:00,64.9,64.9,64.9,64.9,384475,317122,338288,0
58,2020-05-20 12:03:00,64.85,64.85,64.85,64.85,165726,316795,338238,0
59,2020-05-20 12:09:00,65.0,65.0,65.0,65.0,171073,320515,335959,0
60,2020-05-20 12:10:00,64.85,64.85,64.85,64.85,389833,320120,336908,0
61,2020-05-20 12:12:00,65.0,65.0,65.0,65.0,166318,644197,676217,0
62,2020-05-20 12:14:00,65.0,65.0,65.0,65.0,166468,324653,337199,0
63,2020-05-20 12:18:00,65.0,65.0,65.0,65.0,391388,329205,332163,0
64,2020-05-20 12:22:00,64.5,64.5,64.5,64.5,415390,302934,352680,0
65,2020-05-20 12:24:00,64.6,64.6,64.6,64.6,190876,309311,353849,0
66,2020-05-20 12:25:00,64.7,64.7,64.7,64.7,167313,310585,350803,0
67,2020-05-20 12:26:00,64.6,64.6,64.6,64.6,395096,308685,353784,0
68,2020-05-20 12:27:00,64.55,64.55,64.55,64.55,419881,308042,357799,0
69,2020-05-20 12:29:00,64.6,64.6,64.6,64.6,194628,308987,358075,0
70,2020-05-20 12:33:00,64.55,64.55,64.55,64.55,172384,309384,355744,0
71,2020-05-20 12:35:00,64.7,64.7,64.7,64.7,407858,310556,354988,0
72,2020-05-20 12:37:00,64.7,64.7,64.7,64.7,448960,311193,356403,0
73,2020-05-20 12:42:00,64.7,64.7,64.7,64.7,215816,312516,356631,0
74,2020-05-20 12:44:00,64.55,64.65,64.55,64.65,524013,584723,722062,0
75,2020-05-20 12:46:00,64.65,64.65,64.65,64.65,528273,292450,359222,0
76,2020-05-20 12:47:00,64.65,64.65,64.65,64.65,220949,292027,361198,0
77,2020-05-20 12:49:00,64.7,64.7,64.7,64.7,233398,299775,355603,0
78,2020-05-20 12:50:00,64.7,64.7,64.7,64.7,660413,302747,354564,0
79,2020-05-20 12:53:00,64.7,64.7,64.7,64.7,652302,302360,353238,0
80,2020-05-20 12:54:00,64.7,64.7,64.7,64.7,227604,302249,354136,0
81,2020-05-20 13:04:00,64.65,64.65,64.65,64.65,242679,300176,357632,0
82,2020-05-20 13:05:00,64.7,64.7,64.7,64.7,667478,302821,357891,0
83,2020-05-20 13:19:00,64.35,64.35,64.3,64.3,243375,629909,742621,0
84,2020-05-20 13:21:00,64.4,64.4,64.4,64.4,245837,320880,370862,0
85,2020-05-20 13:24:00,64.45,64.45,64.45,64.45,673391,323595,372972,0
86,2020-05-20 13:29:00,64.3,64.3,64.3,64.3,681613,320541,381691,0
87,2020-05-20 13:33:00,64.3,64.3,64.3,64.3,259367,324068,378855,0
88,2020-05-20 13:36:00,64.45,64.45,64.3,64.3,678499,1627233,1866795,0
89,2020-05-20 13:38:00,64.45,64.45,64.45,64.45,679203,337597,371735,0
90,2020-05-20 13:39:00,64.45,64.45,64.45,64.45,261050,338157,373314,0
91,2020-05-20 13:41:00,64.35,64.35,64.35,64.35,261662,339679,376106,0
92,2020-05-20 13:46:00,64.4,64.4,64.4,64.4,685675,344432,381016,0
93,2020-05-20 13:47:00,64.35,64.35,64.35,64.35,687811,338800,382476,0
94,2020-05-20 13:50:00,64.5,64.5,64.5,64.5,273655,338395,366352,0
95,2020-05-20 13:51:00,64.5,64.5,64.45,64.45,688419,684721,734949,0
96,2020-05-20 13:52:00,64.55,64.55,64.4,64.4,275590,687190,738704,0
97,2020-05-20 13:53:00,64.5,64.5,64.5,64.5,276395,351298,368703,0
98,2020-05-20 13:54:00,64.5,64.5,64.5,64.5,689666,350435,370393,0
99,2020-05-20 13:58:00,64.35,64.35,64.35,64.35,692609,338077,376587,0
100,2020-05-20 14:02:00,64.5,64.6,64.5,64.6,278018,1042479,1108247,0
101,2020-05-20 14:03:00,64.55,64.55,64.55,64.55,278647,345821,370789,0
102,2020-05-20 14:05:00,64.55,64.55,64.55,64.55,693953,347057,371051,0
103,2020-05-20 14:11:00,64.75,64.75,64.75,64.75,715954,356481,356296,0
104,2020-05-20 14:12:00,64.7,64.7,64.7,64.7,301056,354801,356578,0
105,2020-05-20 14:19:00,64.6,64.6,64.6,64.6,287864,357024,359584,0
106,2020-05-20 14:20:00,64.6,64.6,64.6,64.6,716037,712714,724115,0
107,2020-05-20 14:21:00,64.55,64.55,64.55,64.55,716423,357326,364038,0
108,2020-05-20 14:22:00,64.55,64.55,64.55,64.55,288250,356812,363938,0
109,2020-05-20 14:23:00,64.75,64.75,64.75,64.75,295559,359703,355124,0
110,2020-05-20 14:24:00,65.0,65.0,65.0,65.0,735840,371799,338577,0
111,2020-05-20 14:25:00,65.35,65.35,65.35,65.35,744148,377535,304493,0
112,2020-05-20 14:26:00,65.9,65.9,65.9,65.9,328699,393858,287922,0
113,2020-05-20 14:27:00,65.7,65.7,65.7,65.7,365088,394831,293887,0
114,2020-05-20 14:28:00,65.7,65.7,65.7,65.7,755516,789476,598442,0
115,2020-05-20 14:29:00,65.7,65.7,65.6,65.6,368729,783971,611659,0
116,2020-05-20 14:34:00,65.4,65.4,65.4,65.4,423027,385331,326037,0
117,2020-05-20 14:35:00,65.4,65.4,64.9,64.9,790708,752791,658864,0
118,2020-05-20 14:36:00,64.7,64.7,64.7,64.7,446690,680132,719352,0
119,2020-05-20 14:38:00,65.1,65.1,65.1,65.1,451541,362225,351353,0
120,2020-05-20 14:41:00,64.8,64.85,64.8,64.85,801977,699554,727212,0
121,2020-05-20 14:42:00,64.9,64.9,64.9,64.9,807179,352841,354947,0
122,2020-05-20 14:49:00,64.95,64.95,64.95,64.95,495527,381728,354201,0
123,2020-05-20 14:50:00,64.7,64.7,64.7,64.7,804769,761957,730831,0
124,2020-05-20 14:52:00,64.8,65.0,64.8,65.0,614679,749088,692224,0
125,2020-05-20 14:53:00,64.95,64.95,64.95,64.95,622452,370524,341394,0
126,2020-05-20 14:55:00,64.8,64.8,64.8,64.8,818958,356735,338297,0
127,2020-05-20 14:56:00,64.85,64.85,64.85,64.85,811185,356725,338297,0
128,2020-05-20 14:57:00,64.9,64.9,64.9,64.9,615561,356424,331840,0
129,2020-05-20 14:59:00,65.0,65.0,65.0,65.0,627208,362607,328839,0
130,2020-05-20 15:00:00,64.95,64.95,64.95,64.95,823563,360182,327884,0
131,2020-05-20 15:02:00,64.95,64.95,64.95,64.95,638366,738660,658908,0
132,2020-05-20 15:03:00,65.0,65.0,65.0,65.0,839444,750728,645749,0
133,2020-05-20 15:04:00,65.0,65.0,65.0,65.0,649309,753513,617446,0
134,2020-05-20 15:08:00,64.95,64.95,64.95,64.95,845741,726261,587774,0
135,2020-05-20 15:13:00,65.1,65.1,65.1,65.1,915534,319527,263862,0
136,2020-05-20 15:14:00,65.0,65.0,65.0,65.0,720961,325573,254591,0
137,2020-05-20 15:15:00,65.0,65.0,65.0,65.0,855041,650760,501561,0
138,2020-05-20 15:18:00,65.0,65.0,65.0,65.0,866661,316995,242443,0
139,2020-05-20 15:20:00,64.95,64.95,64.95,64.95,756348,296423,233646,0
140,2020-05-20 15:21:00,64.85,64.85,64.85,64.85,759859,262812,212205,0
141,2020-05-20 15:26:00,64.9,64.9,64.9,64.9,886956,235386,195214,0
142,2020-05-20 15:29:00,64.8,64.8,64.8,64.8,895045,224340,290688,0
143,2020-05-20 15:30:00,65.0,65.0,65.0,65.0,779395,222647,279548,0
