,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,164.35,164.35,164.35,164.35,0,5609,2797,0
1,2020-05-20 09:15:00,164.35,164.35,164.35,164.35,0,6124,4992,0
2,2020-05-20 09:18:00,164.4,164.4,164.4,164.4,23,13129,9129,0
3,2020-05-20 09:26:00,164.7,164.7,164.7,164.7,500,17803,12059,0
4,2020-05-20 09:37:00,164.2,164.2,164.2,164.2,1854,20357,13151,0
5,2020-05-20 10:02:00,164.75,164.75,164.75,164.75,1642,21471,22269,0
6,2020-05-20 10:09:00,164.15,164.15,164.15,164.15,382,21235,22781,0
7,2020-05-20 10:22:00,165.0,165.0,165.0,165.0,973,23791,24831,0
8,2020-05-20 10:28:00,162.25,162.25,161.65,161.65,2327,46729,51410,0
9,2020-05-20 10:29:00,162.95,162.95,162.95,162.95,2474,23030,25730,0
10,2020-05-20 10:32:00,162.5,162.5,162.5,162.5,2687,23811,26392,0
11,2020-05-20 10:33:00,162.5,162.5,162.5,162.5,2667,23908,26371,0
12,2020-05-20 10:44:00,162.9,162.9,162.9,162.9,4990,24231,26479,0
13,2020-05-20 11:04:00,162.8,162.8,162.8,162.8,5512,24441,29026,0
14,2020-05-20 11:10:00,163.0,163.0,163.0,163.0,3395,28756,32290,0
15,2020-05-20 11:15:00,163.0,163.0,163.0,163.0,2882,28501,32330,0
16,2020-05-20 11:20:00,162.75,162.75,162.75,162.75,5154,31318,33081,0
17,2020-05-20 11:21:00,163.0,163.0,163.0,163.0,5743,31552,33009,0
18,2020-05-20 11:29:00,163.0,163.0,163.0,163.0,4536,31405,33311,0
19,2020-05-20 11:33:00,162.95,162.95,162.95,162.95,5389,71444,74188,0
20,2020-05-20 11:35:00,162.4,162.4,162.4,162.4,5391,36613,38349,0
21,2020-05-20 11:37:00,162.75,162.75,162.75,162.75,4542,36813,38385,0
22,2020-05-20 11:42:00,163.0,163.0,163.0,163.0,5019,37018,38113,0
23,2020-05-20 11:45:00,163.05,163.05,163.05,163.05,5974,37024,37989,0
24,2020-05-20 11:46:00,163.05,163.05,163.05,163.05,5497,38726,39841,0
25,2020-05-20 11:47:00,163.1,163.1,163.1,163.1,4544,38778,39848,0
26,2020-05-20 11:49:00,163.1,163.1,163.1,163.1,5021,38773,39903,0
27,2020-05-20 11:52:00,163.1,163.1,163.1,163.1,6005,38715,39897,0
28,2020-05-20 11:55:00,163.15,163.15,163.15,163.15,5534,38839,39900,0
29,2020-05-20 12:12:00,163.1,163.1,163.1,163.1,4645,40837,39864,0
30,2020-05-20 12:24:00,163.0,163.0,163.0,163.0,5394,40879,40143,0
31,2020-05-20 12:26:00,163.0,163.0,163.0,163.0,6283,41129,40146,0
32,2020-05-20 12:44:00,164.4,164.4,164.4,164.4,6749,37597,38565,0
33,2020-05-20 12:55:00,164.5,164.5,164.5,164.5,6088,36095,35715,0
34,2020-05-20 13:40:00,164.35,164.35,164.35,164.35,5880,37967,38138,0
35,2020-05-20 13:41:00,164.0,164.0,164.0,164.0,6613,37900,38139,0
36,2020-05-20 13:49:00,164.9,164.9,164.9,164.9,8382,38988,38400,0
37,2020-05-20 13:54:00,164.1,164.1,164.1,164.1,7663,39190,38301,0
38,2020-05-20 13:56:00,164.75,164.75,164.75,164.75,5898,39326,38268,0
39,2020-05-20 14:00:00,165.25,165.25,165.25,165.25,7530,39488,37454,0
40,2020-05-20 14:03:00,165.5,165.5,165.5,165.5,9557,39716,37572,0
41,2020-05-20 14:04:00,165.45,165.45,165.45,165.45,7930,39613,37568,0
42,2020-05-20 14:05:00,165.45,165.45,165.45,165.45,5906,39704,37525,0
43,2020-05-20 14:09:00,165.5,165.5,165.5,165.5,9668,79346,75046,0
44,2020-05-20 14:14:00,165.65,165.65,165.65,165.65,9762,39686,37428,0
45,2020-05-20 14:15:00,166.0,166.0,166.0,166.0,6207,39803,37148,0
46,2020-05-20 14:16:00,166.0,166.0,166.0,166.0,6613,39847,37148,0
47,2020-05-20 14:30:00,166.45,166.45,166.45,166.45,11612,40035,35678,0
48,2020-05-20 14:34:00,166.5,166.5,166.5,166.5,11631,40177,35558,0
49,2020-05-20 14:44:00,166.25,166.25,166.25,166.25,6954,41747,36081,0
50,2020-05-20 14:48:00,166.5,166.5,166.5,166.5,7220,41849,35821,0
51,2020-05-20 14:54:00,166.45,166.45,166.45,166.45,11968,41903,35900,0
52,2020-05-20 14:57:00,166.35,166.35,166.35,166.35,11706,42241,35918,0
53,2020-05-20 15:27:00,166.7,166.7,165.75,165.75,9230,45823,41396,0
