,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1910.25,1910.25,1910.25,1910.25,0,2148,1289,0
1,2020-05-20 09:16:00,1913.75,1913.75,1913.75,1913.75,0,3068,2224,0
2,2020-05-20 09:17:00,1925.0,1925.0,1925.0,1925.0,225,3110,2287,0
3,2020-05-20 09:21:00,1933.95,1933.95,1933.95,1933.95,460,5724,4411,0
4,2020-05-20 09:26:00,1928.2,1928.2,1928.2,1928.2,346,5758,4749,0
5,2020-05-20 09:27:00,1928.05,1928.05,1928.05,1928.05,127,5811,4895,0
6,2020-05-20 09:28:00,1928.05,1928.05,1928.05,1928.05,241,5809,4932,0
7,2020-05-20 09:32:00,1920.0,1920.0,1920.0,1920.0,571,6002,5004,0
8,2020-05-20 09:33:00,1920.0,1920.0,1920.0,1920.0,463,6066,5099,0
9,2020-05-20 09:34:00,1922.0,1922.0,1922.0,1922.0,143,6091,5055,0
10,2020-05-20 09:35:00,1913.0,1917.35,1913.0,1917.35,659,19429,14519,0
11,2020-05-20 09:36:00,1915.0,1915.0,1915.0,1915.0,668,9722,7265,0
12,2020-05-20 09:38:00,1914.0,1914.0,1914.0,1914.0,178,19465,14523,0
13,2020-05-20 09:40:00,1908.2,1908.2,1908.2,1908.2,329,9485,7499,0
14,2020-05-20 09:41:00,1908.2,1908.2,1908.2,1908.2,822,9487,7512,0
15,2020-05-20 09:42:00,1908.2,1908.2,1908.2,1908.2,671,9482,7530,0
16,2020-05-20 09:50:00,1905.0,1905.0,1905.0,1905.0,381,9554,7580,0
17,2020-05-20 09:51:00,1905.05,1905.05,1905.05,1905.05,849,19229,15152,0
18,2020-05-20 09:52:00,1909.9,1909.9,1909.9,1909.9,853,9656,7569,0
19,2020-05-20 09:54:00,1914.8,1914.8,1914.8,1914.8,465,9765,7479,0
20,2020-05-20 09:55:00,1912.0,1912.0,1912.0,1912.0,472,9757,7494,0
21,2020-05-20 09:59:00,1910.0,1910.0,1910.0,1910.0,903,9679,7562,0
22,2020-05-20 10:01:00,1910.0,1910.0,1910.0,1910.0,478,19438,15134,0
23,2020-05-20 10:39:00,1925.9,1925.9,1925.9,1925.9,789,17110,13147,0
24,2020-05-20 11:05:00,1919.35,1919.35,1919.35,1919.35,1459,22587,18216,0
25,2020-05-20 11:16:00,1919.35,1919.35,1919.35,1919.35,1195,22598,18230,0
26,2020-05-20 11:31:00,1915.0,1915.0,1915.0,1915.0,577,24123,19636,0
27,2020-05-20 12:07:00,1939.85,1939.85,1939.85,1939.85,1657,26476,20129,0
28,2020-05-20 12:15:00,1945.85,1945.85,1945.85,1945.85,2660,29464,20289,0
29,2020-05-20 12:26:00,1935.1,1935.1,1935.1,1935.1,1684,29366,20857,0
30,2020-05-20 12:31:00,1931.5,1931.5,1931.5,1931.5,1727,58612,41690,0
31,2020-05-20 12:37:00,1927.2,1927.2,1927.2,1927.2,1784,29326,20874,0
32,2020-05-20 13:07:00,1939.45,1939.45,1939.45,1939.45,1881,25045,16966,0
33,2020-05-20 13:08:00,1939.45,1939.45,1939.45,1939.45,1727,50094,33928,0
34,2020-05-20 13:15:00,1940.7,1940.7,1940.7,1940.7,1773,27796,19853,0
35,2020-05-20 13:24:00,1936.1,1936.1,1936.1,1936.1,2056,27818,19875,0
36,2020-05-20 13:32:00,1943.0,1943.0,1943.0,1943.0,2122,26355,18607,0
37,2020-05-20 13:33:00,1927.05,1942.2,1927.05,1942.2,2148,52582,37914,0
38,2020-05-20 13:34:00,1932.3,1941.1,1932.3,1941.1,2498,52709,37493,0
39,2020-05-20 13:37:00,1938.1,1938.1,1938.1,1938.1,3138,26268,19127,0
40,2020-05-20 13:38:00,1934.05,1934.05,1934.05,1934.05,3018,26338,19141,0
41,2020-05-20 13:39:00,1940.0,1940.0,1940.0,1940.0,2854,26444,18758,0
42,2020-05-20 13:45:00,1945.8,1945.8,1945.8,1945.8,3120,28253,19412,0
43,2020-05-20 13:56:00,1944.0,1944.0,1944.0,1944.0,3382,28249,19381,0
44,2020-05-20 14:16:00,1955.0,1955.0,1955.0,1955.0,3636,28371,19303,0
45,2020-05-20 14:18:00,1968.95,1968.95,1968.95,1968.95,3744,25991,16865,0
46,2020-05-20 14:20:00,1978.0,1978.0,1978.0,1978.0,4587,30201,17769,0
47,2020-05-20 14:23:00,1966.25,1966.25,1966.25,1966.25,4832,30183,18227,0
48,2020-05-20 14:24:00,1977.45,1977.45,1977.45,1977.45,4197,30374,18118,0
49,2020-05-20 14:25:00,1978.0,1982.0,1978.0,1982.0,4705,60775,36121,0
50,2020-05-20 14:31:00,1975.0,1975.0,1975.0,1975.0,5045,33913,17606,0
51,2020-05-20 14:32:00,1980.0,1980.0,1980.0,1980.0,4590,33925,17639,0
52,2020-05-20 14:36:00,1978.55,1978.55,1978.55,1978.55,4715,34370,17558,0
53,2020-05-20 14:41:00,1986.2,1986.2,1986.2,1986.2,5668,35980,17786,0
54,2020-05-20 14:44:00,1994.95,1994.95,1994.95,1994.95,5947,36180,16764,0
55,2020-05-20 14:50:00,1989.05,1989.05,1989.05,1989.05,6050,36077,16634,0
56,2020-05-20 15:00:00,1985.0,1985.0,1985.0,1985.0,6372,34669,16728,0
57,2020-05-20 15:02:00,1991.95,1991.95,1991.95,1991.95,6401,34373,16559,0
