,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,74.25,74.25,74.25,74.25,0,9586,5471,0
1,2020-05-20 09:07:00,74.25,74.25,74.25,74.25,0,9736,5821,0
2,2020-05-20 09:18:00,74.7,74.7,74.7,74.7,531,20561,10502,0
3,2020-05-20 09:21:00,74.7,74.7,74.7,74.7,1191,24437,17003,0
4,2020-05-20 09:39:00,74.7,74.7,74.7,74.7,1553,26651,21114,0
5,2020-05-20 10:00:00,75.05,75.2,75.05,75.2,2516,57780,42693,0
6,2020-05-20 10:18:00,74.15,74.15,74.15,74.15,6318,26459,26133,0
7,2020-05-20 10:25:00,74.05,74.05,74.05,74.05,6422,26112,27921,0
8,2020-05-20 10:28:00,74.0,74.0,74.0,74.0,3212,25893,27680,0
9,2020-05-20 10:30:00,73.6,73.6,73.6,73.6,7245,22226,27863,0
10,2020-05-20 10:31:00,73.8,73.8,73.8,73.8,10535,23168,27819,0
11,2020-05-20 10:34:00,73.85,73.85,73.85,73.85,6565,24125,28659,0
12,2020-05-20 10:37:00,73.85,73.85,73.85,73.85,7535,48198,57517,0
13,2020-05-20 10:39:00,73.9,73.9,73.9,73.9,7645,25999,28818,0
14,2020-05-20 10:40:00,73.75,73.75,73.75,73.75,6712,25995,28808,0
15,2020-05-20 10:41:00,73.95,73.95,73.95,73.95,6652,28410,28074,0
16,2020-05-20 10:46:00,74.0,74.0,74.0,74.0,8419,29925,28403,0
17,2020-05-20 10:47:00,74.0,74.0,74.0,74.0,8479,29925,28408,0
18,2020-05-20 10:49:00,73.85,73.85,73.85,73.85,6830,30178,28223,0
19,2020-05-20 10:50:00,73.85,73.85,73.85,73.85,6770,30104,28223,0
20,2020-05-20 10:51:00,73.85,73.95,73.85,73.95,8491,60044,56517,0
21,2020-05-20 10:52:00,73.95,73.95,73.95,73.95,8491,30018,28272,0
22,2020-05-20 10:53:00,73.95,73.95,73.95,73.95,6770,30016,28284,0
23,2020-05-20 10:54:00,73.95,73.95,73.95,73.95,6770,30431,28348,0
24,2020-05-20 11:05:00,74.0,74.0,74.0,74.0,10572,64407,56833,0
25,2020-05-20 11:10:00,74.0,74.0,74.0,74.0,11113,31722,28412,0
26,2020-05-20 11:11:00,74.0,74.0,74.0,74.0,7311,31681,28412,0
27,2020-05-20 11:21:00,73.7,73.7,73.7,73.7,7502,31752,29415,0
28,2020-05-20 11:22:00,73.7,73.7,73.7,73.7,11304,31861,29429,0
29,2020-05-20 12:15:00,73.9,73.9,73.9,73.9,12362,34962,29837,0
30,2020-05-20 12:17:00,74.0,74.0,74.0,74.0,9853,33787,30058,0
31,2020-05-20 12:44:00,74.0,74.0,74.0,74.0,11503,35229,29485,0
32,2020-05-20 12:55:00,74.1,74.1,74.1,74.1,15099,35402,29432,0
33,2020-05-20 13:11:00,74.05,74.05,74.05,74.05,14531,35938,29640,0
34,2020-05-20 13:17:00,74.05,74.05,74.05,74.05,11564,35800,29840,0
35,2020-05-20 13:37:00,74.0,74.0,74.0,74.0,13224,35189,29064,0
36,2020-05-20 14:00:00,73.8,73.8,73.8,73.8,17738,37783,28398,0
37,2020-05-20 14:13:00,73.65,73.65,73.65,73.65,17706,41054,28752,0
38,2020-05-20 14:32:00,74.1,74.1,74.1,74.1,14357,41064,27777,0
39,2020-05-20 14:35:00,73.95,73.95,73.95,73.95,14703,42284,27468,0
40,2020-05-20 14:44:00,74.15,74.15,74.15,74.15,19784,44775,27680,0
41,2020-05-20 14:45:00,74.15,74.15,74.15,74.15,19438,44776,27680,0
42,2020-05-20 14:52:00,73.9,73.9,73.9,73.9,15322,44261,28569,0
43,2020-05-20 14:53:00,73.65,73.65,73.65,73.65,16311,43085,28887,0
44,2020-05-20 15:09:00,73.35,73.35,73.35,73.35,35132,42383,31293,0
45,2020-05-20 15:11:00,73.55,73.55,73.55,73.55,35447,42895,31014,0
46,2020-05-20 15:12:00,73.4,73.4,73.3,73.3,17253,83610,62952,0
47,2020-05-20 15:15:00,73.3,73.3,73.3,73.3,19695,41071,31669,0
48,2020-05-20 15:16:00,73.3,73.3,73.3,73.3,39062,40443,31541,0
49,2020-05-20 15:17:00,73.3,73.3,73.3,73.3,37284,40335,31750,0
50,2020-05-20 15:20:00,73.4,73.4,73.4,73.4,21523,37394,32073,0
51,2020-05-20 15:21:00,73.4,73.4,73.4,73.4,41589,67975,61992,0
52,2020-05-20 15:22:00,73.25,73.25,73.2,73.2,22247,100078,82338,0
53,2020-05-20 15:23:00,73.3,73.3,73.3,73.3,23055,33666,22641,0
54,2020-05-20 15:27:00,73.35,73.35,73.35,73.35,47923,32254,24356,0
