,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,471.5,471.5,471.5,471.5,0,6873,2305,0
1,2020-05-20 09:17:00,472.05,472.05,472.05,472.05,0,8180,2770,0
2,2020-05-20 09:24:00,479.8,479.8,479.8,479.8,360,10877,4574,0
3,2020-05-20 09:27:00,474.6,474.6,474.6,474.6,366,11007,4863,0
4,2020-05-20 09:38:00,474.6,474.6,474.6,474.6,6,10792,6447,0
5,2020-05-20 09:52:00,484.0,484.0,484.0,484.0,722,15193,7728,0
6,2020-05-20 09:53:00,484.0,484.0,484.0,484.0,1082,17197,7838,0
7,2020-05-20 09:55:00,480.3,480.3,480.3,480.3,381,17406,7904,0
8,2020-05-20 10:19:00,482.05,482.05,482.05,482.05,157,21632,10324,0
9,2020-05-20 10:20:00,482.9,482.9,482.9,482.9,900,21622,10314,0
10,2020-05-20 11:32:00,480.3,480.3,480.3,480.3,1603,36106,22176,0
11,2020-05-20 11:40:00,482.25,482.25,482.25,482.25,872,37286,22784,0
12,2020-05-20 11:41:00,482.25,482.25,482.25,482.25,169,37207,22806,0
13,2020-05-20 11:43:00,480.3,480.3,480.3,480.3,901,37198,22740,0
14,2020-05-20 11:44:00,480.3,480.3,480.3,480.3,1604,37198,22740,0
15,2020-05-20 12:07:00,480.5,480.5,480.5,480.5,1076,37212,22771,0
16,2020-05-20 12:30:00,479.15,479.15,479.15,479.15,649,37539,22915,0
17,2020-05-20 12:46:00,479.1,479.1,479.1,479.1,1181,32383,19260,0
18,2020-05-20 12:50:00,482.8,482.8,482.8,482.8,1634,32395,19253,0
19,2020-05-20 12:51:00,482.8,482.8,482.8,482.8,1102,32385,19277,0
20,2020-05-20 12:52:00,482.8,482.8,482.8,482.8,649,32385,19279,0
21,2020-05-20 13:31:00,481.5,481.5,481.5,481.5,1238,32374,19374,0
22,2020-05-20 13:41:00,479.5,479.5,479.5,479.5,1705,33592,19692,0
23,2020-05-20 14:02:00,478.0,478.0,478.0,478.0,1726,36285,21903,0
24,2020-05-20 14:26:00,479.0,479.0,479.0,479.0,1683,36450,22141,0
25,2020-05-20 14:27:00,479.0,479.0,479.0,479.0,1662,36451,22151,0
26,2020-05-20 14:41:00,475.35,475.35,475.35,475.35,1733,37830,22509,0
27,2020-05-20 14:42:00,475.45,475.45,475.45,475.45,1764,37807,22509,0
28,2020-05-20 14:44:00,475.45,475.45,475.45,475.45,1662,75614,45018,0
29,2020-05-20 14:45:00,475.45,475.45,475.45,475.45,1662,37807,22500,0
30,2020-05-20 15:01:00,478.4,478.4,478.4,478.4,1942,37448,22500,0
31,2020-05-20 15:14:00,478.05,478.05,478.05,478.05,2256,37272,12036,0
32,2020-05-20 15:22:00,478.15,478.15,478.15,478.15,2151,37377,11299,0
33,2020-05-20 15:29:00,483.8,483.8,483.8,483.8,2050,18168,9713,0
