,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,735.4,735.4,735.4,735.4,0,1259,2544,0
1,2020-05-20 09:15:00,736.0,736.0,736.0,736.0,0,1457,2632,0
2,2020-05-20 09:17:00,738.95,738.95,738.95,738.95,1190,4883,6799,0
3,2020-05-20 09:18:00,738.8,738.8,738.8,738.8,1626,5357,7312,0
4,2020-05-20 09:19:00,740.0,740.0,740.0,740.0,769,8783,9853,0
5,2020-05-20 09:20:00,744.05,744.05,744.05,744.05,1161,13144,11163,0
6,2020-05-20 09:21:00,743.5,743.5,742.0,742.0,2284,26966,25980,0
7,2020-05-20 09:22:00,744.75,744.75,743.75,743.75,2377,30185,28124,0
8,2020-05-20 09:23:00,743.75,743.75,743.75,743.75,2377,15311,14382,0
9,2020-05-20 09:24:00,743.35,743.35,743.35,743.35,2601,15296,14683,0
10,2020-05-20 09:26:00,742.2,742.2,741.25,741.25,3680,44084,46714,0
11,2020-05-20 09:30:00,741.95,741.95,741.95,741.95,4202,14711,15581,0
12,2020-05-20 09:31:00,741.95,741.95,741.95,741.95,3531,14446,15989,0
13,2020-05-20 09:32:00,742.3,742.3,742.3,742.3,3218,14495,15533,0
14,2020-05-20 09:34:00,742.7,742.7,742.7,742.7,4308,14749,16258,0
15,2020-05-20 09:37:00,741.65,741.65,741.65,741.65,5428,14599,17013,0
16,2020-05-20 09:39:00,741.2,741.2,741.2,741.2,4474,14554,17440,0
17,2020-05-20 09:44:00,741.95,741.95,741.95,741.95,4434,15064,18425,0
18,2020-05-20 09:45:00,741.95,741.95,741.95,741.95,5481,15202,18402,0
19,2020-05-20 09:46:00,741.95,741.95,741.95,741.95,5521,15202,18402,0
20,2020-05-20 09:47:00,741.8,741.8,741.8,741.8,4491,15382,18378,0
21,2020-05-20 09:48:00,741.95,742.05,741.95,742.05,5824,30746,36403,0
22,2020-05-20 09:52:00,742.05,742.05,742.05,742.05,6287,15322,18173,0
23,2020-05-20 09:55:00,742.75,743.0,742.75,743.0,5499,31942,35486,0
24,2020-05-20 09:56:00,741.6,741.6,741.6,741.6,5578,16679,18210,0
25,2020-05-20 09:57:00,742.95,742.95,742.95,742.95,6386,16615,18238,0
26,2020-05-20 09:58:00,742.9,742.9,742.9,742.9,6324,16804,18199,0
27,2020-05-20 09:59:00,739.6,739.6,739.6,739.6,7727,14546,18781,0
28,2020-05-20 10:00:00,741.8,741.8,741.8,741.8,7950,15556,18384,0
29,2020-05-20 10:01:00,741.05,741.05,741.05,741.05,6556,15545,18397,0
30,2020-05-20 10:02:00,741.1,741.1,741.1,741.1,6396,15775,18502,0
31,2020-05-20 10:04:00,741.2,741.2,741.2,741.2,7936,15823,19015,0
32,2020-05-20 10:07:00,741.5,741.5,741.5,741.5,8248,15752,20223,0
33,2020-05-20 10:08:00,741.45,741.45,741.45,741.45,6748,15794,20149,0
34,2020-05-20 10:12:00,740.0,740.0,740.0,740.0,7040,15945,20568,0
35,2020-05-20 10:14:00,739.6,739.6,739.6,739.6,8824,16209,20662,0
36,2020-05-20 10:15:00,740.0,740.0,740.0,740.0,8662,16315,20666,0
37,2020-05-20 10:18:00,738.95,738.95,738.95,738.95,7061,16277,21134,0
38,2020-05-20 10:21:00,736.5,736.5,736.5,736.5,7562,15847,21595,0
39,2020-05-20 10:23:00,736.0,736.0,736.0,736.0,9658,15582,21721,0
40,2020-05-20 10:24:00,736.9,736.9,736.9,736.9,9257,15637,22140,0
41,2020-05-20 10:25:00,737.0,737.0,737.0,737.0,7200,16276,21277,0
42,2020-05-20 10:31:00,738.0,738.0,738.0,738.0,8321,16529,21565,0
43,2020-05-20 10:32:00,738.75,738.75,738.75,738.75,10478,16898,20855,0
44,2020-05-20 10:33:00,740.7,740.7,740.7,740.7,9855,16955,20193,0
45,2020-05-20 10:34:00,740.5,740.5,740.5,740.5,7734,17150,20218,0
46,2020-05-20 10:35:00,743.0,743.0,743.0,743.0,11099,35268,38852,0
47,2020-05-20 10:36:00,743.05,743.05,743.05,743.05,11657,18007,19242,0
48,2020-05-20 10:37:00,746.9,746.9,744.7,746.9,12532,59979,49786,0
49,2020-05-20 10:38:00,746.1,746.1,746.1,746.1,12756,20065,17349,0
50,2020-05-20 10:39:00,747.2,747.2,747.0,747.0,12674,40660,35326,0
51,2020-05-20 10:40:00,746.9,746.9,746.9,746.9,12678,20216,17673,0
52,2020-05-20 10:42:00,747.05,747.95,747.05,747.95,13579,41643,35556,0
53,2020-05-20 10:43:00,747.75,747.75,745.2,745.2,13415,41269,36766,0
54,2020-05-20 10:44:00,745.0,745.0,744.0,744.0,13878,39784,39234,0
55,2020-05-20 10:45:00,744.5,744.5,744.5,744.5,13529,59456,59425,0
56,2020-05-20 10:47:00,746.65,746.85,746.65,746.85,14765,42860,37709,0
57,2020-05-20 10:48:00,747.7,747.7,747.7,747.7,15172,22164,18360,0
58,2020-05-20 10:49:00,753.0,753.0,753.0,753.0,16113,23267,15649,0
59,2020-05-20 10:50:00,751.55,751.55,751.55,751.55,17454,23638,17079,0
60,2020-05-20 10:51:00,751.7,751.7,751.7,751.7,16685,23742,16982,0
61,2020-05-20 10:52:00,753.25,753.25,753.25,753.25,16527,23907,16303,0
62,2020-05-20 10:53:00,754.65,754.65,754.55,754.55,22297,48684,30699,0
63,2020-05-20 10:54:00,752.95,752.95,752.95,752.95,22787,23938,15552,0
64,2020-05-20 10:55:00,764.0,764.0,764.0,764.0,24727,27892,9022,0
65,2020-05-20 10:56:00,762.95,762.95,759.1,759.1,25555,111267,44585,0
66,2020-05-20 10:57:00,759.1,759.1,755.4,755.4,26282,54170,26284,0
67,2020-05-20 10:58:00,756.0,756.0,755.0,755.0,26155,53715,28323,0
68,2020-05-20 10:59:00,757.45,757.45,756.4,756.4,26906,54938,27931,0
69,2020-05-20 11:00:00,756.75,756.75,755.4,755.4,26400,136499,71674,0
70,2020-05-20 11:01:00,756.1,756.1,756.1,756.1,26560,26836,14595,0
71,2020-05-20 11:02:00,755.25,756.0,755.25,756.0,27503,55589,29035,0
72,2020-05-20 11:03:00,755.25,755.25,755.25,755.25,27513,27921,15122,0
73,2020-05-20 11:05:00,753.35,753.35,753.35,753.35,27775,26154,17015,0
74,2020-05-20 11:06:00,753.35,753.35,753.35,753.35,27997,26390,16862,0
75,2020-05-20 11:07:00,753.2,754.9,753.2,754.9,27703,105333,68611,0
76,2020-05-20 11:08:00,754.9,754.9,754.9,754.9,27703,26331,17119,0
77,2020-05-20 11:10:00,754.8,754.8,754.8,754.8,28333,26551,17452,0
78,2020-05-20 11:11:00,756.4,756.4,756.4,756.4,28570,26844,17229,0
79,2020-05-20 11:12:00,753.05,753.05,753.05,753.05,28334,26070,18439,0
80,2020-05-20 11:13:00,754.0,754.0,754.0,754.0,28154,26353,18369,0
81,2020-05-20 11:14:00,754.0,754.0,754.0,754.0,28445,26513,18455,0
82,2020-05-20 11:15:00,754.0,754.0,754.0,754.0,28751,26156,18454,0
83,2020-05-20 11:16:00,753.05,753.05,752.6,752.6,28286,52175,37109,0
84,2020-05-20 11:17:00,752.6,752.6,752.6,752.6,28290,26147,18707,0
85,2020-05-20 11:19:00,754.05,754.05,754.05,754.05,29155,26362,18432,0
86,2020-05-20 11:21:00,753.0,753.65,753.0,753.65,29135,78153,56519,0
87,2020-05-20 11:24:00,752.3,752.3,752.3,752.3,29150,26134,18794,0
88,2020-05-20 11:25:00,752.1,752.1,752.1,752.1,29234,26139,18902,0
89,2020-05-20 11:27:00,751.5,751.5,751.5,751.5,29484,26539,19282,0
90,2020-05-20 11:29:00,752.0,752.0,752.0,752.0,29421,26515,19378,0
91,2020-05-20 11:31:00,752.45,752.45,752.45,752.45,29503,26625,19380,0
92,2020-05-20 11:33:00,752.2,752.2,752.2,752.2,29768,26397,19408,0
93,2020-05-20 11:35:00,751.0,751.0,751.0,751.0,29998,25854,19545,0
94,2020-05-20 11:36:00,751.0,751.0,751.0,751.0,29575,51913,39344,0
95,2020-05-20 11:40:00,751.0,751.0,750.25,750.25,30439,53624,39100,0
96,2020-05-20 11:41:00,751.0,751.0,751.0,751.0,29581,53617,39159,0
97,2020-05-20 11:46:00,751.5,751.5,751.5,751.5,29972,27021,19510,0
98,2020-05-20 11:48:00,751.05,751.05,751.05,751.05,30621,53596,39355,0
99,2020-05-20 11:51:00,752.8,752.8,752.8,752.8,30271,81245,58876,0
100,2020-05-20 11:53:00,752.15,752.15,752.15,752.15,30436,27040,19899,0
