,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,2073.5,2073.5,2073.5,2073.5,0,6232,12154,0
1,2020-05-20 09:07:00,2073.5,2073.5,2073.5,2073.5,0,11927,15766,0
2,2020-05-20 09:08:00,2059.0,2059.0,2059.0,2059.0,1074,10853,14692,0
3,2020-05-20 09:11:00,2059.0,2059.0,2059.0,2059.0,1074,10853,14692,0
4,2020-05-20 09:14:00,2059.0,2059.0,2059.0,2059.0,0,10853,14692,0
5,2020-05-20 09:15:00,2058.1,2058.1,2037.6,2037.6,22385,85909,95897,0
6,2020-05-20 09:16:00,2038.65,2038.65,2038.65,2038.65,25133,34810,32242,0
7,2020-05-20 09:19:00,2049.05,2049.05,2044.0,2044.0,58193,105284,94951,0
8,2020-05-20 09:21:00,2041.1,2045.1,2041.1,2045.1,53280,107976,102715,0
9,2020-05-20 09:22:00,2042.0,2042.0,2041.95,2041.95,68196,109843,108289,0
10,2020-05-20 09:23:00,2041.5,2041.5,2040.55,2040.55,62708,109872,111328,0
11,2020-05-20 09:24:00,2036.6,2037.0,2036.6,2037.0,83750,107222,121645,0
12,2020-05-20 09:25:00,2038.75,2038.75,2037.25,2037.25,72081,112529,127901,0
13,2020-05-20 09:26:00,2036.8,2036.8,2036.8,2036.8,88121,111076,131534,0
14,2020-05-20 09:27:00,2039.65,2039.65,2035.65,2035.65,80605,117351,133922,0
15,2020-05-20 09:28:00,2036.25,2036.25,2031.0,2031.0,103567,190520,231014,0
16,2020-05-20 09:29:00,2029.0,2029.0,2026.2,2026.2,99788,172614,243489,0
17,2020-05-20 09:31:00,2022.55,2022.55,2022.55,2022.55,127260,65433,84591,0
18,2020-05-20 09:32:00,2019.55,2019.55,2019.55,2019.55,180273,74028,93858,0
19,2020-05-20 09:34:00,2029.35,2029.35,2029.35,2029.35,193661,89430,88299,0
20,2020-05-20 09:36:00,2029.9,2029.9,2028.2,2028.2,161357,287387,275673,0
21,2020-05-20 09:37:00,2029.0,2029.6,2029.0,2029.6,197920,296097,280186,0
22,2020-05-20 09:38:00,2027.95,2027.95,2027.95,2027.95,200686,96706,94893,0
23,2020-05-20 09:39:00,2028.55,2028.55,2028.55,2028.55,168924,99967,95791,0
24,2020-05-20 09:40:00,2026.2,2026.2,2020.75,2020.75,211702,188380,201130,0
25,2020-05-20 09:41:00,2024.35,2024.35,2022.0,2022.0,178072,195888,204273,0
26,2020-05-20 09:42:00,2020.5,2020.5,2020.5,2020.5,184886,94275,105113,0
27,2020-05-20 09:43:00,2019.15,2019.15,2019.15,2019.15,225872,96085,105148,0
28,2020-05-20 09:44:00,2016.4,2018.5,2016.4,2018.5,192540,187684,211829,0
