,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,171.35,171.35,171.35,171.35,0,163247,256098,0
1,2020-05-20 09:07:00,171.35,171.35,171.35,171.35,0,57018,91017,0
2,2020-05-20 09:08:00,172.0,172.0,172.0,172.0,5669,51812,86954,0
3,2020-05-20 09:11:00,172.0,172.0,172.0,172.0,5669,51812,86954,0
4,2020-05-20 09:14:00,172.0,172.0,172.0,172.0,0,51812,86954,0
5,2020-05-20 09:15:00,172.0,172.0,172.0,172.0,0,51812,86954,0
6,2020-05-20 09:16:00,172.45,172.45,172.45,172.45,45763,276619,341623,0
7,2020-05-20 09:17:00,172.8,173.2,172.8,173.2,24985,614535,708528,0
8,2020-05-20 09:18:00,172.7,172.7,172.7,172.7,35988,316960,368008,0
9,2020-05-20 09:19:00,172.8,173.0,172.8,173.0,60608,688139,767945,0
10,2020-05-20 09:20:00,172.5,172.5,172.5,172.5,85689,351406,396276,0
11,2020-05-20 09:21:00,172.8,172.8,172.2,172.2,79271,1019112,1239554,0
12,2020-05-20 09:22:00,172.7,172.7,172.7,172.7,90823,362190,399013,0
13,2020-05-20 09:23:00,172.65,172.75,172.65,172.75,105253,779680,835980,0
14,2020-05-20 09:24:00,172.65,172.65,172.65,172.65,112137,391242,424876,0
15,2020-05-20 09:25:00,172.1,172.1,172.1,172.1,117382,386308,438837,0
16,2020-05-20 09:26:00,171.9,171.9,171.9,171.9,132750,389988,457260,0
17,2020-05-20 09:28:00,171.8,171.8,171.8,171.8,174182,448321,491564,0
18,2020-05-20 09:29:00,171.8,171.8,171.6,171.6,131985,886434,1001388,0
19,2020-05-20 09:30:00,171.7,171.7,171.5,171.5,196448,899541,1011131,0
20,2020-05-20 09:31:00,171.5,171.5,171.5,171.5,136461,918675,1019780,0
21,2020-05-20 09:32:00,172.15,172.15,172.1,172.1,211070,1038432,1001662,0
22,2020-05-20 09:33:00,172.1,172.1,172.1,172.1,220419,536688,531961,0
23,2020-05-20 09:34:00,172.9,172.9,172.8,172.8,169006,1141301,996496,0
24,2020-05-20 09:35:00,172.9,172.9,172.9,172.9,178846,577937,540585,0
25,2020-05-20 09:36:00,173.25,173.25,173.25,173.25,247453,600113,547291,0
26,2020-05-20 09:37:00,174.35,174.5,174.35,174.5,277291,1393598,1102990,0
27,2020-05-20 09:38:00,174.65,175.15,174.65,175.15,336029,2151140,1642401,0
28,2020-05-20 09:39:00,175.2,175.2,174.9,174.9,329765,2959420,2236110,0
29,2020-05-20 09:40:00,175.15,175.15,175.15,175.15,343399,739132,552823,0
30,2020-05-20 09:41:00,176.8,176.8,176.8,176.8,559055,796863,505225,0
31,2020-05-20 09:42:00,176.45,176.45,176.45,176.45,708452,788078,549674,0
32,2020-05-20 09:43:00,175.8,175.8,175.8,175.8,521504,772674,598426,0
33,2020-05-20 09:44:00,176.2,176.8,176.2,176.65,617875,3249200,2218803,0
34,2020-05-20 09:45:00,176.7,176.7,176.7,176.7,621282,811573,566545,0
35,2020-05-20 09:46:00,175.95,176.3,175.95,176.3,565344,1575215,1234338,0
36,2020-05-20 09:47:00,175.85,175.85,175.85,175.85,579892,786957,626579,0
37,2020-05-20 09:48:00,175.65,175.8,175.65,175.8,647414,1551754,1303524,0
38,2020-05-20 09:49:00,175.25,175.25,175.25,175.25,632425,1504236,1406403,0
39,2020-05-20 09:50:00,175.3,175.3,175.0,175.0,682327,1477002,1411053,0
40,2020-05-20 09:51:00,174.65,174.65,174.65,174.65,691659,696583,733827,0
41,2020-05-20 09:52:00,175.45,175.45,175.45,175.45,664537,739557,697878,0
42,2020-05-20 09:53:00,175.25,175.25,175.1,175.1,713038,2193955,2105827,0
43,2020-05-20 09:54:00,175.2,175.2,175.2,175.2,718437,729570,718626,0
44,2020-05-20 09:55:00,174.8,174.8,174.8,174.8,678346,704713,738618,0
45,2020-05-20 09:56:00,174.8,174.8,174.8,174.8,684375,701652,751374,0
46,2020-05-20 09:58:00,174.55,174.6,174.55,174.6,742696,1403327,1516194,0
47,2020-05-20 09:59:00,175.0,175.2,175.0,175.2,690398,1459497,1453628,0
48,2020-05-20 10:00:00,174.95,174.95,174.95,174.95,695458,724812,741790,0
49,2020-05-20 10:01:00,174.45,174.45,174.45,174.45,756604,701070,775238,0
50,2020-05-20 10:02:00,174.2,174.2,174.2,174.2,772208,690140,782235,0
51,2020-05-20 10:03:00,174.1,174.1,174.05,174.05,718448,1367908,1556380,0
52,2020-05-20 10:04:00,174.35,174.35,174.35,174.35,728800,705802,753009,0
53,2020-05-20 10:08:00,174.15,174.15,174.15,174.15,840940,690442,796729,0
54,2020-05-20 10:09:00,173.95,174.0,173.95,174.0,728637,1371696,1586250,0
55,2020-05-20 10:10:00,174.4,174.4,174.4,174.4,737204,716107,777189,0
56,2020-05-20 10:12:00,173.65,173.65,173.65,173.65,864858,675004,852446,0
57,2020-05-20 10:15:00,174.1,174.1,174.0,174.0,754594,1434311,1625351,0
58,2020-05-20 10:18:00,173.6,173.6,173.6,173.6,778703,677211,844969,0
59,2020-05-20 10:19:00,173.95,173.95,173.95,173.95,897807,698801,818421,0
60,2020-05-20 10:20:00,173.4,173.4,173.4,173.4,881287,681567,858270,0
61,2020-05-20 10:21:00,173.8,173.8,173.8,173.8,772285,686889,835965,0
62,2020-05-20 10:22:00,173.7,173.7,173.7,173.7,796700,701772,836631,0
63,2020-05-20 10:23:00,174.2,174.2,174.2,174.2,918214,734253,799167,0
64,2020-05-20 10:24:00,174.2,174.25,174.2,174.25,778801,1474543,1594371,0
65,2020-05-20 10:25:00,174.2,174.2,174.2,174.2,919101,1477539,1591743,0
66,2020-05-20 10:26:00,174.15,174.15,174.15,174.15,921927,743894,805869,0
67,2020-05-20 10:27:00,174.05,174.5,174.05,174.5,798402,1562089,1610227,0
68,2020-05-20 10:28:00,174.8,175.0,174.8,175.0,950098,1649365,1533952,0
69,2020-05-20 10:29:00,175.0,175.0,175.0,175.0,950099,827136,769618,0
70,2020-05-20 10:30:00,175.05,175.05,175.05,175.05,818079,826185,773461,0
71,2020-05-20 10:35:00,175.2,175.2,175.2,175.2,878677,839882,764255,0
72,2020-05-20 10:37:00,175.4,175.4,175.4,175.4,1045677,863815,727330,0
73,2020-05-20 10:38:00,175.45,175.45,175.45,175.45,990132,864536,728026,0
74,2020-05-20 10:39:00,175.3,175.3,175.3,175.3,829408,852828,745188,0
75,2020-05-20 10:40:00,175.0,175.0,175.0,175.0,895544,837396,758964,0
76,2020-05-20 10:41:00,174.95,174.95,174.95,174.95,1067205,827008,789362,0
77,2020-05-20 10:42:00,174.9,174.9,174.9,174.9,1003154,831729,788818,0
78,2020-05-20 10:43:00,175.0,175.0,175.0,175.0,859651,839706,771854,0
79,2020-05-20 10:45:00,174.7,174.7,174.7,174.7,934166,822568,789805,0
80,2020-05-20 10:46:00,174.75,174.75,174.75,174.75,1082168,821409,797517,0
81,2020-05-20 10:47:00,174.9,174.9,174.9,174.9,1013432,831252,780901,0
82,2020-05-20 10:49:00,175.05,175.05,175.05,175.05,893246,836272,772525,0
83,2020-05-20 10:51:00,175.0,175.0,175.0,175.0,975450,839401,792644,0
84,2020-05-20 10:52:00,175.4,175.4,175.4,175.4,1115885,868078,756706,0
85,2020-05-20 10:54:00,175.7,175.7,175.7,175.7,1056182,889028,745425,0
86,2020-05-20 10:55:00,175.5,175.5,175.5,175.5,930914,871946,753996,0
