,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,43.5,43.5,43.5,43.5,0,43098,40596,0
1,2020-05-20 09:15:00,43.5,43.5,43.5,43.5,0,21624,17426,0
2,2020-05-20 09:21:00,43.85,44.3,43.85,44.3,21571,145589,133519,0
3,2020-05-20 09:23:00,44.2,44.2,44.2,44.2,24934,81735,71742,0
4,2020-05-20 09:24:00,44.2,44.2,44.2,44.2,100,164258,144480,0
5,2020-05-20 09:25:00,44.2,44.2,44.2,44.2,669,82145,71903,0
6,2020-05-20 09:35:00,44.0,44.0,44.0,44.0,33429,87148,91460,0
7,2020-05-20 09:43:00,43.95,43.95,43.95,43.95,39220,80739,101992,0
8,2020-05-20 09:45:00,43.85,43.85,43.85,43.85,6640,81831,105822,0
9,2020-05-20 09:46:00,43.9,43.9,43.9,43.9,900,81881,107968,0
10,2020-05-20 09:51:00,43.9,43.9,43.9,43.9,36561,83607,108745,0
11,2020-05-20 10:04:00,44.0,44.0,44.0,44.0,44515,93856,108309,0
12,2020-05-20 10:05:00,43.9,43.9,43.9,43.9,10192,91713,107625,0
13,2020-05-20 10:10:00,43.9,43.9,43.9,43.9,4552,91151,109003,0
14,2020-05-20 10:11:00,43.9,43.9,43.9,43.9,45015,89575,104977,0
15,2020-05-20 10:14:00,44.0,44.0,44.0,44.0,51657,90272,104949,0
16,2020-05-20 10:48:00,43.35,43.35,43.35,43.35,51775,82203,123339,0
17,2020-05-20 10:51:00,43.45,43.45,43.45,43.45,46777,168122,245083,0
18,2020-05-20 10:55:00,43.5,43.5,43.5,43.5,51652,86006,122972,0
19,2020-05-20 10:56:00,43.65,43.65,43.65,43.65,61167,133629,118938,0
20,2020-05-20 11:05:00,43.75,43.75,43.75,43.75,59130,137695,119018,0
21,2020-05-20 11:06:00,43.75,43.75,43.75,43.75,50115,138219,118092,0
22,2020-05-20 11:07:00,43.85,43.85,43.85,43.85,53817,112749,117182,0
23,2020-05-20 11:19:00,44.95,44.95,44.95,44.95,91549,115816,97001,0
24,2020-05-20 11:21:00,44.65,44.65,44.65,44.65,92899,119555,101483,0
25,2020-05-20 11:24:00,44.3,44.3,44.3,44.3,63606,116273,123302,0
26,2020-05-20 11:27:00,44.25,44.25,44.25,44.25,64052,112871,127929,0
27,2020-05-20 11:28:00,44.25,44.25,44.25,44.25,94163,112618,128059,0
28,2020-05-20 11:29:00,43.9,43.9,43.9,43.9,101001,103555,134498,0
29,2020-05-20 11:47:00,44.0,44.0,44.0,44.0,74030,107757,141254,0
30,2020-05-20 11:50:00,44.0,44.0,44.0,44.0,68748,111518,141591,0
31,2020-05-20 11:55:00,43.9,43.9,43.9,43.9,97730,110851,140559,0
32,2020-05-20 11:56:00,43.85,43.85,43.85,43.85,104339,110692,141982,0
33,2020-05-20 11:57:00,43.9,43.9,43.9,43.9,75856,110004,140949,0
34,2020-05-20 12:29:00,43.7,43.7,43.7,43.7,84318,105392,151217,0
35,2020-05-20 12:32:00,43.65,43.65,43.65,43.65,113697,104981,151856,0
36,2020-05-20 12:43:00,43.75,43.75,43.75,43.75,106722,106096,150956,0
37,2020-05-20 12:48:00,43.75,43.75,43.75,43.75,77515,106277,150234,0
38,2020-05-20 12:52:00,43.6,43.6,43.6,43.6,91855,99300,152275,0
39,2020-05-20 12:53:00,43.25,43.25,43.25,43.25,132123,87151,159661,0
40,2020-05-20 12:58:00,43.5,43.5,43.5,43.5,119367,88920,157724,0
41,2020-05-20 13:09:00,43.45,43.45,43.45,43.45,87724,90548,159770,0
42,2020-05-20 13:13:00,43.4,43.4,43.4,43.4,100602,92714,158935,0
43,2020-05-20 13:20:00,43.55,43.55,43.55,43.55,134708,95098,161531,0
44,2020-05-20 13:27:00,43.55,43.55,43.55,43.55,125515,95023,159534,0
45,2020-05-20 13:33:00,43.65,43.65,43.65,43.65,94024,96037,162037,0
46,2020-05-20 13:42:00,43.5,43.5,43.5,43.5,104644,94661,164066,0
47,2020-05-20 13:43:00,43.5,43.5,43.5,43.5,136406,94866,165019,0
48,2020-05-20 14:00:00,43.65,43.65,43.65,43.65,133442,96835,159600,0
49,2020-05-20 14:04:00,43.7,43.7,43.7,43.7,102727,99466,158090,0
50,2020-05-20 14:16:00,43.6,43.6,43.6,43.6,108550,98739,160342,0
51,2020-05-20 14:17:00,43.75,43.75,43.75,43.75,145478,100106,155548,0
52,2020-05-20 14:20:00,43.65,43.65,43.65,43.65,142605,100197,155797,0
53,2020-05-20 14:26:00,43.7,43.7,43.7,43.7,112977,110841,157812,0
54,2020-05-20 14:27:00,43.75,44.0,43.75,44.0,158038,211039,305288,0
55,2020-05-20 14:29:00,43.9,43.9,43.9,43.9,158254,106577,153170,0
56,2020-05-20 14:33:00,43.75,43.75,43.75,43.75,114402,106468,153141,0
57,2020-05-20 14:37:00,43.85,43.85,43.85,43.85,115853,106865,162743,0
58,2020-05-20 15:02:00,43.7,43.7,43.7,43.7,178531,97740,147368,0
59,2020-05-20 15:05:00,43.6,43.6,43.6,43.6,183455,92990,144301,0
60,2020-05-20 15:07:00,43.6,43.6,43.6,43.6,123319,93669,137500,0
61,2020-05-20 15:12:00,43.65,43.65,43.65,43.65,122092,86436,129300,0
62,2020-05-20 15:15:00,43.7,43.7,43.7,43.7,185797,85305,124991,0
63,2020-05-20 15:25:00,43.75,43.75,43.75,43.75,203443,64834,98347,0
64,2020-05-20 15:26:00,43.75,43.75,43.75,43.75,141846,64804,97695,0
65,2020-05-20 15:27:00,43.9,43.9,43.9,43.9,125197,64526,96698,0
66,2020-05-20 15:29:00,44.0,44.0,44.0,44.0,192566,62279,96663,0
