,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,80.95,80.95,80.95,80.95,0,29605,14878,0
1,2020-05-20 09:15:00,79.95,79.95,79.95,79.95,0,31680,15768,0
2,2020-05-20 09:19:00,79.65,79.65,79.65,79.65,18716,54897,35130,0
3,2020-05-20 09:20:00,79.7,79.7,79.7,79.7,19269,60413,47629,0
4,2020-05-20 09:23:00,79.55,79.55,79.55,79.55,38346,66177,56245,0
5,2020-05-20 09:25:00,79.8,79.8,79.8,79.8,41654,70496,59147,0
6,2020-05-20 09:27:00,79.4,79.4,79.4,79.4,28430,67222,62639,0
7,2020-05-20 09:31:00,78.65,78.65,78.65,78.65,41143,96306,60727,0
8,2020-05-20 09:34:00,78.85,78.85,78.85,78.85,58123,100036,59927,0
9,2020-05-20 09:36:00,79.3,79.3,79.3,79.3,54869,91512,70928,0
10,2020-05-20 09:37:00,78.55,78.55,78.55,78.55,44894,87432,72754,0
11,2020-05-20 09:39:00,78.4,78.4,78.4,78.4,50948,88444,73605,0
12,2020-05-20 09:40:00,78.9,78.9,78.9,78.9,62444,88316,73464,0
13,2020-05-20 09:42:00,78.6,78.6,78.6,78.6,58525,93646,76031,0
14,2020-05-20 09:44:00,78.65,78.65,78.65,78.65,48641,96334,75660,0
15,2020-05-20 09:45:00,78.9,78.9,78.9,78.9,54910,97540,75200,0
16,2020-05-20 09:46:00,78.8,78.8,78.8,78.8,67619,98091,74041,0
17,2020-05-20 09:47:00,78.8,78.8,78.8,78.8,61643,97977,73918,0
18,2020-05-20 09:48:00,79.1,79.1,79.1,79.1,49412,99294,73225,0
19,2020-05-20 09:49:00,78.95,78.95,78.95,78.95,56140,100526,75333,0
20,2020-05-20 09:50:00,78.8,78.8,78.8,78.8,70264,98371,77086,0
21,2020-05-20 09:51:00,78.6,78.6,78.6,78.6,65349,94645,77384,0
22,2020-05-20 09:56:00,78.65,78.65,78.65,78.65,58460,98614,76441,0
23,2020-05-20 09:57:00,78.85,78.85,78.85,78.85,70568,100462,74143,0
24,2020-05-20 09:58:00,79.0,79.0,79.0,79.0,68665,202634,146952,0
25,2020-05-20 09:59:00,78.85,78.85,78.85,78.85,70497,100790,75481,0
26,2020-05-20 10:00:00,78.85,78.85,78.85,78.85,72521,100756,75653,0
27,2020-05-20 10:01:00,79.1,79.15,79.1,79.15,74861,204795,140322,0
