,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,340.4,340.4,340.4,340.4,0,1279,1493,0
1,2020-05-20 09:17:00,335.0,335.0,335.0,335.0,0,3497,3115,0
2,2020-05-20 09:18:00,335.0,335.0,335.0,335.0,964,3586,2995,0
3,2020-05-20 09:24:00,341.9,341.9,341.9,341.9,2054,6588,4481,0
4,2020-05-20 09:25:00,341.75,341.75,341.75,341.75,1091,6701,4611,0
5,2020-05-20 09:26:00,341.0,341.0,340.3,340.3,1034,13426,9462,0
6,2020-05-20 09:27:00,340.0,340.0,340.0,340.0,1163,6556,4792,0
7,2020-05-20 09:42:00,336.25,336.25,336.25,336.25,2123,6168,5323,0
8,2020-05-20 09:48:00,337.3,337.3,337.3,337.3,2124,7009,5265,0
9,2020-05-20 09:49:00,339.1,339.1,339.1,339.1,1264,7036,5200,0
10,2020-05-20 09:52:00,337.4,337.4,337.4,337.4,1273,7907,5556,0
11,2020-05-20 09:53:00,338.75,338.75,338.75,338.75,2135,7839,5533,0
12,2020-05-20 09:54:00,338.75,338.75,338.75,338.75,2139,7842,5522,0
13,2020-05-20 10:03:00,338.3,338.3,338.3,338.3,1759,8028,5536,0
14,2020-05-20 10:13:00,339.0,339.0,339.0,339.0,2036,8078,5759,0
15,2020-05-20 10:14:00,339.0,339.0,339.0,339.0,2425,8083,5777,0
16,2020-05-20 10:15:00,338.3,338.3,338.3,338.3,2203,8103,5779,0
17,2020-05-20 10:16:00,338.3,338.3,338.3,338.3,1814,8505,5779,0
18,2020-05-20 10:38:00,335.15,335.15,335.15,335.15,4132,8519,8417,0
19,2020-05-20 10:46:00,335.9,335.9,335.9,335.9,4737,9565,9356,0
20,2020-05-20 10:59:00,338.1,338.1,338.1,338.1,3550,11455,8784,0
21,2020-05-20 11:11:00,337.0,337.0,337.0,337.0,3326,10734,9146,0
22,2020-05-20 11:22:00,337.7,337.7,337.7,337.7,4932,11551,9704,0
23,2020-05-20 11:49:00,338.8,338.8,338.8,338.8,5494,12680,9948,0
24,2020-05-20 11:54:00,338.0,338.0,338.0,338.0,3899,12714,9947,0
25,2020-05-20 12:40:00,349.0,349.0,348.85,348.85,7789,30122,12743,0
26,2020-05-20 12:41:00,348.75,348.75,348.75,348.75,7903,14613,6393,0
27,2020-05-20 12:43:00,345.65,345.65,345.65,345.65,4424,13986,7390,0
28,2020-05-20 12:44:00,344.0,344.0,344.0,344.0,4334,12743,7088,0
29,2020-05-20 12:45:00,343.3,346.45,343.3,346.45,8151,27505,15010,0
30,2020-05-20 12:54:00,345.65,345.65,345.65,345.65,8356,12946,6877,0
31,2020-05-20 12:57:00,345.4,345.4,345.4,345.4,4549,13559,6998,0
32,2020-05-20 13:03:00,353.9,353.9,353.9,353.9,6265,13633,4995,0
33,2020-05-20 13:04:00,360.0,360.0,360.0,360.0,12665,15451,2370,0
34,2020-05-20 13:06:00,360.5,360.5,360.5,360.5,11895,15813,4226,0
35,2020-05-20 13:10:00,359.9,359.9,359.9,359.9,7574,33096,12192,0
36,2020-05-20 13:11:00,355.25,355.25,355.25,355.25,8076,16539,6364,0
37,2020-05-20 13:15:00,356.6,356.6,356.6,356.6,12301,33308,14176,0
38,2020-05-20 13:18:00,356.75,356.75,356.75,356.75,13094,16751,7129,0
39,2020-05-20 13:33:00,357.7,357.7,357.7,357.7,11351,16189,7286,0
40,2020-05-20 13:34:00,358.0,359.5,358.0,359.5,12614,34224,14312,0
41,2020-05-20 13:35:00,360.05,360.05,360.05,360.05,12098,35647,11972,0
42,2020-05-20 13:38:00,360.95,360.95,360.0,360.0,15353,51892,19344,0
43,2020-05-20 13:41:00,358.3,358.3,358.3,358.3,12401,35418,13539,0
44,2020-05-20 13:47:00,356.05,356.05,356.05,356.05,14019,17760,7346,0
45,2020-05-20 13:48:00,357.0,357.0,357.0,357.0,17107,17724,7291,0
46,2020-05-20 14:11:00,357.0,357.0,357.0,357.0,16510,17916,8400,0
47,2020-05-20 14:18:00,356.55,356.55,356.55,356.55,13770,17718,8522,0
48,2020-05-20 14:22:00,360.75,360.75,360.75,360.75,36721,21567,8906,0
49,2020-05-20 14:23:00,360.15,360.15,359.9,359.9,17846,42359,19888,0
50,2020-05-20 14:24:00,359.4,359.4,359.4,359.4,19221,21341,9837,0
51,2020-05-20 14:25:00,360.7,360.7,360.7,360.7,38596,21798,9420,0
52,2020-05-20 14:28:00,365.0,365.0,365.0,365.0,41229,21372,7389,0
53,2020-05-20 14:30:00,364.2,365.4,364.2,365.4,23743,42646,13279,0
54,2020-05-20 14:31:00,366.4,366.4,365.0,365.0,42348,65436,20452,0
55,2020-05-20 14:32:00,364.35,364.35,364.35,364.35,43532,21807,7067,0
56,2020-05-20 14:39:00,361.0,361.0,360.25,360.25,27084,43293,17528,0
57,2020-05-20 14:40:00,361.6,361.6,361.6,361.6,27576,22042,8566,0
58,2020-05-20 14:43:00,365.0,366.8,365.0,366.8,46112,45190,16120,0
59,2020-05-20 14:45:00,369.95,369.95,369.95,369.95,55952,24745,1786,0
60,2020-05-20 14:47:00,366.35,366.35,366.35,366.35,40136,23880,2979,0
61,2020-05-20 14:48:00,366.05,366.05,366.05,366.05,31093,24016,2798,0
62,2020-05-20 14:50:00,366.6,366.6,366.6,366.6,47496,23790,3154,0
63,2020-05-20 14:51:00,374.0,374.0,374.0,374.0,61482,27221,1706,0
64,2020-05-20 14:52:00,370.5,370.5,370.5,370.5,47105,24041,2403,0
65,2020-05-20 14:53:00,373.95,373.95,373.95,373.95,34060,23694,2866,0
66,2020-05-20 14:54:00,370.95,370.95,370.95,370.95,49100,23207,2984,0
67,2020-05-20 14:55:00,370.0,370.0,370.0,370.0,49963,43721,7801,0
68,2020-05-20 14:57:00,368.9,368.9,368.9,368.9,50530,21497,4493,0
69,2020-05-20 15:05:00,365.0,365.0,365.0,365.0,53468,21032,5799,0
70,2020-05-20 15:06:00,365.65,365.65,365.65,365.65,52984,21125,5798,0
71,2020-05-20 15:09:00,365.55,365.55,365.55,365.55,51791,21765,5991,0
72,2020-05-20 15:11:00,372.0,372.0,372.0,372.0,55469,22715,4307,0
73,2020-05-20 15:12:00,373.0,373.0,373.0,373.0,57826,22883,5343,0
74,2020-05-20 15:13:00,371.35,371.35,371.35,371.35,54318,23058,5825,0
75,2020-05-20 15:17:00,374.4,374.4,374.4,374.4,60905,19882,0,0
76,2020-05-20 15:18:00,374.4,374.4,374.4,374.4,64563,19583,105,0
