,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,451.0,451.0,451.0,451.0,0,11972,22869,0
1,2020-05-20 09:07:00,451.0,451.0,451.0,451.0,0,12769,23897,0
2,2020-05-20 09:08:00,455.0,455.0,455.0,455.0,6300,6917,18172,0
3,2020-05-20 09:11:00,455.0,455.0,455.0,455.0,6300,6917,18172,0
4,2020-05-20 09:14:00,455.0,455.0,455.0,455.0,0,6917,18172,0
5,2020-05-20 09:15:00,455.0,455.0,455.0,455.0,0,7103,18699,0
6,2020-05-20 09:16:00,458.8,458.8,456.0,456.0,83048,212379,238860,0
7,2020-05-20 09:17:00,456.8,457.0,456.8,457.0,15948,257722,279433,0
8,2020-05-20 09:18:00,456.85,457.2,456.85,457.2,89027,263485,287207,0
9,2020-05-20 09:19:00,457.9,458.35,457.55,457.55,30321,565709,573167,0
10,2020-05-20 09:20:00,457.55,459.25,457.55,459.25,103348,301931,300323,0
11,2020-05-20 09:21:00,459.45,459.45,459.15,459.3,43895,481218,446650,0
12,2020-05-20 09:22:00,459.05,459.05,459.05,459.05,44506,161462,151068,0
13,2020-05-20 09:23:00,457.7,458.15,457.7,458.15,119786,345453,302495,0
14,2020-05-20 09:24:00,457.25,457.25,457.25,457.25,130328,175013,159330,0
15,2020-05-20 09:25:00,457.45,457.45,457.45,457.45,69456,178921,157259,0
16,2020-05-20 09:26:00,458.0,458.0,458.0,458.0,70033,179907,159108,0
17,2020-05-20 09:27:00,458.95,458.95,458.65,458.65,140776,565253,461023,0
18,2020-05-20 09:28:00,457.35,457.35,457.35,457.35,149391,204275,169450,0
19,2020-05-20 09:29:00,457.45,457.45,457.45,457.45,90909,204466,180005,0
20,2020-05-20 09:30:00,458.25,458.25,457.9,457.9,157675,413072,368137,0
21,2020-05-20 09:31:00,458.5,458.5,458.2,458.2,111039,445854,384269,0
22,2020-05-20 09:32:00,458.6,458.6,458.6,458.6,130907,244206,199552,0
23,2020-05-20 09:33:00,458.35,458.35,458.35,458.35,177543,244428,199564,0
24,2020-05-20 09:35:00,460.55,460.55,460.5,460.5,160556,557090,456214,0
25,2020-05-20 09:36:00,460.3,460.3,460.3,460.3,166282,283691,234467,0
26,2020-05-20 09:37:00,459.7,459.7,459.7,459.7,191833,280433,245721,0
27,2020-05-20 09:38:00,459.35,459.35,458.7,458.7,175835,551259,497535,0
28,2020-05-20 09:39:00,458.65,458.65,458.65,458.65,178361,271165,252238,0
29,2020-05-20 09:40:00,457.45,457.45,456.35,456.35,213704,518127,545947,0
30,2020-05-20 09:41:00,456.0,456.0,456.0,456.0,220021,255663,280992,0
31,2020-05-20 09:42:00,455.8,455.8,454.8,454.8,204150,825894,875547,0
32,2020-05-20 09:43:00,455.3,456.2,455.3,456.2,227505,564777,583572,0
33,2020-05-20 09:44:00,456.15,456.15,456.15,456.15,229515,289193,291029,0
34,2020-05-20 09:45:00,455.8,455.8,455.8,455.8,215581,285062,293775,0
35,2020-05-20 09:46:00,455.1,455.1,455.1,455.1,217831,278708,300998,0
36,2020-05-20 09:47:00,455.85,455.85,455.85,455.85,237376,287032,295613,0
37,2020-05-20 09:48:00,456.7,456.7,456.7,456.7,240964,300851,282065,0
38,2020-05-20 09:49:00,457.2,457.2,457.05,457.1,222423,913919,838026,0
39,2020-05-20 09:50:00,457.5,457.5,457.5,457.5,225219,308319,270970,0
40,2020-05-20 09:51:00,457.35,457.35,457.35,457.35,249105,309883,273808,0
41,2020-05-20 09:52:00,457.4,457.4,457.4,457.4,248738,312556,276004,0
42,2020-05-20 09:53:00,457.2,457.5,457.2,457.5,235379,935078,837893,0
43,2020-05-20 09:54:00,457.4,457.4,457.2,457.2,252512,936109,842031,0
44,2020-05-20 09:55:00,457.3,457.4,457.3,457.4,238094,623320,564807,0
45,2020-05-20 09:56:00,456.75,456.75,456.25,456.35,258447,904770,885583,0
46,2020-05-20 09:57:00,456.35,456.35,455.45,455.45,245812,884027,905518,0
47,2020-05-20 09:58:00,455.3,455.45,455.3,455.3,259004,873770,911250,0
48,2020-05-20 09:59:00,455.6,455.6,455.6,455.6,267910,295958,303843,0
49,2020-05-20 10:00:00,455.25,455.25,455.25,455.25,260577,291871,307785,0
50,2020-05-20 10:01:00,455.9,455.9,455.85,455.85,266433,888594,920937,0
51,2020-05-20 10:02:00,456.2,456.2,456.2,456.2,261215,600224,608286,0
52,2020-05-20 10:03:00,455.95,455.95,455.6,455.6,278539,592288,614586,0
53,2020-05-20 10:04:00,455.65,455.85,455.65,455.85,267280,595417,613708,0
54,2020-05-20 10:05:00,456.05,456.05,456.05,456.05,270578,299141,304738,0
55,2020-05-20 10:08:00,455.15,455.15,455.15,455.15,294332,578123,626773,0
56,2020-05-20 10:09:00,454.1,454.3,454.1,454.3,290474,561846,651096,0
57,2020-05-20 10:10:00,454.35,454.35,454.35,454.35,290806,281353,326676,0
58,2020-05-20 10:12:00,453.0,453.0,453.0,453.0,321921,270853,343921,0
59,2020-05-20 10:13:00,452.7,452.7,452.7,452.7,330766,273924,340375,0
60,2020-05-20 10:14:00,453.6,453.6,453.6,453.6,306877,282122,337673,0
61,2020-05-20 10:19:00,452.8,452.8,452.8,452.8,324044,278661,349508,0
62,2020-05-20 10:20:00,452.7,452.7,452.65,452.65,335981,553955,706990,0
63,2020-05-20 10:21:00,451.65,451.65,451.65,451.65,352133,276545,353378,0
64,2020-05-20 10:22:00,451.65,451.75,451.65,451.75,326932,557671,708216,0
65,2020-05-20 10:24:00,453.2,453.2,453.2,453.2,337329,294081,335499,0
66,2020-05-20 10:26:00,453.8,453.8,453.8,453.8,371920,304613,329483,0
67,2020-05-20 10:28:00,453.65,453.65,453.65,453.65,369438,302508,333513,0
68,2020-05-20 10:29:00,453.6,454.2,453.55,454.2,343308,1213446,1327367,0
69,2020-05-20 10:30:00,454.1,454.1,453.4,453.4,375718,599979,664478,0
70,2020-05-20 10:33:00,454.0,454.0,454.0,454.0,380243,305047,331314,0
71,2020-05-20 10:34:00,454.7,454.7,454.7,454.7,365906,313874,324236,0
72,2020-05-20 10:35:00,454.8,454.8,454.8,454.8,363044,315620,321387,0
73,2020-05-20 10:36:00,455.0,455.1,455.0,455.1,387379,637176,635717,0
74,2020-05-20 10:37:00,455.85,455.85,455.85,455.85,389958,329123,307986,0
75,2020-05-20 10:38:00,455.65,455.9,454.95,454.95,372567,977592,940901,0
76,2020-05-20 10:39:00,454.9,454.9,454.6,454.6,390669,636480,649726,0
77,2020-05-20 10:40:00,454.45,454.45,454.45,454.45,394399,316567,331755,0
78,2020-05-20 10:41:00,454.35,454.35,454.1,454.1,377049,632260,667126,0
79,2020-05-20 10:42:00,454.1,454.1,453.8,453.8,401764,926549,1005010,0
80,2020-05-20 10:43:00,453.85,453.85,453.65,453.65,377741,615551,668123,0
81,2020-05-20 10:44:00,453.8,453.8,453.8,453.8,405251,620202,671898,0
82,2020-05-20 10:45:00,454.15,454.15,454.15,454.15,378806,626093,662344,0
83,2020-05-20 10:46:00,453.95,453.95,453.9,453.9,411832,621185,671465,0
84,2020-05-20 10:47:00,453.95,453.95,453.95,453.95,412988,313364,335341,0
85,2020-05-20 10:49:00,454.4,454.4,454.4,454.4,383251,317987,326303,0
86,2020-05-20 10:50:00,454.55,454.55,454.45,454.45,416044,640014,653819,0
87,2020-05-20 10:51:00,454.15,454.15,454.15,454.15,420648,313570,333942,0
88,2020-05-20 10:52:00,454.15,454.6,454.15,454.6,387335,951754,988429,0
89,2020-05-20 10:53:00,454.55,454.55,454.55,454.55,387337,319724,327781,0
90,2020-05-20 10:54:00,454.9,454.9,454.9,454.9,425076,325389,322607,0
91,2020-05-20 10:56:00,454.75,454.75,454.75,454.75,431304,326686,323580,0
92,2020-05-20 10:58:00,455.2,455.2,455.2,455.2,394829,665255,645370,0
93,2020-05-20 10:59:00,454.75,454.75,454.75,454.75,401866,328151,327036,0
94,2020-05-20 11:00:00,455.15,455.15,455.15,455.15,440634,333785,319178,0
95,2020-05-20 11:01:00,455.55,455.55,455.55,455.55,439139,335964,319575,0
96,2020-05-20 11:02:00,455.15,455.55,455.15,455.55,410094,1002043,964026,0
