,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,67.7,67.7,67.7,67.7,0,954,1994,0
1,2020-05-20 09:08:00,68.0,68.0,68.0,68.0,0,1043,1986,0
2,2020-05-20 09:11:00,68.0,68.0,68.0,68.0,8,1043,1986,0
3,2020-05-20 09:14:00,68.0,68.0,68.0,68.0,8,1043,1986,0
4,2020-05-20 09:15:00,68.0,68.0,68.0,68.0,0,1043,3055,0
5,2020-05-20 09:27:00,67.65,67.65,67.65,67.65,409,3245,7340,0
6,2020-05-20 09:31:00,67.1,67.1,67.1,67.1,958,2838,7524,0
7,2020-05-20 10:07:00,67.45,67.45,67.45,67.45,3687,4440,7393,0
8,2020-05-20 11:11:00,67.2,67.2,67.2,67.2,5906,5505,9388,0
9,2020-05-20 11:18:00,67.25,67.25,67.25,67.25,3192,5613,9601,0
10,2020-05-20 11:32:00,67.45,67.45,67.45,67.45,1295,5968,9525,0
11,2020-05-20 12:19:00,67.2,67.2,67.2,67.2,4611,9025,8771,0
12,2020-05-20 12:32:00,67.15,67.15,67.15,67.15,6961,8835,8456,0
13,2020-05-20 12:45:00,67.15,67.15,67.15,67.15,3893,9151,8516,0
14,2020-05-20 12:56:00,67.35,67.35,67.35,67.35,1582,9241,8536,0
15,2020-05-20 13:07:00,67.35,67.35,67.35,67.35,4650,9342,8586,0
16,2020-05-20 13:29:00,67.1,67.1,67.1,67.1,7502,5028,11164,0
17,2020-05-20 13:49:00,67.0,67.0,67.0,67.0,5119,4699,11358,0
18,2020-05-20 14:36:00,67.65,67.65,67.65,67.65,10469,16826,19250,0
19,2020-05-20 15:03:00,67.1,67.1,67.1,67.1,11475,5440,10006,0
20,2020-05-20 15:05:00,67.05,67.05,67.05,67.05,6189,5395,9951,0
21,2020-05-20 15:09:00,67.3,67.3,67.3,67.3,6665,4923,8473,0
22,2020-05-20 15:15:00,67.1,67.1,67.1,67.1,11972,4688,10997,0
23,2020-05-20 15:24:00,67.15,67.15,67.15,67.15,11898,4671,9684,0
