,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,118.2,118.2,118.2,118.2,0,253986,397489,0
1,2020-05-20 09:07:00,118.2,118.2,118.2,118.2,0,130561,210019,0
2,2020-05-20 09:08:00,117.0,117.0,117.0,117.0,6702,125459,204750,0
3,2020-05-20 09:11:00,117.0,117.0,117.0,117.0,6702,125459,204750,0
4,2020-05-20 09:14:00,117.0,117.0,117.0,117.0,0,125459,204750,0
5,2020-05-20 09:15:00,117.3,117.65,117.3,117.65,28273,650491,714657,0
6,2020-05-20 09:16:00,118.45,118.45,118.45,118.45,58787,306276,300307,0
7,2020-05-20 09:17:00,118.7,118.7,118.7,118.7,121467,336034,329563,0
8,2020-05-20 09:18:00,118.5,118.5,118.5,118.5,120566,334026,377022,0
9,2020-05-20 09:20:00,118.95,119.7,118.95,119.7,154400,1268098,1383903,0
10,2020-05-20 09:21:00,119.75,119.75,119.75,119.75,154843,426302,470358,0
11,2020-05-20 09:22:00,119.2,119.2,119.1,119.1,153508,825122,1017108,0
12,2020-05-20 09:23:00,118.7,118.7,118.7,118.7,172908,396979,532386,0
13,2020-05-20 09:24:00,118.8,118.8,118.8,118.8,191461,424681,539889,0
14,2020-05-20 09:25:00,118.2,118.2,118.2,118.2,207467,404840,573512,0
15,2020-05-20 09:26:00,118.25,118.25,118.25,118.25,194116,422376,586327,0
16,2020-05-20 09:29:00,118.2,118.2,118.2,118.2,257216,427604,612357,0
17,2020-05-20 09:30:00,118.2,118.2,118.2,118.2,282106,439010,621073,0
18,2020-05-20 09:31:00,118.3,118.3,118.3,118.3,233601,445010,624451,0
19,2020-05-20 09:32:00,118.5,118.5,118.5,118.5,212270,449746,622912,0
20,2020-05-20 09:33:00,118.65,118.65,118.65,118.65,271146,426477,628820,0
21,2020-05-20 09:34:00,118.5,118.55,118.5,118.55,240180,1283397,1894287,0
22,2020-05-20 09:35:00,118.7,118.7,118.7,118.7,246501,434603,631707,0
23,2020-05-20 09:36:00,118.65,118.65,118.35,118.35,278162,1711703,2554009,0
24,2020-05-20 09:39:00,119.25,119.45,119.25,119.45,302956,917822,1259855,0
25,2020-05-20 09:40:00,119.25,119.25,119.25,119.25,312536,460123,632619,0
26,2020-05-20 09:41:00,119.55,119.55,119.55,119.55,305243,465843,635259,0
27,2020-05-20 09:42:00,120.0,120.0,120.0,120.0,397134,486288,647554,0
28,2020-05-20 09:43:00,120.7,120.7,120.7,120.7,491867,502232,624152,0
29,2020-05-20 09:44:00,121.15,121.15,121.15,121.15,496940,513590,630632,0
30,2020-05-20 09:45:00,120.9,120.9,120.9,120.9,427833,523733,660671,0
31,2020-05-20 09:46:00,120.3,120.6,120.3,120.6,580541,1572684,2113471,0
32,2020-05-20 09:47:00,120.65,120.65,120.4,120.4,464114,1054268,1435341,0
33,2020-05-20 09:48:00,120.2,120.2,120.2,120.2,467230,526752,746535,0
34,2020-05-20 09:49:00,120.25,120.25,120.25,120.25,605191,537463,756562,0
35,2020-05-20 09:50:00,120.4,120.4,120.15,120.15,476283,1081473,1523829,0
36,2020-05-20 09:51:00,120.15,120.15,119.75,119.75,631290,1075289,1547111,0
37,2020-05-20 09:52:00,119.85,119.9,119.7,119.7,487164,1608095,2337239,0
38,2020-05-20 09:54:00,119.85,119.95,119.85,119.95,647340,1626194,2358054,0
39,2020-05-20 09:55:00,119.85,119.85,119.8,119.8,527000,1089968,1568352,0
40,2020-05-20 09:56:00,119.5,119.5,119.5,119.5,542468,533598,800064,0
41,2020-05-20 09:57:00,119.5,119.6,119.5,119.6,652475,1070895,1600893,0
42,2020-05-20 09:58:00,119.7,119.7,119.5,119.5,547996,2174695,3198546,0
43,2020-05-20 09:59:00,119.6,119.7,119.6,119.7,656949,1096483,1609195,0
44,2020-05-20 10:00:00,119.6,119.6,119.6,119.6,656951,550885,806846,0
45,2020-05-20 10:01:00,119.7,119.7,119.7,119.7,553587,553416,803953,0
46,2020-05-20 10:02:00,119.75,119.75,119.75,119.75,559396,554466,807965,0
47,2020-05-20 10:03:00,119.8,119.8,119.7,119.7,660428,1108623,1622172,0
48,2020-05-20 10:04:00,119.8,119.8,119.8,119.8,560060,1112664,1625793,0
49,2020-05-20 10:05:00,119.8,119.8,119.8,119.8,562002,605303,815973,0
50,2020-05-20 10:06:00,119.6,119.6,119.6,119.6,669290,603474,819690,0
51,2020-05-20 10:07:00,119.55,119.55,119.55,119.55,667364,603508,820271,0
52,2020-05-20 10:08:00,119.8,119.8,119.8,119.8,574104,1211146,1631712,0
53,2020-05-20 10:11:00,119.85,119.85,119.85,119.85,601977,610922,820572,0
54,2020-05-20 10:12:00,119.65,119.65,119.65,119.65,701189,607373,821983,0
55,2020-05-20 10:13:00,119.7,119.7,119.7,119.7,675442,610409,828925,0
56,2020-05-20 10:14:00,119.35,119.35,119.35,119.35,584930,607923,843229,0
57,2020-05-20 10:15:00,119.35,119.35,119.35,119.35,657226,534609,843166,0
58,2020-05-20 10:19:00,119.2,119.2,119.2,119.2,777455,551342,855283,0
59,2020-05-20 10:20:00,119.2,119.2,119.05,119.05,595753,1090349,1712618,0
60,2020-05-20 10:21:00,119.1,119.1,119.1,119.1,595803,545697,856647,0
61,2020-05-20 10:22:00,119.0,119.0,119.0,119.0,782590,544207,863588,0
62,2020-05-20 10:23:00,118.85,118.85,118.85,118.85,803425,525715,863688,0
63,2020-05-20 10:24:00,119.15,119.15,119.15,119.15,629008,532844,858804,0
64,2020-05-20 10:26:00,119.45,119.45,119.45,119.45,630841,536214,846508,0
65,2020-05-20 10:27:00,119.45,119.45,119.3,119.3,804685,1079745,1698396,0
66,2020-05-20 10:28:00,119.35,119.35,119.35,119.35,805639,537964,851096,0
67,2020-05-20 10:29:00,119.25,119.25,119.25,119.25,632974,538765,852874,0
68,2020-05-20 10:30:00,119.2,119.2,119.2,119.2,635999,547651,854758,0
69,2020-05-20 10:31:00,119.2,119.2,119.2,119.2,811460,547263,857613,0
70,2020-05-20 10:32:00,119.1,119.1,119.1,119.1,809912,545075,860393,0
71,2020-05-20 10:35:00,119.35,119.35,119.35,119.35,641162,544342,865461,0
72,2020-05-20 10:36:00,119.25,119.25,119.25,119.25,649174,578876,881258,0
73,2020-05-20 10:37:00,119.4,119.4,119.4,119.4,823607,548940,865794,0
74,2020-05-20 10:38:00,119.4,119.5,119.4,119.4,644113,2201776,3454193,0
75,2020-05-20 10:41:00,119.35,119.35,119.35,119.35,649361,548176,870394,0
76,2020-05-20 10:42:00,119.35,119.35,119.35,119.35,828855,547475,871529,0
77,2020-05-20 10:43:00,119.35,119.35,119.35,119.35,824736,549968,873636,0
78,2020-05-20 10:44:00,119.45,119.45,119.45,119.45,649014,551568,870841,0
79,2020-05-20 10:45:00,119.5,119.75,119.5,119.75,833287,1109729,1740797,0
80,2020-05-20 10:46:00,119.65,119.65,119.65,119.65,835630,555197,870324,0
81,2020-05-20 10:47:00,119.5,119.6,119.5,119.6,662160,1091868,1740945,0
82,2020-05-20 10:48:00,119.4,119.4,119.4,119.4,666152,545350,891154,0
83,2020-05-20 10:49:00,119.4,119.4,119.15,119.15,845668,1085740,1786145,0
84,2020-05-20 10:50:00,119.1,119.1,119.1,119.1,845678,539528,894581,0
85,2020-05-20 10:52:00,119.1,119.1,119.1,119.1,685754,537510,901240,0
86,2020-05-20 10:53:00,119.0,119.0,119.0,119.0,691375,534946,905328,0
87,2020-05-20 10:55:00,119.2,119.2,119.2,119.2,854308,544551,907887,0
88,2020-05-20 10:58:00,119.25,119.25,119.25,119.25,856287,549063,905345,0
89,2020-05-20 11:01:00,119.15,119.15,119.15,119.15,700852,1094673,1825951,0
90,2020-05-20 11:04:00,119.05,119.05,119.05,119.05,863438,1091808,1828608,0
91,2020-05-20 11:07:00,119.0,119.2,119.0,119.2,708352,1644149,2768534,0
92,2020-05-20 11:10:00,119.3,119.3,119.3,119.3,714958,557418,923290,0
93,2020-05-20 11:11:00,119.0,119.0,119.0,119.0,873670,556056,929463,0
94,2020-05-20 11:13:00,119.15,119.15,119.15,119.15,870635,555727,934422,0
95,2020-05-20 11:15:00,119.05,119.05,119.05,119.05,718757,557119,932388,0
96,2020-05-20 11:16:00,119.2,119.2,119.2,119.2,724921,555455,933938,0
97,2020-05-20 11:21:00,119.2,119.2,119.2,119.2,881751,558666,943783,0
98,2020-05-20 11:22:00,119.4,119.4,119.4,119.4,886256,564500,932737,0
99,2020-05-20 11:23:00,119.4,119.4,119.4,119.4,724921,1128750,1867819,0
100,2020-05-20 11:26:00,119.05,119.05,119.05,119.05,728900,553527,933968,0
101,2020-05-20 11:28:00,119.2,119.2,119.2,119.2,894331,559242,934113,0
102,2020-05-20 11:29:00,119.25,119.25,119.2,119.2,728109,1688427,2802185,0
103,2020-05-20 11:31:00,119.25,119.25,119.25,119.25,736988,561256,931452,0
104,2020-05-20 11:32:00,119.15,119.15,119.15,119.15,903919,563158,933394,0
105,2020-05-20 11:38:00,119.25,119.4,119.25,119.4,740747,1133889,1865656,0
106,2020-05-20 11:41:00,119.3,119.3,119.3,119.3,745336,565296,944112,0
107,2020-05-20 11:42:00,119.1,119.1,119.1,119.1,910459,564034,945786,0
108,2020-05-20 11:43:00,119.1,119.1,119.1,119.1,906245,563486,946617,0
109,2020-05-20 11:46:00,119.1,119.1,119.1,119.1,747833,567519,948397,0
110,2020-05-20 11:47:00,119.2,119.2,119.2,119.2,911328,1135552,1893868,0
111,2020-05-20 11:51:00,119.35,119.35,119.35,119.35,915087,568527,954469,0
112,2020-05-20 11:52:00,119.2,119.2,119.2,119.2,753445,568598,955208,0
113,2020-05-20 11:53:00,119.35,119.35,119.15,119.15,915250,1134205,3315683,0
114,2020-05-20 11:54:00,118.8,118.8,118.8,118.8,933798,543106,1959167,0
115,2020-05-20 11:55:00,118.8,118.8,118.8,118.8,753945,1085740,3918373,0
116,2020-05-20 11:56:00,118.65,118.65,118.65,118.65,757603,546512,1962463,0
117,2020-05-20 11:57:00,118.6,118.6,118.6,118.6,954343,542408,1967763,0
118,2020-05-20 12:03:00,118.7,118.7,118.7,118.7,796288,1088596,3942126,0
119,2020-05-20 12:04:00,118.6,118.6,118.6,118.6,805972,547363,1965252,0
120,2020-05-20 12:06:00,119.05,119.05,119.05,119.05,984904,552732,1962642,0
121,2020-05-20 12:07:00,118.95,118.95,118.95,118.95,976957,552099,1963153,0
122,2020-05-20 12:10:00,118.75,118.75,118.75,118.75,802649,550721,1966693,0
