,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,668.6,668.6,668.6,668.6,0,62761,92688,0
1,2020-05-20 09:07:00,668.6,668.6,668.6,668.6,0,68798,96646,0
2,2020-05-20 09:08:00,668.5,668.5,668.5,668.5,8908,60085,91341,0
3,2020-05-20 09:11:00,668.5,668.5,668.5,668.5,8908,60085,91341,0
4,2020-05-20 09:14:00,668.5,668.5,668.5,668.5,0,60085,91341,0
5,2020-05-20 09:15:00,668.0,668.0,668.0,668.0,0,60085,91341,0
6,2020-05-20 09:16:00,667.1,667.1,667.1,667.1,71948,171433,501278,0
7,2020-05-20 09:17:00,665.9,665.9,665.9,665.9,105198,198190,533251,0
8,2020-05-20 09:18:00,668.7,668.7,668.7,668.7,65314,230215,537625,0
9,2020-05-20 09:19:00,668.9,668.9,668.9,668.9,68066,259188,560245,0
10,2020-05-20 09:20:00,669.1,669.35,669.1,669.35,115502,556688,1137085,0
11,2020-05-20 09:22:00,668.6,669.05,668.6,669.05,129269,561706,1187799,0
12,2020-05-20 09:24:00,668.0,668.0,666.95,667.3,165006,839724,1867788,0
13,2020-05-20 09:25:00,667.8,667.8,667.8,667.8,176662,288353,616408,0
14,2020-05-20 09:30:00,667.85,667.85,667.85,667.85,207726,324215,640648,0
15,2020-05-20 09:34:00,668.25,668.25,668.25,668.25,242401,370780,676368,0
16,2020-05-20 09:35:00,668.8,668.8,668.8,668.8,221474,371732,674965,0
17,2020-05-20 09:36:00,668.5,668.5,668.5,668.5,194104,384734,678266,0
18,2020-05-20 09:37:00,667.9,667.9,667.9,667.9,221000,385630,694280,0
19,2020-05-20 09:38:00,667.25,667.25,667.25,667.25,262279,388812,701551,0
20,2020-05-20 09:39:00,668.4,668.4,668.4,668.4,245479,397823,695824,0
21,2020-05-20 09:40:00,667.9,667.9,667.9,667.9,208334,400188,700701,0
22,2020-05-20 09:42:00,666.75,666.85,666.75,666.85,280093,797685,1426386,0
23,2020-05-20 09:43:00,666.95,666.95,666.95,666.95,283917,403189,714298,0
24,2020-05-20 09:44:00,666.6,666.6,666.6,666.6,218422,401672,717486,0
25,2020-05-20 09:45:00,666.7,666.7,666.7,666.7,221615,397276,711913,0
26,2020-05-20 09:46:00,665.4,665.5,665.4,665.5,315931,751474,1460666,0
27,2020-05-20 09:47:00,665.95,665.95,665.95,665.95,331761,389830,728964,0
28,2020-05-20 09:48:00,665.3,665.3,665.3,665.3,255335,382652,736297,0
29,2020-05-20 09:49:00,665.7,665.7,665.7,665.7,245365,391080,732492,0
30,2020-05-20 09:50:00,665.5,665.5,665.5,665.5,332141,386060,744776,0
31,2020-05-20 09:51:00,665.25,665.25,665.25,665.25,344708,387182,743377,0
32,2020-05-20 09:52:00,665.75,665.75,665.75,665.75,262973,396813,741636,0
33,2020-05-20 09:53:00,666.2,666.2,666.2,666.2,257185,397741,739407,0
34,2020-05-20 09:54:00,666.25,666.25,666.25,666.25,342946,397242,745592,0
35,2020-05-20 09:55:00,666.15,666.15,666.15,666.15,353185,402759,737332,0
36,2020-05-20 09:56:00,666.85,666.85,666.85,666.85,275282,402214,742727,0
37,2020-05-20 09:57:00,666.55,666.55,666.55,666.55,273127,407332,740765,0
38,2020-05-20 09:58:00,665.5,665.5,665.5,665.5,363592,384934,752055,0
39,2020-05-20 09:59:00,665.7,665.7,665.7,665.7,281358,782445,1510087,0
40,2020-05-20 10:00:00,665.65,665.65,665.65,665.65,281844,399166,762434,0
41,2020-05-20 10:01:00,665.3,665.3,665.3,665.3,372438,394106,764671,0
42,2020-05-20 10:02:00,665.2,665.2,665.2,665.2,382369,390742,767778,0
43,2020-05-20 10:03:00,664.0,664.0,664.0,664.0,333250,386030,782424,0
44,2020-05-20 10:04:00,664.1,664.1,664.0,664.0,383974,778037,1564456,0
45,2020-05-20 10:05:00,663.6,663.6,663.6,663.6,395227,387864,787737,0
46,2020-05-20 10:06:00,663.75,663.75,663.75,663.75,370291,388282,777454,0
47,2020-05-20 10:07:00,663.5,663.5,663.5,663.5,375331,393732,781680,0
48,2020-05-20 10:08:00,663.4,663.4,662.85,662.85,425796,783241,1588906,0
49,2020-05-20 10:09:00,663.75,663.75,663.55,663.55,393344,807228,1572050,0
50,2020-05-20 10:10:00,663.0,663.0,663.0,663.0,398510,400804,794431,0
51,2020-05-20 10:11:00,663.5,663.5,663.5,663.5,454102,410107,787329,0
52,2020-05-20 10:12:00,664.05,664.05,664.05,664.05,459897,416697,780104,0
53,2020-05-20 10:13:00,664.05,664.05,663.25,663.25,406252,835391,1566034,0
54,2020-05-20 10:14:00,663.9,663.9,663.9,663.9,410127,425658,790578,0
55,2020-05-20 10:16:00,662.5,662.5,662.5,662.5,496920,421246,803391,0
56,2020-05-20 10:19:00,662.2,662.2,662.2,662.2,537120,436328,811197,0
57,2020-05-20 10:20:00,661.95,661.95,661.5,661.5,433841,858511,1629914,0
58,2020-05-20 10:21:00,662.0,662.0,661.8,661.8,542920,876614,1620455,0
59,2020-05-20 10:22:00,661.85,661.85,661.65,661.65,442318,875247,1626814,0
60,2020-05-20 10:23:00,661.7,661.8,661.7,661.8,551300,885488,1625690,0
61,2020-05-20 10:24:00,662.0,662.25,662.0,662.1,458189,1337676,2448890,0
62,2020-05-20 10:25:00,662.2,662.2,662.2,662.2,466059,447990,813737,0
63,2020-05-20 10:26:00,661.75,661.75,661.65,661.65,566881,898146,1656560,0
64,2020-05-20 10:27:00,662.05,662.05,661.1,662.05,547702,1331209,2446185,0
65,2020-05-20 10:28:00,661.4,661.4,661.4,661.4,559334,439259,823820,0
66,2020-05-20 10:29:00,660.65,661.15,660.6,661.0,637496,2208226,4154285,0
67,2020-05-20 10:30:00,660.95,660.95,660.95,660.95,648903,451530,839869,0
68,2020-05-20 10:31:00,660.1,660.1,660.0,660.1,604785,1304823,2803980,0
69,2020-05-20 10:32:00,659.7,660.3,659.7,660.3,701316,866012,2257241,0
70,2020-05-20 10:33:00,660.5,661.2,660.5,661.2,635861,886136,2221199,0
71,2020-05-20 10:34:00,661.5,661.75,661.0,661.0,713939,1812910,4411024,0
72,2020-05-20 10:35:00,661.3,661.45,661.3,661.45,646215,1378624,3321868,0
73,2020-05-20 10:36:00,661.5,662.35,661.5,662.35,736364,935444,2198345,0
74,2020-05-20 10:37:00,662.45,662.45,662.2,662.2,659370,940376,2196622,0
75,2020-05-20 10:38:00,662.1,662.15,662.1,662.15,743878,947895,2200069,0
76,2020-05-20 10:39:00,662.1,662.1,661.7,661.7,676188,1874823,4454564,0
77,2020-05-20 10:40:00,661.85,661.85,661.85,661.85,677154,467348,1114551,0
78,2020-05-20 10:41:00,661.7,661.7,661.65,661.65,747210,939193,2230252,0
79,2020-05-20 10:42:00,661.8,661.8,661.7,661.7,686019,942869,2229778,0
80,2020-05-20 10:43:00,661.65,661.65,661.65,661.65,756807,949642,2242161,0
81,2020-05-20 10:44:00,661.65,661.8,661.65,661.8,688490,1431368,3361621,0
82,2020-05-20 10:45:00,661.75,661.95,661.75,661.85,757652,1430631,3372723,0
83,2020-05-20 10:46:00,661.75,661.75,661.75,661.75,694907,952733,2252392,0
