,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,170.75,170.75,170.75,170.75,0,655049,366496,0
1,2020-05-20 09:07:00,170.75,170.75,170.75,170.75,0,678132,381941,0
2,2020-05-20 09:08:00,171.95,171.95,171.95,171.95,57320,622503,330912,0
3,2020-05-20 09:11:00,171.95,171.95,171.95,171.95,57320,622503,330912,0
4,2020-05-20 09:14:00,171.95,171.95,171.95,171.95,0,622503,330912,0
5,2020-05-20 09:15:00,171.85,171.85,171.85,171.85,1035,671699,349343,0
6,2020-05-20 09:16:00,172.45,172.75,172.45,172.75,538547,5627576,4356033,0
7,2020-05-20 09:19:00,173.85,173.9,173.85,173.9,662636,2863735,1998009,0
8,2020-05-20 09:20:00,174.05,174.05,174.05,174.05,990454,1498066,1089405,0
9,2020-05-20 09:21:00,174.0,174.0,174.0,174.0,983279,1519361,1155792,0
10,2020-05-20 09:23:00,173.8,174.05,173.8,174.05,850335,2955769,2504138,0
11,2020-05-20 09:25:00,174.6,174.6,174.6,174.6,1255148,1580336,1352462,0
12,2020-05-20 09:27:00,174.25,174.25,174.25,174.25,1617344,1613754,1434550,0
13,2020-05-20 09:28:00,174.25,174.55,174.25,174.55,976981,4888776,4495556,0
14,2020-05-20 09:29:00,174.55,174.55,174.55,174.55,1118220,1642860,1535909,0
15,2020-05-20 09:30:00,175.3,175.3,175.3,175.3,2365051,1679318,1278804,0
16,2020-05-20 09:31:00,175.25,175.35,175.25,175.35,1309824,7115728,5953754,0
17,2020-05-20 09:32:00,175.4,175.4,175.4,175.4,1356146,1857539,1519962,0
18,2020-05-20 09:33:00,175.9,175.9,175.9,175.9,2776456,1938077,1519929,0
19,2020-05-20 09:34:00,175.9,176.0,175.9,176.0,1386630,7797601,6130225,0
20,2020-05-20 09:35:00,176.2,176.5,176.15,176.5,3197409,8158272,5796732,0
21,2020-05-20 09:36:00,176.35,176.35,176.25,176.25,1824844,4029178,3189914,0
22,2020-05-20 09:37:00,176.45,176.45,176.2,176.2,3372055,4015119,3333373,0
23,2020-05-20 09:38:00,175.85,175.85,175.85,175.85,3451537,1945695,1798654,0
24,2020-05-20 09:39:00,176.0,176.0,176.0,176.0,2206688,2001146,1823868,0
25,2020-05-20 09:40:00,175.65,175.65,175.65,175.65,2372140,1979500,1955632,0
26,2020-05-20 09:41:00,175.95,175.95,175.95,175.95,3841413,1979629,2024745,0
27,2020-05-20 09:42:00,176.05,176.05,176.05,176.05,3994307,2096582,1957211,0
28,2020-05-20 09:43:00,176.0,176.0,175.95,175.95,2618672,4162793,4059543,0
29,2020-05-20 09:44:00,175.9,175.9,175.9,175.9,2636560,2083134,2071682,0
30,2020-05-20 09:45:00,175.9,175.9,175.9,175.9,4099860,2091673,2120330,0
31,2020-05-20 09:46:00,175.75,175.75,175.55,175.65,2860360,6231729,6596273,0
32,2020-05-20 09:47:00,175.7,175.75,175.45,175.45,4193246,6262940,6769938,0
33,2020-05-20 09:48:00,175.35,175.55,175.35,175.55,3132979,4098817,4589571,0
34,2020-05-20 09:49:00,175.5,175.6,175.5,175.6,4283116,4181491,4530543,0
35,2020-05-20 09:50:00,175.55,175.65,175.55,175.65,3281379,4222513,4622448,0
36,2020-05-20 09:51:00,175.6,175.6,175.6,175.6,4293493,4230756,4657056,0
37,2020-05-20 09:52:00,175.5,175.55,175.5,175.5,3345132,6404910,7045328,0
38,2020-05-20 09:53:00,175.6,175.8,175.5,175.8,4459497,6432473,7001001,0
39,2020-05-20 09:54:00,175.65,175.65,175.65,175.65,4493114,2192874,2321915,0
40,2020-05-20 09:55:00,175.5,175.7,175.5,175.7,3434305,8764045,9401329,0
41,2020-05-20 09:56:00,175.6,175.6,175.55,175.6,4551955,6848461,7023571,0
42,2020-05-20 09:57:00,175.5,175.65,175.5,175.6,3464051,11373202,11829812,0
43,2020-05-20 09:58:00,175.6,175.6,175.55,175.55,4561492,4554129,4743853,0
44,2020-05-20 09:59:00,175.6,175.6,175.6,175.6,4590781,2275523,2372382,0
45,2020-05-20 10:00:00,175.25,175.3,175.25,175.3,3628334,4408014,4844480,0
46,2020-05-20 10:01:00,175.35,175.5,175.35,175.5,4710795,4531018,4866556,0
47,2020-05-20 10:02:00,175.45,175.45,175.25,175.25,3688012,6807708,7355060,0
48,2020-05-20 10:03:00,175.4,175.4,175.3,175.3,4755601,11376893,12397956,0
49,2020-05-20 10:04:00,175.45,175.45,175.45,175.45,4820926,2292897,2483671,0
50,2020-05-20 10:05:00,175.4,175.4,175.4,175.4,3770883,4555582,4974056,0
51,2020-05-20 10:06:00,175.45,175.9,175.45,175.9,5034070,6891557,7217764,0
52,2020-05-20 10:07:00,175.85,175.85,175.85,175.85,5056258,2313747,2322701,0
53,2020-05-20 10:08:00,176.3,176.3,176.3,176.3,3954490,2364892,2289682,0
54,2020-05-20 10:09:00,176.3,176.3,176.1,176.1,5170737,7143903,6914732,0
55,2020-05-20 10:10:00,176.0,176.05,176.0,176.05,3998513,4715277,4696063,0
56,2020-05-20 10:11:00,176.05,176.05,176.05,176.05,4072313,2397728,2489695,0
57,2020-05-20 10:12:00,176.1,176.1,176.1,176.1,5260441,2377648,2587978,0
58,2020-05-20 10:13:00,176.0,176.0,176.0,176.0,5240397,2393436,2619477,0
59,2020-05-20 10:14:00,175.8,175.8,175.8,175.8,4146313,2384586,2633839,0
60,2020-05-20 10:15:00,175.85,175.85,175.85,175.85,5369120,7236838,7938842,0
61,2020-05-20 10:16:00,175.9,175.9,175.9,175.9,5380637,2413395,2667016,0
62,2020-05-20 10:19:00,175.35,175.35,175.35,175.35,4335281,2375925,2758812,0
63,2020-05-20 10:20:00,175.4,175.4,175.4,175.4,4381672,2399514,2783420,0
64,2020-05-20 10:21:00,175.25,175.3,175.25,175.3,5559769,4783048,5158366,0
65,2020-05-20 10:22:00,175.3,175.3,175.3,175.3,5570453,2382791,2588053,0
66,2020-05-20 10:23:00,175.25,175.3,175.25,175.3,4442404,7176897,7750819,0
67,2020-05-20 10:24:00,175.3,175.45,175.3,175.4,5598974,9635304,10369733,0
68,2020-05-20 10:25:00,175.4,175.75,175.4,175.75,4534913,4840485,5104805,0
69,2020-05-20 10:26:00,175.75,175.8,175.75,175.8,5665348,7309589,7561615,0
70,2020-05-20 10:27:00,175.8,175.8,175.8,175.8,4560792,4875649,5119665,0
71,2020-05-20 10:28:00,176.15,176.15,176.15,176.15,5786493,4967487,4988360,0
72,2020-05-20 10:29:00,176.25,176.35,176.25,176.35,4726708,7429571,7448673,0
73,2020-05-20 10:30:00,176.25,176.4,176.2,176.4,5926245,7475078,7374005,0
74,2020-05-20 10:31:00,176.35,176.35,176.2,176.25,4820853,7521006,7431960,0
75,2020-05-20 10:32:00,176.3,176.3,176.3,176.3,4951802,2510748,2361717,0
76,2020-05-20 10:33:00,176.3,176.35,176.3,176.35,5972484,7745089,7162460,0
77,2020-05-20 10:34:00,176.85,176.85,176.65,176.65,5381917,5208304,4310353,0
78,2020-05-20 10:35:00,176.55,176.55,176.55,176.55,5421053,2531701,2228920,0
79,2020-05-20 10:36:00,176.5,176.5,176.5,176.5,6065791,2601771,2247133,0
80,2020-05-20 10:37:00,176.35,176.35,176.25,176.25,5566132,5205421,4544005,0
81,2020-05-20 10:38:00,176.25,176.35,176.25,176.35,6151934,7776396,6854727,0
82,2020-05-20 10:39:00,176.3,176.3,176.3,176.3,5607023,7831223,6879456,0
83,2020-05-20 10:40:00,176.3,176.3,176.25,176.25,6258121,7839853,6901436,0
84,2020-05-20 10:41:00,176.35,176.35,176.35,176.35,6317105,2595263,2297043,0
85,2020-05-20 10:42:00,176.35,176.4,176.3,176.3,5658668,10396673,9203009,0
86,2020-05-20 10:43:00,176.35,176.35,176.35,176.35,5671951,2626621,2309440,0
87,2020-05-20 10:44:00,175.9,176.2,175.9,176.2,6476174,5158119,4682772,0
88,2020-05-20 10:45:00,176.1,176.2,176.1,176.2,5750791,5121501,4715921,0
89,2020-05-20 10:46:00,176.2,176.3,176.2,176.3,6514955,7775693,7092383,0
90,2020-05-20 10:47:00,176.3,176.3,176.3,176.3,6593298,2595016,2347491,0
91,2020-05-20 10:48:00,176.3,176.3,176.3,176.3,5809941,5176562,4752914,0
92,2020-05-20 10:49:00,176.35,176.35,176.3,176.3,6612271,5209594,4807439,0
93,2020-05-20 10:50:00,176.35,176.35,176.35,176.35,6616137,2625575,2402568,0
94,2020-05-20 10:51:00,176.3,176.3,176.3,176.3,5876630,5184736,4807859,0
95,2020-05-20 10:52:00,176.2,176.2,175.85,175.85,6706364,5131729,4855712,0
96,2020-05-20 10:53:00,175.9,176.0,175.9,176.0,5954221,7698801,7337804,0
97,2020-05-20 10:54:00,176.05,176.1,176.0,176.0,6721115,18007350,17100166,0
