,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,91.65,91.65,91.65,91.65,0,99068,258467,0
1,2020-05-20 09:07:00,91.65,91.65,91.65,91.65,0,114876,256140,0
2,2020-05-20 09:08:00,91.0,91.0,91.0,91.0,18393,97748,247462,0
3,2020-05-20 09:11:00,91.0,91.0,91.0,91.0,18393,97748,247462,0
4,2020-05-20 09:14:00,91.0,91.0,91.0,91.0,0,97748,247462,0
5,2020-05-20 09:15:00,91.15,91.15,91.15,91.15,0,97748,247462,0
6,2020-05-20 09:16:00,91.6,91.6,91.6,91.6,165881,537798,606828,0
7,2020-05-20 09:17:00,92.15,92.15,92.15,92.15,343550,742102,710724,0
8,2020-05-20 09:22:00,93.25,93.25,93.25,93.25,763577,898927,844429,0
9,2020-05-20 09:23:00,93.1,93.1,93.1,93.1,738236,1000404,970297,0
10,2020-05-20 09:24:00,92.9,92.9,92.9,92.9,420378,948592,1079336,0
11,2020-05-20 09:25:00,93.05,93.05,92.75,92.75,917230,1956679,2245047,0
12,2020-05-20 09:26:00,92.5,92.5,92.5,92.5,977846,957046,1178308,0
13,2020-05-20 09:27:00,92.45,92.45,92.45,92.45,561211,994782,1208284,0
14,2020-05-20 09:28:00,92.4,92.4,92.4,92.4,583585,1010190,1276540,0
15,2020-05-20 09:29:00,92.4,92.4,92.4,92.4,1042425,1047432,1352949,0
16,2020-05-20 09:30:00,92.0,92.0,91.75,91.75,773044,2215020,3093858,0
17,2020-05-20 09:34:00,92.4,92.4,92.4,92.4,1001215,1452384,1675509,0
18,2020-05-20 09:35:00,92.5,92.5,92.5,92.5,1305919,1488879,1703465,0
19,2020-05-20 09:36:00,92.25,92.25,92.2,92.2,843945,2883033,3473801,0
20,2020-05-20 09:37:00,92.25,92.25,92.25,92.25,861695,1470554,1750386,0
21,2020-05-20 09:39:00,92.65,92.65,92.65,92.65,1366531,1540223,1734038,0
22,2020-05-20 09:40:00,92.6,92.6,92.6,92.6,1392338,1541715,1722455,0
23,2020-05-20 09:42:00,92.85,92.85,92.85,92.85,1021367,1642528,1694006,0
24,2020-05-20 09:44:00,93.0,93.0,93.0,93.0,1519124,3346812,3267695,0
25,2020-05-20 09:45:00,93.05,93.05,93.05,93.05,1587115,1674371,1669946,0
26,2020-05-20 09:46:00,92.8,92.8,92.8,92.8,1131406,1657843,1718277,0
27,2020-05-20 09:47:00,92.9,92.9,92.8,92.8,1553228,3336840,3457978,0
28,2020-05-20 09:49:00,93.3,93.3,93.3,93.3,1694908,1760335,1616697,0
29,2020-05-20 09:50:00,93.45,93.45,93.45,93.45,1393319,1800910,1625910,0
30,2020-05-20 09:51:00,93.45,93.45,93.45,93.45,1363348,1808677,1679384,0
31,2020-05-20 09:52:00,93.4,93.4,93.4,93.4,1706218,1809109,1721582,0
32,2020-05-20 09:53:00,93.5,93.5,93.5,93.5,1798147,1825045,1692175,0
33,2020-05-20 09:54:00,93.4,93.4,93.4,93.4,1501388,1794993,1716072,0
34,2020-05-20 09:55:00,93.7,93.7,93.7,93.7,1474610,1858089,1672526,0
35,2020-05-20 09:56:00,93.8,93.8,93.8,93.8,1882310,1917332,1659360,0
36,2020-05-20 09:57:00,93.55,93.55,93.55,93.55,1988089,1872274,1744897,0
37,2020-05-20 09:58:00,93.6,93.6,93.6,93.6,1633642,1866486,1756516,0
38,2020-05-20 10:00:00,93.5,93.5,93.5,93.5,1602153,1874962,1815813,0
39,2020-05-20 10:01:00,93.7,93.7,93.7,93.7,2040838,1926816,1752795,0
40,2020-05-20 10:02:00,93.85,93.85,93.85,93.85,2101040,1961911,1746812,0
41,2020-05-20 10:03:00,93.75,93.75,93.7,93.7,1642085,3895661,3621264,0
42,2020-05-20 10:05:00,93.65,93.65,93.65,93.65,1706780,1945051,1832229,0
43,2020-05-20 10:06:00,93.5,93.5,93.5,93.5,2190731,1901008,1896305,0
44,2020-05-20 10:07:00,93.3,93.3,93.3,93.3,2170044,1827394,1961157,0
45,2020-05-20 10:09:00,93.25,93.25,93.25,93.25,1897288,1791526,1935454,0
46,2020-05-20 10:12:00,93.05,93.05,93.05,93.05,2127346,1728959,2044758,0
47,2020-05-20 10:13:00,93.0,93.0,93.0,93.0,2401967,1736352,2036561,0
48,2020-05-20 10:14:00,93.15,93.15,93.15,93.15,2234809,1775204,1979236,0
49,2020-05-20 10:16:00,93.3,93.3,93.3,93.3,2034731,1830917,1963744,0
50,2020-05-20 10:17:00,92.9,92.9,92.9,92.9,2462936,3545192,4050552,0
51,2020-05-20 10:19:00,92.95,92.95,92.95,92.95,2601219,1751980,2053427,0
52,2020-05-20 10:20:00,92.8,92.8,92.8,92.8,2188719,1729059,2093875,0
53,2020-05-20 10:22:00,92.6,92.6,92.6,92.6,2098928,1729507,2140761,0
54,2020-05-20 10:24:00,93.05,93.05,93.05,93.05,2654811,1767504,2017921,0
55,2020-05-20 10:25:00,93.0,93.0,93.0,93.0,2773948,1810306,2044009,0
56,2020-05-20 10:26:00,92.9,92.9,92.9,92.9,2153834,3528271,4136139,0
57,2020-05-20 10:27:00,92.9,92.95,92.9,92.9,2781421,5343957,6230910,0
58,2020-05-20 10:29:00,92.9,92.9,92.85,92.85,2196877,5404646,6325358,0
59,2020-05-20 10:30:00,92.85,92.85,92.85,92.85,2207894,1797716,2088963,0
