,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,1081.1,1081.1,1081.1,1081.1,0,2439,959,0
1,2020-05-20 09:25:00,1090.5,1090.5,1090.5,1090.5,0,12812,9727,0
2,2020-05-20 09:26:00,1097.0,1097.0,1097.0,1097.0,1448,12996,10990,0
3,2020-05-20 09:34:00,1088.7,1088.7,1088.7,1088.7,2268,13212,12180,0
4,2020-05-20 09:42:00,1085.2,1085.2,1085.2,1085.2,1048,19628,17402,0
5,2020-05-20 09:51:00,1089.2,1089.2,1089.2,1089.2,861,19519,17280,0
6,2020-05-20 09:57:00,1087.95,1087.95,1087.95,1087.95,2203,19631,17408,0
7,2020-05-20 09:59:00,1091.7,1091.7,1091.7,1091.7,2625,19949,16909,0
8,2020-05-20 10:14:00,1090.35,1090.35,1090.35,1090.35,1437,23064,19126,0
9,2020-05-20 10:26:00,1093.1,1093.1,1093.1,1093.1,1301,26887,21444,0
10,2020-05-20 10:39:00,1087.25,1087.25,1087.25,1087.25,2593,26637,22006,0
11,2020-05-20 10:52:00,1087.25,1087.25,1087.25,1087.25,2794,26743,22023,0
12,2020-05-20 11:17:00,1087.25,1087.25,1087.25,1087.25,1694,26475,21330,0
13,2020-05-20 11:25:00,1087.25,1087.25,1087.25,1087.25,1587,36355,29918,0
14,2020-05-20 11:35:00,1091.55,1091.55,1091.55,1091.55,3075,38975,31349,0
15,2020-05-20 12:04:00,1094.25,1094.25,1094.25,1094.25,3842,39297,31189,0
16,2020-05-20 12:07:00,1094.25,1094.25,1094.25,1094.25,2355,39311,31198,0
17,2020-05-20 12:09:00,1092.8,1092.8,1092.8,1092.8,1601,39330,31021,0
18,2020-05-20 12:22:00,1094.0,1094.0,1094.0,1094.0,3264,39466,31080,0
19,2020-05-20 12:26:00,1094.0,1094.0,1094.0,1094.0,4025,39504,31078,0
20,2020-05-20 12:32:00,1094.0,1094.0,1094.0,1094.0,2406,39510,31035,0
21,2020-05-20 12:38:00,1093.85,1093.85,1093.85,1093.85,1702,39480,31081,0
22,2020-05-20 12:45:00,1094.1,1094.1,1094.1,1094.1,3393,35581,28365,0
23,2020-05-20 13:13:00,1092.0,1092.0,1092.0,1092.0,4270,37937,29927,0
24,2020-05-20 13:17:00,1092.05,1092.05,1092.05,1092.05,2588,37936,29959,0
25,2020-05-20 13:22:00,1092.0,1092.0,1092.0,1092.0,1746,37903,29990,0
26,2020-05-20 13:38:00,1093.85,1093.85,1093.85,1093.85,3491,35564,28457,0
27,2020-05-20 13:51:00,1093.25,1093.25,1093.25,1093.25,4355,37881,29409,0
28,2020-05-20 14:08:00,1098.85,1098.85,1098.85,1098.85,4520,38719,27376,0
29,2020-05-20 14:23:00,1098.0,1098.0,1098.0,1098.0,3879,38504,27668,0
30,2020-05-20 14:29:00,1097.9,1097.9,1097.9,1097.9,3802,38636,27616,0
31,2020-05-20 14:31:00,1096.7,1096.7,1096.7,1096.7,4447,38557,27624,0
32,2020-05-20 14:51:00,1090.45,1090.45,1090.45,1090.45,5449,39055,28209,0
33,2020-05-20 14:55:00,1094.0,1094.0,1094.0,1094.0,4960,39022,27827,0
34,2020-05-20 14:56:00,1093.8,1093.8,1093.8,1093.8,3986,39024,27820,0
35,2020-05-20 14:58:00,1094.85,1094.85,1094.85,1094.85,4654,38864,27896,0
36,2020-05-20 15:03:00,1092.45,1092.45,1092.45,1092.45,5841,38805,27932,0
37,2020-05-20 15:07:00,1091.3,1091.3,1091.3,1091.3,5653,38703,9720,0
38,2020-05-20 15:09:00,1085.25,1085.25,1085.25,1085.25,4706,38063,9966,0
39,2020-05-20 15:14:00,1093.45,1093.45,1093.45,1093.45,5362,37459,9409,0
40,2020-05-20 15:15:00,1093.45,1093.45,1093.45,1093.45,6309,37386,9198,0
41,2020-05-20 15:16:00,1092.1,1092.1,1092.1,1092.1,5729,37373,9376,0
42,2020-05-20 15:17:00,1090.15,1090.15,1090.15,1090.15,4792,37365,9354,0
43,2020-05-20 15:20:00,1093.0,1093.0,1093.0,1093.0,5535,37014,8861,0
44,2020-05-20 15:22:00,1094.0,1094.0,1094.0,1094.0,6697,36363,8098,0
45,2020-05-20 15:25:00,1097.2,1097.2,1097.2,1097.2,6365,8132,7170,0
46,2020-05-20 15:26:00,1092.6,1092.6,1092.6,1092.6,5309,8167,7229,0
47,2020-05-20 15:29:00,1090.75,1090.75,1090.75,1090.75,6027,7681,6233,0
