,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,62.55,62.55,62.55,62.55,0,58594,100839,0
1,2020-05-20 09:07:00,62.55,62.55,62.55,62.55,0,29322,52477,0
2,2020-05-20 09:15:00,62.0,62.0,62.0,62.0,100,29222,52407,0
3,2020-05-20 09:16:00,62.2,62.2,62.0,62.0,3623,118549,167447,0
4,2020-05-20 09:17:00,61.95,61.95,61.95,61.95,9042,67456,90819,0
5,2020-05-20 09:18:00,61.85,61.85,61.75,61.75,3104,137357,198153,0
6,2020-05-20 09:19:00,61.8,61.85,61.8,61.85,20328,183504,227662,0
7,2020-05-20 09:20:00,61.95,62.25,61.95,62.25,4816,295282,338287,0
8,2020-05-20 09:21:00,62.2,62.6,62.2,62.6,30747,425953,460492,0
9,2020-05-20 09:23:00,62.2,62.55,62.2,62.55,22730,216751,241757,0
10,2020-05-20 09:24:00,62.25,62.25,62.25,62.25,30498,110373,126265,0
11,2020-05-20 09:25:00,62.35,62.4,62.35,62.4,38330,233498,251279,0
12,2020-05-20 09:26:00,62.35,62.35,62.35,62.35,39865,121653,126993,0
13,2020-05-20 09:27:00,62.3,62.3,62.3,62.3,38318,118066,131296,0
14,2020-05-20 09:29:00,61.95,62.0,61.95,62.0,55161,216205,278965,0
15,2020-05-20 09:30:00,61.7,61.7,61.7,61.7,75970,108423,143630,0
16,2020-05-20 09:31:00,61.75,61.75,61.75,61.75,60981,109481,143353,0
17,2020-05-20 09:32:00,62.0,62.0,61.85,61.85,73371,223840,284082,0
18,2020-05-20 09:33:00,62.0,62.0,62.0,62.0,76451,116130,153667,0
19,2020-05-20 09:34:00,62.2,62.2,62.2,62.2,69500,121504,141554,0
20,2020-05-20 09:35:00,61.95,62.1,61.95,62.1,85186,230647,291517,0
21,2020-05-20 09:37:00,62.0,62.0,62.0,62.0,93382,117959,145140,0
22,2020-05-20 09:39:00,62.2,62.35,62.2,62.35,71157,245740,289083,0
23,2020-05-20 09:40:00,62.0,62.0,62.0,62.0,88312,117903,147191,0
24,2020-05-20 09:41:00,62.3,62.35,62.3,62.35,100316,375038,434645,0
25,2020-05-20 09:42:00,62.05,62.35,62.05,62.35,98178,353281,448659,0
26,2020-05-20 09:43:00,62.35,62.35,62.3,62.3,106362,363340,439842,0
27,2020-05-20 09:44:00,62.2,62.2,62.2,62.2,109513,348551,462742,0
28,2020-05-20 09:45:00,62.2,62.2,62.2,62.2,111363,116408,154602,0
29,2020-05-20 09:46:00,62.15,62.2,62.15,62.2,123892,351644,460125,0
30,2020-05-20 09:47:00,62.4,62.4,62.2,62.2,120589,359522,449655,0
31,2020-05-20 09:48:00,62.3,62.35,62.25,62.35,124472,359448,448318,0
32,2020-05-20 09:50:00,62.4,62.4,62.4,62.4,125559,121741,147347,0
33,2020-05-20 09:51:00,62.2,62.3,62.2,62.3,130539,231896,303548,0
34,2020-05-20 09:52:00,62.35,62.4,62.35,62.4,134006,362128,450435,0
35,2020-05-20 09:53:00,62.6,62.6,62.6,62.6,145072,121991,143990,0
36,2020-05-20 09:54:00,62.6,62.6,62.6,62.6,130906,246622,290130,0
37,2020-05-20 09:55:00,62.75,63.2,62.75,63.2,154541,382316,436123,0
38,2020-05-20 09:56:00,62.9,62.9,62.9,62.9,135775,256039,303915,0
39,2020-05-20 09:57:00,62.85,62.85,62.85,62.85,136775,128152,156171,0
40,2020-05-20 09:58:00,62.65,62.65,62.65,62.65,157276,125431,162362,0
41,2020-05-20 09:59:00,62.65,62.75,62.65,62.75,140884,502006,648957,0
42,2020-05-20 10:00:00,62.75,62.85,62.75,62.85,166123,257863,318925,0
43,2020-05-20 10:01:00,62.85,62.85,62.65,62.65,147152,389079,477946,0
44,2020-05-20 10:02:00,62.65,62.75,62.65,62.75,168208,383123,486521,0
45,2020-05-20 10:03:00,62.75,62.8,62.75,62.8,147948,389059,485932,0
46,2020-05-20 10:07:00,62.8,62.8,62.8,62.8,173012,125139,173599,0
47,2020-05-20 10:09:00,62.4,62.4,62.4,62.4,209061,127766,174001,0
48,2020-05-20 10:11:00,62.5,62.55,62.5,62.55,159433,255180,349018,0
49,2020-05-20 10:13:00,62.6,62.6,62.6,62.6,162872,128635,175994,0
50,2020-05-20 10:15:00,62.75,62.75,62.75,62.75,219634,132320,173491,0
51,2020-05-20 10:25:00,62.4,62.4,62.4,62.4,229011,128819,185958,0
52,2020-05-20 10:26:00,62.3,62.3,62.15,62.15,173321,243155,376667,0
53,2020-05-20 10:31:00,61.95,61.95,61.85,61.85,264094,222678,392249,0
54,2020-05-20 10:33:00,62.25,62.25,62.25,62.25,271420,117506,193035,0
55,2020-05-20 10:36:00,62.2,62.2,62.2,62.2,199653,117143,199429,0
56,2020-05-20 10:37:00,62.3,62.3,62.3,62.3,199432,124546,194298,0
57,2020-05-20 10:39:00,62.05,62.05,62.05,62.05,274754,119948,224181,0
58,2020-05-20 10:40:00,62.7,62.7,62.7,62.7,306932,129954,183210,0
59,2020-05-20 10:44:00,62.7,62.7,62.7,62.7,309815,150784,187737,0
60,2020-05-20 10:45:00,62.75,62.75,62.75,62.75,278605,153889,186975,0
61,2020-05-20 10:47:00,62.8,63.0,62.8,63.0,324645,321851,365402,0
62,2020-05-20 10:48:00,63.0,63.0,63.0,63.0,324745,164611,183857,0
63,2020-05-20 10:50:00,62.65,62.8,62.65,62.8,306414,311522,433659,0
64,2020-05-20 10:51:00,62.8,63.05,62.8,63.05,339311,507746,606469,0
65,2020-05-20 10:53:00,62.85,62.85,62.85,62.85,357547,171896,189929,0
66,2020-05-20 10:54:00,62.6,62.6,62.6,62.6,333335,156416,215442,0
67,2020-05-20 10:56:00,62.7,62.7,62.7,62.7,332981,152916,195629,0
68,2020-05-20 10:57:00,62.65,62.65,62.55,62.55,364692,305923,396915,0
69,2020-05-20 11:00:00,62.75,62.75,62.75,62.75,369418,157861,197240,0
70,2020-05-20 11:01:00,62.7,62.7,62.7,62.7,338155,155696,197631,0
71,2020-05-20 11:04:00,62.55,62.55,62.55,62.55,338225,153033,216036,0
72,2020-05-20 11:05:00,62.6,62.6,62.6,62.6,375274,152453,214981,0
73,2020-05-20 11:06:00,62.8,62.8,62.8,62.8,386873,158901,211167,0
74,2020-05-20 11:07:00,62.6,62.6,62.6,62.6,351013,152326,212724,0
75,2020-05-20 11:08:00,62.7,62.7,62.7,62.7,345727,152977,211831,0
76,2020-05-20 11:11:00,62.75,62.75,62.75,62.75,388399,153738,211607,0
