,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,39.45,39.45,39.45,39.45,0,786,4720,0
1,2020-05-20 09:33:00,39.7,39.7,39.7,39.7,0,9969,9618,0
2,2020-05-20 09:46:00,39.9,39.9,39.9,39.9,6334,9896,6540,0
3,2020-05-20 09:53:00,40.15,40.15,40.15,40.15,6466,15031,6287,0
4,2020-05-20 09:55:00,40.2,40.2,40.2,40.2,200,14878,6219,0
5,2020-05-20 10:02:00,40.15,40.15,40.15,40.15,269,14166,6562,0
6,2020-05-20 10:04:00,40.15,40.15,40.15,40.15,6734,14371,6423,0
7,2020-05-20 10:14:00,40.1,40.1,40.1,40.1,7418,15259,6438,0
8,2020-05-20 10:36:00,39.6,39.6,39.6,39.6,5163,10083,8153,0
9,2020-05-20 13:02:00,39.65,39.65,39.65,39.65,10187,11032,9920,0
10,2020-05-20 13:14:00,39.5,39.5,39.5,39.5,14446,10129,9361,0
11,2020-05-20 13:24:00,39.5,39.5,39.5,39.5,10362,10129,9972,0
12,2020-05-20 14:30:00,39.2,39.2,39.2,39.2,13267,11400,11210,0
13,2020-05-20 14:39:00,39.25,39.25,39.25,39.25,17807,11097,12464,0
14,2020-05-20 15:02:00,39.3,39.3,39.3,39.3,15746,12000,14953,0
15,2020-05-20 15:12:00,39.4,39.4,39.4,39.4,11872,12090,13665,0
16,2020-05-20 15:25:00,39.1,39.1,39.1,39.1,17776,10367,9252,0
