,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,169.3,169.3,169.3,169.3,0,111314,216430,0
1,2020-05-20 09:08:00,169.3,169.3,169.3,169.3,0,51598,105994,0
2,2020-05-20 09:11:00,169.3,169.3,169.3,169.3,7384,51598,105994,0
3,2020-05-20 09:14:00,169.3,169.3,169.3,169.3,7384,51598,105994,0
4,2020-05-20 09:15:00,169.35,170.0,169.35,170.0,46732,488019,594174,0
5,2020-05-20 09:17:00,170.55,170.55,170.55,170.55,178353,375735,375288,0
6,2020-05-20 09:18:00,170.4,170.85,170.4,170.85,13935,791229,747120,0
7,2020-05-20 09:19:00,171.35,171.35,171.35,171.35,51909,447249,381769,0
8,2020-05-20 09:20:00,171.2,171.2,171.2,171.2,277264,436779,413267,0
9,2020-05-20 09:21:00,171.35,171.6,171.35,171.6,81904,924951,848503,0
10,2020-05-20 09:22:00,171.55,171.55,171.55,171.55,102099,468872,447364,0
11,2020-05-20 09:23:00,171.2,171.2,171.2,171.2,311580,478494,472434,0
12,2020-05-20 09:26:00,171.2,171.2,171.15,171.15,247435,965599,1034501,0
13,2020-05-20 09:27:00,171.15,171.15,171.15,171.15,247435,488688,518513,0
14,2020-05-20 09:28:00,171.45,171.45,171.4,171.45,359628,1623347,1633804,0
15,2020-05-20 09:29:00,171.3,171.3,171.3,171.3,360606,556791,560612,0
16,2020-05-20 09:30:00,171.15,171.15,171.1,171.1,297178,1180969,1270507,0
17,2020-05-20 09:31:00,171.3,171.3,171.15,171.15,370792,1281364,1396589,0
18,2020-05-20 09:32:00,171.05,171.05,171.05,171.05,455431,649399,711304,0
19,2020-05-20 09:33:00,171.1,171.1,171.1,171.1,393218,641887,708942,0
20,2020-05-20 09:34:00,171.35,171.4,171.35,171.4,401484,1362208,1424678,0
21,2020-05-20 09:35:00,171.6,171.6,171.6,171.6,428815,697900,701936,0
22,2020-05-20 09:36:00,171.5,171.5,171.5,171.5,439254,706878,717399,0
23,2020-05-20 09:39:00,172.0,172.0,172.0,172.0,587039,785575,696277,0
24,2020-05-20 09:40:00,172.05,172.05,172.05,172.05,611930,775207,717354,0
25,2020-05-20 09:41:00,172.1,172.1,172.1,172.1,507179,778947,711774,0
26,2020-05-20 09:42:00,172.2,172.2,172.2,172.2,502821,839265,725521,0
27,2020-05-20 09:43:00,172.25,172.25,172.25,172.25,628226,850162,739908,0
28,2020-05-20 09:44:00,172.4,172.4,172.4,172.4,648728,868193,733318,0
29,2020-05-20 09:45:00,172.35,172.5,172.35,172.4,560538,2600097,2199285,0
30,2020-05-20 09:46:00,171.9,171.9,171.9,171.9,583078,838317,749445,0
31,2020-05-20 09:47:00,171.8,171.8,171.8,171.8,698205,800516,780308,0
