,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,334.6,334.6,334.6,334.6,0,23216,47291,0
1,2020-05-20 09:08:00,336.0,336.0,336.0,336.0,0,11202,21777,0
2,2020-05-20 09:11:00,336.0,336.0,336.0,336.0,413,11202,21777,0
3,2020-05-20 09:14:00,336.0,336.0,336.0,336.0,413,11202,21777,0
4,2020-05-20 09:15:00,335.95,335.95,335.95,335.95,0,11202,21777,0
5,2020-05-20 09:17:00,337.05,337.05,336.95,336.95,45714,210455,250386,0
6,2020-05-20 09:18:00,337.0,337.0,337.0,337.0,49981,115647,131139,0
7,2020-05-20 09:19:00,336.85,336.85,336.85,336.85,7568,115685,137618,0
8,2020-05-20 09:20:00,336.6,338.25,336.6,338.1,61942,353909,424077,0
9,2020-05-20 09:22:00,338.45,338.45,338.3,338.3,22514,253972,308697,0
10,2020-05-20 09:25:00,338.0,338.0,338.0,338.0,85290,278587,320975,0
11,2020-05-20 09:27:00,337.05,337.6,337.05,337.6,42630,289961,324409,0
12,2020-05-20 09:28:00,337.3,337.3,337.3,337.3,42746,148616,162529,0
13,2020-05-20 09:29:00,338.0,338.0,337.0,337.0,93788,318502,354602,0
14,2020-05-20 09:30:00,335.8,335.8,335.8,335.8,103648,149803,187791,0
15,2020-05-20 09:31:00,335.9,335.9,335.9,335.9,53457,154162,188841,0
16,2020-05-20 09:33:00,336.75,337.45,336.75,337.45,103704,330587,380253,0
17,2020-05-20 09:34:00,337.45,337.45,337.45,337.45,108666,172699,198753,0
18,2020-05-20 09:35:00,337.2,337.2,337.2,337.2,58547,173560,201727,0
19,2020-05-20 09:36:00,337.0,337.0,337.0,337.0,54668,179576,211246,0
20,2020-05-20 09:37:00,336.0,336.0,336.0,336.0,106688,177938,221993,0
21,2020-05-20 09:38:00,336.4,336.4,336.4,336.4,112393,183448,219302,0
22,2020-05-20 09:40:00,337.3,337.3,336.7,336.7,64411,377060,435690,0
23,2020-05-20 09:43:00,336.7,337.05,336.7,337.05,115369,387119,438587,0
24,2020-05-20 09:44:00,337.05,337.05,337.05,337.05,115369,194780,218281,0
25,2020-05-20 09:45:00,338.0,338.6,338.0,338.6,83201,609592,625778,0
26,2020-05-20 09:46:00,338.5,338.5,338.5,338.5,83730,204741,207789,0
27,2020-05-20 09:47:00,339.25,339.9,339.25,339.9,140467,855625,816199,0
28,2020-05-20 09:48:00,339.9,339.9,339.9,339.9,140527,218304,204797,0
29,2020-05-20 09:49:00,339.75,339.75,339.75,339.75,88298,220886,208929,0
30,2020-05-20 09:51:00,340.0,340.0,340.0,340.0,111490,227120,210571,0
31,2020-05-20 09:53:00,340.45,340.45,340.45,340.45,176062,232140,210193,0
32,2020-05-20 09:54:00,340.95,340.95,340.95,340.95,164281,235305,213192,0
33,2020-05-20 09:55:00,340.8,340.8,340.8,340.8,108947,233280,217051,0
34,2020-05-20 09:57:00,339.5,339.5,339.5,339.5,136270,223360,228895,0
35,2020-05-20 09:58:00,339.05,339.05,339.05,339.05,198419,221808,233547,0
36,2020-05-20 09:59:00,339.5,339.5,339.4,339.4,113699,450433,461304,0
37,2020-05-20 10:00:00,339.0,339.0,339.0,339.0,115569,223383,235313,0
38,2020-05-20 10:01:00,340.0,340.0,340.0,340.0,211233,229970,220853,0
39,2020-05-20 10:03:00,339.55,339.55,339.55,339.55,212027,224846,229215,0
40,2020-05-20 10:04:00,339.75,339.75,339.7,339.7,125149,453080,456546,0
41,2020-05-20 10:05:00,339.3,339.3,339.3,339.3,126207,220168,235933,0
42,2020-05-20 10:06:00,338.7,338.7,338.7,338.7,218187,213990,242172,0
43,2020-05-20 10:07:00,338.2,338.2,338.2,338.2,223218,209995,244643,0
44,2020-05-20 10:08:00,337.7,337.7,337.7,337.7,134810,208512,250423,0
45,2020-05-20 10:10:00,338.75,338.75,338.75,338.75,138559,221701,242834,0
46,2020-05-20 10:12:00,338.8,338.8,338.8,338.8,233677,220798,241100,0
47,2020-05-20 10:13:00,338.7,338.7,338.7,338.7,230680,221510,242768,0
48,2020-05-20 10:16:00,340.05,340.05,340.05,340.05,149368,232986,229376,0
49,2020-05-20 10:17:00,339.55,339.55,339.55,339.55,156729,231033,235953,0
50,2020-05-20 10:19:00,339.0,339.0,339.0,339.0,242857,225375,246526,0
51,2020-05-20 10:20:00,338.85,339.25,338.6,339.25,157165,661485,748551,0
52,2020-05-20 10:21:00,339.1,339.1,338.6,338.6,249184,673770,752168,0
53,2020-05-20 10:22:00,339.0,339.35,339.0,339.35,159811,679462,746960,0
54,2020-05-20 10:24:00,342.0,342.0,342.0,342.0,195938,250133,207314,0
55,2020-05-20 10:25:00,341.2,341.2,341.2,341.2,294414,241758,224200,0
56,2020-05-20 10:26:00,341.55,341.55,341.55,341.55,272043,246879,231748,0
57,2020-05-20 10:27:00,341.4,341.4,341.0,341.0,208880,500731,488410,0
58,2020-05-20 10:28:00,340.9,340.9,340.45,340.45,275770,498631,498325,0
59,2020-05-20 10:29:00,340.8,340.8,340.8,340.8,289677,251247,253124,0
60,2020-05-20 10:31:00,340.2,340.2,340.2,340.2,228912,242701,258140,0
61,2020-05-20 10:32:00,340.25,340.3,340.1,340.3,278580,729916,768988,0
62,2020-05-20 10:34:00,341.05,341.05,341.05,341.05,284513,254300,247765,0
63,2020-05-20 10:35:00,341.35,341.35,341.35,341.35,237992,254447,248339,0
64,2020-05-20 10:36:00,341.5,341.5,341.5,341.5,236897,254292,247041,0
65,2020-05-20 10:38:00,341.45,341.45,341.45,341.45,286043,257194,247407,0
66,2020-05-20 10:39:00,341.0,341.0,341.0,341.0,290993,253764,252174,0
67,2020-05-20 10:40:00,341.3,341.3,341.3,341.3,238752,514319,510239,0
68,2020-05-20 10:41:00,341.1,341.1,340.95,340.95,294708,510291,515779,0
69,2020-05-20 10:42:00,340.85,340.85,340.85,340.85,295361,254779,259083,0
70,2020-05-20 10:43:00,340.3,340.3,340.3,340.3,243092,248688,266323,0
71,2020-05-20 10:45:00,340.75,340.75,340.75,340.75,255237,246553,261081,0
72,2020-05-20 10:46:00,340.8,341.2,340.8,341.2,303119,500301,514236,0
73,2020-05-20 10:47:00,341.35,341.35,341.35,341.35,303728,254479,248702,0
74,2020-05-20 10:49:00,341.5,341.95,341.5,341.95,273989,521064,481478,0
75,2020-05-20 10:50:00,341.7,341.7,341.7,341.7,275515,262217,235327,0
76,2020-05-20 10:51:00,342.0,342.0,342.0,342.0,305488,262484,236345,0
77,2020-05-20 10:52:00,342.15,342.2,342.0,342.0,278301,1052779,939109,0
78,2020-05-20 10:53:00,343.25,343.25,343.25,343.25,300834,270505,220037,0
79,2020-05-20 10:54:00,343.9,344.0,343.5,343.5,320274,1116557,905277,0
80,2020-05-20 10:55:00,343.3,343.6,343.3,343.6,304909,814551,697709,0
81,2020-05-20 10:56:00,343.9,343.9,343.9,343.9,320484,273501,231342,0
82,2020-05-20 10:57:00,343.5,343.5,343.15,343.15,330204,538900,480051,0
83,2020-05-20 10:58:00,343.15,343.15,343.0,343.0,327246,531552,491206,0
84,2020-05-20 10:59:00,342.75,342.75,342.75,342.75,328190,266663,247921,0
85,2020-05-20 11:00:00,342.5,342.5,342.5,342.5,334175,266297,251007,0
86,2020-05-20 11:01:00,342.7,342.7,342.7,342.7,336711,268969,248223,0
87,2020-05-20 11:02:00,342.5,342.5,342.5,342.5,334073,264716,249417,0
88,2020-05-20 11:03:00,343.25,343.25,343.25,343.25,335567,267802,246561,0
89,2020-05-20 11:04:00,343.8,343.8,343.8,343.8,342592,270402,322112,0
90,2020-05-20 11:06:00,342.5,342.65,342.5,342.5,341031,795742,988173,0
91,2020-05-20 11:07:00,342.55,342.7,342.55,342.7,345202,798763,988927,0
