,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,23.15,23.15,23.15,23.15,0,15706,17802,0
1,2020-05-20 09:15:00,23.15,23.15,23.15,23.15,1250,38688,35875,0
2,2020-05-20 09:18:00,23.35,23.35,23.35,23.35,1845,34044,30806,0
3,2020-05-20 09:23:00,23.15,23.15,23.15,23.15,9343,43291,38827,0
4,2020-05-20 09:25:00,23.2,23.2,23.2,23.2,12816,43175,40784,0
5,2020-05-20 09:29:00,23.15,23.15,23.15,23.15,7912,44723,47691,0
6,2020-05-20 09:36:00,23.25,23.25,23.25,23.25,11233,46608,52476,0
7,2020-05-20 09:38:00,23.2,23.2,23.2,23.2,16251,44882,53907,0
8,2020-05-20 09:42:00,23.1,23.1,23.1,23.1,29472,36975,56035,0
9,2020-05-20 09:44:00,23.1,23.1,23.1,23.1,29161,36160,56904,0
10,2020-05-20 09:48:00,23.15,23.15,23.15,23.15,16286,40117,54630,0
11,2020-05-20 09:54:00,23.2,23.2,23.2,23.2,20843,45711,53648,0
12,2020-05-20 09:55:00,23.25,23.25,23.25,23.25,33769,45886,59597,0
13,2020-05-20 09:59:00,23.2,23.2,23.2,23.2,23180,155381,114532,0
14,2020-05-20 10:10:00,23.2,23.2,23.2,23.2,30283,89218,61867,0
15,2020-05-20 10:15:00,23.2,23.2,23.2,23.2,43257,87908,58375,0
16,2020-05-20 10:34:00,23.2,23.2,23.2,23.2,45586,86662,61397,0
17,2020-05-20 10:46:00,23.2,23.2,23.2,23.2,33423,92656,62581,0
18,2020-05-20 10:47:00,23.2,23.2,23.2,23.2,31267,92661,62408,0
19,2020-05-20 10:52:00,23.2,23.2,23.2,23.2,45112,91757,60683,0
20,2020-05-20 11:04:00,23.1,23.1,23.1,23.1,49498,93796,62305,0
21,2020-05-20 11:15:00,23.15,23.15,23.15,23.15,40395,94377,65554,0
22,2020-05-20 11:25:00,23.25,23.25,23.25,23.25,39753,106587,61443,0
23,2020-05-20 11:30:00,23.3,23.3,23.3,23.3,54608,110818,65905,0
24,2020-05-20 11:42:00,23.3,23.3,23.3,23.3,56298,107728,65639,0
25,2020-05-20 12:15:00,23.2,23.2,23.2,23.2,47895,115682,68503,0
26,2020-05-20 12:20:00,23.3,23.3,23.3,23.3,49237,114383,68079,0
27,2020-05-20 12:22:00,23.25,23.25,23.25,23.25,71508,115126,66177,0
28,2020-05-20 12:25:00,23.3,23.3,23.3,23.3,70672,116700,66857,0
29,2020-05-20 12:29:00,23.2,23.2,23.2,23.2,52103,113113,68958,0
30,2020-05-20 13:05:00,23.25,23.25,23.25,23.25,64777,127391,68865,0
31,2020-05-20 13:06:00,23.25,23.25,23.25,23.25,83536,127311,68015,0
32,2020-05-20 13:09:00,23.3,23.3,23.3,23.3,75662,127951,65101,0
33,2020-05-20 13:32:00,23.2,23.2,23.2,23.2,74669,123872,75215,0
34,2020-05-20 13:41:00,23.2,23.2,23.2,23.2,89041,126075,74834,0
35,2020-05-20 13:47:00,24.0,24.0,24.0,24.0,185385,261718,69378,0
36,2020-05-20 13:48:00,23.9,23.9,23.9,23.9,186025,132082,40787,0
37,2020-05-20 13:51:00,23.9,23.9,23.9,23.9,97739,139035,40799,0
38,2020-05-20 13:53:00,23.95,23.95,23.9,23.9,194367,277027,98666,0
39,2020-05-20 14:02:00,23.85,23.85,23.85,23.85,205618,151965,71054,0
40,2020-05-20 14:03:00,23.85,23.85,23.85,23.85,112186,149768,77186,0
41,2020-05-20 14:11:00,23.85,23.9,23.85,23.9,195957,312553,157689,0
42,2020-05-20 14:14:00,23.85,23.85,23.85,23.85,197280,171007,77807,0
43,2020-05-20 14:17:00,23.8,23.8,23.8,23.8,113977,169823,78309,0
44,2020-05-20 14:27:00,23.8,23.8,23.8,23.8,115256,175826,76136,0
45,2020-05-20 14:35:00,23.95,23.95,23.95,23.95,222533,181546,55740,0
46,2020-05-20 14:37:00,23.9,23.9,23.8,23.8,123264,345309,118192,0
47,2020-05-20 14:51:00,23.65,23.65,23.65,23.65,152213,170020,70359,0
48,2020-05-20 14:57:00,23.6,23.6,23.6,23.6,254023,172023,74700,0
49,2020-05-20 15:00:00,23.65,23.65,23.65,23.65,226804,174455,75041,0
50,2020-05-20 15:04:00,23.6,23.6,23.6,23.6,128075,179297,67903,0
51,2020-05-20 15:05:00,23.6,23.6,23.6,23.6,155422,180070,68016,0
52,2020-05-20 15:13:00,23.8,23.8,23.8,23.8,259251,178402,64906,0
53,2020-05-20 15:15:00,23.75,23.75,23.75,23.75,234101,181152,63716,0
54,2020-05-20 15:19:00,23.75,23.75,23.75,23.75,138359,180155,60871,0
55,2020-05-20 15:22:00,23.9,23.9,23.9,23.9,165195,181561,60884,0
56,2020-05-20 15:23:00,23.85,23.85,23.85,23.85,272445,174905,49952,0
57,2020-05-20 15:24:00,23.85,23.85,23.85,23.85,245644,170875,49947,0
58,2020-05-20 15:26:00,23.85,23.85,23.85,23.85,141555,168228,46392,0
59,2020-05-20 15:29:00,23.85,23.85,23.85,23.85,173236,165288,42589,0
