,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,105.9,105.9,105.9,105.9,0,8392,6050,0
1,2020-05-20 09:07:00,105.9,105.9,105.9,105.9,0,9292,6050,0
2,2020-05-20 09:21:00,105.5,105.5,105.5,105.5,352,17225,6926,0
3,2020-05-20 09:25:00,105.6,105.6,105.6,105.6,413,20036,7439,0
4,2020-05-20 09:34:00,105.5,105.5,105.5,105.5,251,25952,8191,0
5,2020-05-20 09:42:00,106.45,106.45,106.45,106.45,451,28623,11371,0
6,2020-05-20 10:27:00,106.35,106.35,106.35,106.35,1710,31648,13635,0
7,2020-05-20 11:00:00,106.5,106.5,106.5,106.5,2147,34437,13679,0
8,2020-05-20 12:38:00,106.35,106.35,106.35,106.35,2910,37505,16107,0
9,2020-05-20 13:11:00,105.35,105.35,105.35,105.35,4795,33016,16721,0
10,2020-05-20 13:40:00,105.4,105.4,105.4,105.4,7593,34660,16382,0
11,2020-05-20 14:38:00,105.35,105.35,105.35,105.35,6272,37480,16495,0
12,2020-05-20 14:43:00,106.0,106.0,106.0,106.0,6479,37508,15685,0
13,2020-05-20 14:47:00,106.0,106.0,106.0,106.0,10678,37449,15247,0
14,2020-05-20 15:28:00,104.5,104.5,104.5,104.5,11842,30708,8621,0
15,2020-05-20 15:30:00,104.5,104.5,104.5,104.5,7643,18954,8629,0
