,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,147.7,147.7,147.7,147.7,0,2098,3044,0
1,2020-05-20 09:07:00,147.7,147.7,147.7,147.7,0,2098,3224,0
2,2020-05-20 09:19:00,149.0,149.0,149.0,149.0,1416,3348,4669,0
3,2020-05-20 09:20:00,149.0,149.0,149.0,149.0,1417,3428,4801,0
4,2020-05-20 09:24:00,148.9,148.9,148.9,148.9,1070,5552,5944,0
5,2020-05-20 09:36:00,147.4,147.4,147.4,147.4,2233,7015,6979,0
6,2020-05-20 09:40:00,147.5,147.5,147.5,147.5,2732,7015,9247,0
7,2020-05-20 09:55:00,149.0,149.0,149.0,149.0,4058,7415,8576,0
8,2020-05-20 09:59:00,149.65,149.65,149.65,149.65,7519,7914,8668,0
9,2020-05-20 10:00:00,151.0,151.0,151.0,151.0,6725,7832,8349,0
10,2020-05-20 10:01:00,149.85,149.85,149.85,149.85,3287,7391,8836,0
11,2020-05-20 10:07:00,150.1,150.1,150.1,150.1,4697,7995,9290,0
12,2020-05-20 10:21:00,149.15,149.15,149.15,149.15,9094,8640,11167,0
13,2020-05-20 10:26:00,148.6,148.6,148.6,148.6,7707,8436,11441,0
14,2020-05-20 10:49:00,148.75,148.75,148.75,148.75,4242,8377,11994,0
15,2020-05-20 10:50:00,148.75,148.75,148.75,148.75,9094,25131,35982,0
16,2020-05-20 10:51:00,148.75,148.75,148.75,148.75,9094,8377,11994,0
17,2020-05-20 11:15:00,148.9,148.9,148.9,148.9,4706,8341,13019,0
18,2020-05-20 11:19:00,148.95,148.95,148.95,148.95,4716,11055,13432,0
19,2020-05-20 11:30:00,148.7,148.7,148.7,148.7,9232,11234,13399,0
20,2020-05-20 11:31:00,148.7,148.7,148.7,148.7,9222,11298,13469,0
21,2020-05-20 11:33:00,148.5,148.5,148.5,148.5,4806,11789,13341,0
22,2020-05-20 12:07:00,148.85,148.85,148.85,148.85,5021,13575,14909,0
23,2020-05-20 12:16:00,148.15,148.15,148.15,148.15,9537,13523,14972,0
24,2020-05-20 12:34:00,148.2,148.2,148.2,148.2,9510,13754,14995,0
25,2020-05-20 12:35:00,148.2,148.2,148.2,148.2,4994,13728,14995,0
26,2020-05-20 12:56:00,148.0,148.0,148.0,148.0,5359,12055,14707,0
27,2020-05-20 13:23:00,147.35,147.35,147.35,147.35,9975,12016,15038,0
28,2020-05-20 13:27:00,147.15,147.15,147.15,147.15,9675,11322,14796,0
29,2020-05-20 13:38:00,147.0,147.0,147.0,147.0,5600,11212,14783,0
30,2020-05-20 13:41:00,146.55,146.55,146.55,146.55,10327,31624,44462,0
31,2020-05-20 13:44:00,146.6,146.6,146.6,146.6,10372,10679,14814,0
32,2020-05-20 13:47:00,146.95,146.95,146.95,146.95,5681,10700,14851,0
33,2020-05-20 13:48:00,147.25,147.25,147.25,147.25,5637,10704,14848,0
34,2020-05-20 13:55:00,146.95,146.95,146.95,146.95,10342,10821,14793,0
35,2020-05-20 14:00:00,146.95,146.95,146.95,146.95,10386,10984,14793,0
36,2020-05-20 14:01:00,146.95,146.95,146.95,146.95,5681,10978,14799,0
37,2020-05-20 14:06:00,147.1,147.1,147.1,147.1,5819,10875,14901,0
38,2020-05-20 14:12:00,147.9,147.9,147.9,147.9,11182,11618,14569,0
39,2020-05-20 14:53:00,147.25,147.25,147.25,147.25,13198,12889,14358,0
40,2020-05-20 14:55:00,147.25,147.25,147.25,147.25,7835,12854,14304,0
41,2020-05-20 15:19:00,146.9,146.9,146.9,146.9,8733,13191,11736,0
42,2020-05-20 15:23:00,147.15,147.15,147.15,147.15,16355,11445,12491,0
43,2020-05-20 15:26:00,147.5,147.5,147.5,147.5,16700,10579,12192,0
44,2020-05-20 15:29:00,147.8,147.8,147.8,147.8,9326,9621,11962,0
