,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,45.35,45.35,45.35,45.35,0,15700,19495,0
1,2020-05-20 09:07:00,43.15,43.15,43.15,43.15,0,1982,2657,0
2,2020-05-20 09:21:00,44.35,44.35,44.35,44.35,6794,5008,10140,0
3,2020-05-20 09:23:00,44.7,44.7,44.7,44.7,7338,4759,10153,0
4,2020-05-20 09:27:00,44.35,44.35,44.35,44.35,2188,5221,11278,0
5,2020-05-20 09:31:00,44.3,44.3,44.3,44.3,2503,6912,11475,0
6,2020-05-20 09:32:00,44.3,44.3,44.25,44.25,7672,14181,22515,0
7,2020-05-20 09:34:00,44.4,44.4,44.4,44.4,7751,7228,11457,0
8,2020-05-20 09:36:00,44.5,44.5,44.5,44.5,2625,6993,15905,0
9,2020-05-20 09:40:00,43.6,43.6,43.6,43.6,12287,12066,38816,0
10,2020-05-20 09:42:00,43.3,43.3,43.3,43.3,12310,7739,19320,0
11,2020-05-20 09:44:00,43.3,43.3,43.3,43.3,3168,7336,19607,0
12,2020-05-20 09:46:00,43.55,43.55,43.55,43.55,3687,9366,18005,0
13,2020-05-20 09:52:00,43.55,43.55,43.55,43.55,14411,9780,19147,0
14,2020-05-20 09:57:00,43.55,43.55,43.55,43.55,15845,10724,19281,0
15,2020-05-20 09:58:00,43.55,43.55,43.55,43.55,5507,13545,19069,0
16,2020-05-20 10:12:00,43.35,43.35,43.35,43.35,9221,12140,19769,0
17,2020-05-20 10:13:00,43.7,43.7,43.7,43.7,20582,12181,19796,0
18,2020-05-20 10:26:00,43.6,43.6,43.4,43.4,10702,23418,40253,0
19,2020-05-20 10:27:00,43.45,43.45,43.45,43.45,10907,10610,19707,0
20,2020-05-20 10:30:00,43.2,43.2,43.2,43.2,24297,8996,20172,0
21,2020-05-20 10:33:00,43.35,43.35,43.35,43.35,24704,9310,20580,0
22,2020-05-20 10:34:00,43.35,43.35,43.35,43.35,11318,9410,20866,0
23,2020-05-20 10:37:00,43.25,43.25,43.25,43.25,11049,11519,21357,0
24,2020-05-20 10:41:00,43.3,43.3,43.3,43.3,26321,11000,21148,0
25,2020-05-20 10:43:00,43.25,43.25,43.25,43.25,26740,11065,21016,0
26,2020-05-20 10:47:00,43.15,43.15,43.15,43.15,27684,128,20290,0
27,2020-05-20 10:49:00,43.15,43.15,43.15,43.15,28106,616,21526,0
28,2020-05-20 10:50:00,43.15,43.15,43.15,43.15,27182,726,23706,0
29,2020-05-20 10:54:00,43.2,43.2,43.2,43.2,28704,1984,22843,0
30,2020-05-20 11:03:00,43.1,43.1,43.1,43.1,33470,745,24651,0
31,2020-05-20 11:07:00,43.15,43.15,43.1,43.1,27477,3961,51523,0
32,2020-05-20 11:13:00,43.1,43.1,43.1,43.1,28635,1774,26247,0
33,2020-05-20 11:26:00,43.25,43.25,43.25,43.25,38258,3042,25101,0
34,2020-05-20 11:32:00,43.1,43.1,43.1,43.1,41595,0,67135,0
35,2020-05-20 11:33:00,43.1,43.1,43.1,43.1,32222,0,66874,0
36,2020-05-20 12:14:00,43.1,43.1,43.1,43.1,32992,0,64241,0
37,2020-05-20 12:20:00,43.1,43.1,43.1,43.1,42614,0,61992,0
38,2020-05-20 12:28:00,43.1,43.1,43.1,43.1,42936,0,63025,0
39,2020-05-20 12:31:00,43.1,43.1,43.1,43.1,33859,0,65326,0
40,2020-05-20 13:41:00,43.1,43.1,43.1,43.1,37845,0,62300,0
41,2020-05-20 13:59:00,43.1,43.1,43.1,43.1,47345,0,61881,0
42,2020-05-20 14:01:00,43.1,43.1,43.1,43.1,43374,0,61866,0
43,2020-05-20 14:04:00,43.1,43.1,43.1,43.1,33883,0,61857,0
44,2020-05-20 14:27:00,43.1,43.1,43.1,43.1,40429,0,59524,0
45,2020-05-20 14:33:00,43.1,43.1,43.1,43.1,91065,0,26445,0
46,2020-05-20 14:34:00,43.1,43.1,43.1,43.1,85362,0,26509,0
47,2020-05-20 14:55:00,43.1,43.1,43.1,43.1,36762,0,28710,0
48,2020-05-20 14:56:00,43.1,43.1,43.1,43.1,42542,0,28633,0
