,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,180.0,180.0,180.0,180.0,0,13178,8481,0
1,2020-05-20 09:07:00,180.0,180.0,180.0,180.0,0,13276,10576,0
2,2020-05-20 09:23:00,182.1,182.1,182.1,182.1,3408,25149,14634,0
3,2020-05-20 09:26:00,181.95,182.05,181.95,182.05,1598,50496,34957,0
4,2020-05-20 09:42:00,181.55,181.55,181.55,181.55,13310,27459,20990,0
5,2020-05-20 09:47:00,181.7,181.7,181.7,181.7,15466,27533,21171,0
6,2020-05-20 09:54:00,181.75,181.75,181.75,181.75,4166,27398,21458,0
7,2020-05-20 10:24:00,181.6,181.6,181.6,181.6,3389,30518,21747,0
8,2020-05-20 10:32:00,181.05,181.05,181.05,181.05,15103,31330,21961,0
9,2020-05-20 10:35:00,181.05,181.05,181.05,181.05,15886,31324,21972,0
10,2020-05-20 10:44:00,181.2,181.2,181.2,181.2,5489,31610,21870,0
11,2020-05-20 10:51:00,181.25,181.25,181.25,181.25,5295,31609,21537,0
12,2020-05-20 10:54:00,181.65,181.65,181.65,181.65,15989,65100,43938,0
13,2020-05-20 11:01:00,180.9,180.9,180.9,180.9,16379,32339,22102,0
14,2020-05-20 11:06:00,180.75,180.75,180.75,180.75,9944,31573,22347,0
15,2020-05-20 11:23:00,180.95,180.95,180.95,180.95,10284,31371,22894,0
16,2020-05-20 11:30:00,180.75,180.75,180.75,180.75,16801,31383,23394,0
17,2020-05-20 11:47:00,180.75,180.75,180.75,180.75,17047,31028,23640,0
18,2020-05-20 11:52:00,180.9,180.9,180.9,180.9,11057,31662,23433,0
19,2020-05-20 12:10:00,181.0,181.0,181.0,181.0,11554,31632,23771,0
20,2020-05-20 12:11:00,181.0,181.0,181.0,181.0,17544,31954,23771,0
21,2020-05-20 12:12:00,181.0,181.0,181.0,181.0,11174,63449,47388,0
22,2020-05-20 12:18:00,181.0,181.0,181.0,181.0,11483,31554,23605,0
23,2020-05-20 12:21:00,180.7,180.7,180.7,180.7,17857,31453,23616,0
24,2020-05-20 12:23:00,180.85,180.85,180.85,180.85,17555,31573,23616,0
25,2020-05-20 12:39:00,180.6,180.6,180.6,180.6,13837,30955,22699,0
26,2020-05-20 13:09:00,181.0,181.0,181.0,181.0,15891,31429,21768,0
27,2020-05-20 13:23:00,181.65,181.65,181.65,181.65,22512,29855,22062,0
28,2020-05-20 13:54:00,181.4,181.4,181.4,181.4,23738,30474,20991,0
29,2020-05-20 13:58:00,181.45,181.45,181.45,181.45,17136,30618,20980,0
30,2020-05-20 14:19:00,181.7,181.7,181.7,181.7,19024,32258,21794,0
31,2020-05-20 14:24:00,181.5,181.5,181.5,181.5,25874,32002,21691,0
32,2020-05-20 14:32:00,181.3,181.3,181.3,181.3,27300,31930,22080,0
33,2020-05-20 14:40:00,181.5,181.5,181.5,181.5,21294,32040,21182,0
34,2020-05-20 14:41:00,181.6,181.6,181.6,181.6,19878,32050,21248,0
35,2020-05-20 14:56:00,181.25,181.25,181.25,181.25,28235,32183,22050,0
36,2020-05-20 15:00:00,181.25,181.5,181.25,181.5,22245,63207,44164,0
37,2020-05-20 15:02:00,181.4,181.4,181.4,181.4,22332,31664,21985,0
38,2020-05-20 15:06:00,181.5,181.5,181.5,181.5,28903,31735,21806,0
39,2020-05-20 15:11:00,181.65,181.65,181.65,181.65,30008,31363,22474,0
40,2020-05-20 15:13:00,181.4,181.4,181.4,181.4,23680,31421,22307,0
41,2020-05-20 15:19:00,182.4,182.4,182.4,182.4,27787,31924,19255,0
42,2020-05-20 15:20:00,181.95,181.95,181.95,181.95,34909,31136,18831,0
43,2020-05-20 15:21:00,181.8,182.35,181.8,182.35,23803,62268,37616,0
44,2020-05-20 15:23:00,182.35,182.35,182.35,182.35,23988,31625,18888,0
45,2020-05-20 15:25:00,181.9,181.9,181.9,181.9,35941,31655,16851,0
46,2020-05-20 15:29:00,181.75,181.75,181.75,181.75,36398,33227,16451,0
