,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,1125.0,1125.0,1125.0,1125.0,0,6816,6380,0
1,2020-05-20 09:15:00,1143.0,1143.0,1143.0,1143.0,0,12888,12600,0
2,2020-05-20 09:16:00,1142.8,1142.8,1142.8,1142.8,2016,13098,12827,0
3,2020-05-20 09:18:00,1148.0,1148.0,1148.0,1148.0,5570,19767,14563,0
4,2020-05-20 09:19:00,1149.2,1149.2,1148.35,1148.35,1331,63404,52506,0
5,2020-05-20 09:20:00,1148.4,1149.2,1148.4,1149.2,6204,65812,53532,0
6,2020-05-20 09:22:00,1155.0,1155.0,1155.0,1155.0,9798,34121,26435,0
7,2020-05-20 09:24:00,1151.75,1151.75,1151.75,1151.75,7161,33402,28392,0
8,2020-05-20 09:25:00,1150.0,1150.0,1150.0,1150.0,3851,33153,28823,0
9,2020-05-20 09:29:00,1143.05,1143.05,1143.05,1143.05,9979,31695,32205,0
10,2020-05-20 09:30:00,1144.0,1144.0,1144.0,1144.0,13480,32073,32394,0
11,2020-05-20 09:33:00,1143.0,1144.35,1143.0,1144.35,5502,66097,67807,0
12,2020-05-20 09:34:00,1143.0,1143.0,1143.0,1143.0,5638,34444,34907,0
13,2020-05-20 09:36:00,1148.4,1148.4,1148.4,1148.4,14398,35551,35223,0
14,2020-05-20 09:37:00,1148.65,1148.65,1148.65,1148.65,14277,35718,35238,0
15,2020-05-20 09:38:00,1145.85,1145.85,1145.85,1145.85,6445,76245,74505,0
16,2020-05-20 09:40:00,1146.0,1146.0,1146.0,1146.0,6735,38480,37657,0
17,2020-05-20 09:42:00,1146.0,1146.0,1146.0,1146.0,15017,39735,37737,0
18,2020-05-20 09:43:00,1146.4,1146.4,1146.4,1146.4,14873,39778,37673,0
19,2020-05-20 09:44:00,1143.0,1143.0,1143.0,1143.0,7510,39083,38206,0
20,2020-05-20 09:45:00,1145.05,1145.05,1145.05,1145.05,8004,40210,38227,0
21,2020-05-20 09:46:00,1145.05,1145.05,1145.05,1145.05,15449,40343,38389,0
22,2020-05-20 09:47:00,1145.0,1145.55,1145.0,1145.55,7729,81275,77658,0
23,2020-05-20 09:48:00,1146.0,1146.0,1146.0,1146.0,7837,40597,39130,0
24,2020-05-20 09:49:00,1147.4,1147.4,1147.4,1147.4,15742,40211,38691,0
25,2020-05-20 09:50:00,1147.8,1147.8,1147.8,1147.8,8147,79832,77421,0
26,2020-05-20 09:52:00,1149.0,1149.0,1149.0,1149.0,8300,40058,38708,0
27,2020-05-20 09:53:00,1149.5,1149.5,1149.5,1149.5,15940,40270,38653,0
28,2020-05-20 09:54:00,1148.8,1148.8,1148.8,1148.8,15978,40454,38902,0
29,2020-05-20 09:55:00,1149.0,1149.0,1149.0,1149.0,8920,80632,78194,0
30,2020-05-20 09:57:00,1148.9,1148.9,1148.9,1148.9,9332,40326,39240,0
31,2020-05-20 09:58:00,1148.9,1148.9,1148.9,1148.9,16479,40518,39288,0
32,2020-05-20 09:59:00,1147.55,1147.65,1147.55,1147.65,9605,80758,78735,0
33,2020-05-20 10:00:00,1147.65,1147.65,1147.65,1147.65,9760,40404,39400,0
34,2020-05-20 10:03:00,1146.25,1147.9,1146.25,1147.9,17128,80910,79137,0
35,2020-05-20 10:05:00,1146.45,1146.45,1146.45,1146.45,17385,40356,39894,0
36,2020-05-20 10:06:00,1145.0,1145.0,1145.0,1145.0,10571,39795,40203,0
37,2020-05-20 10:07:00,1145.0,1146.1,1145.0,1146.1,17619,79920,80570,0
38,2020-05-20 10:12:00,1141.65,1141.65,1141.65,1141.65,19175,38810,41208,0
39,2020-05-20 10:14:00,1136.6,1136.6,1136.6,1136.6,13618,38025,42653,0
40,2020-05-20 10:16:00,1136.5,1136.5,1136.5,1136.5,13261,37718,42895,0
41,2020-05-20 10:19:00,1136.5,1136.5,1136.5,1136.5,20458,76758,86117,0
42,2020-05-20 10:20:00,1136.0,1137.0,1136.0,1137.0,13639,79563,89617,0
43,2020-05-20 10:21:00,1136.95,1136.95,1136.05,1136.05,20557,82536,91920,0
44,2020-05-20 10:22:00,1137.0,1137.0,1137.0,1137.0,20568,41420,46034,0
45,2020-05-20 10:23:00,1137.0,1137.0,1137.0,1137.0,13694,41362,46233,0
46,2020-05-20 10:24:00,1136.45,1136.45,1136.45,1136.45,13745,41370,46358,0
47,2020-05-20 10:25:00,1137.0,1137.0,1137.0,1137.0,21522,41317,46220,0
48,2020-05-20 10:27:00,1136.55,1136.55,1136.55,1136.55,22083,41385,46450,0
49,2020-05-20 10:28:00,1135.55,1135.55,1135.55,1135.55,14743,41721,46856,0
50,2020-05-20 10:29:00,1135.5,1135.5,1135.5,1135.5,14194,41744,46835,0
51,2020-05-20 10:30:00,1135.15,1135.15,1135.15,1135.15,22012,41470,46623,0
52,2020-05-20 10:33:00,1136.5,1136.5,1136.5,1136.5,22734,41696,46474,0
53,2020-05-20 10:39:00,1137.0,1137.0,1137.0,1137.0,17539,42225,46294,0
54,2020-05-20 10:40:00,1138.6,1139.6,1138.6,1139.6,22609,85033,91189,0
55,2020-05-20 10:41:00,1140.0,1140.0,1140.0,1140.0,22735,42487,45568,0
56,2020-05-20 10:45:00,1139.2,1139.2,1139.2,1139.2,17987,42635,45544,0
57,2020-05-20 10:48:00,1139.85,1139.85,1139.85,1139.85,18255,42515,45746,0
58,2020-05-20 10:49:00,1139.8,1140.0,1139.8,1139.95,23241,256178,272589,0
59,2020-05-20 10:50:00,1140.0,1141.05,1140.0,1141.05,18449,85509,90810,0
60,2020-05-20 10:51:00,1142.35,1142.35,1142.35,1142.35,18497,42968,45158,0
61,2020-05-20 10:55:00,1138.55,1138.55,1138.55,1138.55,24328,97083,101812,0
62,2020-05-20 10:57:00,1140.45,1140.45,1140.45,1140.45,24874,49020,50616,0
63,2020-05-20 10:58:00,1140.55,1141.05,1140.55,1141.05,18727,98333,101104,0
64,2020-05-20 10:59:00,1140.55,1140.55,1140.55,1140.55,18809,49153,50654,0
65,2020-05-20 11:00:00,1140.55,1140.55,1140.55,1140.55,25189,49260,50653,0
66,2020-05-20 11:02:00,1139.25,1139.25,1139.25,1139.25,25479,49047,50918,0
67,2020-05-20 11:03:00,1140.0,1140.0,1140.0,1140.0,19124,49148,50900,0
68,2020-05-20 11:06:00,1139.55,1139.55,1139.55,1139.55,19469,46787,50056,0
69,2020-05-20 11:07:00,1140.0,1140.0,1140.0,1140.0,25897,46880,50439,0
70,2020-05-20 11:08:00,1139.4,1139.4,1139.4,1139.4,25553,46881,50550,0
71,2020-05-20 11:10:00,1139.4,1139.4,1139.4,1139.4,19264,46844,50486,0
72,2020-05-20 11:11:00,1140.0,1140.0,1140.0,1140.0,19610,46845,50426,0
73,2020-05-20 11:12:00,1139.4,1139.4,1139.4,1139.4,25928,46845,50492,0
74,2020-05-20 11:13:00,1139.4,1139.4,1139.4,1139.4,25632,46872,50491,0
75,2020-05-20 11:16:00,1138.9,1138.9,1138.9,1138.9,19679,46619,50613,0
76,2020-05-20 11:17:00,1139.1,1139.1,1139.1,1139.1,20400,46583,50835,0
77,2020-05-20 11:18:00,1139.15,1139.15,1139.1,1139.1,25661,98376,104576,0
78,2020-05-20 11:19:00,1139.0,1139.0,1139.0,1139.0,25697,49252,52540,0
79,2020-05-20 11:21:00,1138.6,1138.6,1138.6,1138.6,20789,49285,52401,0
80,2020-05-20 11:24:00,1138.55,1138.55,1138.55,1138.55,21157,49195,52350,0
81,2020-05-20 11:27:00,1138.25,1138.25,1138.25,1138.25,26385,49478,52727,0
82,2020-05-20 11:29:00,1139.15,1139.15,1138.65,1138.65,20882,98984,107454,0
83,2020-05-20 11:32:00,1139.15,1139.15,1139.1,1139.1,27509,99212,107547,0
84,2020-05-20 11:33:00,1139.15,1139.15,1139.15,1139.15,27512,49613,53653,0
85,2020-05-20 11:34:00,1139.15,1139.15,1139.15,1139.15,22080,51926,55406,0
86,2020-05-20 11:36:00,1139.15,1139.15,1139.15,1139.15,22353,51924,55196,0
87,2020-05-20 11:37:00,1139.15,1139.15,1139.1,1139.1,27838,103784,110651,0
88,2020-05-20 11:38:00,1139.1,1139.1,1139.1,1139.1,28044,51853,55534,0
89,2020-05-20 11:39:00,1139.1,1139.1,1139.1,1139.1,22604,103669,110571,0
90,2020-05-20 11:40:00,1139.1,1139.1,1139.1,1139.1,22700,51842,55267,0
91,2020-05-20 11:41:00,1139.05,1139.05,1139.05,1139.05,28275,51904,55168,0
92,2020-05-20 11:42:00,1139.05,1139.05,1139.05,1139.05,28366,51956,55487,0
93,2020-05-20 11:43:00,1139.05,1139.05,1139.05,1139.05,22793,51956,55587,0
94,2020-05-20 11:44:00,1139.05,1139.05,1139.05,1139.05,22752,51950,55558,0
95,2020-05-20 11:45:00,1139.0,1139.0,1139.0,1139.0,28487,51955,55353,0
96,2020-05-20 11:46:00,1139.0,1139.0,1139.0,1139.0,28570,51955,55404,0
97,2020-05-20 11:48:00,1139.15,1139.15,1139.15,1139.15,22964,51994,55284,0
98,2020-05-20 11:49:00,1139.0,1139.0,1139.0,1139.0,22908,52000,55267,0
99,2020-05-20 11:52:00,1139.15,1139.15,1139.1,1139.1,28886,104054,111034,0
100,2020-05-20 11:54:00,1138.45,1138.45,1138.45,1138.45,29379,51662,55592,0
101,2020-05-20 11:55:00,1137.7,1137.7,1137.7,1137.7,23594,51700,55567,0
102,2020-05-20 11:56:00,1137.65,1137.65,1137.65,1137.65,23123,51731,55472,0
103,2020-05-20 11:57:00,1137.75,1137.75,1137.75,1137.75,28919,51774,55494,0
104,2020-05-20 11:58:00,1137.75,1137.75,1137.75,1137.75,29395,51773,55498,0
105,2020-05-20 11:59:00,1138.0,1138.0,1138.0,1138.0,23663,51780,55606,0
106,2020-05-20 12:00:00,1137.75,1137.75,1137.75,1137.75,23191,51769,55716,0
107,2020-05-20 12:01:00,1137.85,1137.85,1137.85,1137.85,29064,51819,55515,0
108,2020-05-20 12:05:00,1139.0,1139.0,1139.0,1139.0,29868,52189,55369,0
109,2020-05-20 12:06:00,1138.45,1138.45,1138.45,1138.45,23357,104086,110892,0
110,2020-05-20 12:07:00,1138.45,1138.45,1138.45,1138.45,23377,52076,55444,0
111,2020-05-20 12:08:00,1139.0,1139.0,1139.0,1139.0,29993,51933,55415,0
112,2020-05-20 12:11:00,1139.15,1139.15,1139.15,1139.15,30616,51991,55487,0
113,2020-05-20 12:13:00,1139.05,1139.05,1139.05,1139.05,24247,52094,55136,0
114,2020-05-20 12:15:00,1139.05,1139.05,1139.05,1139.05,24053,52092,55190,0
115,2020-05-20 12:16:00,1140.0,1140.0,1140.0,1140.0,30912,52105,54891,0
116,2020-05-20 12:17:00,1140.0,1140.0,1140.0,1140.0,31502,52284,54841,0
117,2020-05-20 12:18:00,1139.55,1139.55,1139.55,1139.55,26466,51861,54786,0
118,2020-05-20 12:19:00,1139.15,1140.0,1139.15,1140.0,31476,104538,109761,0
119,2020-05-20 12:21:00,1139.3,1139.3,1139.3,1139.3,31898,52236,54919,0
