,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,252.5,252.5,252.5,252.5,0,819,2053,0
1,2020-05-20 09:25:00,254.0,254.0,254.0,254.0,0,1356,3810,0
2,2020-05-20 09:42:00,255.75,255.75,255.75,255.75,1132,1724,5388,0
3,2020-05-20 09:46:00,255.2,255.2,255.2,255.2,1139,1817,5353,0
4,2020-05-20 10:03:00,255.05,255.05,255.05,255.05,486,1853,4871,0
5,2020-05-20 10:04:00,258.0,258.0,258.0,258.0,1716,2118,3729,0
6,2020-05-20 10:05:00,258.05,258.05,258.05,258.05,2438,2211,3831,0
7,2020-05-20 10:10:00,259.0,259.0,259.0,259.0,1855,2436,3987,0
8,2020-05-20 10:17:00,256.4,256.4,256.4,256.4,1554,2935,3903,0
9,2020-05-20 10:18:00,257.65,257.65,257.65,257.65,2152,2922,3931,0
10,2020-05-20 10:25:00,256.25,256.25,256.25,256.25,2870,2490,3823,0
11,2020-05-20 10:26:00,256.25,256.25,256.25,256.25,2272,2490,4023,0
12,2020-05-20 10:54:00,256.75,256.75,256.75,256.75,3619,3058,4839,0
13,2020-05-20 10:57:00,258.85,258.85,258.85,258.85,4277,3069,4836,0
14,2020-05-20 11:26:00,257.85,257.85,257.85,257.85,3800,3140,5636,0
15,2020-05-20 11:41:00,256.65,256.65,256.65,256.65,3612,3684,5476,0
16,2020-05-20 11:51:00,258.35,258.35,258.35,258.35,4177,3759,5495,0
17,2020-05-20 11:53:00,259.05,259.05,259.05,259.05,6293,3860,4419,0
18,2020-05-20 11:55:00,258.95,258.95,258.95,258.95,5754,4315,3950,0
19,2020-05-20 11:57:00,259.0,259.0,259.0,259.0,4207,21596,20915,0
20,2020-05-20 11:58:00,259.0,259.0,259.0,259.0,4207,4405,4183,0
21,2020-05-20 12:07:00,256.1,256.1,256.1,256.1,6174,4055,4464,0
22,2020-05-20 12:09:00,256.1,256.1,256.1,256.1,6174,4282,5147,0
23,2020-05-20 12:10:00,256.1,256.1,256.1,256.1,4207,4302,5105,0
24,2020-05-20 12:22:00,257.25,257.25,257.25,257.25,4269,4394,5250,0
25,2020-05-20 12:36:00,257.7,257.7,257.7,257.7,6524,4491,5332,0
26,2020-05-20 12:37:00,257.7,257.7,257.7,257.7,6462,4491,5332,0
27,2020-05-20 12:38:00,257.7,257.7,257.7,257.7,4207,4491,5328,0
28,2020-05-20 12:39:00,257.7,257.7,257.7,257.7,4269,4491,5354,0
29,2020-05-20 12:40:00,257.6,257.6,257.6,257.6,6526,4492,5352,0
30,2020-05-20 12:45:00,257.7,257.7,257.7,257.7,6471,4494,5371,0
31,2020-05-20 12:46:00,257.75,257.75,257.75,257.75,4237,4495,5371,0
32,2020-05-20 12:47:00,257.75,257.75,257.75,257.75,6526,8990,10748,0
33,2020-05-20 12:48:00,257.75,257.75,257.75,257.75,6526,4496,5675,0
34,2020-05-20 12:51:00,256.85,256.85,256.85,256.85,4271,4464,5650,0
35,2020-05-20 12:55:00,256.85,256.85,256.85,256.85,4276,4463,5704,0
36,2020-05-20 13:08:00,257.85,257.85,257.85,257.85,6566,4506,5554,0
37,2020-05-20 13:12:00,256.75,256.75,256.75,256.75,6576,4615,5524,0
38,2020-05-20 13:13:00,256.6,256.6,256.6,256.6,4289,4619,5528,0
39,2020-05-20 13:14:00,256.35,256.35,256.35,256.35,4440,4621,5475,0
40,2020-05-20 13:15:00,256.35,256.35,256.35,256.35,6850,4594,5467,0
41,2020-05-20 13:23:00,256.1,256.1,256.1,256.1,4633,9131,11214,0
42,2020-05-20 13:24:00,257.45,257.45,257.15,257.15,6860,9161,11104,0
43,2020-05-20 13:25:00,257.15,257.15,257.15,257.15,6860,4586,5536,0
44,2020-05-20 13:26:00,257.15,257.15,257.15,257.15,4633,9172,11072,0
45,2020-05-20 13:27:00,257.15,257.15,257.15,257.15,6860,9172,11072,0
46,2020-05-20 13:28:00,257.15,257.15,257.15,257.15,6860,4586,5536,0
47,2020-05-20 13:29:00,257.15,257.15,257.15,257.15,4633,4586,5536,0
48,2020-05-20 13:30:00,257.15,257.15,257.15,257.15,4633,4586,5537,0
49,2020-05-20 13:45:00,255.95,255.95,255.95,255.95,7362,4392,5326,0
50,2020-05-20 13:49:00,254.9,254.9,254.9,254.9,7432,4476,5558,0
51,2020-05-20 14:22:00,257.7,257.7,257.7,257.7,5472,4444,5675,0
52,2020-05-20 14:36:00,257.35,257.35,257.35,257.35,5509,4431,7366,0
53,2020-05-20 14:58:00,256.0,256.0,256.0,256.0,8030,4279,6765,0
54,2020-05-20 15:05:00,254.9,254.9,254.9,254.9,8325,4407,6612,0
55,2020-05-20 15:18:00,254.45,254.45,254.45,254.45,7076,4230,7119,0
56,2020-05-20 15:19:00,255.2,255.2,255.2,255.2,7099,4190,6862,0
57,2020-05-20 15:23:00,253.9,253.9,253.9,253.9,9115,3234,7058,0
58,2020-05-20 15:25:00,254.95,254.95,254.95,254.95,9420,3002,7277,0
