,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,191.45,191.45,191.45,191.45,0,3719,4110,0
1,2020-05-20 09:08:00,192.0,192.0,192.0,192.0,0,3718,4309,0
2,2020-05-20 09:11:00,192.0,192.0,192.0,192.0,1,3718,4309,0
3,2020-05-20 09:14:00,192.0,192.0,192.0,192.0,1,3718,4309,0
4,2020-05-20 09:15:00,192.0,192.0,192.0,192.0,0,3718,4309,0
5,2020-05-20 09:25:00,193.85,193.85,193.85,193.85,61,14745,12502,0
6,2020-05-20 09:27:00,193.5,193.5,193.5,193.5,68,15538,13155,0
7,2020-05-20 09:33:00,193.45,193.45,193.45,193.45,22,16375,13826,0
8,2020-05-20 09:53:00,193.5,193.5,193.5,193.5,749,17696,15954,0
9,2020-05-20 09:58:00,197.0,197.0,197.0,197.0,3346,20488,14714,0
10,2020-05-20 10:04:00,194.0,194.0,194.0,194.0,2222,45032,43312,0
11,2020-05-20 10:14:00,195.15,195.15,195.15,195.15,3406,23639,22010,0
12,2020-05-20 10:23:00,194.15,194.15,194.15,194.15,4935,23116,24543,0
13,2020-05-20 10:27:00,193.0,193.0,193.0,193.0,4233,22350,25495,0
14,2020-05-20 10:36:00,193.0,193.0,193.0,193.0,3087,21850,25839,0
15,2020-05-20 11:06:00,192.45,192.45,192.45,192.45,5866,61082,69953,0
16,2020-05-20 11:08:00,192.4,192.4,192.4,192.4,3154,60958,69908,0
17,2020-05-20 11:22:00,192.7,192.7,192.7,192.7,4265,33396,36154,0
18,2020-05-20 12:25:00,193.55,193.55,193.55,193.55,9174,36612,36587,0
19,2020-05-20 13:03:00,192.75,192.75,192.75,192.75,8191,31948,35363,0
20,2020-05-20 13:07:00,192.7,192.7,192.7,192.7,3297,32066,36467,0
21,2020-05-20 13:20:00,192.3,192.3,192.3,192.3,8193,32041,36421,0
22,2020-05-20 13:35:00,193.0,193.0,193.0,193.0,13658,35046,36777,0
23,2020-05-20 13:56:00,192.95,192.95,192.95,192.95,9252,35874,38003,0
24,2020-05-20 14:21:00,193.4,193.4,193.4,193.4,4609,36522,37987,0
25,2020-05-20 14:27:00,193.45,193.45,193.45,193.45,9336,36772,38058,0
26,2020-05-20 14:31:00,193.1,193.1,193.1,193.1,14534,36458,37976,0
27,2020-05-20 14:57:00,192.9,192.9,192.9,192.9,12313,33198,37245,0
28,2020-05-20 14:58:00,192.95,192.95,192.95,192.95,7116,34599,37244,0
29,2020-05-20 15:11:00,192.0,192.0,192.0,192.0,10824,33707,25094,0
30,2020-05-20 15:13:00,192.0,192.0,192.0,192.0,16635,33691,25024,0
31,2020-05-20 15:17:00,192.0,192.0,192.0,192.0,13097,33428,25317,0
