,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,16.95,16.95,16.95,16.95,0,226252,181949,0
1,2020-05-20 09:07:00,16.95,16.95,16.95,16.95,0,231758,193754,0
2,2020-05-20 09:08:00,17.05,17.05,17.05,17.05,22100,209859,182198,0
3,2020-05-20 09:11:00,17.05,17.05,17.05,17.05,22100,209859,182198,0
4,2020-05-20 09:14:00,17.05,17.05,17.05,17.05,0,209859,182198,0
5,2020-05-20 09:15:00,17.05,17.05,17.05,17.05,0,209859,182198,0
6,2020-05-20 09:16:00,17.0,17.0,17.0,17.0,68413,314456,300430,0
7,2020-05-20 09:17:00,17.0,17.05,17.0,17.05,56213,644902,610060,0
8,2020-05-20 09:20:00,17.1,17.1,17.1,17.1,143834,429884,340853,0
9,2020-05-20 09:22:00,17.2,17.2,17.2,17.2,235945,458389,349395,0
10,2020-05-20 09:24:00,17.15,17.15,17.15,17.15,118228,1421431,1285674,0
11,2020-05-20 09:25:00,17.15,17.15,17.15,17.15,123036,476049,438862,0
12,2020-05-20 09:26:00,17.1,17.1,17.1,17.1,255781,471702,451051,0
13,2020-05-20 09:28:00,17.05,17.05,17.05,17.05,276529,488819,448669,0
14,2020-05-20 09:29:00,17.05,17.05,17.05,17.05,167040,511700,476793,0
15,2020-05-20 09:31:00,17.05,17.05,17.05,17.05,183590,509312,493370,0
16,2020-05-20 09:32:00,17.05,17.05,17.05,17.05,315062,530710,500009,0
17,2020-05-20 09:35:00,17.1,17.1,17.1,17.1,331370,577100,475507,0
18,2020-05-20 09:36:00,17.1,17.1,17.05,17.05,207287,1152689,946644,0
19,2020-05-20 09:39:00,17.15,17.15,17.15,17.15,262850,707024,457527,0
20,2020-05-20 09:42:00,17.35,17.35,17.35,17.35,514866,1048210,419281,0
21,2020-05-20 09:43:00,17.2,17.2,17.2,17.2,589799,701154,490145,0
22,2020-05-20 09:44:00,17.25,17.25,17.2,17.2,312126,1614305,951894,0
23,2020-05-20 09:45:00,17.2,17.2,17.2,17.2,326871,751322,500464,0
24,2020-05-20 09:47:00,17.2,17.2,17.2,17.2,619497,757630,525337,0
25,2020-05-20 09:48:00,17.25,17.25,17.25,17.25,618105,753133,515664,0
26,2020-05-20 09:49:00,17.25,17.25,17.25,17.25,331758,763185,535392,0
27,2020-05-20 09:50:00,17.25,17.25,17.25,17.25,335466,777820,536333,0
28,2020-05-20 09:52:00,17.25,17.25,17.25,17.25,635423,804887,545920,0
29,2020-05-20 09:53:00,17.25,17.25,17.25,17.25,656160,816804,534210,0
30,2020-05-20 09:55:00,17.25,17.25,17.25,17.25,387942,844808,539063,0
31,2020-05-20 09:57:00,17.3,17.3,17.3,17.3,429137,864362,526156,0
32,2020-05-20 09:58:00,17.3,17.3,17.3,17.3,706049,852948,528444,0
33,2020-05-20 09:59:00,17.35,17.35,17.3,17.3,409853,1666480,1082093,0
34,2020-05-20 10:00:00,17.25,17.3,17.25,17.3,710889,1665599,1117616,0
35,2020-05-20 10:01:00,17.25,17.25,17.25,17.25,734780,837370,578340,0
36,2020-05-20 10:03:00,17.3,17.3,17.3,17.3,429851,1678846,1256465,0
37,2020-05-20 10:05:00,17.25,17.25,17.25,17.25,441045,853071,641735,0
38,2020-05-20 10:10:00,17.25,17.25,17.25,17.25,782339,837297,594479,0
39,2020-05-20 10:11:00,17.25,17.25,17.25,17.25,772354,838567,572535,0
40,2020-05-20 10:13:00,17.25,17.25,17.25,17.25,471297,833496,599092,0
41,2020-05-20 10:16:00,17.2,17.2,17.2,17.2,518148,841408,628013,0
42,2020-05-20 10:18:00,17.15,17.15,17.15,17.15,796495,1730879,1327633,0
43,2020-05-20 10:19:00,17.2,17.2,17.2,17.2,797525,874629,661330,0
44,2020-05-20 10:23:00,17.15,17.15,17.15,17.15,576117,877687,690350,0
45,2020-05-20 10:25:00,17.2,17.2,17.2,17.2,581849,878529,720863,0
46,2020-05-20 10:26:00,17.2,17.2,17.2,17.2,805158,897727,719582,0
47,2020-05-20 10:28:00,17.15,17.15,17.15,17.15,804103,898480,756130,0
48,2020-05-20 10:29:00,17.15,17.15,17.15,17.15,585084,898865,747056,0
49,2020-05-20 10:30:00,17.15,17.15,17.15,17.15,592235,893157,756944,0
50,2020-05-20 10:31:00,17.15,17.15,17.15,17.15,814105,892113,757002,0
51,2020-05-20 10:32:00,17.15,17.15,17.15,17.15,837627,869913,793490,0
52,2020-05-20 10:33:00,17.15,17.15,17.15,17.15,609688,1756172,1571465,0
53,2020-05-20 10:34:00,17.15,17.15,17.15,17.15,609688,879973,784993,0
54,2020-05-20 10:39:00,17.15,17.15,17.15,17.15,869370,906784,791266,0
55,2020-05-20 10:40:00,17.15,17.15,17.15,17.15,873400,905501,785175,0
56,2020-05-20 10:44:00,17.15,17.15,17.15,17.15,627593,2796000,2339190,0
57,2020-05-20 10:47:00,17.1,17.1,17.1,17.1,637812,933526,802432,0
58,2020-05-20 10:48:00,17.15,17.15,17.15,17.15,884294,962641,777871,0
59,2020-05-20 10:49:00,17.1,17.1,17.1,17.1,879958,974287,772826,0
60,2020-05-20 10:50:00,17.15,17.15,17.1,17.1,641185,1956654,1523749,0
