,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,33.8,33.8,33.8,33.8,0,6410,3065,0
1,2020-05-20 09:08:00,33.8,33.8,33.8,33.8,0,6620,3040,0
2,2020-05-20 09:11:00,33.8,33.8,33.8,33.8,75,6620,3040,0
3,2020-05-20 09:14:00,33.8,33.8,33.8,33.8,75,6620,3040,0
4,2020-05-20 09:27:00,33.95,33.95,33.95,33.95,5914,13840,9501,0
5,2020-05-20 09:51:00,33.9,33.9,33.9,33.9,9235,15418,13988,0
6,2020-05-20 10:29:00,33.8,33.8,33.8,33.8,6520,20342,13573,0
7,2020-05-20 11:21:00,34.35,34.35,34.35,34.35,8146,24939,12930,0
8,2020-05-20 12:18:00,34.75,34.75,34.75,34.75,14716,26408,12783,0
9,2020-05-20 12:27:00,35.0,35.0,35.0,35.0,16667,27861,12833,0
10,2020-05-20 12:32:00,34.8,34.8,34.8,34.8,11247,27453,13460,0
11,2020-05-20 14:03:00,34.6,34.6,34.6,34.6,28156,25402,19818,0
12,2020-05-20 14:53:00,34.9,34.9,34.9,34.9,44510,27090,15827,0
13,2020-05-20 14:55:00,34.9,34.9,34.9,34.9,27601,27080,15900,0
14,2020-05-20 15:22:00,34.8,34.8,34.8,34.8,14530,25551,16109,0
