,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,21.6,21.6,21.6,21.6,0,223199,279283,0
1,2020-05-20 09:07:00,21.6,21.6,21.6,21.6,0,228367,299236,0
2,2020-05-20 09:08:00,21.5,21.5,21.5,21.5,18137,211897,283079,0
3,2020-05-20 09:11:00,21.5,21.5,21.5,21.5,18137,211897,283079,0
4,2020-05-20 09:14:00,21.5,21.5,21.5,21.5,0,211897,283079,0
5,2020-05-20 09:15:00,21.5,21.5,21.5,21.5,0,211897,283079,0
6,2020-05-20 09:16:00,21.55,21.55,21.55,21.55,512696,726934,952137,0
7,2020-05-20 09:18:00,21.7,21.7,21.7,21.7,506868,2070479,2171087,0
8,2020-05-20 09:19:00,21.75,21.75,21.75,21.75,518699,1046350,1109073,0
9,2020-05-20 09:20:00,21.8,21.8,21.8,21.8,692042,1197889,1080895,0
10,2020-05-20 09:21:00,21.85,21.85,21.85,21.85,727747,1198475,1089559,0
11,2020-05-20 09:22:00,21.95,21.95,21.95,21.95,628363,1270268,1109731,0
12,2020-05-20 09:24:00,21.8,21.8,21.8,21.8,956063,2868006,2851310,0
13,2020-05-20 09:25:00,21.75,21.75,21.65,21.65,820764,2885952,3099224,0
14,2020-05-20 09:26:00,21.65,21.7,21.65,21.7,1046339,2810136,3415225,0
15,2020-05-20 09:27:00,21.7,21.7,21.7,21.7,1108777,1469191,1638986,0
16,2020-05-20 09:28:00,21.8,21.8,21.8,21.8,887709,3033820,3260704,0
17,2020-05-20 09:29:00,21.7,21.7,21.7,21.7,932261,1490065,1669040,0
18,2020-05-20 09:30:00,21.6,21.6,21.6,21.6,1215355,1719918,1735429,0
19,2020-05-20 09:31:00,21.6,21.65,21.6,21.65,966314,3281689,3485975,0
20,2020-05-20 09:32:00,21.75,21.75,21.75,21.75,1058858,1757517,1693890,0
21,2020-05-20 09:33:00,21.75,21.75,21.75,21.75,1332391,1867685,1846365,0
22,2020-05-20 09:35:00,21.75,21.75,21.75,21.75,1330788,1711733,1865106,0
23,2020-05-20 09:36:00,21.7,21.7,21.7,21.7,1081539,1693361,1879335,0
24,2020-05-20 09:38:00,21.8,21.8,21.8,21.8,1193508,1733421,1828774,0
25,2020-05-20 09:39:00,21.8,21.8,21.8,21.8,1360697,3484982,3620584,0
26,2020-05-20 09:41:00,21.8,21.8,21.8,21.8,1426164,1718953,1855282,0
27,2020-05-20 09:42:00,21.8,21.8,21.8,21.8,1300352,1792322,1850185,0
