,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:05:00,23.9,23.9,23.9,23.9,0,106339,128433,0
1,2020-05-20 09:15:00,23.7,23.7,23.7,23.7,0,113534,129073,0
2,2020-05-20 09:18:00,23.8,23.8,23.8,23.8,12794,132255,138029,0
3,2020-05-20 09:20:00,23.85,23.85,23.85,23.85,22120,138050,150377,0
4,2020-05-20 09:21:00,24.0,24.0,24.0,24.0,17397,148885,148306,0
5,2020-05-20 09:23:00,24.0,24.0,24.0,24.0,9771,153714,152826,0
6,2020-05-20 09:24:00,24.0,24.0,24.0,24.0,20893,160645,153176,0
7,2020-05-20 09:32:00,23.9,23.9,23.9,23.9,38241,188479,165098,0
8,2020-05-20 09:35:00,23.9,23.9,23.9,23.9,31658,197002,163085,0
9,2020-05-20 09:46:00,24.0,24.0,24.0,24.0,41473,381236,346854,0
10,2020-05-20 09:53:00,23.95,23.95,23.95,23.95,50613,189570,176741,0
11,2020-05-20 09:59:00,23.9,23.9,23.9,23.9,43482,189017,181362,0
12,2020-05-20 10:01:00,24.0,24.0,24.0,24.0,34949,191640,180833,0
13,2020-05-20 10:02:00,23.95,23.95,23.95,23.95,42087,191640,182027,0
14,2020-05-20 10:08:00,23.85,23.85,23.85,23.85,59067,200738,190791,0
15,2020-05-20 10:17:00,23.85,23.85,23.85,23.85,66499,223841,196428,0
16,2020-05-20 10:32:00,23.8,23.8,23.8,23.8,63542,211042,204342,0
17,2020-05-20 10:53:00,23.8,23.8,23.8,23.8,72255,210358,224523,0
18,2020-05-20 10:55:00,23.8,23.8,23.8,23.8,75337,211191,224506,0
19,2020-05-20 11:03:00,23.8,23.8,23.8,23.8,67982,217271,220178,0
20,2020-05-20 11:21:00,23.7,23.7,23.7,23.7,81970,213219,216529,0
21,2020-05-20 11:22:00,23.7,23.7,23.7,23.7,89325,214798,216628,0
22,2020-05-20 11:37:00,23.8,23.8,23.8,23.8,79877,225663,218246,0
23,2020-05-20 11:42:00,23.8,23.8,23.8,23.8,74813,226103,218434,0
24,2020-05-20 12:15:00,23.8,23.8,23.8,23.8,92012,240079,220669,0
25,2020-05-20 12:57:00,23.75,23.75,23.75,23.75,107795,234335,225995,0
26,2020-05-20 13:51:00,24.1,24.1,24.1,24.1,147390,265006,217367,0
27,2020-05-20 13:52:00,23.95,23.95,23.95,23.95,135774,263906,220152,0
28,2020-05-20 13:53:00,23.95,23.95,23.95,23.95,96179,263941,223850,0
29,2020-05-20 13:54:00,24.0,24.0,24.0,24.0,111004,266603,224990,0
30,2020-05-20 13:58:00,23.95,23.95,23.95,23.95,155496,272000,228752,0
31,2020-05-20 14:02:00,24.0,24.05,24.0,24.05,100143,544230,456211,0
32,2020-05-20 14:08:00,24.05,24.05,24.05,24.05,111610,275332,224270,0
33,2020-05-20 14:13:00,24.0,24.0,24.0,24.0,174196,270687,231113,0
34,2020-05-20 14:17:00,23.95,23.95,23.95,23.95,169178,272776,236730,0
35,2020-05-20 14:27:00,23.9,23.9,23.9,23.9,112212,268612,241998,0
36,2020-05-20 14:39:00,23.85,23.85,23.85,23.85,123064,263278,243292,0
37,2020-05-20 14:44:00,23.95,23.95,23.95,23.95,201609,268271,232244,0
38,2020-05-20 14:48:00,23.8,23.8,23.8,23.8,125449,526172,471157,0
39,2020-05-20 14:49:00,23.8,23.8,23.8,23.8,125449,263821,235957,0
40,2020-05-20 14:51:00,23.8,23.8,23.8,23.8,206209,258815,238490,0
41,2020-05-20 14:55:00,23.75,23.75,23.75,23.75,209924,253748,239665,0
42,2020-05-20 15:02:00,23.8,23.8,23.8,23.8,135030,254179,240004,0
43,2020-05-20 15:04:00,23.7,23.7,23.7,23.7,136363,249536,237465,0
44,2020-05-20 15:07:00,23.7,23.7,23.7,23.7,219571,262245,240430,0
45,2020-05-20 15:14:00,23.75,23.75,23.75,23.75,224004,256347,239612,0
46,2020-05-20 15:15:00,23.8,23.8,23.8,23.8,140806,256349,237907,0
47,2020-05-20 15:19:00,23.85,23.85,23.85,23.85,150389,262432,230785,0
48,2020-05-20 15:25:00,23.9,23.9,23.9,23.9,249231,559419,441703,0
49,2020-05-20 15:27:00,24.0,24.0,24.0,24.0,261041,270255,220375,0
50,2020-05-20 15:29:00,23.95,23.95,23.95,23.95,165290,267401,220666,0
51,2020-05-20 15:30:00,23.95,23.95,23.95,23.95,155178,272049,221227,0
