,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,258.75,258.75,258.75,258.75,0,4241,3843,0
1,2020-05-20 09:07:00,258.75,258.75,258.75,258.75,0,4424,3880,0
2,2020-05-20 09:18:00,261.9,261.9,261.9,261.9,442,9377,10067,0
3,2020-05-20 09:20:00,261.25,261.25,261.25,261.25,616,13912,12741,0
4,2020-05-20 09:27:00,259.55,259.55,259.55,259.55,867,16948,16044,0
5,2020-05-20 09:34:00,258.95,258.95,258.95,258.95,1582,17268,16715,0
6,2020-05-20 09:36:00,258.35,258.35,258.35,258.35,1452,17303,16845,0
7,2020-05-20 09:40:00,260.05,260.05,260.05,260.05,1106,18990,15993,0
8,2020-05-20 09:41:00,260.9,260.9,260.9,260.9,1297,19302,15793,0
9,2020-05-20 09:42:00,261.3,261.3,261.3,261.3,1787,19372,16052,0
10,2020-05-20 09:45:00,259.9,259.9,259.9,259.9,2050,19529,20282,0
11,2020-05-20 09:48:00,264.15,265.95,264.15,265.95,12914,45688,28775,0
12,2020-05-20 09:53:00,262.05,262.05,262.05,262.05,15674,23903,18450,0
13,2020-05-20 09:58:00,261.6,261.6,261.6,261.6,5610,23204,19755,0
14,2020-05-20 10:03:00,261.55,261.55,261.55,261.55,3088,25460,22909,0
15,2020-05-20 10:14:00,261.95,261.95,261.95,261.95,13605,29603,23390,0
16,2020-05-20 10:16:00,261.95,261.95,261.95,261.95,16155,31263,25025,0
17,2020-05-20 10:30:00,261.2,261.2,261.2,261.2,6422,30840,25473,0
18,2020-05-20 10:32:00,261.85,261.85,261.85,261.85,3924,30852,25448,0
19,2020-05-20 10:34:00,261.4,261.4,261.4,261.4,13672,30688,25512,0
20,2020-05-20 10:46:00,263.35,263.35,263.35,263.35,19121,31637,24999,0
21,2020-05-20 10:47:00,262.6,262.6,262.6,262.6,9392,31982,24875,0
22,2020-05-20 10:57:00,262.6,262.6,262.6,262.6,4151,33951,26350,0
23,2020-05-20 11:05:00,262.3,262.3,262.3,262.3,14052,35262,27570,0
24,2020-05-20 11:17:00,262.0,262.0,262.0,262.0,19593,34802,27999,0
25,2020-05-20 11:45:00,262.25,262.25,262.25,262.25,10494,43377,32763,0
26,2020-05-20 11:59:00,262.1,262.1,262.1,262.1,5270,43209,32813,0
27,2020-05-20 12:20:00,262.95,262.95,262.95,262.95,15073,43968,32779,0
28,2020-05-20 12:27:00,263.0,263.0,263.0,263.0,20812,43661,32466,0
29,2020-05-20 12:28:00,263.2,263.2,263.2,263.2,11048,43782,32405,0
30,2020-05-20 12:29:00,263.15,263.15,263.15,263.15,15094,87560,64794,0
31,2020-05-20 12:40:00,263.1,263.1,263.1,263.1,15524,40186,30061,0
32,2020-05-20 12:41:00,262.95,262.95,262.95,262.95,11522,40238,30561,0
33,2020-05-20 12:50:00,262.95,262.95,262.95,262.95,12185,37608,27738,0
34,2020-05-20 12:58:00,263.25,263.25,263.0,263.0,15727,78720,58910,0
35,2020-05-20 13:00:00,263.75,263.75,263.75,263.75,12249,78956,58332,0
36,2020-05-20 13:01:00,263.55,263.55,263.55,263.55,12288,39555,29087,0
37,2020-05-20 13:09:00,264.5,264.5,264.5,264.5,16907,40177,28107,0
38,2020-05-20 13:17:00,264.2,264.2,264.15,264.15,12661,86008,61002,0
39,2020-05-20 13:25:00,264.0,264.0,264.0,264.0,13075,41335,28766,0
40,2020-05-20 13:28:00,264.5,264.5,264.5,264.5,18121,41416,28683,0
41,2020-05-20 13:40:00,264.45,264.45,264.45,264.45,18158,41495,28669,0
42,2020-05-20 13:41:00,264.45,264.45,264.1,264.1,13092,83046,57211,0
43,2020-05-20 13:47:00,264.3,264.3,264.3,264.3,13168,44045,28987,0
44,2020-05-20 13:59:00,264.8,264.8,264.8,264.8,19248,44025,28907,0
45,2020-05-20 14:03:00,264.9,264.9,264.9,264.9,19478,44154,28700,0
46,2020-05-20 14:06:00,265.1,265.1,265.1,265.1,13461,44120,28697,0
47,2020-05-20 14:09:00,265.2,265.2,265.2,265.2,13481,44392,28393,0
48,2020-05-20 14:12:00,265.35,265.35,265.35,265.35,19622,44305,28371,0
49,2020-05-20 14:21:00,265.0,265.0,265.0,265.0,19908,44624,28186,0
50,2020-05-20 14:22:00,265.6,265.6,265.6,265.6,14401,44677,27786,0
51,2020-05-20 14:23:00,265.6,265.6,265.35,265.35,19624,89653,55543,0
52,2020-05-20 14:24:00,265.25,265.25,265.25,265.25,19633,44889,27750,0
53,2020-05-20 14:28:00,265.2,265.2,265.2,265.2,14478,44786,27614,0
54,2020-05-20 14:32:00,265.35,265.35,265.35,265.35,14570,44695,27599,0
55,2020-05-20 14:33:00,265.35,265.35,265.35,265.35,19843,45135,27501,0
56,2020-05-20 14:34:00,265.9,265.9,265.9,265.9,19840,45044,27320,0
57,2020-05-20 14:39:00,265.9,265.9,265.9,265.9,14717,48004,27494,0
58,2020-05-20 14:51:00,265.25,265.25,265.25,265.25,17739,45410,28341,0
59,2020-05-20 14:54:00,265.25,265.25,265.25,265.25,23469,46065,26620,0
