,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,19.65,19.65,19.65,19.65,0,617524,337646,0
1,2020-05-20 09:08:00,19.6,19.6,19.6,19.6,0,612712,347579,0
2,2020-05-20 09:11:00,19.6,19.6,19.6,19.6,3020,612712,347579,0
3,2020-05-20 09:14:00,19.6,19.6,19.6,19.6,3020,612712,347579,0
4,2020-05-20 09:15:00,19.6,19.6,19.6,19.6,0,612712,347579,0
5,2020-05-20 09:16:00,19.65,19.65,19.65,19.65,3396,693224,418044,0
6,2020-05-20 09:18:00,19.65,19.65,19.65,19.65,29502,761044,440511,0
7,2020-05-20 09:19:00,19.7,19.7,19.7,19.7,28791,804248,462224,0
8,2020-05-20 09:20:00,19.7,19.7,19.65,19.65,14862,1668718,978986,0
9,2020-05-20 09:21:00,19.65,19.65,19.65,19.65,31001,1695999,1017648,0
10,2020-05-20 09:24:00,19.65,19.65,19.65,19.65,36627,1727107,1051685,0
11,2020-05-20 09:25:00,19.65,19.65,19.65,19.65,38011,869808,538025,0
12,2020-05-20 09:26:00,19.6,19.6,19.6,19.6,55057,861718,546678,0
13,2020-05-20 09:30:00,19.65,19.65,19.65,19.65,73340,902252,572560,0
14,2020-05-20 09:31:00,19.65,19.65,19.65,19.65,56294,902253,572710,0
15,2020-05-20 09:33:00,19.6,19.6,19.6,19.6,64783,1836219,1155253,0
16,2020-05-20 09:35:00,19.6,19.6,19.6,19.6,69255,927744,584938,0
17,2020-05-20 09:37:00,19.65,19.65,19.65,19.65,96337,1051556,589777,0
18,2020-05-20 09:38:00,19.7,19.7,19.7,19.7,78821,2133799,1195264,0
19,2020-05-20 09:40:00,19.75,19.75,19.75,19.75,98814,2180347,1200030,0
20,2020-05-20 09:44:00,19.8,19.8,19.75,19.75,170838,2237250,1178213,0
21,2020-05-20 09:45:00,19.75,19.75,19.75,19.75,172198,1119898,608268,0
22,2020-05-20 09:46:00,19.7,19.7,19.7,19.7,109365,2265215,1223758,0
23,2020-05-20 09:49:00,19.7,19.7,19.7,19.7,115457,1104521,624759,0
24,2020-05-20 09:53:00,19.7,19.7,19.7,19.7,182444,1065593,645895,0
25,2020-05-20 09:56:00,19.7,19.7,19.7,19.7,185392,1067305,657428,0
26,2020-05-20 10:01:00,19.7,19.7,19.7,19.7,131564,1089806,661358,0
27,2020-05-20 10:02:00,19.75,19.75,19.7,19.7,185503,2176829,1322251,0
28,2020-05-20 10:03:00,19.7,19.7,19.7,19.7,136035,2176464,1326628,0
29,2020-05-20 10:10:00,19.65,19.65,19.65,19.65,153213,1062280,680897,0
30,2020-05-20 10:16:00,19.7,19.7,19.7,19.7,216928,1114612,689490,0
31,2020-05-20 10:21:00,19.7,19.7,19.7,19.7,209264,1240901,707684,0
32,2020-05-20 10:23:00,19.7,19.7,19.7,19.7,158268,1250339,708770,0
33,2020-05-20 10:28:00,19.7,19.7,19.7,19.7,168686,1247421,713191,0
34,2020-05-20 10:29:00,19.7,19.7,19.7,19.7,209294,2495231,1434342,0
35,2020-05-20 10:31:00,19.7,19.7,19.7,19.7,210844,1252789,709185,0
36,2020-05-20 10:32:00,19.7,19.7,19.7,19.7,173698,1249824,712022,0
37,2020-05-20 10:37:00,19.7,19.7,19.7,19.7,185779,1254792,721465,0
38,2020-05-20 10:38:00,19.7,19.7,19.65,19.65,212395,2510678,1443199,0
39,2020-05-20 10:48:00,19.7,19.7,19.65,19.65,190805,2530325,1463848,0
40,2020-05-20 10:52:00,19.7,19.7,19.7,19.7,193539,1271896,746613,0
