,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,77.15,77.15,77.15,77.15,0,165989,327225,0
1,2020-05-20 09:07:00,77.15,77.15,77.15,77.15,0,193077,335687,0
2,2020-05-20 09:08:00,77.2,77.2,77.2,77.2,23606,198700,340893,0
3,2020-05-20 09:11:00,77.2,77.2,77.2,77.2,23606,198700,340893,0
4,2020-05-20 09:14:00,77.2,77.2,77.2,77.2,0,198700,340893,0
5,2020-05-20 09:15:00,77.25,77.25,77.25,77.25,-93,209176,320699,0
6,2020-05-20 09:16:00,76.45,76.65,76.45,76.65,241771,2292162,2833113,0
7,2020-05-20 09:17:00,76.95,76.95,76.95,76.95,346102,916876,1044951,0
8,2020-05-20 09:18:00,77.2,77.25,77.2,77.25,37714,1921224,2057560,0
9,2020-05-20 09:19:00,77.45,77.45,77.45,77.45,117456,980041,1103497,0
10,2020-05-20 09:20:00,77.4,77.4,77.4,77.4,550172,1080641,1216313,0
11,2020-05-20 09:22:00,77.45,77.45,77.3,77.3,166513,2285832,2727006,0
12,2020-05-20 09:23:00,77.4,77.4,77.4,77.4,210678,1213483,1344733,0
13,2020-05-20 09:24:00,77.45,77.45,77.45,77.45,622786,1279127,1404153,0
14,2020-05-20 09:26:00,77.0,77.0,77.0,77.0,736285,1219352,1623301,0
15,2020-05-20 09:27:00,77.1,77.1,77.1,77.1,438278,1191886,1597804,0
16,2020-05-20 09:28:00,76.95,76.95,76.95,76.95,375912,1260943,1670489,0
17,2020-05-20 09:29:00,77.1,77.1,77.1,77.1,759128,1309435,1764022,0
18,2020-05-20 09:30:00,76.75,76.75,76.75,76.75,910129,1258719,1799182,0
19,2020-05-20 09:31:00,76.9,76.9,76.9,76.9,574846,1505118,1917163,0
20,2020-05-20 09:33:00,76.85,77.0,76.85,77.0,822691,3366803,4105160,0
21,2020-05-20 09:34:00,77.05,77.05,77.05,77.05,947008,1723527,2050971,0
22,2020-05-20 09:35:00,77.15,77.15,77.15,77.15,762733,1793222,2079498,0
23,2020-05-20 09:36:00,77.1,77.1,77.1,77.1,925966,3541288,4219397,0
24,2020-05-20 09:38:00,77.35,77.35,77.35,77.35,1088628,1878419,2051701,0
25,2020-05-20 09:39:00,77.25,77.35,77.25,77.35,810304,3823492,4214017,0
26,2020-05-20 09:40:00,77.35,77.35,77.35,77.35,812362,1910172,2129569,0
27,2020-05-20 09:41:00,77.5,77.5,77.5,77.5,1152821,1990865,2024909,0
28,2020-05-20 09:42:00,77.55,77.55,77.55,77.55,1265686,2046767,2066756,0
29,2020-05-20 09:43:00,77.65,77.65,77.65,77.65,987070,2162792,2103830,0
30,2020-05-20 09:44:00,77.9,78.2,77.9,78.2,1493440,6663953,6121862,0
31,2020-05-20 09:45:00,78.2,78.2,78.2,78.2,1600612,2199284,1988210,0
32,2020-05-20 09:46:00,78.2,78.2,78.05,78.05,1139542,4462984,4259908,0
33,2020-05-20 09:47:00,77.95,77.95,77.95,77.95,1216319,2124434,2241396,0
34,2020-05-20 09:48:00,78.05,78.05,78.0,78.0,1738282,4392313,4531697,0
35,2020-05-20 09:49:00,77.95,77.95,77.95,77.95,1739970,2196165,2298477,0
36,2020-05-20 09:50:00,78.0,78.0,78.0,78.0,1254710,2235562,2308152,0
37,2020-05-20 09:52:00,78.2,78.2,78.2,78.2,1572788,2282131,2161597,0
38,2020-05-20 09:53:00,78.25,78.25,78.25,78.25,2115539,2307208,2167638,0
39,2020-05-20 09:54:00,78.3,78.3,78.3,78.3,1363762,4801457,4510877,0
40,2020-05-20 09:55:00,78.3,78.35,78.3,78.35,2135344,4888990,4550533,0
41,2020-05-20 09:57:00,78.2,78.2,78.2,78.2,2318314,2356405,2357268,0
42,2020-05-20 09:58:00,78.2,78.2,78.2,78.2,1564421,2347494,2411103,0
43,2020-05-20 09:59:00,78.25,78.25,78.25,78.25,1466385,2394905,2430069,0
44,2020-05-20 10:00:00,78.1,78.1,78.1,78.1,2252938,2270678,2495961,0
45,2020-05-20 10:01:00,78.2,78.2,78.2,78.2,2399708,2352261,2487892,0
