,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-19 10:37:00,9.96,9.96,9.96,9.96,45386,0,37871,0
1,2020-05-19 10:39:00,9.96,9.96,9.96,9.96,50586,0,33021,0
2,2020-05-19 11:04:00,10.2,10.2,10.2,10.2,66599,7123,19148,0
3,2020-05-19 11:18:00,10.2,10.2,10.2,10.2,73475,6552,24544,0
4,2020-05-19 11:24:00,10.4,10.4,10.4,10.4,75633,7946,22386,0
5,2020-05-19 11:34:00,10.11,10.11,10.11,10.11,76791,8851,25824,0
6,2020-05-19 11:43:00,10.4,10.4,10.4,10.4,77406,15471,28609,0
7,2020-05-19 12:03:00,10.4,10.4,10.4,10.4,79558,12923,30616,0
8,2020-05-19 12:23:00,10.2,10.2,10.2,10.2,80147,16439,28749,0
9,2020-05-19 13:21:00,10.3,10.3,10.3,10.3,85282,28908,25946,0
10,2020-05-19 13:45:00,10.3,10.3,10.3,10.3,98893,19524,24640,0
11,2020-05-19 14:00:00,10.3,10.3,10.3,10.3,98921,21619,23613,0
12,2020-05-19 14:20:00,10.2,10.2,10.2,10.2,105003,17731,25311,0
13,2020-05-19 14:36:00,10.39,10.39,10.39,10.39,106503,16918,27804,0
14,2020-05-19 14:57:00,10.34,10.34,10.34,10.34,106653,17118,30100,0
15,2020-05-19 15:30:00,10.15,10.15,10.15,10.15,111133,31450,20248,0
16,2020-05-19 15:31:00,10.15,10.15,10.15,10.15,111133,31450,19677,0
