,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,880.1,880.1,880.1,880.1,0,11569,25433,0
1,2020-05-20 09:07:00,880.1,880.1,880.1,880.1,0,11943,26999,0
2,2020-05-20 09:08:00,882.0,882.0,882.0,882.0,1319,10624,25680,0
3,2020-05-20 09:11:00,882.0,882.0,882.0,882.0,1319,10624,25680,0
4,2020-05-20 09:14:00,882.0,882.0,882.0,882.0,0,10624,25680,0
5,2020-05-20 09:15:00,885.0,885.0,878.05,878.05,3504,35848,70481,0
6,2020-05-20 09:16:00,877.35,877.35,877.35,877.35,27849,37638,65785,0
7,2020-05-20 09:17:00,885.45,891.75,885.45,891.75,29640,124457,140383,0
8,2020-05-20 09:18:00,890.8,894.5,890.8,894.5,59670,144241,157048,0
9,2020-05-20 09:20:00,894.9,894.9,894.9,894.9,85028,82472,90780,0
10,2020-05-20 09:21:00,901.85,901.85,901.85,901.85,94139,90564,79893,0
11,2020-05-20 09:24:00,904.0,904.0,904.0,904.0,143211,101525,106398,0
12,2020-05-20 09:26:00,899.1,899.1,899.1,899.1,177239,105024,123700,0
13,2020-05-20 09:28:00,894.7,895.05,894.7,895.05,131729,216462,302462,0
14,2020-05-20 09:31:00,894.8,895.0,894.8,895.0,217465,270653,336869,0
15,2020-05-20 09:32:00,896.0,898.45,896.0,898.45,135793,282323,325614,0
16,2020-05-20 09:33:00,897.3,897.3,897.3,897.3,148008,146863,167402,0
17,2020-05-20 09:34:00,896.05,896.05,896.05,896.05,248972,146972,177424,0
18,2020-05-20 09:35:00,896.9,896.9,896.75,896.75,138098,297983,360716,0
19,2020-05-20 09:36:00,895.3,895.3,895.05,895.05,255429,280305,369568,0
20,2020-05-20 09:37:00,897.0,897.0,897.0,897.0,258364,150944,182319,0
21,2020-05-20 09:38:00,898.9,898.9,898.75,898.75,152024,311148,350846,0
22,2020-05-20 09:39:00,899.15,899.15,899.15,899.15,152809,158437,177500,0
23,2020-05-20 09:40:00,899.85,899.85,899.85,899.85,276467,160380,173710,0
24,2020-05-20 09:41:00,899.5,899.5,899.5,899.5,283381,161130,179402,0
25,2020-05-20 09:42:00,898.3,898.3,898.3,898.3,161724,160500,181899,0
26,2020-05-20 09:43:00,898.3,899.6,898.3,899.6,280277,324624,363787,0
27,2020-05-20 09:44:00,900.0,902.0,900.0,902.0,170262,500105,532770,0
28,2020-05-20 09:45:00,901.8,901.8,901.8,901.8,173099,171939,174659,0
29,2020-05-20 09:47:00,901.5,901.5,900.05,900.05,298244,343192,384116,0
30,2020-05-20 09:49:00,901.05,901.05,899.4,899.4,184197,336372,389642,0
31,2020-05-20 09:50:00,901.75,901.75,901.3,901.3,305045,341419,384647,0
32,2020-05-20 09:51:00,899.9,899.9,899.9,899.9,319912,167932,189052,0
33,2020-05-20 09:55:00,899.15,900.0,899.15,900.0,199329,334668,390516,0
34,2020-05-20 09:57:00,899.6,899.6,899.6,899.6,203623,164266,199901,0
35,2020-05-20 09:58:00,899.1,899.1,899.1,899.1,326398,163779,202239,0
36,2020-05-20 09:59:00,899.95,899.95,899.95,899.95,328517,167366,198032,0
37,2020-05-20 10:00:00,899.3,899.3,899.3,899.3,204288,335061,398079,0
38,2020-05-20 10:01:00,900.55,901.6,900.55,901.6,336594,342061,386887,0
39,2020-05-20 10:02:00,901.25,901.25,901.25,901.25,339648,172435,193310,0
40,2020-05-20 10:03:00,900.25,900.25,900.25,900.25,212687,169954,196327,0
41,2020-05-20 10:04:00,900.5,900.95,899.8,899.8,346658,515610,588286,0
42,2020-05-20 10:05:00,899.7,899.7,899.7,899.7,347031,170089,199160,0
43,2020-05-20 10:06:00,898.65,898.65,898.0,898.0,228418,326924,406170,0
44,2020-05-20 10:08:00,893.15,893.15,893.15,893.15,248864,145092,221481,0
45,2020-05-20 10:10:00,893.5,893.5,892.35,892.35,384318,320118,441231,0
