,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,518.65,518.65,518.65,518.65,0,16653,3061,0
1,2020-05-20 09:18:00,518.45,518.45,518.45,518.45,0,24806,9356,0
2,2020-05-20 09:28:00,518.95,518.95,518.95,518.95,584,35319,19134,0
3,2020-05-20 09:32:00,520.0,520.0,520.0,520.0,958,36043,18981,0
4,2020-05-20 09:45:00,521.45,521.45,521.45,521.45,1800,42820,21384,0
5,2020-05-20 09:49:00,521.75,521.75,521.75,521.75,2612,43326,20966,0
6,2020-05-20 09:50:00,521.75,525.4,521.75,525.4,2768,87201,40247,0
7,2020-05-20 09:51:00,525.2,525.2,524.0,524.0,3448,87857,39992,0
8,2020-05-20 09:52:00,523.35,523.35,523.35,523.35,3034,88051,40019,0
9,2020-05-20 09:53:00,523.35,523.35,523.35,523.35,3040,44024,19780,0
10,2020-05-20 09:59:00,521.2,521.2,521.2,521.2,3894,43855,20349,0
11,2020-05-20 10:06:00,520.25,520.25,520.25,520.25,5207,43571,20708,0
12,2020-05-20 10:07:00,520.0,520.0,520.0,520.0,11509,42130,21753,0
13,2020-05-20 10:10:00,517.3,517.3,517.3,517.3,40841,39968,22602,0
14,2020-05-20 10:13:00,519.4,519.4,519.4,519.4,34747,40106,22599,0
15,2020-05-20 10:14:00,519.4,519.4,519.4,519.4,5415,40106,22618,0
16,2020-05-20 10:23:00,520.0,520.0,520.0,520.0,21853,45540,26495,0
17,2020-05-20 10:24:00,520.0,520.0,520.0,520.0,51185,45559,26499,0
18,2020-05-20 10:26:00,519.3,519.3,519.3,519.3,34757,45643,26708,0
19,2020-05-20 10:27:00,519.65,520.0,519.65,520.0,32175,93249,52743,0
20,2020-05-20 10:32:00,520.05,520.05,520.05,520.05,41031,48667,26456,0
21,2020-05-20 10:33:00,520.05,520.05,520.05,520.05,43613,48667,26456,0
22,2020-05-20 10:38:00,520.75,520.75,520.75,520.75,36111,47757,26852,0
23,2020-05-20 10:39:00,520.6,520.6,520.6,520.6,33850,47626,26982,0
24,2020-05-20 10:42:00,520.0,520.0,520.0,520.0,41903,47753,27321,0
25,2020-05-20 10:52:00,520.0,520.0,520.0,520.0,46590,56859,33135,0
26,2020-05-20 10:53:00,520.75,520.75,520.75,520.75,38752,56971,33088,0
27,2020-05-20 10:54:00,520.0,520.0,520.0,520.0,34313,56914,33215,0
28,2020-05-20 10:58:00,521.05,521.05,521.05,521.05,43179,56833,33062,0
29,2020-05-20 11:12:00,519.95,519.95,519.95,519.95,48385,55753,31288,0
30,2020-05-20 11:15:00,519.5,519.5,519.5,519.5,39602,55420,31330,0
31,2020-05-20 11:17:00,519.95,519.95,519.95,519.95,35098,63151,38425,0
32,2020-05-20 11:38:00,520.0,520.65,520.0,520.65,55918,132649,80626,0
33,2020-05-20 11:39:00,520.1,520.1,520.1,520.1,55965,66294,40286,0
34,2020-05-20 11:42:00,520.0,520.0,520.0,520.0,36477,65881,40056,0
35,2020-05-20 12:02:00,519.45,519.45,519.45,519.45,58958,63915,41310,0
36,2020-05-20 12:05:00,519.45,519.45,519.45,519.45,78796,63909,41195,0
37,2020-05-20 12:06:00,518.45,518.45,518.1,518.1,36916,127342,82623,0
38,2020-05-20 12:07:00,518.7,518.7,518.7,518.7,37642,63967,41391,0
39,2020-05-20 12:08:00,518.95,518.95,518.95,518.95,79769,64102,41715,0
40,2020-05-20 12:09:00,518.7,518.7,518.7,518.7,37274,128607,82960,0
41,2020-05-20 12:10:00,517.1,517.1,517.1,517.1,37365,63901,41777,0
42,2020-05-20 12:11:00,517.2,517.2,517.2,517.2,80045,64136,41770,0
43,2020-05-20 12:15:00,518.9,518.9,518.9,518.9,81092,64053,41751,0
44,2020-05-20 12:17:00,518.95,518.95,518.95,518.95,38474,64033,41604,0
