,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:06:00,80.3,80.3,80.3,80.3,0,231795,266747,0
1,2020-05-20 09:08:00,80.7,80.7,80.7,80.7,0,118301,136028,0
2,2020-05-20 09:11:00,80.7,80.7,80.7,80.7,1513,118301,136028,0
3,2020-05-20 09:14:00,80.7,80.7,80.7,80.7,1513,118301,136028,0
4,2020-05-20 09:15:00,80.65,80.65,80.65,80.65,0,118301,136028,0
5,2020-05-20 09:16:00,80.85,80.85,80.85,80.85,42242,455626,489905,0
6,2020-05-20 09:17:00,81.05,81.3,81.05,81.3,56749,1158965,1211455,0
7,2020-05-20 09:18:00,81.2,81.2,81.2,81.2,56999,594559,619949,0
8,2020-05-20 09:19:00,81.1,81.1,81.1,81.1,72741,617871,631304,0
9,2020-05-20 09:20:00,81.1,81.1,81.1,81.1,86969,630902,658037,0
10,2020-05-20 09:21:00,81.05,81.05,81.05,81.05,98995,675651,661496,0
11,2020-05-20 09:24:00,80.45,80.45,80.45,80.45,166118,722759,769287,0
12,2020-05-20 09:25:00,80.35,80.35,80.35,80.35,167564,725311,780012,0
13,2020-05-20 09:26:00,80.1,80.1,80.1,80.1,158527,769582,791209,0
14,2020-05-20 09:27:00,80.25,80.25,80.25,80.25,168678,806441,787557,0
15,2020-05-20 09:29:00,80.45,80.45,80.45,80.45,195085,896816,852107,0
16,2020-05-20 09:30:00,80.1,80.1,80.1,80.1,206544,890145,896911,0
17,2020-05-20 09:31:00,79.95,79.95,79.95,79.95,184971,899323,920788,0
18,2020-05-20 09:32:00,80.35,80.35,80.35,80.35,205820,1033505,904915,0
19,2020-05-20 09:33:00,80.35,80.35,80.35,80.35,229581,1039606,902054,0
20,2020-05-20 09:35:00,80.5,80.5,80.5,80.5,233211,1127314,924925,0
21,2020-05-20 09:38:00,80.4,80.4,80.4,80.4,224876,1201864,1106816,0
22,2020-05-20 09:39:00,80.6,80.6,80.6,80.6,237023,1237216,1088126,0
23,2020-05-20 09:40:00,80.55,80.55,80.55,80.55,265322,1253387,1089583,0
24,2020-05-20 09:42:00,80.55,80.55,80.55,80.55,262639,1308668,1091429,0
25,2020-05-20 09:43:00,80.5,80.5,80.5,80.5,240557,1320908,1106098,0
26,2020-05-20 09:44:00,80.8,80.95,80.8,80.95,291709,2764070,2124349,0
27,2020-05-20 09:45:00,80.95,80.95,80.9,80.9,245465,4192981,3214723,0
28,2020-05-20 09:46:00,80.9,80.9,80.9,80.9,248567,1403585,1082457,0
29,2020-05-20 09:47:00,81.2,81.2,81.2,81.2,327101,2884806,2138691,0
30,2020-05-20 09:48:00,81.15,81.15,81.15,81.15,345836,1423520,1075438,0
31,2020-05-20 09:49:00,81.4,81.4,81.4,81.4,303501,2957827,2061005,0
32,2020-05-20 09:51:00,81.5,81.5,81.5,81.5,357740,1497656,1044803,0
33,2020-05-20 09:52:00,81.5,81.5,81.5,81.5,412145,1505347,1037334,0
34,2020-05-20 09:53:00,81.4,81.4,81.4,81.4,371027,1491471,1062338,0
35,2020-05-20 09:54:00,81.5,81.5,81.5,81.5,392081,3009158,2136371,0
36,2020-05-20 09:55:00,81.5,81.5,81.5,81.5,392094,1510355,1062253,0
37,2020-05-20 09:56:00,81.35,81.35,81.35,81.35,383905,1471006,1085063,0
38,2020-05-20 09:57:00,81.25,81.25,81.25,81.25,391022,1462442,1118590,0
39,2020-05-20 09:58:00,81.2,81.3,81.2,81.3,397523,2932316,2253896,0
40,2020-05-20 09:59:00,81.35,81.35,81.35,81.35,404238,1465647,1107801,0
41,2020-05-20 10:00:00,81.35,81.35,81.35,81.35,404073,1486777,1094322,0
42,2020-05-20 10:01:00,81.05,81.25,81.05,81.25,507232,2900387,2290502,0
43,2020-05-20 10:02:00,81.25,81.25,81.25,81.25,519970,1471438,1132142,0
44,2020-05-20 10:04:00,81.15,81.15,81.15,81.15,429244,1471015,1156624,0
45,2020-05-20 10:05:00,81.1,81.1,81.1,81.1,421066,1458352,1176056,0
46,2020-05-20 10:06:00,81.05,81.05,81.05,81.05,557070,2883320,2383272,0
47,2020-05-20 10:07:00,81.0,81.0,81.0,81.0,557400,1439937,1186880,0
48,2020-05-20 10:09:00,80.85,80.85,80.85,80.85,447997,1411292,1235428,0
49,2020-05-20 10:13:00,81.0,81.0,81.0,81.0,497160,1428691,1221247,0
50,2020-05-20 10:15:00,81.05,81.05,81.05,81.05,615604,1447597,1207658,0
51,2020-05-20 10:16:00,81.05,81.05,81.05,81.05,566790,1456104,1211354,0
52,2020-05-20 10:18:00,80.8,80.8,80.8,80.8,482181,1387435,1278218,0
53,2020-05-20 10:19:00,80.8,80.8,80.8,80.8,531411,1390098,1277689,0
54,2020-05-20 10:20:00,80.75,80.75,80.6,80.6,577937,2753485,2606833,0
55,2020-05-20 10:21:00,80.6,80.6,80.6,80.6,578039,1364876,1319187,0
56,2020-05-20 10:22:00,80.55,80.55,80.55,80.55,539024,1367068,1316444,0
57,2020-05-20 10:24:00,80.85,80.85,80.85,80.85,642669,2847820,2505398,0
58,2020-05-20 10:25:00,80.85,80.85,80.85,80.85,684816,1393298,1286728,0
59,2020-05-20 10:26:00,81.0,81.0,81.0,81.0,558724,2844105,2458611,0
60,2020-05-20 10:27:00,80.95,80.95,80.95,80.95,563539,1437214,1230985,0
61,2020-05-20 10:28:00,80.9,80.9,80.9,80.9,689982,1417195,1246457,0
62,2020-05-20 10:29:00,80.85,80.85,80.85,80.85,686522,1414611,1268379,0
63,2020-05-20 10:30:00,80.85,80.85,80.85,80.85,566953,1413266,1262753,0
64,2020-05-20 10:31:00,80.75,80.75,80.75,80.75,580887,1392687,1294133,0
65,2020-05-20 10:32:00,80.7,80.7,80.7,80.7,705190,1387681,1302958,0
66,2020-05-20 10:34:00,81.1,81.1,81.1,81.1,718051,1449598,1216039,0
67,2020-05-20 10:35:00,81.1,81.1,81.1,81.1,603632,1466229,1214708,0
68,2020-05-20 10:36:00,81.15,81.15,81.15,81.15,597089,1474401,1198026,0
69,2020-05-20 10:37:00,81.25,81.3,81.25,81.3,738386,3018153,2345810,0
70,2020-05-20 10:38:00,81.25,81.25,81.25,81.25,745857,1491272,1179979,0
71,2020-05-20 10:39:00,81.05,81.05,81.05,81.05,611875,1471908,1204019,0
72,2020-05-20 10:40:00,81.2,81.2,81.15,81.15,743377,4438694,3641901,0
73,2020-05-20 10:42:00,81.05,81.05,81.05,81.05,745970,1485901,1224519,0
74,2020-05-20 10:43:00,80.9,80.9,80.9,80.9,622599,1444553,1258322,0
75,2020-05-20 10:44:00,80.9,80.9,80.9,80.9,622918,1386093,1257701,0
76,2020-05-20 10:45:00,81.0,81.0,81.0,81.0,747704,1390553,1253437,0
77,2020-05-20 10:46:00,80.9,80.9,80.9,80.9,755251,1381803,1261577,0
78,2020-05-20 10:49:00,81.2,81.2,81.2,81.2,655066,1437745,1202095,0
79,2020-05-20 10:51:00,81.15,81.15,81.1,81.1,760307,2879188,2423565,0
80,2020-05-20 10:53:00,81.05,81.1,81.05,81.1,659037,2863598,2440116,0
81,2020-05-20 10:54:00,81.1,81.15,81.1,81.15,760326,2873767,2446517,0
82,2020-05-20 10:56:00,81.1,81.1,81.1,81.1,762541,1436127,1229473,0
83,2020-05-20 10:57:00,81.15,81.15,81.15,81.15,666812,1445312,1213592,0
84,2020-05-20 11:01:00,81.0,81.0,81.0,81.0,677161,1439519,1247455,0
85,2020-05-20 11:02:00,81.0,81.0,81.0,81.0,773219,1443132,1250020,0
86,2020-05-20 11:04:00,81.0,81.0,81.0,81.0,771693,1425600,1263000,0
87,2020-05-20 11:05:00,80.85,80.85,80.85,80.85,679684,1408035,1287135,0
88,2020-05-20 11:06:00,80.75,80.85,80.75,80.85,786052,4170252,3907565,0
89,2020-05-20 11:07:00,80.85,80.85,80.85,80.85,787237,1401868,1284433,0
90,2020-05-20 11:08:00,80.8,80.85,80.8,80.85,684662,2791339,2587543,0
91,2020-05-20 11:11:00,80.8,80.8,80.8,80.8,688926,1428058,1305441,0
92,2020-05-20 11:12:00,80.7,80.7,80.7,80.7,806543,1389065,1332168,0
93,2020-05-20 11:14:00,80.7,80.7,80.7,80.7,807243,1393731,1333484,0
94,2020-05-20 11:15:00,80.65,80.65,80.65,80.65,692415,1392142,1335119,0
95,2020-05-20 11:18:00,80.8,80.8,80.8,80.8,704776,1413579,1315097,0
96,2020-05-20 11:19:00,80.75,80.75,80.75,80.75,820401,1403319,1318107,0
97,2020-05-20 11:20:00,80.7,80.7,80.7,80.7,809847,1404200,1321677,0
98,2020-05-20 11:21:00,80.75,80.75,80.75,80.75,696850,1409761,1309557,0
99,2020-05-20 11:23:00,80.8,80.8,80.8,80.8,713766,1418921,1306196,0
100,2020-05-20 11:26:00,80.8,80.8,80.8,80.8,829331,1407351,1316665,0
101,2020-05-20 11:27:00,80.75,80.75,80.75,80.75,813948,1410527,1311542,0
102,2020-05-20 11:28:00,80.75,80.75,80.75,80.75,703211,1417820,1307173,0
103,2020-05-20 11:29:00,80.8,80.8,80.8,80.8,830979,2836844,2609051,0
104,2020-05-20 11:30:00,80.8,80.8,80.8,80.8,835027,1416282,1309872,0
105,2020-05-20 11:31:00,80.8,80.8,80.8,80.8,708059,1415890,1308626,0
106,2020-05-20 11:32:00,80.8,80.8,80.75,80.75,839816,2815713,2637308,0
107,2020-05-20 11:33:00,80.75,80.75,80.75,80.75,839981,1399989,1326266,0
108,2020-05-20 11:37:00,80.7,80.7,80.7,80.7,715650,1388659,1337060,0
109,2020-05-20 11:38:00,80.65,80.65,80.65,80.65,719633,1391908,1340695,0
110,2020-05-20 11:39:00,80.7,80.7,80.7,80.7,847210,1386088,1342742,0
111,2020-05-20 11:40:00,80.6,80.6,80.6,80.6,846794,1384514,1347212,0
112,2020-05-20 11:41:00,80.7,80.7,80.7,80.7,719417,1386754,1347408,0
113,2020-05-20 11:42:00,80.65,80.65,80.55,80.55,856575,2748052,2716225,0
114,2020-05-20 11:43:00,80.55,80.55,80.55,80.55,719489,2745794,2722734,0
115,2020-05-20 11:47:00,80.45,80.45,80.35,80.35,884590,2688376,2762264,0
116,2020-05-20 11:49:00,80.4,80.4,80.4,80.4,887071,1346164,1382257,0
117,2020-05-20 11:50:00,80.5,80.5,80.5,80.5,724516,1356012,1373086,0
118,2020-05-20 11:52:00,80.5,80.5,80.5,80.5,735119,1365862,1367919,0
119,2020-05-20 11:56:00,80.35,80.35,80.35,80.35,910383,1336379,1391889,0
120,2020-05-20 11:57:00,80.35,80.35,80.35,80.35,900973,1350265,1394741,0
