,Time,Open,High,Low,Close,Volume,Buy,Sell,oi
0,2020-05-20 09:03:00,104.1,104.1,104.1,104.1,0,840,961,0
1,2020-05-20 09:18:00,103.05,103.05,103.05,103.05,0,4422,4791,0
2,2020-05-20 09:22:00,105.0,105.0,105.0,105.0,1925,8739,5711,0
3,2020-05-20 09:25:00,104.75,104.75,104.75,104.75,198,19504,12998,0
4,2020-05-20 09:26:00,104.75,104.75,104.75,104.75,198,9816,6396,0
5,2020-05-20 09:32:00,104.45,104.45,104.45,104.45,1976,10110,6456,0
6,2020-05-20 09:52:00,103.95,103.95,103.95,103.95,3861,9494,8522,0
7,2020-05-20 09:53:00,104.25,104.25,104.25,104.25,2443,9999,7602,0
8,2020-05-20 09:57:00,104.05,104.05,104.05,104.05,1024,9853,9019,0
9,2020-05-20 10:06:00,104.55,104.55,104.55,104.55,2587,10070,8667,0
10,2020-05-20 10:07:00,104.55,104.55,104.55,104.55,4006,10070,8672,0
11,2020-05-20 10:13:00,104.3,104.3,104.3,104.3,2609,9881,9146,0
12,2020-05-20 10:18:00,104.0,104.0,104.0,104.0,1932,9602,9443,0
13,2020-05-20 10:25:00,103.3,103.3,103.3,103.3,4038,9047,9453,0
14,2020-05-20 10:41:00,103.45,103.45,103.45,103.45,5768,9495,10459,0
15,2020-05-20 10:48:00,103.35,103.35,103.35,103.35,3922,9515,10210,0
16,2020-05-20 10:54:00,103.1,103.1,103.1,103.1,2772,9690,9750,0
17,2020-05-20 11:03:00,103.4,103.4,103.4,103.4,5087,9714,10693,0
18,2020-05-20 11:06:00,103.0,103.0,103.0,103.0,6511,9677,10763,0
19,2020-05-20 11:33:00,103.05,103.4,103.05,103.4,3540,19572,21492,0
20,2020-05-20 12:37:00,103.95,103.95,103.95,103.95,5302,10277,11642,0
21,2020-05-20 12:39:00,103.7,103.7,103.7,103.7,8278,10419,11496,0
22,2020-05-20 12:55:00,103.25,103.25,103.25,103.25,9027,10881,10196,0
23,2020-05-20 13:19:00,103.2,103.2,103.2,103.2,6108,21518,21252,0
24,2020-05-20 13:39:00,103.05,103.05,103.05,103.05,6827,10244,12637,0
25,2020-05-20 13:40:00,103.3,103.3,103.3,103.3,9951,10264,12611,0
26,2020-05-20 13:41:00,103.3,103.3,103.3,103.3,9232,10264,12621,0
27,2020-05-20 13:42:00,103.2,103.2,103.2,103.2,6117,10264,12621,0
28,2020-05-20 13:43:00,103.2,103.2,103.2,103.2,9951,20710,25420,0
29,2020-05-20 13:44:00,103.2,103.2,103.2,103.2,9951,10380,12737,0
30,2020-05-20 13:45:00,103.2,103.2,103.2,103.2,6117,10382,12606,0
31,2020-05-20 13:47:00,103.3,103.3,103.3,103.3,6167,10493,12708,0
32,2020-05-20 13:53:00,103.05,103.05,103.05,103.05,10137,20712,25256,0
33,2020-05-20 13:54:00,103.3,103.3,103.3,103.3,10187,10315,12618,0
34,2020-05-20 13:55:00,103.3,103.3,103.3,103.3,6167,31003,38076,0
35,2020-05-20 13:56:00,103.25,103.25,103.25,103.25,10213,20681,25410,0
36,2020-05-20 13:57:00,103.25,103.25,103.25,103.25,10213,10259,12705,0
37,2020-05-20 14:03:00,103.35,103.35,103.3,103.3,6831,20146,25698,0
38,2020-05-20 14:07:00,103.2,103.2,103.2,103.2,7263,10676,13011,0
39,2020-05-20 14:08:00,103.2,103.2,103.2,103.2,10645,10678,13011,0
40,2020-05-20 14:09:00,103.2,103.2,103.1,103.1,6853,21271,25856,0
41,2020-05-20 14:10:00,103.1,103.1,103.1,103.1,10645,21257,25882,0
42,2020-05-20 14:12:00,103.25,103.25,103.25,103.25,10700,10666,12899,0
43,2020-05-20 14:13:00,103.25,103.25,103.25,103.25,6859,21282,25798,0
44,2020-05-20 14:15:00,103.25,103.4,103.25,103.4,12239,21931,24089,0
45,2020-05-20 14:16:00,103.4,103.4,103.4,103.4,12318,10783,12632,0
46,2020-05-20 14:23:00,102.8,102.85,102.8,102.85,8929,18983,25644,0
47,2020-05-20 14:40:00,103.1,103.1,103.1,103.1,11979,9456,13195,0
48,2020-05-20 14:41:00,103.1,103.1,103.1,103.1,15625,9649,13048,0
49,2020-05-20 14:51:00,103.65,103.65,103.65,103.65,14679,15146,12565,0
50,2020-05-20 15:04:00,103.4,103.4,103.4,103.4,13906,13823,13070,0
51,2020-05-20 15:06:00,103.4,103.4,103.4,103.4,15309,13376,12848,0
52,2020-05-20 15:20:00,103.4,103.4,103.4,103.4,19058,10883,12643,0
53,2020-05-20 15:24:00,103.55,103.55,103.55,103.55,18171,7498,7762,0
54,2020-05-20 15:25:00,103.55,103.55,103.55,103.55,14544,7523,7551,0
